Table 1
CODE	ID	NO	PRIM	COLL	TYPE	AID	NAME 0	CITED	START 0	STOP 0	SIZE	UNITS	NAME 1	NAME 2	PLACE 0	PLACE 1	DESC 0	PLACE 2	PLACE 3	START 1	STOP 1	NAME 3	NAME 4	NAME 5	VOL	ISS	VIA	FAID	DESC 1	NOTE	LINK	END	
RED;;;ID=S 577;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1522;;;STOP 0=1995;;;SIZE=33;;;UNITS=feet;;;NAME 1=Mexico collection;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://hdl.handle.net/10079/fa/mssa.ms.1776;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 577	577	1	1	M	xxx	xnp	0	1522	1995	33	feet	Mexico collection	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://hdl.handle.net/10079/fa/mssa.ms.1776	np	xnp	xnp	###	
RED;;;ID=S 579;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1667;;;STOP 0=1991;;;SIZE=40;;;UNITS=feet;;;NAME 1=Ezra Stiles Papers;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://hdl.handle.net/10079/fa/beinecke.stiles;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 579	579	1	1	M	xxx	xnp	0	1667	1991	40	feet	Ezra Stiles Papers	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	http://hdl.handle.net/10079/fa/beinecke.stiles	np	xnp	xnp	###	
"RED;;;ID=S 409;;;PRIM=1;;;COLL=1;;;TYPE=P;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1568;;;STOP 0=1949;;;SIZE=128;;;UNITS=feet;;;NAME 1=Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk);;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/614729;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 409	409	1	1	P	xxx	xnp	0	1568	1949	128	feet	"Latin American pamphlet collection, 1568-1949 (inclusive), 1800-1880 (bulk)"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/614729	np	xnp	xnp	###	
"RED;;;ID=S 569;;;PRIM=1;;;COLL=1;;;TYPE=P;;;AID=Yale B zzz;;;NAME 0=xnp;;;CITED=0;;;START 0=1780;;;STOP 0=1780;;;SIZE=1;;;UNITS=items;;;NAME 1=By His Majesty's company, at the Theatre Royal in Drury-Lane, this present Saturday, March 4, 1780, The old batchelor : with alterations ... to which will be reviv'd in 2 parts (the 27th time) the pantomime entertainment of Fortunatus, with alterations and three entire new seasons ... To conclude with a representation of the storming Fort Omoa, in the Bay of Honduras;;;NAME 2Yale University;;;PLACE 0New Haven;;;PLACE 1=USA;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://hdl.handle.net/10079/bibid/8709634;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###"	S 569	569	1	1	P	Yale B zzz	xnp	0	1780	1780	1	items	"By His Majesty's company, at the Theatre Royal in Drury-Lane, this present Saturday, March 4, 1780, The old batchelor : with alterations ... to which will be reviv'd in 2 parts (the 27th time) the pantomime entertainment of Fortunatus, with alterations and three entire new seasons ... To conclude with a representation of the storming Fort Omoa, in the Bay of Honduras"	Yale University	New Haven	USA	np	np	np	np	np	np	np	np	np	np	xnp	https://hdl.handle.net/10079/bibid/8709634	np	xnp	xnp	###	
RED;;;ID=S 407;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=Pub Affairs;;;NAME 0=xnp;;;CITED=0;;;START 0=1881;;;STOP 0=1881;;;SIZE=1;;;UNITS=vols;;;NAME 1=Administration of Public Affairs;;;NAME 2xxx;;;PLACE 0xxx;;;PLACE 1=xxx;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=Burdon 3 371;;;FAID=xnp;;;DESC 1=np;;;NOTE=Property of M. S. Metzgen during Burdon Historical Committee /v Burdon 3 371;;;LINK=xnp;;;END###	S 407	407	1	1	M	Pub Affairs	xnp	0	1881	1881	1	vols	Administration of Public Affairs	xxx	xxx	xxx	np	np	np	np	np	np	np	np	np	np	Burdon 3 371	xnp	np	Property of M. S. Metzgen during Burdon Historical Committee /v Burdon 3 371	xnp	###	
"RED;;;ID=S 405;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=Westminster nn;;;NAME 0=xnp;;;CITED=3;;;START 0=1066;;;STOP 0=1900;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=Muniments of Westminster Abbey;;;NAME 2Westminster Abbey;;;PLACE 0London;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection;;;DESC 1=np;;;NOTE=Some volumes or items possibly deposited in TNA, Kew, UK / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531533;;;LINK=xnp;;;END###"	S 405	405	1	1	M	Westminster nn	xnp	3	1066	1900	xxx	xxx	Muniments of Westminster Abbey	Westminster Abbey	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection	np	"Some volumes or items possibly deposited in TNA, Kew, UK / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531533"	xnp	###	
"RED;;;ID=S 403;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1608;;;STOP 0=1717;;;SIZE=6;;;UNITS=items;;;NAME 1=Legal Papers, Deeds and Accounts: Wood;;;NAME 2West Yorkshire Archive Service;;;PLACE 0Leeds;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://discovery.nationalarchives.gov.uk/details/r/7ac28c83-bf2f-47fb-8f0f-6bd1c63489aa / https://archiveshub.jisc.ac.uk/data/gb205-lc000tn/lc000tn/6/7/10;;;DESC 1=np;;;NOTE=Ref WYL100/PO/6/X / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531670 / Online catalogue could not be accessed on 14 Oct 2021 at http://www.wyjs.org.uk/archive-services/;;;LINK=xnp;;;END###"	S 403	403	1	1	M	xxx	xnp	0	1608	1717	6	items	"Legal Papers, Deeds and Accounts: Wood"	West Yorkshire Archive Service	Leeds	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/r/7ac28c83-bf2f-47fb-8f0f-6bd1c63489aa / https://archiveshub.jisc.ac.uk/data/gb205-lc000tn/lc000tn/6/7/10	np	Ref WYL100/PO/6/X / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531670 / Online catalogue could not be accessed on 14 Oct 2021 at http://www.wyjs.org.uk/archive-services/	xnp	###	
RED;;;ID=S 567;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1732;;;STOP 0=1733;;;SIZE=1;;;UNITS=items;;;NAME 1=Copy representation to the Duke of Newcastle relating to the rights of British subjects to cut logwood in the Spanish West Indies;;;NAME 2West Sussex Record Office;;;PLACE 0Chichester;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://discovery.nationalarchives.gov.uk/details/r/1e064b6b-9417-49f8-bef5-cec17a0e1b64 / http://185.121.204.173/searchonline/Record.aspx?src=CalmView.Catalog&id=PHA%2f59%2f8366;;;DESC 1=np;;;NOTE=See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531878;;;LINK=xnp;;;END###	S 567	567	1	1	M	xxx	xnp	0	1732	1733	1	items	Copy representation to the Duke of Newcastle relating to the rights of British subjects to cut logwood in the Spanish West Indies	West Sussex Record Office	Chichester	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://discovery.nationalarchives.gov.uk/details/r/1e064b6b-9417-49f8-bef5-cec17a0e1b64 / http://185.121.204.173/searchonline/Record.aspx?src=CalmView.Catalog&id=PHA%2f59%2f8366	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531878	xnp	###	
RED;;;ID=S 401;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=Archives;;;NAME 2West India Committee;;;PLACE 0London;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://westindiacommittee.org/libraryandarchive/;;;DESC 1=np;;;NOTE=Not found in ARCHON;;;LINK=xnp;;;END###	S 401	401	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	Archives	West India Committee	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://westindiacommittee.org/libraryandarchive/	np	Not found in ARCHON	xnp	###	
RED;;;ID=S 399;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=xnp;;;NAME 2Wellcome Library;;;PLACE 0London;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://wellcomecollection.org/collections;;;DESC 1=np;;;NOTE=See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13533000;;;LINK=xnp;;;END###	S 399	399	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	xnp	Wellcome Library	London	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://wellcomecollection.org/collections	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13533000	xnp	###	
RED;;;ID=S 565;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=1697;;;STOP 0=1857;;;SIZE=8;;;UNITS=boxes;;;NAME 1=Harewood West Indian Archive;;;NAME 2University of York;;;PLACE 0York;;;PLACE 1=UK;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://archiveshub.jisc.ac.uk/data/gb193-lascelles / https://borthcat.york.ac.uk/index.php/lascelles;;;DESC 1=np;;;NOTE=See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531293;;;LINK=xnp;;;END###	S 565	565	1	1	M	xxx	xnp	0	1697	1857	8	boxes	Harewood West Indian Archive	University of York	York	UK	np	np	np	np	np	np	np	np	np	np	xnp	https://archiveshub.jisc.ac.uk/data/gb193-lascelles / https://borthcat.york.ac.uk/index.php/lascelles	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13531293	xnp	###	
RED;;;ID=S 393;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=West Indiana and Special Collections;;;NAME 2University of the West Indies;;;PLACE 0St. Augustine;;;PLACE 1=Trinidad and Tobago;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana;;;DESC 1=np;;;NOTE=See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530503;;;LINK=xnp;;;END###	S 393	393	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	St. Augustine	Trinidad and Tobago	np	np	np	np	np	np	np	np	np	np	xnp	https://libraries.sta.uwi.edu/ajl/index.php/caribbean-resources/west-indiana	np	See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530503	xnp	###	
RED;;;ID=S 395;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=West Indiana and Special Collections;;;NAME 2University of the West Indies;;;PLACE 0Mona;;;PLACE 1=Jamaica;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=http://aleph-app.uwimona.edu.jm:8991/F/16Q3P26RK1AA2VMV93SI943G4M88GLX1EX29J1HIPM9S68KB23-12082?func=file&file_name=base-list;;;DESC 1=np;;;NOTE=Inc Elsa Goveia Reading Room ? / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530151;;;LINK=xnp;;;END###	S 395	395	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	Mona	Jamaica	np	np	np	np	np	np	np	np	np	np	xnp	http://aleph-app.uwimona.edu.jm:8991/F/16Q3P26RK1AA2VMV93SI943G4M88GLX1EX29J1HIPM9S68KB23-12082?func=file&file_name=base-list	np	Inc Elsa Goveia Reading Room ? / See ARCHON: https://discovery.nationalarchives.gov.uk/details/a/A13530151	xnp	###	
RED;;;ID=S 397;;;PRIM=1;;;COLL=1;;;TYPE=M;;;AID=xxx;;;NAME 0=xnp;;;CITED=0;;;START 0=xxx;;;STOP 0=xxx;;;SIZE=xxx;;;UNITS=xxx;;;NAME 1=West Indiana and Special Collections;;;NAME 2University of the West Indies;;;PLACE 0Cave Hill;;;PLACE 1=Barbados;;;DESC 0=np;;;PLACE 2=np;;;PLACE 3=np;;;START 1=np;;;STOP 1=np;;;NAME 3=np;;;NAME 4=np;;;NAME 5=np;;;VOL=np;;;ISS=np;;;VIA=xnp;;;FAID=https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx;;;DESC 1=np;;;NOTE=xnp;;;LINK=xnp;;;END###	S 397	397	1	1	M	xxx	xnp	0	xxx	xxx	xxx	xxx	West Indiana and Special Collections	University of the West Indies	Cave Hill	Barbados	np	np	np	np	np	np	np	np	np	np	xnp	https://www.cavehill.uwi.edu/mainlibrary/search/special-collections/west-indian-collection.aspx	np	xnp	xnp	###	
