Table 1
CODE	OID	AID	OAID	FM	TO	FORM	PRIM	DATE	DATE	TITLE	DESC	IMPRINT	CAT 0	CAT 1	CAT 2	AV	NOTE	SOURCE	SURL	END												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=11;;;FORM=S;;;PRIM=^^^;;;DATE=1935;;;DATE=1946;;;TITLE=Boletín del Archivo General del Gobierno;;;DESC=vol 1 to 11 of 11 / issue 1 to ^^^ of ^^^;;;IMPRINT=Guatemala, Archivo General del Gobierno;;;CAT 0=http://id.lib.harvard.edu/alma/990051890040203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=Continued by: Archivo General de la Nación (Guatemala) Boletín del Archivo General de la Nación ;;;SOURCE=Mack pp 7-8;;;SURL=^^^;;;END###"	^^^	^^^	^^^	1	11	S	^^^	1935	1946	Boletín del Archivo General del Gobierno	vol 1 to 11 of 11 / issue 1 to ^^^ of ^^^	"Guatemala, Archivo General del Gobierno"	http://id.lib.harvard.edu/alma/990051890040203941/catalog	^^^	^^^	^^^	Continued by: Archivo General de la Nación (Guatemala) Boletín del Archivo General de la Nación 	Mack pp 7-8	^^^	###												
PUR;;;OID=S 872;;;AID=Statutes;;;OAID=Statutes R;;;FM=1;;;TO=11;;;FORM=P;;;PRIM=^^^;;;DATE=1810;;;DATE=1828;;;TITLE=Statutes of the Realm;;;DESC=vol 1 to 11 of 11 / 1st ed;;;IMPRINT=^^^;;;CAT 0=^^^;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0107812236/MOME?u=camb55135&sid=MOME&xid=98d14cfb / v 5–7: https://www.british-history.ac.uk/search/series/statutes-realm;;;SOURCE=^^^;;;SURL=^^^;;;END###	S 872	Statutes	Statutes R	1	11	P	^^^	1810	1828	Statutes of the Realm	vol 1 to 11 of 11 / 1st ed	^^^	^^^	^^^	^^^	^^^	Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0107812236/MOME?u=camb55135&sid=MOME&xid=98d14cfb / v 5–7: https://www.british-history.ac.uk/search/series/statutes-realm	^^^	^^^	###												
"PUR;;;OID=^^^;;;AID=Weekly;;;OAID=Weekly / WR 1828;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=^^^;;;DATE=^^^;;;TITLE=Antigua Weekly Register;;;DESC=vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^;;;IMPRINT=St. John's, Antigua and Barbuda : Loving and Hill;;;CAT 0=https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB27AE90296CD%40EANACN-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403;;;CAT 1=https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512321110600003941;;;CAT 2=^^^;;;AV=^^^;;;NOTE=See “Honduras (From the Honduras Almanack for 1826.)” in vol 25 no 759 for 11 Nov 1828 p 4 [https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB27AE90296CD%40EANACN-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403];;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	Weekly	Weekly / WR 1828	1	^^^	L	^^^	^^^	^^^	Antigua Weekly Register	vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^	"St. John's, Antigua and Barbuda : Loving and Hill"	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB27AE90296CD%40EANACN-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403	https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512321110600003941	^^^	^^^	See “Honduras (From the Honduras Almanack for 1826.)” in vol 25 no 759 for 11 Nov 1828 p 4 [https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=EANACN&docref=image/v2%3A145EB27AE90296CD%40EANACN-14CA6E8DB2A50AC8%402389038-14CA67053AA11820%403]	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1835;;;DATE=^^^;;;TITLE=Diario del Gobierno de la República Mexicana;;;DESC=vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^;;;IMPRINT=^^^;;;CAT 0=http://hemerotecadigital.bne.es/issue.vm?id=0025220170&page=1&search=Belice&lang=en;;;CAT 1=http://hemerotecadigital.bne.es/details.vm?o=&w=0187-1099&f=issn&l=500;;;CAT 2=http://id.lib.harvard.edu/alma/990142383130203941/catalog;;;AV=^^^;;;NOTE=Continues: Diario del gobierno de los Estados-Unidos Mexicanos / Continued by: Diario oficial del gobierno mexicano / cf UNAM [https://hndm.iib.unam.mx/consulta/busqueda/buscarPorLetra] /// See ""Parte no oficial. Interior. Departamento de Oajaca. Septiembre 18. BELICE.” in vol 14 no 1613 for 28 Sep 1839 p 1 [http://hemerotecadigital.bne.es/issue.vm?id=0025220170&page=1&search=Belice&lang=en];;;SOURCE=^^^;;;SURL=^^^;;;END###"	^^^	^^^	^^^	1	^^^	L	^^^	1835	^^^	Diario del Gobierno de la República Mexicana	vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^	^^^	http://hemerotecadigital.bne.es/issue.vm?id=0025220170&page=1&search=Belice&lang=en	http://hemerotecadigital.bne.es/details.vm?o=&w=0187-1099&f=issn&l=500	http://id.lib.harvard.edu/alma/990142383130203941/catalog	^^^	"Continues: Diario del gobierno de los Estados-Unidos Mexicanos / Continued by: Diario oficial del gobierno mexicano / cf UNAM [https://hndm.iib.unam.mx/consulta/busqueda/buscarPorLetra] /// See ""Parte no oficial. Interior. Departamento de Oajaca. Septiembre 18. BELICE.” in vol 14 no 1613 for 28 Sep 1839 p 1 [http://hemerotecadigital.bne.es/issue.vm?id=0025220170&page=1&search=Belice&lang=en]"	^^^	^^^	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=L;;;PRIM=^^^;;;DATE=1912;;;DATE=^^^;;;TITLE=Revista de Yucatan;;;DESC=vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^;;;IMPRINT=Mérida de Yucatán : Empresa Editora Peninsular;;;CAT 0=https://catalog-crl-edu.ezp-prod1.hul.harvard.edu/Record/2e405e14-edd6-59ea-a03a-0916a8813731;;;CAT 1=https://catalog-crl-edu.ezp-prod1.hul.harvard.edu/Record/cc381a15-dde9-5f1a-898c-48985700ca16;;;CAT 2=https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512226697060003941;;;AV=^^^;;;NOTE=See ""PAGINAS HISTORICAS - Documento relativo a Belice 20 de Agosto de 1822 Exclusivo para ""La Revista de Yucatan"" por Efrem Leonzo Donde” in vol 7 no 2235 for 16 April 1922 p 9 [https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=WHNPX&docref=image/v2%3A128A3BF11C952AFD%40WHNPX-129754BAEFCC5400%402423161-129754BBAA985F88%4010-129754BBAA985F88%40];;;SOURCE=AN - ‘Belice Walix’ search in HOLLIS - Readex - Latin American Newspapers;;;SURL=https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/results?p=WHNPX&sort=_rank_%3AD&fld-base-0=alltext&val-base-0=Belice%20Walix&val-database-0=WHNPLAN1%7CWHNPLAN2&fld-database-0=database&fld-nav-0=YMD_date&val-nav-0=;;;END###"	^^^	^^^	^^^	1	^^^	L	^^^	1912	^^^	Revista de Yucatan	vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^	Mérida de Yucatán : Empresa Editora Peninsular	https://catalog-crl-edu.ezp-prod1.hul.harvard.edu/Record/2e405e14-edd6-59ea-a03a-0916a8813731	https://catalog-crl-edu.ezp-prod1.hul.harvard.edu/Record/cc381a15-dde9-5f1a-898c-48985700ca16	https://hollis.harvard.edu/permalink/f/1s5nto6/01HVD_ALMA512226697060003941	^^^	"See ""PAGINAS HISTORICAS - Documento relativo a Belice 20 de Agosto de 1822 Exclusivo para ""La Revista de Yucatan"" por Efrem Leonzo Donde” in vol 7 no 2235 for 16 April 1922 p 9 [https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/doc?p=WHNPX&docref=image/v2%3A128A3BF11C952AFD%40WHNPX-129754BAEFCC5400%402423161-129754BBAA985F88%4010-129754BBAA985F88%40]"	AN - ‘Belice Walix’ search in HOLLIS - Readex - Latin American Newspapers	https://infoweb-newsbank-com.ezp-prod1.hul.harvard.edu/apps/readex/results?p=WHNPX&sort=_rank_%3AD&fld-base-0=alltext&val-base-0=Belice%20Walix&val-database-0=WHNPLAN1%7CWHNPLAN2&fld-database-0=database&fld-nav-0=YMD_date&val-nav-0=	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=^^^;;;TO=^^^;;;FORM=S;;;PRIM=^^^;;;DATE=1852;;;DATE=^^^;;;TITLE=Journal of the Society of Arts;;;DESC=vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^;;;IMPRINT=London : The Society;;;CAT 0=http://id.lib.harvard.edu/alma/990022284000203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=See ""On British Honduras, its History, Trade, and Natural Resources” in vol 5 no 217 for 16 Jan 1857 pp 113-130 [https://www.google.com/books/edition/_/R1kmAQAAIAAJ?hl=en&gbpv=0] / See “British Honduras” in vol 6 no 290 for 11 June 1858 pp 465-471 and vol 6 no 291 pp 484-489 [https://www.google.com/books/edition/_/R1kmAQAAIAAJ?hl=en&gbpv=0];;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	^^^	^^^	^^^	^^^	S	^^^	1852	^^^	Journal of the Society of Arts	vol 1 to ^^^ of ^^^ / issue 1 to ^^^ of ^^^	London : The Society	http://id.lib.harvard.edu/alma/990022284000203941/catalog	^^^	^^^	^^^	"See ""On British Honduras, its History, Trade, and Natural Resources” in vol 5 no 217 for 16 Jan 1857 pp 113-130 [https://www.google.com/books/edition/_/R1kmAQAAIAAJ?hl=en&gbpv=0] / See “British Honduras” in vol 6 no 290 for 11 June 1858 pp 465-471 and vol 6 no 291 pp 484-489 [https://www.google.com/books/edition/_/R1kmAQAAIAAJ?hl=en&gbpv=0]"	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	^^^	^^^											
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=1;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1888;;;DATE=^^^;;;TITLE=A historical geography of the British colonies;;;DESC=vol 1 to ^^^ of ^^^ / 1st ed;;;IMPRINT=Oxford: The Clarendon Press;;;CAT 0=http://id.lib.harvard.edu/alma/990058682800203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=1887 Introduction to a historical geography [Oxford, Clarendon Press, 1 vol, http://id.lib.harvard.edu/alma/990058681810203941/catalog] / 1905-1925 A historical geography [Oxford, Clarendon Press, 7 volumes in 13 volumes, vars editions, http://id.lib.harvard.edu/alma/990067366610203941/catalog] with vol 2 re WI /// Possibly see 1934 Craven, Historical study, Journal of Modern History 6(1):40-69 [https://www.jstor.org/stable/1872177] /// Extract of 1890 reprint of vol 2 [Oxford, Clarendon] re Honduras included in Timehri the Journal of the Royal Agricultural and Commercial Society by N. Darnell Davis circa 1891 [http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/60232600];;;SOURCE=AN - ‘Honduras’ search in HOLLIS - FCO - 19th-Century British Pamphlets;;;SURL=https://www-jstor-org.ezp-prod1.hul.harvard.edu/action/doBasicSearch?Query=%22Honduras%22&ccda=eyJpZCI6ICIyNjU4MzkyNyIsICJwYWdlTmFtZSI6ICJGb3JlaWduIGFuZCBDb21tb253ZWFsdGggT2ZmaWNlIENvbGxlY3Rpb24iLCAicGFnZVVybCI6ICIvc2l0ZS9wcmltYXJ5LXNvdXJjZXMvMTl0aC1jZW50dXJ5LWJyaXRpc2gtcGFtcGhsZXRzL2ZvcmVpZ24tYW5kLWNvbW1vbndlYWx0aC1vZmZpY2UtY29sbGVjdGlvbi8iLCAidHlwZSI6ICJjb21waWxhdGlvbiIsICJwb3J0YWxOYW1lIjogIkpTVE9SIFByaW1hcnkgU291cmNlcyIsICJwb3J0YWxVcmwiOiAiL3NpdGUvcHJpbWFyeS1zb3VyY2VzLyJ9&so=rel;;;END###"	^^^	^^^	^^^	1	^^^	P	^^^	1888	^^^	A historical geography of the British colonies	vol 1 to ^^^ of ^^^ / 1st ed	Oxford: The Clarendon Press	http://id.lib.harvard.edu/alma/990058682800203941/catalog	^^^	^^^	^^^	"1887 Introduction to a historical geography [Oxford, Clarendon Press, 1 vol, http://id.lib.harvard.edu/alma/990058681810203941/catalog] / 1905-1925 A historical geography [Oxford, Clarendon Press, 7 volumes in 13 volumes, vars editions, http://id.lib.harvard.edu/alma/990067366610203941/catalog] with vol 2 re WI /// Possibly see 1934 Craven, Historical study, Journal of Modern History 6(1):40-69 [https://www.jstor.org/stable/1872177] /// Extract of 1890 reprint of vol 2 [Oxford, Clarendon] re Honduras included in Timehri the Journal of the Royal Agricultural and Commercial Society by N. Darnell Davis circa 1891 [http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/60232600]"	AN - ‘Honduras’ search in HOLLIS - FCO - 19th-Century British Pamphlets	https://www-jstor-org.ezp-prod1.hul.harvard.edu/action/doBasicSearch?Query=%22Honduras%22&ccda=eyJpZCI6ICIyNjU4MzkyNyIsICJwYWdlTmFtZSI6ICJGb3JlaWduIGFuZCBDb21tb253ZWFsdGggT2ZmaWNlIENvbGxlY3Rpb24iLCAicGFnZVVybCI6ICIvc2l0ZS9wcmltYXJ5LXNvdXJjZXMvMTl0aC1jZW50dXJ5LWJyaXRpc2gtcGFtcGhsZXRzL2ZvcmVpZ24tYW5kLWNvbW1vbndlYWx0aC1vZmZpY2UtY29sbGVjdGlvbi8iLCAidHlwZSI6ICJjb21waWxhdGlvbiIsICJwb3J0YWxOYW1lIjogIkpTVE9SIFByaW1hcnkgU291cmNlcyIsICJwb3J0YWxVcmwiOiAiL3NpdGUvcHJpbWFyeS1zb3VyY2VzLyJ9&so=rel	###												
"PUR;;;OID=^^^;;;AID=Brockhaus;;;OAID=Brockhaus 1864;;;FM=1;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1864;;;DATE=^^^;;;TITLE=Bd. 2. Arago bis Belgrad;;;DESC=vol 1 to ^^^ of ^^^ / 11th ed;;;IMPRINT=Leipzig: F.A. Brockhaus;;;CAT 0=https://www.enzyklothek.de/allgemeinenzyklopädien/deutsche-enzyklopädien/alphabetische-enzyklopädien/allgemeine-deutsche-real;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=In Allgemeine deutsche Real-Encyklopädie für die gebildeten Stände : Conversations-Lexikon. Vol. 2 (Revised, expanded 11th ed.).;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	Brockhaus	Brockhaus 1864	1	^^^	P	^^^	1864	^^^	Bd. 2. Arago bis Belgrad	vol 1 to ^^^ of ^^^ / 11th ed	Leipzig: F.A. Brockhaus	https://www.enzyklothek.de/allgemeinenzyklopädien/deutsche-enzyklopädien/alphabetische-enzyklopädien/allgemeine-deutsche-real	^^^	^^^	^^^	"In Allgemeine deutsche Real-Encyklopädie für die gebildeten Stände : Conversations-Lexikon. Vol. 2 (Revised, expanded 11th ed.)."	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
PUR;;;OID=^^^;;;AID=Levy;;;OAID=Levy;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=0;;;DATE=1873;;;DATE=^^^;;;TITLE=Notas geográficas y económicas sobre la República de Nicaragua;;;DESC=vol 1 of 1 / trans of 1st ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990045664560203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1871 in French;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###	^^^	Levy	Levy	^^^	^^^	P	0	1873	^^^	Notas geográficas y económicas sobre la República de Nicaragua	vol 1 of 1 / trans of 1st ed	^^^	http://id.lib.harvard.edu/alma/990045664560203941/catalog	^^^	^^^	^^^	First published 1871 in French	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1996;;;DATE=^^^;;;TITLE=The Drake Manuscript in the Pierpont Morgan Library: Histoire naturelle des Indes;;;DESC=vol 1 of 1 / trans of 1st ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990073614840203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=0;;;NOTE=Facsim. of the Morgan Library manuscript (entitled Histoire naturelles des Indes on inserted title page of original bound vol.). - Published simultaneously in the U.S. under the title Histoire naturelle des Indes.;;;SOURCE=OB - LAS - Piracy;;;SURL=https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0018.xml?rskey=0FX2RV&result=3&q=logwood#firstMatch;;;END###	^^^	^^^	^^^	^^^	^^^	P	^^^	1996	^^^	The Drake Manuscript in the Pierpont Morgan Library: Histoire naturelle des Indes	vol 1 of 1 / trans of 1st ed	^^^	http://id.lib.harvard.edu/alma/990073614840203941/catalog	^^^	^^^	0	Facsim. of the Morgan Library manuscript (entitled Histoire naturelles des Indes on inserted title page of original bound vol.). - Published simultaneously in the U.S. under the title Histoire naturelle des Indes.	OB - LAS - Piracy	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199766581/obo-9780199766581-0018.xml?rskey=0FX2RV&result=3&q=logwood#firstMatch	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1998;;;DATE=^^^;;;TITLE=A General History of the Robberies and Murders of the Most Notorious Pyrates;;;DESC=vol 1 of 1 / reprint of 3rd ed;;;IMPRINT=New York: Lyons;;;CAT 0=http://id.lib.harvard.edu/alma/990080179770203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1724 [London, printed for Ch Rivington ..., http://id.lib.harvard.edu/alma/990124772300203941/catalog] / 1724 2nd ed with considerable additions [London, Printed for and sold by T Warner, http://id.lib.harvard.edu/alma/990124775100203941/catalog] / 1725 3rd ed [London, T Warner, http://id.lib.harvard.edu/alma/990124772290203941/catalog] / 1726 ^^^ ed in two vols;;;SOURCE=OB - AH - Piracy;;;SURL=https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml;;;END###"	^^^	^^^	^^^	^^^	^^^	P	^^^	1998	^^^	A General History of the Robberies and Murders of the Most Notorious Pyrates	vol 1 of 1 / reprint of 3rd ed	New York: Lyons	http://id.lib.harvard.edu/alma/990080179770203941/catalog	^^^	^^^	^^^	"First published 1724 [London, printed for Ch Rivington ..., http://id.lib.harvard.edu/alma/990124772300203941/catalog] / 1724 2nd ed with considerable additions [London, Printed for and sold by T Warner, http://id.lib.harvard.edu/alma/990124775100203941/catalog] / 1725 3rd ed [London, T Warner, http://id.lib.harvard.edu/alma/990124772290203941/catalog] / 1726 ^^^ ed in two vols"	OB - AH - Piracy	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=Chamberlain 1966;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1966;;;DATE=^^^;;;TITLE=The conquest and colonization of Honduras, 1502–1550;;;DESC=vol 1 of 1 / reprint of 1st ed;;;IMPRINT=New York: Octagon Books;;;CAT 0=https://hdl.handle.net/2027%2Ftxu.059173002179226;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1953 as Carnegie Publication 598;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	^^^	^^^	Chamberlain 1966	^^^	^^^	P	^^^	1966	^^^	"The conquest and colonization of Honduras, 1502–1550"	vol 1 of 1 / reprint of 1st ed	New York: Octagon Books	https://hdl.handle.net/2027%2Ftxu.059173002179226	^^^	^^^	^^^	First published 1953 as Carnegie Publication 598	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1966;;;DATE=^^^;;;TITLE=The Buccaneers in the West Indies in the XVII Century;;;DESC=vol 1 of 1 / reprint of 1st ed;;;IMPRINT=^^^;;;CAT 0=http://id.lib.harvard.edu/alma/990014182370203941/catalog;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=0;;;NOTE=First published 1910;;;SOURCE=OB - AH - Piracy;;;SURL=https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml;;;END###	^^^	^^^	^^^	^^^	^^^	P	^^^	1966	^^^	The Buccaneers in the West Indies in the XVII Century	vol 1 of 1 / reprint of 1st ed	^^^	http://id.lib.harvard.edu/alma/990014182370203941/catalog	^^^	^^^	0	First published 1910	OB - AH - Piracy	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml	###												
"PUR;;;OID=^^^;;;AID=^^^;;;OAID=^^^;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1996;;;DATE=^^^;;;TITLE=The Pirates of the New England Coast 1630–1730;;;DESC=vol 1 of 1 / reprint of 1st ed;;;IMPRINT=^^^;;;CAT 0=https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_32321121;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=0;;;NOTE=1996 Unabridged and slightly altered republication / 1923 possibly 1st ed [Salem, Mass. : Marine Research Society, http://id.lib.harvard.edu/alma/990021544560203941/catalog];;;SOURCE=OB - AH - Piracy;;;SURL=https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml;;;END###"	^^^	^^^	^^^	^^^	^^^	P	^^^	1996	^^^	The Pirates of the New England Coast 1630–1730	vol 1 of 1 / reprint of 1st ed	^^^	https://hollis.harvard.edu/permalink/f/1mdq5o5/TN_cdi_globaltitleindex_catalog_32321121	^^^	^^^	0	"1996 Unabridged and slightly altered republication / 1923 possibly 1st ed [Salem, Mass. : Marine Research Society, http://id.lib.harvard.edu/alma/990021544560203941/catalog]"	OB - AH - Piracy	https://www-oxfordbibliographies-com.ezp-prod1.hul.harvard.edu/view/document/obo-9780199730414/obo-9780199730414-0077.xml	###												
PUR;;;OID=^^^;;;AID=^^^;;;OAID=Goslinga;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=0;;;DATE=2017;;;DATE=^^^;;;TITLE=The Dutch in the Caribbean and on the Wild Coast 1580-1680;;;DESC=vol 1 of 1 / reprint of 1st ed;;;IMPRINT=^^^;;;CAT 0=https://ufdc.ufl.edu/AA00061987/00001;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1971;;;SOURCE=AN - orig data sources 1.2.numbers;;;SURL=/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers;;;END###	^^^	^^^	Goslinga	^^^	^^^	P	0	2017	^^^	The Dutch in the Caribbean and on the Wild Coast 1580-1680	vol 1 of 1 / reprint of 1st ed	^^^	https://ufdc.ufl.edu/AA00061987/00001	^^^	^^^	^^^	First published 1971	AN - orig data sources 1.2.numbers	/Users/angelnavidad/Library/Mobile Documents/com~apple~Numbers/Documents/orig data sources 1.2.numbers	###												
"PUR;;;OID=S 924;;;AID=^^^;;;OAID=Dampier / Dampier 1700;;;FM=^^^;;;TO=^^^;;;FORM=P;;;PRIM=^^^;;;DATE=1700;;;DATE=^^^;;;TITLE=Voyages and descriptions, in three parts : to which is added a general index to both volumes;;;DESC=vol 1 of 1 / reprint of 1st ed;;;IMPRINT=London: Printed for James Knapton, at the Crown in St Paul's Church-yard;;;CAT 0=https://www.proquest.com/docview/2264207852;;;CAT 1=^^^;;;CAT 2=^^^;;;AV=^^^;;;NOTE=First published 1699 [London, for James Knapton, https://hdl.handle.net/2027/aeu.ark:/13960/t57d3n03x] / Previously 1697 A New Voyage round the world / 1699 Voyages and descriptions / 1703 A Voyage to New Holland / 1705 A Supplement to the voyage round the world / 1705 The Campeachy voyagse / 1705 Discourse of winds / 1708 Continuation of a voyage to New Holland /v https://en.wikipedia.org/wiki/William_Dampier#Books;;;SOURCE=AN - Draft:English settling of Belize;;;SURL=https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize;;;END###"	S 924	^^^	Dampier / Dampier 1700	^^^	^^^	P	^^^	1700	^^^	"Voyages and descriptions, in three parts : to which is added a general index to both volumes"	vol 1 of 1 / reprint of 1st ed	"London: Printed for James Knapton, at the Crown in St Paul's Church-yard"	https://www.proquest.com/docview/2264207852	^^^	^^^	^^^	"First published 1699 [London, for James Knapton, https://hdl.handle.net/2027/aeu.ark:/13960/t57d3n03x] / Previously 1697 A New Voyage round the world / 1699 Voyages and descriptions / 1703 A Voyage to New Holland / 1705 A Supplement to the voyage round the world / 1705 The Campeachy voyagse / 1705 Discourse of winds / 1708 Continuation of a voyage to New Holland /v https://en.wikipedia.org/wiki/William_Dampier#Books"	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###												
