Table 1
ID	OID	CF	LOC	QUOTE	NOTES	RE 0	DESC	ATT	CLG	FLR	DATE	SETTLEMENT DEF	DESC	SOURCE	SURL	END	
d10	^^^	Asturias	pp 8-9	"[A]unque algunos creen que Wallace se instaló en Belice hasta el año 1617, es probable que esto haya ocurrido antes. Con el oro obtenido en Cadiz y, probablemente aumentado en otras correrías, Wallace compró seis buques que los tripuló con la gente mas desalmada de Londres y se dirigió a América el dia 14 de Mayo de 1603, cuarenta dias despues de la muerte de la reina Isabel. Sin tener ningun comprobante, me imagíno que es en esta expedición cuando él llaga a la desembocadura del RIO VIEJO, que desde entonces comienza a llamarse de Wallace o BELICE. Esta suposición la confirmo porque Wallace despues de fundar la ranchería de Belice, quedó como Jefe de ella; pero los aventureros que le habían acompañado eran de tan mala índole, que por la menor dificultad en el reparto del botin, reñían y se apuñalaban, no respetando la autoridad de Wallace. Este decepcionado, abandonó Belice dirigiéndose a Inglaterra, donde murió pocos años despues. Ahora bien: Wallace murió en 1621, pocos años despues de abandonar Belice lo que si resulta si Wallace abandonó Belice por el año de 1617; pero no es posible que ese mismo año lo hubiera fundado, que tan pronto hubiera tomado incremento al extremo de ya no respetar la autóridad de su fundador. Es pues mas verosimil que en su viaje a América, emprendido en 1603 haya llegado a la desembocadura del Rio Viejo, que la ranchería fué aumentando en población é importancia, debido al punto estratégio y a la tranquilidad en que vivían, con la ventaja de los grandes beneficios que les proporcionaba el comercio del palo de tinte o de Campeche. [new para] Con todo lo anterior queda demostrado que Belice fué fundada en los primeros años del siglo XVII y que Wallace murió en Ingla-[start p 9]terra en 1621."	"Sources and clarifications offered in Asturias to Burdon, letter dated 19 Oct 1930, ie that Wallace sailed with six ships cf ""Defensa del Tratado de Límites entre Yucatán y Belice"". México: Imprenta de ""El Si- glo Diez y Nueve"" (Calle de Victorias, N9 15.—1894.) by Ignacio Mariscal / ie that Wallace established Belize cf disclaimer ""SIN TENER NINGUN COMPROBANTE, ME IMAGINO QUE ES EN ESTA EXPEDICION” /v Asturias aa pp 14-15"	Old R	llegar a rio Viejo y fundar ranchería	1p	1603	1621	en los primeros años del siglo XVII / despues de viaje a América de Wallace de 1603 / antes de muerte de Wallace de 1621	instalarse / fundar ranchería	Wallace settles Hon	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d11	^^^	Fancourt	p v	"[During Fancourt period in office] the Author of the following historical sketch had determined on writing, principally for the satisfaction of the Settlers, an account of the origin, the rise, and the development of one of the most remarkable possessions of the British Crown. It did not however occur to him then, that it would be necessary for the completion of his design to trace the connection of European enterprise with Central America to an earlier period than 1662, when the British logwood-cutters first commenced their operations on the coast of Yucatan."	"With as little delay as possible, the Author will lay before the Public an additional volume [forthcoming], which will comprise the History of Yucatan, from the period when the British logwood-cutters commenced their operations at Cape Catoche, to the close of the administration in British Honduras of his immediate predecessor Major-General Alexander Macdonald. /v Fancourt p vi"	Yuc / Hon	British logwood-cutters commence operations	2p	1662	^^^	after first logwood cutting operations in Yuc in 1662	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d12	^^^	G Palaez	vol 2 cap 65 pp 136-137	"[E]l conde de Arlington mostró ante los señores de la junta una carta de sir Tomas Modyford, primer gobernador de Jamayca, datada el 16 de mayo de 1672, donde despues de dar cuenta de la extension [start p 137] del pais en que se cultiva el palo de campeche, y de los lugares frecuentados por los ingleses, añade: que ellos habian hecho aquel comercio durante tres años; al principio encontrándolo en la orilla del mar: pero que despues, viéndose obligados á internarse cuatro ó cinco millas dentro de el pais, habian hecho provisiones indígenas, y construido casas allí, para preservarse ellos mismos y sus provisiones del mal tiempo: que generalmente le habian asegurado, que nunca habian visto españoles ú otras personas en todo el tiempo de su obra, á pesar de haber ido seis ó siete millas mas lejos á matar venados."	Quote content from Hon Alm for 1828 p ^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d13	^^^	B-Thomas	p 141	"[I]n 1638 “Wallace, or Willis, a Scotch Corsair Chief, the Buccaneer of Historical fame, to escape from the just vengeance of the Spaniards, established his rendezvous at the mouth of the Belize River, where he erected a few log huts. He came from Hispaniola.”"	"Quote from Hon Hnd for 1925 p 1 / Deemed a 'Wallace'-related 'foundation myth' which 'can now be shown to be false' ie 'can be laid to rest' ie ‘[is] without foundation’ /v B-Thomas pp 138, 144-145"	Old R	"Scotch corsair chief establishes rendezvous, erects a few log huts"	2n	1638	1638	in 1638	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d14	^^^	Finamore	p 23	[T]he archaeological investigations that are the focus of the present work provide no corroborating evidence for theories of semi-permanent English settlement during the first half of the seventeenth century.	There is no substantiated evidence for significant English settlement anywhere on the coast of Belize before 1680 (Burdon I 931: 2) /v Finamore p 22	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d15	^^^	Gibbs	p 26	"[T]he first regular establishment of English logwood-cutters was made in 1662 by adventurers, probably from Jamaica, incited by the increasing demand for logwood. Their numbers were soon augmented by fresh arrivals, and extending southwards from Cape Catoche, they in a shore space of time spread as far as the River Belize, and westwards to what appears to have been then called the lake and island of Triste (between Tabasco and the River Campeton), a lagoon with an island in the middle of it. At this time there were two places of rendezvous, or market-places, for the early settlers—the mouth of the Belize River and this island of Triste, adjacent to Campeché."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d16	^^^	Hon Alm	for 1829 p 40	"1638.----This year a few British subjects first inhabited Honduras, having been wrecked on the Coast."	"It is to be regretted that the misfortunes to which the Colony was exposed, resulting from this unhappy state of things, swept away many of the most valuable documents relative to the rise and progress, of BRITISH HONDURAS, from which alone we could have derived information, sufficiently full and explanatory, to give our present undertaking a commanding interest; but such being the circumstances, however unexpected, at the season of their occurrence, we can only glean from the scanty materials that are in our hands, and throw ourselves on the indulgence of a kind, and liberal public, for the omission of matter, not to be found on record. /v Hon Alm for 1829 p 6"	^^^	^^^	^^^	1638	1638	1638	^^^	a few British subjects settle Hon after wreck	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d17	^^^	Hon Alm	for 1829 p 40	"1642.----The English take possession of the Island of Ruatan, which they kept until August 1650."	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d18	^^^	Donohoe	p 27	"A century after the discovery of America, a period during which time Balboa discovered the Pacific, and Cortez sacked the Aztec kingdom in Mexico, Peter Wallace, the pirate, to escape from the Spaniards, entered the mouth of a river on the Bay of Honduras, establishing the first settlement."	Donohoe cap 2 entitled History 1603—1799 /v Donohoe p 27 / The records that have survived tell nothing of his [Wallace's] arrival [to Hon] or the Early settlement but only of his return and [start p 28] death in 1621. /v Donohoe pp 27-28	Hon or Old R	pirate establishes first settlement	2p	^^^	^^^	a century after discovery of America	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d19	^^^	Bridges	vol 2 pp 134-137	"A.D. 1638. Willis, the notorios Buccaneer, was the first Englishman who settled on the banks of the river to which he gave his name. The Spaniards called it Walis,[see note xxiii ie The name of Elias Ward, the pirate governor of Tortuga, in the year 1655, suffered a similar corruption: it was familiar and frightful to the Spaniards, who always wrote it Elyazoüard.] and the corrupting influence of time has softened it to Belize. The ex-governor of Tortuga sought his retreat on the shores and isles of Yucatan, where a multitude of his subjects or friends, who preferred a distant fortune to a narrow home, quickly joined him. Had the life of Willis been more worthy of a Briton, he might have been encouraged by a resemblance between his own fate, and that of the Venetians expelled by Attila. They fled from their pursuers to the neighbouring islands of the Adriatic, and were compared by Cassiodorus to water-fowl who had fixed their nests upon the bosom of the deep. A people whose habitations, like those of Willis and his followers, might be doubtfully assigned to the earth or water, soon became alike familiar with the two elements; and the demands of avarice succeeded to those [start p 135] of necessity. As they were more ambitious of spoil than glory, they seldom attacked any fortified towns, or engaged in the open field; but the celerity of their motions enabled them, almost at the same time, to threaten and assault the most distant objects which attracted their desires; and by a secure but laborious navigation, they soon reaped a rich harvest from the Spanish settlements. To annoy the Spaniards was their trade, their exercise, their glory, and their virtue. Impatient of their narrow limits, they grasped their arms, ascended their vessels, and explored every coast which promised an abundant spoil. The various troops of pirates and adventurers who fought under the same standard were insensibly united in a permanent society, at first of rapine, and afterwards of government; and a stream of daring volunteers incessantly flowed from the French and British isles. Their vessels, which were quickly multiplied by conquest, extended their excursions, or intercepted the trade upon the ocean;—and the marriage which Venice still celebrates with the Adriatic might, with the same propriety, be commemorated by the grateful settlers in the bay of Belize. After a few years of successful plunder, they followed the more peaceful occupation of logwood chipping, to which their situation was peculiarly adapted: for the exhaustless forests of the precious dye covered a country, through which a navigable river flowed to an obscure coast which was protected by the intricacies of innumerable isles and shoals, where the dex-[start p 136]trous could easily elude pursuit. The advantages of the settlement soon became better known to the British, and an object of jealousy, therefore, to the Spanish court: so that for more than half a century it was the fruitful subject of repeated treaties, and the constant source of contention between the courts of London and Madrid; the former desirous of profiting by the trade, and by the advantages of a position which at once laid open the hidden sources of the Spanish treasure, the latter fearful of admitting an enterprising people so near to them. Repeated attempts were made to derive the Colony from the country—but they all failed against a people who possessed the sea, and, on land, could endure hardships under which the drowsy Spaniards sunk. [new para] The Indians of the Mosquito shore were the faithful allies of the settlers at Belize—they soon excelled in the use of fire-arms, and the acquirement gave life and energy to their natural hatred of the Spanish name. But it was not until more than twenty years after the colony of Willis had been established, that the value of the logwood and mahogany brought any great accession of strength to his people. At first a place of refuge and retirement, they impatiently compared the slow returns of labour with the successful rapine and liberal rewards of their former life; and the logwood trade was again almost abandoned for the more liberal profession of a pirate. Great Britain had been too well supplied with dye-woods by her privateers, and at [start p 137] the expense of Spanish life and labour, to risk her own resources in the preservation or enlargement of the colony; and it was not until her dauntless mariners had swept the timid Spaniards from the ocean, that the want of employment added much to the establishment of Belize. Another settlement was then formed near Cape Cotoche, upon the coast of Yucatan, by those who had too much independence to join the settlement of Willis—but the scarcity of logwood soon drove them to the Laguna de Terminos, in the deep and sheltered bay of Campeche."	^^^	Old R	Englishmen first settle	2p	1638	1638	in 1638 / after period as governor of Tortuga	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d20	^^^	Donohoe	p 27	"According to Asturias, the Guatemalan historian, Wallace was in Belize in 1617, after having, according to Spanish authorities, left on May 14, 1603, with six ships from England."	Donohoe cap 2 entitled History 1603—1799 /v Donohoe p 27 / The records that have survived tell nothing of his [Wallace's] arrival [to Hon] or the Early settlement but only of his return and [start p 28] death in 1621. /v Donohoe pp 27-28	Hon or Old R	Wallace is in	1p	1603	1617	after departure from England in 1603 / before or during 1617	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
d21	^^^	Kinsbruner	"vol 6 art Wallace, Peter para 1"	"According to popular legend, Captain Peter Wallace (Willis) was the first European to harbor inside the barrier reef along the coast of present-day Belize. His base of operations was said to be founded in 1638 near the mouth of the Belize River. Wallace captained the Swallow, out of Tortuga Island, and Swallow Cay off the coast of Belize City is said to have been named after his ship. "	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	^^^	AN - Draft:English settling of Belize	https://en.wikipedia.org/wiki/Draft:English_settling_of_Belize	###	
