Table 1
	sort	class	pp							
	32	cultural - history	20	Cook Lt James Remarks on the Passage from the River Balise in the Bay of Honduras to Merida the capital of the province of Yucatan 1769 A facsimile with perspective by Muriel Haas New Orleans: Midameres Press 1935 17pp.						
	33	cultural - history	20	Cossio Jose Lorenzo Belice descubrimiento exploración conquista colonización y evangelización soberanía de Espana sobre este territorio Mexico 1947 107pp.						
	34	cultural - history	21	Craig Alan K ‘History of the coinage of British Honduras’ Numismatist 80/7 80/8: 835-840 981-988 July Aug 1967.						
	35	cultural - history	21	- ‘Logwood as a factor in the settlement of British Honduras’ Caribbean Studies 9/1: 53-62 April 1969.						
	36	cultural - history	21	Curry Hervert F Jr ‘British Honduras from Public Meeting to Crown Colony’ Americas 13/1: 31-42 July 1956.						
	37	cultural - history	21	Donohoe William Arlington A history of British Honduras 1st American ed New York: Colorite Offset Printing Co 1947 118pp.						
	38	cultural - history	21	Everett John Cater ‘Terra incognita: An analysis of a geographical anachronism and an historical accident or aspects of the cultural geography of British Honduras Central America’ MA thesis Simon Fraser University 1969.						
	39	cultural - history	21	Fowler Henry A narrative of a journey across the unexplored portion of British Honduras with a. short sketch of the history and resources of the colony rev ed Belize: Govt Printer 1928 58pp.						
	40	cultural - history	21	Great Britain Foreign Office Historical Section British Honduras London: HMSO 1920 57pp.						
	41	cultural - history	21	Griffith William J Empire in the wilderness foreign colonisation and development in Guatemala 1834-1844 Chapel Hill: University of North Carolina Press 1965 332pp.						
	42	cultural - history	21	- ‘Juan Galindo Central American chauvinist’ Hispanic American Historical Review 40/1: 25-52 Feb 1960.						
	43	cultural - history	21	Humphreys Robert Arthur The Diplomatic history of British Honduras 1638-1901 London: OUP 1961 196pp.						
	44	cultural - history	21	Huxley Aldous Beyond the Mexique Bay London: Chatto and Windus 1934.						
	45	cultural - history	22	Leon Narda D ‘Social and administrative developments in British Honduras 1798-1843’ B Litt thesis University of Oxford 1958.						
	46	cultural - history	22	Lucas Sir Charles P A historical geography fo the British colonies 2nd rev ed 2 vols Oxford: Clarendon Press 1905 348pp.						
	47	cultural - history	22	McLeish J ‘British activities in Yucatan and the Mosquito Shore in the eighteenth century’ MA thesis Univeristy of Londonn 1926.						
	48	cultural - history	22	Mena Brito Bernardino Historia de las desmembracinooes del estado de Yucatan efectuadas por el gobierno nacional el Peten Belice Campeche Quintana Roo Mexico 1962 62pp.						
	49	cultural - history	22	Naylor Robert A ‘The British role in Central America prior to the Clayton-Blower treaty of 1850’ Hispanic American Historical Review 40: 361-382 Aug 1960.						
	50	cultural - history	22	Oliver LH ‘Colonisation of British Honduras what i twas and what it is’ West India Committee Circular 41: 87 1928.						
	51	cultural - history	22	Peniche Manuel Historia de la relaciones de Espana y Mexico con Inglaterra sobre el establecimiento de Belice Merida Yucatan: Compañía Tipográfica Yucateca SA 1940.						
	52	cultural - history	22	Reed Nelson The Caste War of the Yucatan Stanford California: Stanford University Press 1964 308pp.						
	53	cultural - history	22	Rippy J Fred The Caribbean danger zone New York: GP Putman’s Sons 1940 296pp.						
	54	cultural - history	22	Rodriguez Manuel Eduardo Impresiones de mi visita a Belice Guatemala 1958 31pp.						
	55	cultural - history	22	Roys Ralph L The Indian background of colonia Yucatan Carnegie Institution of Washington Publication No 548 Washington: Carnegie Institution 1942 244pp.						
	56	cultural - history	23	Stephens JL and Dean C ‘Belize: A story of practical amalgamation except from Incidents of travel in Central American Chiapas and Yucatan 1839’ Journal of Negro History 30: 432-436 Oct 1945.						
	57	cultural - history	23	Stone Doris Z ‘Some Spanish entradas 1524-1695’ Middle American Research Series Middle American Papers Publication No 4 New Orleans: Tulane University Press 1932.						
	58	cultural - history	23	‘The Story of British Honduras review of archives’ Scottish Geographical Magazine 48: 279-281 Sept 1932.						
	59	cultural - history	23	van Aken Mark J ‘British policy considerations in Central America before 1850’ Hispanic American Historical Review 42/1: 54-59 Feb 1960.						
	60	cultural - history	23	Waddell David Alan G British Honduras a historical and contemporary survey London: OUP 1961 151pp.						
	61	cultural - history	23	- ‘Great British and the Bay Islands 1821-1861’ The Historical Journal 2/1: 59-77 1959.						
	62	cultural - history	23	Winzerling EO The beginnings of British Honduras 1506-1765 New York: North River Press 1946 90pp.						
	63	cultural - settlement	23	Brunton FW ‘British Honduras land settlement scheme’ Journal of the Jamaica Agricultural Society 38: 90-92 Feb 1934.						
	64	cultural - settlement	23	Bushong Allen D ‘Mennonite settlement in British Honduras’ (Abstract) Annals of the Association of American Geographers 50/1: 308 Sept 1960.						
	65	cultural - settlement	23	Cumper George E ‘The Evans report: reprot of the British Guiana and British Honduras settlement commission’ Caribbean Quarterly 1/3: 39-44 Oct-Nov 1949.						
	66	cultural - settlement	24	Evans Sir Geoffrey ‘Resettlement problems in the British Caribbean colonies’ United Empire 40/3: 105-110 May-June 1949.						
	67	cultural - settlement	24	Fitzgerald W ‘Settlement on the Caribbean mainland’ Nature 163: 512-513 2 April 1949.						
	68	cultural - settlement	24	Flores Giovanni ‘Gli italiani de Manatee’ L’Universo 38/5: 795-800 Sept-Oct 1958.						
	69	cultural - settlement	24	Grant Herbert T ‘The “Empty Quarter” of the West Indies’ Crown Colonist 4: 28-30 Jan 1934.						
	70	cultural - settlement	24	Great Britain Colonial Office Report of the British Guiana and British Honduras Settlement commission by Sir Geoffrey Evans and others London: HMSO 1948 360pp.						
	71	cultural - settlement	24	Holdridge Desmond ‘Toledo: A tropical refugee settlement in British Honduras’ Geographical Review 30/3:376-393 July 1940.						
	72	cultural - settlement	24	‘Land settlement scheme’ Journal of the British Honduras Agricultural Society 2: 91 July-Sept 1936.						
	73	cultural - settlement	24	Minkel Thomas A ‘Mennonite Colonisation in British Honduras’ The Pennsylvania Geographer 5/3: 1-5 April 1967.						
	74	cultural - settlement	24	Parsons James J ‘English speaking settlements of the western Caribbean’ Yearbook of the Assn of the Pacific Coast Geographers 16: 3-16 1954.						
	75	cultural - settlement	24	‘Report of British Guiana and British Honduras settlement commission’ Geographical Journal 112: 219-223 1948.						
	76	cultural - settlement	24	Sawatsky Harry Leonard Mennonite settlement in British Honduras Berkeley California: Dept of Geography Univeristy of California 1969.						
	77	cultural - settlement	24	Simnett WE ‘Where to settle the Jews’ Spectator 162: 20 6 Jan 1939.						
	78	cultural - anthropology	25	Allsop SRR ‘British Honduras the linguistic dilemma’ Caribbean Quarterly 2/3 2/4: 54-61 Sept-Dec 1965.						
	79	cultural - anthropology	25	Anderson AH ‘Anthropological activities in British Honduras 1956-57’ Boletin Bibliografico de Antropologia Americana 19/1 20/1: 77-78 1958.						
	80	cultural - anthropology	25	Ashcraft Norman ‘The Domestic Group in Mahogany British Honduras’ Social and Economic Studies 15: 266 1966.						
	81	cultural - anthropology	25	- 'The internal marketing system of British Honduras past and present’ A paper presented at the Session on Economic Anthropology Latin America 67th Annual Mtg of the American Anthropological Assn Seattle 22 Nov 1968.						
	82	cultural - anthropology	25	- Kinship family and the domestic group in British Honduras Waltham Massachusetts: Brandeis University 1966 54pp.						
	83	cultural - anthropology	25	Coe Michael D ‘The funerary temple among the Classic Maya’ Southwestern Journal of Anthropology 12: 387-394 Winter 1956.						
	84	cultural - anthropology	25	- ‘Social typology and tropical forest civilisation’ Comparative Studies in Society and History 4/1: 65-85 1961.						
	85	cultural - anthropology	25	Conzemius Eduard ‘Ethnographical notes on the Black Carib (Garif)’ American Anthropologist NS 30: 183-205 April-June 1928.						
	86	cultural - anthropology	25	Cosminsky Sheila Interethnic relations in Punta Gorda Waltham Mass: Brandeis Univ 1966 56pp.						
	87	cultural - anthropology	25	de Borhegyi Stephan F ‘The development of folk and complex culture in the southern Maya area’ American Antiquity 21/4: 343-356 April 1956.						
	88	cultural - anthropology	25	Gann Thomas WF Ancient cities and modern tribes explorations and adventures in Maya lands London 1926 256pp.						
	89	cultural - anthropology	26	- 'The Chachac or rain ceremony as practiced by the Maya of southern Yucatan and Brit Hon’ Proceedings of the 21st Intl Congress of Americanists 21: 409-418 1915.						
	90	cultural - anthropology	26	Jones David RW ‘The Caribbean coast of Cent Amer a case of multiple fragmentation’ Professional Geographer 22/5: 260-266 Sept 1970.						
	91	cultural - anthropology	26	Jones Grant D ‘Los canners sociopolitical aspects o the history of agriculture in the Corozal region of British Honduras’ PhD dissertation Dept of Anthropology Brandeis Univ 1969 390pp.						
	92	cultural - anthropology	26	Kaplan Myron R Carib self-identity Waltham Mass: Brandeis Univ 1966 19pp.						
	93	cultural - anthropology	26	Leon Thomas ‘Les caribes noirs du Honduras Britannique’ Les Cahiers D’Outre-Mer 8/30: 196-202 April-June 1955.						
	94	cultural - anthropology	26	Lines Jorge A ed Anthropological bibliography of aboriginal Guatemala and Brit Hon San Jose Costa Rica: Tropical Science Ctr for Associated Colleges of the Midwest 1967 309pp.						
	95	cultural - anthropology	26	Lord David ‘Planned socio-cultural change in a British Honduran fishing village’ MA thesis Dept of Anthropology Michigan State Univ 1967.						
	96	cultural - anthropology	26	Malmgreen Joanna British Honduras seminar report Waltham Mass: Brandeis Univ 1966 30pp.						
	97	cultural - anthropology	26	Matson G Albin Sutton HE Swanson Jane and Robinson AR ‘Distribution of haptoglobin transferring and haemoglobin types among Indians of Middle America: British Honduras Costa Rica and Panama’ American Journal of Physical Anthropology NS 23/2: 123-129 June 1965.						
	98	cultural - anthropology	26	Matson G Albin and Swanson Jane ‘Distribution of hereditary blood antigens among Indians in Middle America VI British Honduras’ American Journal of Physical Anthropology NS 22/3: 271-284 Sept 1964.						
	99	cultural - anthropology	27	Munroe Robert C ‘The Couvade among the Black Carib of the Gulf of Honduras a psycho9logical and social structural study’ PhD dissertation Harvard Univ 1964.						
	100	cultural - anthropology	27	Munroe Ruth C ‘A comparison of child-training practices in nuclear and mother-child households among the Black Carib of the Gulf of Honduras’ PhD dissertation nHarvard Univ 1964.						
	101	cultural - anthropology	27	Muntsh Albert ‘Some magics-religious observances of the present-day Maya Indians of British Hon and Yucatan’ Primitive Man 16: 31-43 1943.						
	102	cultural - anthropology	27	- ‘Xaibe a Mayan enclave in northern British Honduras’ Anthropological Quarterly 34: 121-126 April 1961.						
	103	cultural - anthropology	27	‘On the track of the Mayas Mayan Indians of British Hon’ Scientific American 144 48-49 Jan 1931.						
	104	cultural - anthropology	27	Reina Ruben E ‘The abandonment of primicias by Itza of San Jose Guatemala and Socotz Brit Hond’ Pennsylvania Univ Museum Monograph No 10 Philadelphia: Pennsylvania Univ 1961.						
	105	cultural - anthropology	27	- ‘Milpas and milperos implications for prehistoric times’ American Anthropologist NA 69/1: 1-20 Feb 1967.						
	106	cultural - anthropology	27	"Ricketson Oliver Jr ‘Observations on the races of northern Guatemala, Brit Hond and the highlands of Guatemala’ Carnegie Institution of Washington Publication 431 Washington: Carnegie Institution 1933."						
	107	cultural - anthropology	27	Roys Ralph L The book of Chilam Balam Chumayel Carnegie Institution f Washington Publication No 438 Washington: Carnegie Institution 1933 229pp.						
	108	cultural - anthropology	27	- The political geography of the Yucatan Maya Carnegie Institution of Washington Publication No 613 Washington: Carnegie Institution 1957 187pp.						
	109	cultural - anthropology	28	Satterthwaite Linton Jr ‘British Honduras’ Bulletin of the Philadelphia Anthropological Society 7/2: 1-3 1954.						
	110	cultural - anthropology	28	Solien Nancie L ‘Changes in black kinship terminology’ South-western Journal of Anthropology 16/2: 144-159 Summer 1960.						
	111	cultural - anthropology	28	- 'The consanguine household among the Black Carib of Central America’ PhD dissertation Univ of Michigan 1958.						
	112	cultural - anthropology	28	- ‘Household and family in the Caribbean’ Social and Economic Studies 9/1: 101-106 March 1960.						
	113	cultural - anthropology	28	- 'The nonunilineal descent group in the Caribbean and Cent Amer’ American Anthropologist 61/4: 578-583 Aug 1959.						
	114	cultural - anthropology	28	‘Some remarkable examples of aboriginal dentistry’ Discoveries 88/7: 8 1932.						
	115	cultural - anthropology	28	Strumpel B ‘Preparedness of change in a peasant society’ Economic Development and Cultural Change 13/2: 203-216 1965.						
	116	cultural - anthropology	28	Taylor Douglas M The Black Carib of British Honduras Viking Fund Publications in Anthropology No 17 New York: Wenner-Gren Foundation 1951 175pp.						
	117	cultural - anthropology	28	- 'The meaning of dietary and occupational restrictions among the Island Carib’ American Anthropologist 52/3: 343-349 July-Sept 1950.						
	118	cultural - anthropology	28	- ‘Phonemes of the Hopkins (Brit Hond) dialect of the Island Carib’ International Journal of American Linguistics 21: 233-241 July 1955.						
	119	cultural - anthropology	28	Thompson JES ‘Canoes and navigation of the Maya and their neighbours’ Journal of the Royal Anthropological Institute of Great Britain and Ireland 79: 69-78 1949.						
	120	cultural - anthropology	29	- ‘Ethnology of the Mayas of southern and central Brit Hond’ Field Museum of Natural History Anthropological series vol 17 Publication No 274 Chicago: Field Museum of Natural History 1930.						
	121	cultural - anthropology	29	- ‘A trial survey of the southern Maya area a framework of Maya history’ American Antiquity 9/1: 106-134 July 1943.						
	122	cultural - anthropology	29	Willey Gordon R ‘The structure of ancient Maya society evidence from the southern Lowlands’ American Anthropologists NS 58: 777-782 Oct 1956.						
	123	cultural - welfare	41	Boyce Rupert Report to the government of Brit Hon upon the outbreak of yellow fever in that colony in 1905 distribution of the ‘Stegomyia fasciata’ in Belize measures to stamp out and prevent yellow fever London: J and A Churchill Publishers 1906 104pp.						
	124	cultural - welfare	42	British Honduras Colonial Surgeon Report on yellow fever in Belize by CH Eyles Belize: Govt Printer 1906 15pp.						
	125	cultural - welfare	42	British Honduras Labour Dept Manpower assessment report British Honduras vol 1 Belize: Govt Printer 1964.						
	126	cultural - welfare	42	British Honduras Medical Dept Notes on the malaria problem in British sHonduras Belize 1954 8pp.						
	127	cultural - welfare	42	British Honduras Secretariat Report of meal-habit enquiry committee Belize: Govt Printer 1953.						
	128	cultural - welfare	42	Cheverton RL A report of the committee on nutrition in the colony of British Honduras Belize 1937.						
	129	cultural - welfare	42	Firschein I Lester ‘Population dynamics of the sickle-cell trait in the Black Caribs of Brit Hond’ American journal of Human Genetics 13/2: 233-254 June 1961.						
	130	cultural - welfare	42	- ‘Population dynamics of the sickle-cell trait in the Black Caribs of British Hond Cent Amer’ PhD dissertation Columbia Univ 1962.						
	131	cultural - welfare	42	Gann T ‘Solving the unemployment problem’ United Empire NS 24: 633-634 Nov 1933.						
	132	cultural - welfare	42	Humphreys Howard Reports upon i Surface drainage ii water supply for the Town of Belize Belize 1925 44pp.						
	133	cultural - welfare	42	Komp WHW ‘The occurrence of Anopheles darlingi root in Brit Hond and Guatemala’ Public Health Reports 55/16: 693-694 19 April 1940.						
	134	cultural - welfare	42	- ‘Occurrence of Anopheles darlingi root in Brit Hon and Guatemala’ Science NS 91: 522-523 31 May 1940.						
	135	cultural - welfare	42	‘Labour conditions in Brit Hond’ International Labour Review 48: 655-656 Nov 1943.						
	136	cultural - welfare	43	Lainson R ‘Parasitological studies in Brit Hond’ Annals of Tropical Medicine and Parasitology 59/1: 37-42 1965.						
	137	cultural - welfare	43	Lainson R and Strangways-Dixon J ‘Leishmania mexicana: the epidemiology of dermal leishaniasis in Brit Hond - i the human disease’ Transactions of the Royal Society of Tropical Medicine and Hygiene 57/4: 242-265 1963.						
	138	cultural - welfare	43	- ‘Leishmania mexicana: the epidemiology of dermal leihsaniasis in Brit Hond - ii reservoir-hosts of leishmania mexicanos among the forest rodents’ Transactions of the Royal Society of Tropical Medicine and Hygiene 58/2: 136-153 1964.						
	139	cultural - welfare	43	- ‘Dermal leishmaniasis in British Honduras-the parasite’ (Abstract) West Indian Medical Journal 11/2: 130 1962.						
	140	cultural - welfare	43	Losonczi E ‘Report on the BCG campaigns in Brit Hond’ West Indian Medical Journal 5/4: 271-283 Dec 1956.						
	141	cultural - welfare	43	- 'Social anthropology in health education with particular reference to nutrition’ West Indian Medical Journal 7/3: 206-210 Sept 1958.						
	142	cultural - welfare	43	Markowski B ‘Ruptured ectopic pregnancy analysis of 100 operated cases in Brit Hond Cent Amer’ West Indian Medical Journal 8/4: 229-234 Dec 1959.						
	143	cultural - welfare	43	Meisler Stanley ‘Meddling in Latin America dubious role of AFL-CIO’ Nation 198/7: 133-138 10 Feb 1964.						
	144	cultural - welfare	43	Orde-Browne Granville St John Labour conditions in the West Indies report by Major G St J Orde-Browne presented by the Secretary of State for the Colonies to Parliament by Command of His Majesty July 1939 Command Paper No 8070 London: HMSO 1939 216pp.						
	145	cultural - welfare	44	‘The Red Cross in Brit Hond’ British Red Cross Society Quarterly Review 41/1 Jan 1954.						
	146	cultural - welfare	44	A report on nutrition in the colony - Brit Hond Belize: Committee on Nutrition 1937 82pp.						
	147	cultural - welfare	44	Seay Vivian Compendium of living conditions and dietary statistics of the labouring classes in the town of Belize Brit Hond Belize 1938.						
	148	cultural - welfare	44	Shedd M ‘Death in this torrid zone’ North American Review 246: 360-371 Dec 1938.						
	149	cultural - welfare	44	Swayne Sir Eric JE ‘India and British Honduras’ Empire Club Speeches 1908-1909 edited by J Castell Hopkins Toronto: William Briggs 1910.						
	150	cultural - welfare	44	United Nations Economic and Social Council Allegations regarding infringements of trade union rights received under Council Resolution No 277(X) communications received from the General Workers Union of Brit Honduras (E/2333) 24 Feb 1953 5pp.						
	151	cultural - welfare	44	- British Honduras - Slavery report of the special reporter on slavery appointed under council resolution no 960 (XXXVI) General series (E/4065) 27 May 1965 259pp.						
	152	cultural - welfare	44	- British Honduras narcotic drugs (E/IT/1966) 12 April 1967.						
	153	cultural - welfare	44	- Commission on Human Rights British Honduras human rights (E/CN4/917) 24 Feb 1967 13pp.						
	154	cultural - welfare	44	United Nations International Children’s Emergency Fund British Hond environmental sanitation (E/ICEF/L601) 1965.						
	155	cultural - welfare	44	- British Honduras feeding maternal pre-school and school (E/ICEF/L1065) 17 July 1957 4pp.						
	156	cultural - welfare	44	- British Honduras malaria eradication (E/ICEF/L107) 7 Nov 1961 6pp.						
	157	cultural - welfare	44	- British Honduras malaria eradication (E/ICEF/L969) 25 Sept 1956 8pp.						
	158	cultural - welfare	45	- British Honduras malaria eradication (E/ICEF/L1083) 22 July 1957 5pp.						
	159	cultural - welfare	45	- British Honduras maternal and child welfare services and training (E/ICEF/L1006) 20 March 1957 14pp.						
	160	cultural - welfare	45	- British Honduras school and pre-school feeding (E/ICEF/L862) 10 Feb 1956 3pp.						
	161	cultural - welfare	45	- Insect control programs in Cent Amer (E/ICEF/L2) 18 Jan 1950.						
	162	cultural - welfare	45	- Recommendations for emergency relief Brit Hond relief (E/ICEF/L159) 7 Dec 1961.						
	163	cultural - welfare	45	- Recommendations of the executive director for an increase in the recommended allocation for Brit Hond malaria eradication (E/ICEP/L107) 7 Dec 1961.						
	164	cultural - welfare	45	US Dept of Commerce Foreign Commerce Bureau Living conditions in Brit Hond by Raymond R Riesgo Washington: US GPO Jan 1959 5pp.						
	165	cultural - welfare	45	‘Wages and working conditions in Brit Hond’ Monthly Labor Review 39: 983-985 Oct 1934.						
	166	cultural - welfare	45	Williams Paul ‘Phlebotomine sandflies and leishmaniasis in Brit Hond (Belize)’ Transactions of the Royal Society of Tropical Medicine and Hygiene 3: 317-364 1970.						
	167	cultural - welfare	45	Williams Paul Lewis DJ and Garnham PCC ‘On dermal leishmaniasis in Brit Hond’ Transations of the Royal Society of Tropical Medicine and Hygiene 59/1: 64-71 1965.						
	168	cultural - religion	45	Anglican Church Journal of the proceedings of the synod of the diocese of Brit Hond held in July 1940 Belize 1940 94pp.						
	169	cultural - religion	46	Arzu Candido Familia gunfuliti Belize: St John’s College 1965 16pp.						
	170	cultural - religion	46	Ashcroft Norman and Grant Cedric ‘Development and organisation of education in Brit Hond’ Comparative Education Review 12/12: 171-179 June 1968.						
	171	cultural - religion	46	Avila M and Martin F Jesusu irahii Belize: St John’s College 1965 12pp.						
	172	cultural - religion	46	Bradley Leo H A plan for public library development in Brit Hond during the period 1960-1964 Belize: Public Library Service 1959 22pp.						
	173	cultural - religion	46	- A plan for public library service in Brit Hond 1957-1960 Belize: Public Library Service 1956.						
	174	cultural - religion	46	Brindley JB Sketches of the Wesleyan mission in Brit Hond to commemorate the jubilee of Wesley Church Belize Belize: Clarion Press 1916.						
	175	cultural - religion	46	British Honduras Education Dept Report on elementary education Belize: Govt Printer 1922.						
	176	cultural - religion	46	Bury Herbert A bishop among bananas London: W Gardner Darton and Co 1911 236pp.						
	177	cultural - religion	46	Caiger Stephen L Honduras Ahoy! the church at work in Cent Amer London: SPG 1949 46pp.						
	178	cultural - religion	46	Cleghorn Robert A short history of Baptist missionary work in Brit Hond 1822-1939 London: Kingsgate Press 1939.						
	179	cultural - religion	46	Collins John H Most Reverend William A Rice SJ 1891-1946 Belize 1946 18pp.						
	180	cultural - religion	46	Constitutions and canon of the diocese of Brit Hond adopted in synod April 1920 with declarations and documents London 1921 79pp.						
	181	cultural - religion	46	Easter BH Report of an inquiry into the educational system of Brit Hond 1933-1934 Belize 1935 40pp.						
	182	cultural - religion	47	Ellis JB The diocese of Jamaica a short account of its history growth and organisation London: Society for Promoting Christian Knowledge 1913.						
	183	cultural - religion	47	‘Fifty years in Brit Hond’ Jesuit Bulletin 23/5: 1-15 1944.						
	184	cultural - religion	47	Gropp Arthur E Guide to libraries and archives of Great Britain colonies with information on private libraries bookbinding bookselling and printing New Orleans: Tulane Univ Press 1941 203pp.						
	185	cultural - religion	47	Hopkins FC ‘The Catholic church in Brit Hond 1851-1918’ Catholic History Review 4: 304 1918.						
	186	cultural - religion	47	McGloin Joseph I’ll Die laughing! Milwaukee: Bruce Publishing Co 1955 178pp.						
	187	cultural - religion	47	Nettleford Rex ‘Political education in the developing Caribbean’ Caribbean Quarterly 7/4: 203-212 April 1962.						
	188	cultural - religion	47	Pallottine Missionary Sisters Fiftey golden years 1913-1963 in Brit Hond Limburg Germany: Pallottine Fathers 1963 157pp.						
	189	cultural - religion	47	Roman Catholic Church Catholic schools in Brit Hond 1953 Belize: Angelus Press 1953 3pp.						
	190	cultural - religion	47	- Tropical battlegrounds 1851-1951 St Louis Missouri: Jesuit Mission Bureau 1951 20pp.						
	191	cultural - religion	47	Savage Ernest A The Libraries of Bermuda the Bahamas the British West Indies British Guiana British Honduras a report to the Carnegie Corporation of New York London: Library Assn 1934 102pp.						
	192	cultural - religion	47	Stochl John J English-Carib dictionary Belize: St John’s College 1951 131pp.						
	193	cultural - religion	47	- ed Lubeneri sielu furiegi lidan Garifuna (the door of heaven prayers in Carib) Belize: St John’s College 1951 40pp.						
	194	cultural - religion	48	United Nations International Children’s Emergency Fund British Hond education aid request 1967-1970 (E/ICEF/L845) 21 April 1967 3pp.						
	195	cultural - religion	48	- Brit Hond First request for vocational training aid (E/ICF/L308) 16 April 1963 4pp.						
	196	cultural - religion	48	United Nations International Labour Office Report to the government of Brit Hond on the development of vocational training (ILO/TAP/R2) 1962 22pp.						
	197	cultural - religion	48	Usher JP Memorial inscriptions and epitaphs in Brit Hond London: Cassell and Co 1907 63pp.						
	198	economic - forestry	57	Belice mapa moderno que muestra la localización de las concesiones otorgadas para cortes de madera y de pesca Guatemala: Secretaría de Relaciones Exteriores 1942.						
	199			Bolt A ‘Chicle - chewing gum from Brit Hon’ World Crops 13/2: 58-59 1961.						
	200			British Honduras Forestry Dept Forestry in British Honduras a statement prepared for the British Commonwealth Forestry Conference Australia and New Zealand 1957 Belize: Govt Printer 1956 18pp.						
	201			- The influence of modern trends in timber utilisation on silvicultural policy in Brit Hond paper prepared for the 5th British Empire Forestry Conference of Great Britain 						
	202									
	203									
	204									
	205									
	206									
	207									
	208									
	209									
	210									
	211									
