Table 1
Start	Type	Subtype	R Damage	u	y	L 1	U 1	Mult	u	y	L 2	U 2	Mult	u	y	L 3	U 3	Mult	u	y	L 4	U 4	Mult	u	y	Sum L	Sum U	Formula
1921	Biological	Outbreak				0	0	"1,586"	L	1792																"6,365"	"6,365"	Cost of medical care
1931	Technological	Fire																								0	0	Cost of houses + Cost of personal & household property
1931	Natural	Storm																								0	0	
1932	Technological	Fire	250000	U	1932																					"9,440,146"	"9,440,146"	
1939	Anthropological	Engagement																								0	0	
1950	Anthropological	Riot																								0	0	
1953	Technological	Fire	1000000	U	1953																					"19,375,281"	"19,375,281"	
1955	Natural	Storm																								0	0	
1961	Natural	Storm																								0	0	
1974	Natural	Storm																								0	0	
1978	Natural	Storm																								0	0	
1981	Anthropological	Riot																								0	0	
1986	Biological	Outbreak				0	0	"5,935"	L	1792																"23,818"	"23,818"	Cost of medical care
1998	Natural	Storm																								0	0	
2000	Natural	Storm																								0	0	
2001	Natural	Storm																								0	0	
2005	Natural	Storm																								0	0	
2008	Natural	Flooding																								0	0	
2008	Natural	Storm																								0	0	
2009	Biological	Outbreak																								0	0	
2010	Natural	Storm																								0	0	
2017	Anthropological	Wreck																								0	0	
2019	Biological	Outbreak																								0	0	
