Table 1
	Imports	Exports	Import unit	Export units	GDP	GDP units
1965	B34987986		BHD		40069930.0699301	USD
1966	B38761885	B19192693	BHD	BHD	44405594.4055944	USD
1967	B36951914	B17462062	BHD	BHD	47379310.3448276	USD
1968					44910179.6407186	USD
1969					47305389.2215569	USD
1970					53233532.9341317	USD
1971					59207317.0731707	USD
1972					66062500	USD
1973					78343558.2822086	USD
1974					103216374.269006	USD
1975					118066298.342541	USD
1976					96905829.5964126	USD
1977					117650000	USD
1978					136300000	USD
1979					151800000	USD
1980					197938222.429283	USD
1981					196089854.656347	USD
1982					182206326.985709	USD
1983					192103185.955321	USD
1984					214381949.019381	USD
1985					212643742.664706	USD
1986					231638320.535566	USD
1987					281082558.5859	USD
1988					320093360.27245	USD
1989					369133890.704745	USD
1990					412086445.492176	USD
1991					444720750	USD
1992					518239100	USD
1993					559858250	USD
1994					580863700	USD
1995					620140400	USD
1996					641383800	USD
1997					654314350	USD
1998					688992450	USD
1999					732750000	USD
2000					832050000	USD
2001					868350000	USD
2002					925050000	USD
2003					983500000	USD
2004					1051350000	USD
2005					1102050000	USD
2006					1210150000	USD
2007					1271600000	USD
2008					1351350000	USD
2009					1317300000	USD
2010					1377200000	USD
2011					1460800000	USD
2012					1522900000	USD
2013					1579400000	USD
2014					1662800000	USD
2015					1723800000	USD
2016					1775100000	USD
2017					1836600000	USD
2018					1871200000	USD
2019					1879613600	USD
2020						
