Table 1
Series F 0—170 / Public Finances.															
ID	NO	YR	REV	EXP	LOAN EXP	DEBT	CF	NOTE	REV	EXP	LOAN EXP	DEBT	CF	NOTE	
F 50	50	1850	" £	13,463 "	" £	13,844 "			CP 2127 p 215								
F 51	51	1851	" £	17,964 "	" £	13,622 "		" £	2,000 "	"CP 1693 p 38; 
CP 2127 p 215"	Debt termed “liabilities incurred” < 1852							
F 52	52	1852	" £	13,481 "	" £	18,543 "			CP 2127 p 215								
F 53	53	1853	" £	17,706 "	" £	17,384 "			CP 2127 p 215								
F 54	54	1854	" £	26,327 "	" £	19,376 "			CP 2127 p 215								
F 55	55	1855	" £	22,585 "	" £	21,511 "			CP 2441 p 121								
F 56	56	1856	" £	22,623 "	" £	26,236 "			CP 2741 p 131								
F 57	57	1857	" £	25,120 "	" £	26,469 "			CP 2741 p 131								
F 58	58	1858	" £	22,176 "	" £	20,544 "		" £	-  "	"CP 2711 p 4
CP 2841 p 13"								
F 59	59	1859	" £	22,982 "	" £	25,778 "			"CP 2841 p 13
CP 2841 p 13"	“Loan … [for] new bridge” taken up							
F 60	60	1860	" £	35,716 "			" £	-  "	CP 147								
F 61	61	1861	" £	35,757 "	" £	22,724 "		" £	-  "	CP 3165 p 6								
F 62	62	1862	" £	27,294 "	" £	32,175 "		" £	-  "	"C.2093
CP 4090 p 18"	"Exc loans raised, spent > 1862"							
F 63	63	1863	" £	27,898 "	" £	28,642 "		" £	5,625 "	C.2093	"Bullion, specie Imp Exp not specified"							
F 64	64	1864	" £	31,544 "	" £	28,365 "		" £	21,562 "	C.2093								
F 65	65	1865	" £	26,530 "	" £	35,614 "		" £	28,239 "	C.2093								
F 66	66	1866	" £	27,334 "	" £	31,094 "		" £	32,919 "	"C.2093
CP 3995 p 11"								
F 67	67	1867	" £	35,720 "	" £	32,644 "		" £	34,515 "	C.2093	Debt likely exc loans from HM Gov; CP 4090 p 18							
F 68	68	1868	" £	42,416 "	" £	39,720 "		" £	39,277 "	C.2093								
F 69	69	1869	" £	36,630 "	" £	30,404 "		" £	34,121 "	C.2093								
F 70	70	1870	" £	32,674 "	" £	26,220 "		" £	29,591 "	C.2093								
F 71	71	1871	" £	42,881 "	" £	25,454 "		" £	29,591 "	C.2093								
F 72	72	1872	" £	38,720 "	" £	29,350 "		" £	22,321 "	C.2093								
F 73	73	1873	" £	51,946 "	" £	34,407 "		" £	15,591 "	C.2093								
F 74	74	1874	" £	43,723 "	" £	40,063 "		" £	15,391 "	C.2093								
F 75	75	1875	" £	41,906 "	" £	40,839 "		" £	13,062 "	C.2093		" ""BZ$""	209,531 "	" ""BZ$""	204,197 "		" ""BZ$""	65,312 "	C.6160	"Rev, Exp exc loans raised and repaid"	
F 76	76	1876	" £	40,231 "	" £	36,615 "		" £	5,041 "	C.2093		" ""BZ$""	213,193 "	" ""BZ$""	194,035 "		" ""BZ$""	26,711 "	C.6160		
F 77	77	1877							" ""BZ$""	220,387 "	" ""BZ$""	211,595 "		" ""BZ$""	26,711 "	C.6160		
F 78	78	1878							" ""BZ$""	204,836 "	" ""BZ$""	259,314 "		" ""BZ$""	22,893 "	C.6160		
F 79	79	1879							" ""BZ$""	204,650 "	" ""BZ$""	257,305 "		" ""BZ$""	5,636 "	C.6160		
F 80	80	1880							" ""BZ$""	219,423 "	" ""BZ$""	312,770 "		" ""BZ$""	-  "	"C.6160
C.3094 p 39"		
F 81	81	1881							" ""BZ$""	221,492 "	" ""BZ$""	206,623 "		" ""BZ$""	-  "	"C.6160
C.3388 p 61"		
F 82	82	1882							" ""BZ$""	235,411 "	" ""BZ$""	225,847 "			C.6160		
F 83	83	1883							" ""BZ$""	259,417 "	" ""BZ$""	199,598 "		" ""BZ$""	-  "	"C.6160
C.4193"		
F 84	84	1884							" ""BZ$""	257,373 "	" ""BZ$""	265,899 "			C.6160		
F 85	85	1885							" ""BZ$""	261,227 "	" ""BZ$""	316,175 "	" ""BZ$""	61,162 "		"C.6160
Cd.307"		
F 86	86	1886							" ""BZ$""	271,810 "	" ""BZ$""	312,775 "		" ""BZ$""	55,749 "	"C.6160
Cd.307"		
F 87	87	1887							" ""BZ$""	280,142 "	" ""BZ$""	294,295 "		" ""BZ$""	55,749 "	"C.6160
Cd.307"		
F 88	88	1888							" ""BZ$""	381,118 "	" ""BZ$""	364,266 "	" ""BZ$""	62,234 "	" ""BZ$""	146,996 "	"C.6160
Cd.307"		
F 89	89	1889							" ""BZ$""	442,537 "	" ""BZ$""	381,162 "	" ""BZ$""	11,212 "	" ""BZ$""	146,996 "	"C.6160
Cd.307"		
F 90	90	1890							" ""BZ$""	332,134 "	" ""BZ$""	293,507 "	" ""BZ$""	50,945 "	" ""BZ$""	114,130 "	Cd.307		
F 91	91	1891							" ""BZ$""	478,252 "	" ""BZ$""	412,170 "	" ""BZ$""	53,572 "	" ""BZ$""	154,780 "	Cd.307		
F 92	92	1892							" ""BZ$""	392,197 "	" ""BZ$""	386,391 "	" ""BZ$""	46,403 "	" ""BZ$""	143,974 "	Cd.307		
F 93	93	1893							" ""BZ$""	313,191 "	" ""BZ$""	379,155 "	" ""BZ$""	30,269 "	" ""BZ$""	272,758 "	Cd.307		
F 94	94	1894							" ""BZ$""	174,741 "	" ""BZ$""	206,043 "	" ""BZ$""	10,641 "	" ""BZ$""	158,845 "	Cd.307		
F 95	95	1895							" ""BZ$""	224,398 "	" ""BZ$""	258,540 "	" ""BZ$""	9,589 "	" ""BZ$""	158,845 "	Cd.307		
F 96	96	1896							" ""BZ$""	294,218 "	" ""BZ$""	253,414 "	" ""BZ$""	521 "	" ""BZ$""	158,845 "	Cd.307		
F 97	97	1897							" ""BZ$""	295,471 "	" ""BZ$""	300,515 "	" ""BZ$""	3,398 "	" ""BZ$""	158,845 "	Cd.307		
F 98	98	1898							" ""BZ$""	258,710 "	" ""BZ$""	283,876 "		" ""BZ$""	158,995 "	Cd.7165		
F 99	99	1899							" ""BZ$""	235,888 "	" ""BZ$""	247,144 "		" ""BZ$""	158,995 "	Cd.7165		
F 100	100	1900							" ""BZ$""	272,872 "	" ""BZ$""	231,878 "		" ""BZ$""	158,995 "	Cd.7165	"Rev, Exp, Exp Ln > 1900 given for fin yr ended following yr"	
F 101	101	1901							" ""BZ$""	256,051 "	" ""BZ$""	241,720 "		" ""BZ$""	158,995 "	Cd.7165		
F 102	102	1902							" ""BZ$""	244,251 "	" ""BZ$""	237,330 "		" ""BZ$""	158,995 "	Cd.7165		
F 103	103	1903							" ""BZ$""	283,386 "	" ""BZ$""	250,311 "		" ""BZ$""	158,995 "	Cd.7165		
F 104	104	1904							" ""BZ$""	291,474 "	" ""BZ$""	265,572 "		" ""BZ$""	158,995 "	Cd.7165		
F 105	105	1905							" ""BZ$""	312,475 "	" ""BZ$""	282,594 "		" ""BZ$""	158,995 "	Cd.7165		
F 106	106	1906							" ""BZ$""	368,692 "	" ""BZ$""	297,209 "	" ""BZ$""	5,227 "	" ""BZ$""	158,995 "	Cd.7165		
F 107	107	1907							" ""BZ$""	371,818 "	" ""BZ$""	317,921 "	" ""BZ$""	168,218 "	" ""BZ$""	158,995 "	Cd.7165		
F 108	108	1908							" ""BZ$""	339,576 "	" ""BZ$""	316,603 "	" ""BZ$""	187,690 "	" ""BZ$""	158,995 "	Cd.7165		
F 109	109	1909							" ""BZ$""	372,450 "	" ""BZ$""	405,292 "	" ""BZ$""	151,823 "	" ""BZ$""	158,995 "	Cmd. 2738		
F 110	110	1910							" ""BZ$""	432,142 "	" ""BZ$""	461,029 "	" ""BZ$""	49,691 "	" ""BZ$""	158,995 "	Cmd. 2738		
F 111	111	1911							" ""BZ$""	468,851 "	" ""BZ$""	413,773 "	" ""BZ$""	86,890 "	" ""BZ$""	891,354 "	Cmd. 2738		
F 112	112	1912							" ""BZ$""	508,728 "	" ""BZ$""	456,108 "	" ""BZ$""	118,889 "	" ""BZ$""	891,354 "	Cmd. 2738		
F 113	113	1913							" ""BZ$""	539,881 "	" ""BZ$""	485,847 "	" ""BZ$""	87,563 "	" ""BZ$""	891,354 "	Cmd. 2738		
F 114	114	1914							" ""BZ$""	474,271 "	" ""BZ$""	517,553 "	" ""BZ$""	44,134 "	" ""BZ$""	891,354 "	Cmd. 2738		
F 115	115	1915							" ""BZ$""	486,309 "	" ""BZ$""	505,790 "	" ""BZ$""	1,488 "	" ""BZ$""	891,354 "	Cmd. 2738		
F 116	116	1916							" ""BZ$""	602,237 "	" ""BZ$""	577,140 "	" ""BZ$""	362 "	" ""BZ$""	823,079 "	Cmd. 2738		
F 117	117	1917							" ""BZ$""	636,246 "	" ""BZ$""	635,367 "	" ""BZ$""	481 "	" ""BZ$""	823,079 "	Cmd. 2738		
F 118	118	1918							" ""BZ$""	678,590 "	" ""BZ$""	631,083 "	" ""BZ$""	2,504 "	" ""BZ$""	823,079 "	Cmd. 2738		
F 119	119	1919							" ""BZ$""	1,002,622 "	" ""BZ$""	923,770 "	" ""BZ$""	1,007 "	" ""BZ$""	823,079 "	Cmd. 2738		
F 120	120	1920							" ""BZ$""	1,063,128 "	" ""BZ$""	873,901 "	" ""BZ$""	39,557 "	" ""BZ$""	823,079 "	Cmd. 2738		
F 121	121	1921							" ""BZ$""	1,039,862 "	" ""BZ$""	1,327,372 "	" ""BZ$""	132,273 "	" ""BZ$""	625,997 "	Cmd. 2738		
F 122	122	1922							" ""BZ$""	1,070,273 "	" ""BZ$""	1,033,944 "	" ""BZ$""	197,311 "	" ""BZ$""	793,099 "	Cmd. 3434		
F 123	123	1923							" ""BZ$""	1,028,520 "	" ""BZ$""	1,132,084 "	" ""BZ$""	262,413 "	" ""BZ$""	701,645 "	Cmd. 3434		
F 124	124	1924							" ""BZ$""	883,453 "	" ""BZ$""	866,545 "	" ""BZ$""	127,426 "	" ""BZ$""	701,645 "	Cmd. 3434		
F 125	125	1925							" ""BZ$""	937,382 "	" ""BZ$""	913,073 "	" ""BZ$""	35,519 "	" ""BZ$""	701,645 "	Cmd. 3434		
F 126	126	1926							" ""BZ$""	1,050,426 "	" ""BZ$""	978,976 "	" ""BZ$""	66,933 "	" ""BZ$""	701,645 "	Cmd. 3434		
F 127	127	1927							" ""BZ$""	1,005,057 "	" ""BZ$""	1,046,334 "	" ""BZ$""	65,326 "	" ""BZ$""	701,645 "	Cmd. 3434		
F 128	128	1928							" ""BZ$""	979,530 "	" ""BZ$""	984,107 "	" ""BZ$""	32,041 "	" ""BZ$""	1,661,538 "	Cmd. 5298		
F 129	129	1929							" ""BZ$""	974,952 "	" ""BZ$""	961,221 "	" ""BZ$""	4,577 "	" ""BZ$""	1,757,661 "	Cmd. 5298		
F 130	130	1930							" ""BZ$""	1,093,961 "	" ""BZ$""	1,020,725 "	" ""BZ$""	4,577 "	" ""BZ$""	1,757,661 "	Cmd. 5298		
F 131	131	1931							" ""BZ$""	823,903 "	" ""BZ$""	974,952 "	" ""BZ$""	9,154 "	" ""BZ$""	1,757,661 "	Cmd. 5298		
F 132	132	1932							" ""BZ$""	842,212 "	" ""BZ$""	883,408 "	" ""BZ$""	567,578 "	" ""BZ$""	2,444,247 "	Cmd. 5298		
F 133	133	1933							" ""BZ$""	993,261 "	" ""BZ$""	901,716 "	" ""BZ$""	425,683 "	" ""BZ$""	2,540,369 "	Cmd. 5298		
F 134	134	1934							" ""BZ$""	590,464 "	" ""BZ$""	768,976 "	" ""BZ$""	32,041 "	" ""BZ$""	2,810,426 "	Cmd. 5298	"Rev, Exp, Exp Ln, Debt exc last Q of fin yr"	
F 135	135	1935							" ""BZ$""	1,277,050 "	" ""BZ$""	1,272,473 "		" ""BZ$""	2,920,280 "	Cmd. 5298		
F 136	136	1936													
F 137	137	1937							" ""BZ$""	1,551,160 "	" ""BZ$""	1,531,400 "			Cmd. 7167	All figs for calendar years	
F 138	138	1938							" ""BZ$""	1,740,840 "	" ""BZ$""	1,872,870 "		" ""BZ$""	3,080,198 "	"Cmd. 7167
Cmd. 6607"	"Rev, Exp inc Exp Ln"	
F 139	139	1939							" ""BZ$""	1,966,860 "	" ""BZ$""	1,966,860 "			Cmd. 7167		
F 140	140	1940							" ""BZ$""	1,757,080 "	" ""BZ$""	1,684,540 "			Cmd. 7167		
F 141	141	1941							" ""BZ$""	1,575,730 "	" ""BZ$""	1,523,340 "			Cmd. 7167		
F 142	142	1942							" ""BZ$""	1,648,270 "	" ""BZ$""	1,636,180 "			Cmd. 7167		
F 143	143	1943							" ""BZ$""	1,877,980 "	" ""BZ$""	1,837,680 "			Cmd. 7167		
F 144	144	1944							" ""BZ$""	2,510,690 "	" ""BZ$""	2,462,330 "			Cmd. 7167		
F 145	145	1945							" ""BZ$""	2,506,660 "	" ""BZ$""	2,530,840 "			Cmd. 7167		
F 146	146	1946							" ""BZ$""	2,498,600 "	" ""BZ$""	2,635,620 "			Cmd. 7167		
F 147	147	1947							" ""BZ$""	2,505,798 "	" ""BZ$""	2,909,985 "			Col Rep 49	All figs for calendar years	
F 148	148	1948							" ""BZ$""	2,579,713 "	" ""BZ$""	3,394,916 "			Col Rep 49		
F 149	149	1949							" ""BZ$""	2,387,242 "	" ""BZ$""	3,847,374 "		" ""BZ$""	1,160,503 "	Col Rep 49		
F 150	150	1950							" ""BZ$""	5,360,473 "	" ""BZ$""	5,415,752 "			Col Rep 52		
F 151	151	1951							" ""BZ$""	4,883,952 "	" ""BZ$""	4,441,305 "			Col Rep 52		
F 152	152	1952							" ""BZ$""	4,921,202 "	" ""BZ$""	4,907,330 "		" ""BZ$""	1,489,718 "	Col Rep 52		
F 153	153	1953							" ""BZ$""	5,768,045 "	" ""BZ$""	5,528,355 "		" ""BZ$""	1,917,423 "	Col Rep 54		
F 154	154	1954							" ""BZ$""	5,330,232 "	" ""BZ$""	5,339,679 "		" ""BZ$""	2,121,512 "	Col Rep 54		
F 155	155	1955							" ""BZ$""	5,393,791 "	" ""BZ$""	5,694,732 "			Col Rep 56		
F 156	156	1956							" ""BZ$""	6,726,936 "	" ""BZ$""	6,702,208 "		" ""BZ$""	3,071,849 "	Col Rep 56		
F 157	157	1957							" ""BZ$""	8,691,319 "	" ""BZ$""	8,002,687 "			Col Rep 58		
F 158	158	1958							" ""BZ$""	8,776,448 "	" ""BZ$""	9,262,267 "		" ""BZ$""	4,177,868 "	Col Rep 58		
F 159	159	1959							" ""BZ$""	10,372,232 "	" ""BZ$""	10,401,434 "			Col Rep 59-61		
F 160	160	1960							" ""BZ$""	8,491,468 "	" ""BZ$""	9,365,721 "			Col Rep 59-61		
F 161	161	1961							" ""BZ$""	10,491,393 "	" ""BZ$""	9,316,775 "		" ""BZ$""	4,617,755 "	Col Rep 59-61		
F 162	162	1962							" ""BZ$""	12,247,205 "	" ""BZ$""	11,958,069 "			Col Rep 62-63		
F 163	163	1963							" ""BZ$""	9,676,856 "	" ""BZ$""	17,219,056 "		" ""BZ$""	4,519,847 "	Col Rep 62-63		
F 164	164	1964							" ""BZ$""	14,854,882 "	" ""BZ$""	12,676,880 "			Col Rep 64-65		
F 165	165	1965							" ""BZ$""	13,507,261 "	" ""BZ$""	13,507,637 "		" ""BZ$""	6,585,272 "	Col Rep 64-65		
F 166	166	1966							" ""BZ$""	13,920,268 "	" ""BZ$""	15,661,783 "			Col Rep 66-67		
F 167	167	1967							" ""BZ$""	16,918,861 "	" ""BZ$""	15,480,044 "		" ""BZ$""	7,513,862 "	Col Rep 66-67		
F 168	168	1968													
F 169	169	1969													
F 170	170	1970													
															
Caption															
