E 1—320 / Events.
ID	NO	TYPE	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
E 		O		27 January 1624	30 March 1624	Bernardo Casanova commissions Camal to capture Ah Kin Pol 	"Capt. Juan Bernardo Casanova heads to Sacalum to aid Mirones y Lezcano, and on finding these murdered, Capt. Casanova and Capt. Méndez de Canzo garrison Sp soldiers in Ma towns and commission Ma at Oxkutzcab to track down priest Ah Kin Pol near Sacalum, which they do"	"Mani, Sacalum [Chanchanha?], Oxkutzcab, Mani, Tekax"	Capt Juan Bernardo Casanova / Fray Juan Fernández / Sergeant Major Juan de Honorato / Alonso Martínez / Juan Lucero / Capt Antonio Méndez de Canzo	Cacique of Oxkutzcab Fernando Camal / 150 Oxkutzcab Ma residents									"MEXICO,246 [Méritos y servicios de Juan Bernardo Casanova, 1627]
MEXICO,145 [Petition by Francisco Camul, 1624]
Maya R
Cogolludo, lib 10, cap 2—3"	Jones 1 p180		
E 5	5	O		1 March 1624	28 February 1625	WIC Schouten Expedition	"Heeren XIX of West India Company send Pieter Schouten to reconnoitre and raid Sp, who surveys Main and islands, and sacks and destroys Ma hamlets"	"Silán, Sisal"		GWC / Pieter Schouten 3 Ships									"Old WIC, 1.05.01.01, 1
Laet/Naber, v 1, 36 ff
Wassenaer, v 7, 154-55"	Goslinga p152-3		
E 6	6	O		1 January 1625	31 December 1625	Hakluytus Posthumus	Samuel Purchas publishes Hakluytus Posthumus	London											xxx	Offen 11 p19	"Colin Steele has shown that this publication marked a definitive turning point from an old to new world focus among the Hakluyt-Purchas corpus, and presented a more comprehensive picture of the Americas in English than had been previously possi- ble. The work was especially strong in natural history and geography, and Steele shows that its timing clearly reflected declining relations with Spain. /Offen 11 p19, referencing Steele, Colin R. “Latin America”. In The Purchas Handbook: Studies of the Life and Writings of Samuel Purchas, 1577-1626, edited by L. E. Pennington, Vol. I, 301-11. London: The Hakluyt Society, 1997. 
"	
E 		O		1 January 1627	30 December 1630	Locust famine in N Yuc	"Locust infestations cause four consecutive harvests to fail, leading to widespread famine in N Yuc, and Ma flight from towns"	"N Yuc, Merida"											Cogolludo lib 10 cap 17	Jones 1 p197	"The Indians were f orced by necessity to abandon their towns, going to others that had not suffered such a shortge, and most to the forests in search of roots and wild fruits. Many died in them—most unfortunate of all, without sacraments. Many were left dead along the roads due to starvation. Everything was in a state of confusion because the living did not know for certain where they [the dead] were. /Jones 1 /Cogolludo [tanslated]"	
E 7	7	O		22 January 1627	5 September 1627	WIC Lucifer Expedition	Hendrick Jacobszoon Lucifer of GWC takes some ships of Sp Hon fotilla	"Vlissingen, Oyapock R, Cabo de la Vela, Rio de la Hacha, Île-à-Vache, Jamaica, Cayman, Cabo de San Antonio, Straits of Florida"		GWC / Hendrick Jacobszoon Lucifer / Jan Pieterszoon / Galeyn van Stapels / 3 Ships / later joined by 2 Yachts									"Wright/van Dam, v 1, p101-3, 171 [Cristóbal Aranda to Crown a 16 jul 1627 / Report by Tomás de Larraspuru 10 nov 1627, and of president of Council of Indies, Madrid, 22 nov 1627]
BL Add MS 36322"	"Goslinga p170-171
Laet portugues 154-162"	"Location /via Juiz de Fora 2012 p51
Location should include Comaribo, near or on Oyapock R /via Laet portugues 155

Wright/van Dam = Irene A. Wright, Cornelis F. A. van Dam, Nederlandsche zeevaarders op de eilanden in de Caraïbische Zee ..., Utrecht 1934–35, 2 vols"	
E 8	8	O		15 March 1628	30 September 1628	WIC Ita Expedition	WIC send Pieter Adriaenszoon Ita against Sp	"Cape Tiburon, Cape San Antonio, Dry Tortugas, Havanna"	Gov of Havanna Lorenzo de Cabrera / Commander Alvaro de la Cerda / 2 Gall	GWC / Pieter Adriaenszoon Ita / Galeyn von Stapels / 12 Ships									"Laet/Naber, v 2, 34-39
BL Add MS 36322"	Goslinga p174-175	"Galeyn von Stapels captains Fortuin with colonists for Tobago /via Wiki for Ita

The ships of this [Ita's] fleet, spread all over the Caribbean, gathered on the orders of the admiral at a renezvous situated at Cape Tiburón /via Goslinga 174 /xxx"	
E 10	10	O		1 January 1630	31 December 1630	Eng settle Tortuga	"Anthony Hilton of St. Christophers takes colonists to settle Tortuga, thereafter joined to Prov Co"	"St. Kitts, Tortuga"		Capt. Anthony Hilton / Capt. Christopher Wormely / Capt. Richard Bragg / Robert Wormely / Samuel Filby									"BL Egerton MS 2395 ff 503-xxx
BL Sloane MS 973
CSPD [17 Jun 1631]"	"Harlow x
Newton 103"	"it was hoped that a large revenue would be derived from the export of the dye-woods growing in the forests that covered the island [Tortuga] ... Among the most important of these dyes were the red dyes derived from the various woods, known as logwood, Brazil or braziletta wood, and Campeachy wood, the best qualities of which grew on the shores of Yucatan /Newton 107

the difficulties with which the colony of Association had to contend form the begining were due to the cutting of wood by interlopers [eg French, Dutch in late 1631 /Newton 109] with the connivance of the company's officers /Newton 108

[Hilton] had been consigning brazilwood wholesale to one Ashman, a merchant of the WIC, at Middleburg [min since 1634] /Newton 212
about 150 persons settled on Tortuga /via Haring 59 /CSPC I [May 1631 -- May 19. Warwick House.]

From a report to the Prov Co of a Dutch shipmaster, Richard Evertsen, ... we learn that the settlement then [late 1634] had 150 regular inhabitants, but there was such a large admixture of Frenchmen among these that the Spaniards took it for a French settlement /Newton 192"	
E 9	9	O		1 March 1630	30 March 1631	Flight from Xibun and Soite	"Mayas rebel against Sp authority and desert Xibun and Soite hamlets in favour of forests, whereupon regidor and alférez Cristóbal Sánchez reduces them to their former towns, with help from Ma residents of Zacatan"	"Bacalar, Xibun, Soite, Zacatan [Ma town]"	Regidor and alférez Cristóbal Sánchez / Alcalde ordinario of Bacalar Capt. Bartolomé Palomino / Alcalde of Zacatan Andrés Canul	Cacique of Soite Gaspar Chan / Alcalde of Soite Francisco Ek									"AGN Mex, Historia, 410, f 223v
BL Egerton MS 1791 ff 53-54v
xxx [Petición de Cristóbal Sánchez, 1631]"	"Gerhard 72
Jones 1 p199"	"At mid-century the country south of Río Hondo was practically deserted /via Gerhard 72 /xxx

Shortly before the Spanish withdrawal [fm Bacalar in 1650s], in 1639, there were still nineteen [Ma] village sites up to fifty leagues from Bacalar, although we are told that their inhabitants had recently fled to the Itzá country. /via Gerhard 73 /Egerton MS"	
E 11	11	O		1 May 1630	25 September 1630	WIC Booneter Expedition	Jan Gijsbertszoon Booneter of GWC takes some ships of Sp Hon flotilla	"St. Vincent, Cape Tiburon, Havana, Cape San Antonio, Dry Tortugas, Florida Straits, Bahamas, île-à-Vache, Bay of Hon"		GWC / Jan Gijsbertszoon Booneter / Jonathan de Neckere / Cornelis Corneliszoon Jol / 8 Ships / later joins fleet of Pieter Adiraenszoon Ita									"States-General, 1.01.02, 5752 [13 Jun 1630]
Old WIC, 1.05.01.01, 21 [4 Jun 1630, 8 Jan, 13 Feb 1631]
Old WIC, 1.05.01.01, 2 [2 Sep 1630]
Laet/Naber, v 2, 173"	Goslinga 217-224	"Inc CC Jol voyage fm Colombia to Yuc, close to Main [reconnoitring?] /via Goslinga xxx

Booneter and Ita thus roamed the Caribbean, each following the traditional procedure of dividing their fleets into several units in order to operate more effectively /via Goslinga 217 /xxx"	
E 12	12	O		4 December 1630	4 December 1630	Prov Co chartered	Prov Co incorporated by letters patent under Great Seal of England	London		Oliver St. John									CSPD Car I vol 187 no 46	Newton 86		
E 13	13	O		1 December 1631	28 February 1632	Capt. Elfrith entertains Diego el Mulato	"Prov Co condemns Capt. Daniel Elfrith for entertaining Diego el Mulato at Prov, against Prov Co or War Council [of Prov] advice"	Prov		Diego el Mulato / Capt. Daniel Elfrith									CSPC 1 [May 1632 -- 10 May.]		"[Prov Co] Condemn his indiscretion in too freely entertaining ""a Mulletto, as you call him"" in the island, against advice of Council, and in taking a Spanish frigate; but in consideration of his good services, are content not to take notice of former errors. /CSPC 1"	
E 14	14	O		14 June 1632	1 September 1632	WIC Stapels Survey	"GWC sends Galeyn von Stapels to survey Yuc coast on Gulf of Mexico, and he thereafter raids and burns Sisal"	"Bonaire, Île-à-Vache, Cayman, Cape Catoche, Sisal, Campeche, Havanah"		GWC / Galeyn von Stapels / 2 Yachts 1 Sloop									"Old WIC, 1.05.01.01, 45 [14 Jun 1632]
Old WIC, 1.05.01.01, 50, 51"	"Goslinga p225-228
Laet portugues 357-258"	"Reached Bonaire in Jul, Sacked Sisal after this
Remove? Does not survey Hon"	
E 15	15	O		1 October 1632	30 December 1634	Hunter Expedition	"English privateers, under letters of marque from Prince of Orange against Sp, cruise Mona and Windward passages"	"Rotterdam, Dover, Canary Islands, Tortuga, Mona Passage, Windward Passage, Rotterdam"		Capt. Powell / Thomas Newman / Gov of Tortuga Anthony Hilton									"CSPD Car I vol 282 no 89, 90"	Newton 153-154		
E 16	16	O		1 January 1633	31 December 1633	Eng logging at Tortuga	First export of “braziletto” [unknown dyewood] by Eng under Capt. Anthony Hilton from Tortuga = Association to France	Tortuga		Capt. Anthony Hilton / Neg slaves / Agent of Prov or Tort in France Abraham Chamberlain									"CO 124/1 [18 Feb, 10 Apr, 1 Jul 1633 / 14 Feb, 13, 19 Jun, 18 Jul 1634 / 5, 9 Mar 1635]"	"Offen 00 p122 = Kupperman 310, 167 / Newton 152, 289"	"Logwood introduced to Tortuga until 1929, whereas brazil wood not endemic to it, and likely not introduced [given 1990s distribution of brazil wood restricted to its endemic range] /McJunkin 217, 245

Exp to Canary Islands 1648–58? /LRS 21 Link: https://www.british-history.ac.uk/london-record-soc/vol21"	
E 17	17	O		26 April 1633	18 September 1633	WIC Hoorn Expedition	"GWC sends Jan Janszoon van Hoorn to sack Trujillo, though he finds the town abandoned, and thereafter proceeds to Campeche to raid San Francisco"	"Pernambuco, Barbados, Puerto Rico, île-à-Vache, Cayman, Trujillo, Cozumel, Campeche, Straits of Florida"		GWC / Jan Janszoon van Hoorn / 4 Ships 3 Yachts 3 Sloops 518 sailors 420 soldiers									"Old WIC, 1.05.01.01, 2 [3 Nov 1632]
Laet/Naber, v 3, 187-96
Duro, v 4, 115-16
MEXICO,360 ff 1r—v — a 16 ago 1634"	"Goslinga p226
Laet portugues 407-413
Baudot p29 n15"	"Also raids San Francisco in Bay of Campeche, partly in order to make Maya allies per AGI item
“No dia 21, zarparam dalli [Trujillo] ... e tiveram tempo borrascoco. / No dia 25, avistaram a ilha Cozumel; é baixa e plana, de sorte que não pode ser vista de longe. / ... a corrente vae com força para o norte” /via Laet portugues 410"	
E 18	18	O		1 July 1633	30 December 1635	Providence Trade Expedition	"Gov of Prov Sussex Camock, Capt. Samuel Axe, Nathaniel Goodman, Abraham Blauvelt and 50 men set out from Prov to mainland to secure trade, thereafter establishing alliance with Miskito"	"Prov, Cape Gracias a Dios"		Gov of Prov Sussex Camock / Capt. Samuel Axe / Nathaniel Goodman / Abraham Blauvelt / 50 men									"CO 124/1 [10 May 1632 / 10 Apr, 1 Jul 1633 / Prov Co to Gov and Council by the Long Robert Sep 1634 / Prov Co to Bell by the Expectation Feb or Mar 1635]
CO 124/2 [22 May 1633, 24 Dec 1634]
Egerton MS 2646 f 58"	"Kupperman p95-8 n45-51, p100-4
Offen 11"	"Records of survey notes of Expedition, which apparently split into separate groups, likely not extant /via Kupperman p100"	
E 19	19	O		1 December 1634	28 February 1635	Sp Capture of Tortuga	San Domingo military expedition against Tortuga	"San Domingo, Tortuga"	Ruiz Fernandez de Fuemayor / 250 soldiers	Gov of Tortuga Christopher Wormely / ship William and Anne									"Add MS 13977 ff 505-xxx
CPSC I p200-201"	"Newton 192
Haring 60
Duro V p35 [?]
Harlow x"	"According to the Sp acct some 600 men, women, and children had been found present [Jan 1635] in the settlement and in the ships in the harbour /Newton 193

according to the Spaniards' account, there were in Tortuga 600 men bearing arms, besides slaves, women and children /Haring 61
70 Eng prisoners taken /Haring 61"	
E 20	20	O		1 January 1635	30 December 1635	Eng Bu settled at Cape Samana	Eng buccaneers settle at Samana	Cape Samana											Add MS 13977 f 508	Haring fn 110	"A Spaniard, writing from S. Domingo in 1635, complains of an English buccaneer settlement at [Cape] Samana ... where they grew tobacco, and preyed on the ships sailing from Cartagena and S. Domingo for Spain. /via Haring /Add MS 13977"	
E 21	21	Dup		1 January 1635	30 January 1635	Sp campaign against Tortuga	Don Fernandez de Fuemayor leads Sp bloody campaign against Tortuga	"San Domingo, Tortuga"	Fernandez de Fuemayor										xxx	Harlow x		
E 22	22	Dup		1 February 1635	31 December 1635	Prov Co privateering	Prov Island Co. authorised to issue letters of marquee against Sp to British captains	London											"CO 124/2 f 240
CO 1/8, No. 86, ff 222-223"	Offen 11 p23		
E 23	23	O		1 April 1635	30 June 1635	Eng fail to resettle Tortuga	"Tortuga replanted under Capt. Nicholas Reskeimer as Governor, who thereafter dies"	Tortuga		Capt. Nicholas Reskeimer / Ship Expectation / 80 Eng men									"BL Add MS 13977 f 222-223, 226-227, 235"	"Newton 212
Haring 61"	"there were then [late 1635] some 80 English in the settlement [Tortuga], besides 150 negroes /via Haring 62 /Add MS 13977"	
E 24	24	O		2 July 1635	9 July 1635	Capture of Providence	"Cartagena military expedition against Providence, shortly repulsed"	"Cartagena, Prov"	Gov of Cartagena Nicolas de Judice / 3 ships / 4 shallops / 1 boat / 300 soldiers	Gov of Prov Philip Bell / Samuel Axe									"81 CSPC 1
83 CSPC 1
CSPD Car I vol 307 no 19"	Newton 196	"Memorial in the handwriting of Secretary Sir John Coke, concerning the Isle of Providence ... [There are] About 500 able persons, and 30 or 40 women [late 1635 likely] /83 CSPC 1"	
E 25	25	O		22 January 1636	22 January 1636	Armada de Barlovento established	"Sp Crown establishes permanent squadron, to be based in Veracruz, to defend against piracy, foreign settlements on mainland, and to escort Veracruz—Havana treasure fleets"	"Madrid, Veracruz [Mexico]"											"INDIFERENTE,451,L.A8 porción 1 ff 141v—144r (128v—131r) — a 26 jun 1624
DIVERSOS-COLECCIONES,32,N.5
MEXICO,35,N.2
MEXICO,360,R.5,N.31"	Lang 576	"Or rather 1598 /via Zahedieh 3 p166 no 86 /citing Hussey, 292, 293, 296, 297

These problems [eg being absent from the Caribbean during half the year] were very apparent during the first phase of deployment [of the Armada] in the 1640s and where to plague Barlovento during the remainder of its precarious existence /Lang 582"	
E 26	26	O		29 January 1636	29 January 1636	Prov Co privateering	"King grants, by word of mouth before Judge of Admiralty, Prov Co freedom to undertake reprisals against Spanish"	London		King Charles I / Judge of Admiralty Sir Henry Martin / Treasurer of Prov Co John Pym									"CSPC 1 [January 1636 -- Janu. 29.]
CO 124/2 f 240
CO 1/8, No. 86, ff 222-223"	"Newton 207
Offen 11 p23"		
E 27	27	O		19 March 1636	19 March 1636	Prov privateers impress Sp pilots	Prov Co orders Capt. Rous in craft Blessing to impress Sp pilot	"London, Prov"		Capt. Rous									"CO 124/2 ff 94v, 186-187, 262"	Offen 11 p32	"After 1636, when [Prov] company thoughts turned to privateering, they consistently ordered the capture of good Spanish pilots. For example, Captain Rous was given instructions to procure Spanish pilots for ""the Bay of Nicorago, or the Bay of Hondura, Terri fima or of ye Maine Continent."" /via Offen 11 p32"	
E 28	28		Hos 13	1 April 1636	12 May 1636	Miskito Expedition	"Buccaneers or privateers, with Miskito allies, attempt to march on Trujillo from Mosquito Shore, but fall ill and abandon the plan, after which some roam about the Bay Islands"	"Mosquito Shore, Trujillo, Guanaja, Mosquito Islands"	Gov of Sp Hon Pedro Carrillo de Sayas / Alcalde ordinario of Tru Hernando Sarco / Capt. Andrés de Rodavallo	60 Eng 100 Mis allies / later Capt. “Nacre” / 1 Frig 25 t 30 Eng men		over 30 [SOURCE?]	"2 Neg former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, imprisoned / 1 Sp pilot impressed [possibly]"		1 Sp craft / later escaped				"GUATEMALA,16,R.2,N.13 f 1r-10r"	"Cardona Amaya p111, 24-6"	"“ordeno y mando @ne atento en el puerto de dicha ciudad [Truxillo] se hallan de Pressente tres Ffragatas las quales no son ni pueden ser de provecho ninguno en dicho Puerto antes de Daño y estorvo, y por estar la una de ellas cargada de caxones mandava se hiziessen a la vela y se bayan al puerto de matique las dos dellas que estan de vassio luego de camino, y la cargada @ntebaya primero a poner en guarda sus caxones como se le esta mandado al puerto ante llaman ffrances en la ysla de Ruatan en el qual otras muchas besses se an guardado y amparado en semejantes ocaciones” /GUATEMALA,16,R.2,N.13 f 3v, and see also “la Real Audiencia tomaría [a 5 jul 1639] varias resoluciones para asegurar la defense de su distrito [Sp Hon] ... [eg] el retiro de las mercancías del Golfo Dulce 20 leguas tierra adentro para disuadir al enemigo a atacar” /via Cardona 64, 68

Sp pilot of frigate of Diego Sánchez de Rivera, vecino of Trujillo, maestre Simón Alemán, “se llebaron un piloto platico que trayan por ser conocido de ellos que abia sido otra bes su pricionero” /GUATEMALA,16,R.2,N.13 f 4r

Imprisoned former slaves = Tomás Verdugo, Francisco Carreño, of Cartagena, previously seized by Capt. Nacre on Oct 1635, en route to Villa de Monpor in frigate of Capt. Burón. Had been to Mosquito Islands, Santa Catalina, Isla de San Andrés

Nacre = Jonathan de Neckere? /via Goslinga p221, 224, 232, 290"	
E 29	29	O		1 May 1636	30 May 1636	Providence Reprisals	Three privateering ships of Prov Co set sail from England to Prov	"London, Prov"		William Rous / John Leicester / Cornelius Billinger / Giles Mersh / William Woodcock									xxx	"Newton 224-226, 229, 230, 232"	"Ships = Blessing w Rous, Leicester [permitted to consort w any Eng or Du ship] / Expectation w Billinger, Mersh / Hopewell w Woodcock
if any good Spanish pilots were taken, well acquianted with the Bay of Nicaragua, the Bay of Honduras, or any part of the coast of Terra Firma, use might be made of them /Newton 226

W. Rous captures Sp pilot by Terra Firme [likely south of Cape Gracias a Dios, maybe near Cartagena] after May 1636 departure [but thereafter Rous and crew imprisoned on 20 Oct 1636 /Newton 232] /Newton 230"	
