Table 1
Series L 0—382 / Currency and exchange.																		
ID	NO	YR	SP $ HON TREAS	US $ HON TREAS	HON $ HON TREAS	HON £ HON TREAS	£ HON TREAS	PENCE HON TREAS	CF	NOTE	SP $ JAM MARK	J £ JAM MARK	J PENCE 78 JAM MARK	J PENCE 93 JAM MARK	£ JAM MARK	PAR JAM MARK	CF	NOTE
L 36	36	1674	" ""BZ$""	1.00 "			" £	0.23 "	" £	0.20 "		McCusker		" ""BZ$""	1.00 "	" £	0.23 "	60	48	" £	0.20 "	111	"McCusker
Chalmers"	
L 37	37	1675	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	1672 < change fm 0.4.0 to 0.5.0 < 1680; so set at midpoint
L 38	38	1676	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 39	39	1677	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 40	40	1678	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 41	41	1679	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 42	42	1680	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 43	43	1681	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	> 23 Feb; by Act; de jure rate Sp silver $ 1 = 0.5.0 Sterl
L 44	44	1682	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 45	45	1683	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 46	46	1684	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 47	47	1685	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.23 "	111	"McCusker
Chalmers"	
L 48	48	1686	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.19 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.19 "	133	"McCusker
Chalmers"	
L 49	49	1687	" ""BZ$""	1.00 "			" £	0.25 "	" £	0.19 "		McCusker		" ""BZ$""	1.00 "	" £	0.25 "	60	60	" £	0.19 "	133	"McCusker
Chalmers"	
L 50	50	1688	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 51	51	1689	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 52	52	1690	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 53	53	1691	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 54	54	1692	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 55	55	1693	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 56	56	1694	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 57	57	1695	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 58	58	1696	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 59	59	1697	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 60	60	1698	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 61	61	1699	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 62	62	1700	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 63	63	1701	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 64	64	1702	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 65	65	1703	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 66	66	1704	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	WI inc Jam put on gold std by Queen Anne on 18 Jun 1704
L 67	67	1705	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 68	68	1706	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 69	69	1707	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 70	70	1708	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 71	71	1709	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 72	72	1710	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 73	73	1711	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 74	74	1712	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 75	75	1713	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 76	76	1714	" ""BZ$""	1.00 "			" £	0.30 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.30 "	72	72	" £	0.23 "	133	"McCusker
Chalmers"	
L 77	77	1715	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	1707 < change from 5s to 6s 3p < 1722; so set at midpoint
L 78	78	1716	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 79	79	1717	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 80	80	1718	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 81	81	1719	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 82	82	1720	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 83	83	1721	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	72	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 84	84	1722	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.23 "	133	"McCusker
Chalmers"	
L 85	85	1723	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 86	86	1724	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 87	87	1725	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 88	88	1726	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 89	89	1727	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 90	90	1728	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 91	91	1729	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 92	92	1730	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 93	93	1731	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 94	94	1732	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 95	95	1733	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 96	96	1734	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 97	97	1735	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 98	98	1736	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 99	99	1737	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 100	100	1738	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 101	101	1739	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 102	102	1740	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 103	103	1741	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 104	104	1742	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 105	105	1743	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 106	106	1744	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 107	107	1745	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 108	108	1746	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 109	109	1747	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 110	110	1748	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 111	111	1749	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 112	112	1750	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 113	113	1751	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 114	114	1752	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 115	115	1753	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 116	116	1754	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 117	117	1755	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 118	118	1756	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 119	119	1757	" ""BZ$""	1.00 "			" £	0.31 "	" £	0.22 "		McCusker		" ""BZ$""	1.00 "	" £	0.31 "	75	75	" £	0.22 "	140	"McCusker
Chalmers"	
L 120	120	1758	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	"> 11 Nov; by Act, legally set at Sp silver $ 1 = 6s 8d"
L 121	121	1759	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 122	122	1760	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 123	123	1761	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 124	124	1762	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 125	125	1763	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 126	126	1764	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 127	127	1765	" ""BZ$""	1.00 "			" £	0.32 "	" £	0.23 "		McCusker	"Accts in Jamaica currency, inferred from Burnaby’s Code"	" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 128	128	1766	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 129	129	1767	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 130	130	1768	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 131	131	1769	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 132	132	1770	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 133	133	1771	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 134	134	1772	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 135	135	1773	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	"> 31 Dec, Act had effect of increasing FX “soon after”"
L 136	136	1774	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 137	137	1775	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 138	138	1776	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 139	139	1777	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 140	140	1778	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 141	141	1779	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
L 142	142	1780	" ""BZ$""	1.00 "			" £	1.28 "	" £	0.23 "		McCusker		" ""BZ$""	1.00 "	" £	0.32 "	75	78	" £	0.23 "	140	"McCusker
Chalmers"	
