Table 1
	S 1	D	C	S 2	D	C	S 3	D	C	S 4	D	C	S 5	D	C	S 6	D	C	S 7	D	C	A S 1	A S 2	A S 3	A S 4	A S 5	A S 6	A S 7	S S 1	S S 2	S S 3	S S 4	S S 5	S S 6	S S 7	R S 1	R S 2	R S 3	R S 4	R S 5	R S 6	R S 7
1999	KATRINA	0	0																										"52,567,492"							2.31						
2000	GORDON	150	0	KEITH	0	4																	841311627.805						0	"841,311,628"						0.00	33.66					
2001	CHANTAL	0	0	IRIS	0	4																29742004.518	644295433.698425						"29,742,005"	"644,295,434"						1.17	25.40					
2002	ISIDORE	150	1																										0							0.00						
2003	BILL	150	0	LARRY	150	0																							0	0						0.00	0.00					
2004																																										
2005	CINDY	50	0	EMILY	150	4	STAN	150	0	WILMA	150	4	GAMMA	150	0														0	0	0	0	0			0.00	0.00	0.00	0.00	0.00		
2006																																										
2007	BARRY	50	0	DEAN	50	5	FELIX	0	0														241216912.603						0	"241,216,913"	"73,288,125"					0.00	7.60	2.31				
2008	ALMA	150	0	ARTHUR	0	0																	187415194.900						0	"187,415,195"						0.00	5.77					
2009																																										
2010	AGATHA	150	0	ALEX	0	0	KARL	50	0	MATTHEW	0	0	PAULA	150	2	RICHARD	0	2					2965529.418				74554351.4460466		0	"2,965,529"	0	"75,474,669"	0	"74,554,351"		0.00	0.09	0.00	2.31	0.00	2.28	
2011	HARVEY	0	0	RINA	150	3																							"77,606,291"	0						2.31	0.00					
2012	ERNESTO	50	2	HELENE	0	0																784010.427943809							"784,010"	"79,265,145"						0.02	2.31					
2013	BARRY	0	0																										"81,019,109"							2.31						
2014	HANNA	0	0																										"83,935,688"							2.31						
2015																																										
2016	EARL	0	1																			191040276							"191,040,276"							4.99						
2017	FRANKLIN	150	0	HARVEY	50	0																							0	0						0.00	0.00					
2018	ALBERTO	150	0	MICHAEL	50	0																							0	0						0.00	0.00					
2019																																										
2020																																										
																													"4,941,589,011"							"3,315,401,435.21"						
																						"3,845,041,962.99692"							"1,096,547,048"							"117,304,493.36"						
																																				412336034.43						
																																										
