Table 1
Start	Type	Subtype	R Deaths	E Deaths	R Damage	E Damage	Description	Source for non-storm disasters	Source for multiplier	
1747	Anthropological	Raid		0			Raid on Belize River by the Spanish; “taken several Ships”; population = 400; no prisoners nor expulsion	"“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald p. 23; The Diplomatic history of British Honduras, 1638-1901” by Robert Arthur Humphreys p. 2; General Evening Post 11 to 13 Aug 1747 2159; London Evening Post 4248; Pennsylvania Gazette 21 Apr 1748 p 5 issue 1010"		
1749	Natural	Storm					"Landfall or passing of unnamed Aug hurricane; “much Damage” to all vessels on shore, except 2; no deaths mentioned"	Boston Gazette 21 Nov 1749 issue 1550		
1751	Anthropological	Raid		0			"Raid on New River in July by Spanish & subsequent raids on Belize River; “took 18 Flatts” & 7 sloops; “English taken by them are 129” (but prisoners may have been returned); “most of the Bay-men” at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”; “about five Families left in the Bay”; 19 slaves of one of these made prisoners by “Bracall Men” in Aug / Sep 1752"	Boston Gazette 10 Sep 1751 p 2 issue 1643l; New-York Mercury 27 Nov 1752 p 2 issue 16		
1752	Biological	Outbreak					Outbreak of “great Sickness and Mortality”; “left several Vessels without Hands … two [women] left in the whole Bay”	The Covent Garden Journal issue 31 18 Apr 1752 		
1754	Anthropological	Raid		0			Raid on & sacking of Belize River by the Spanish (Marqués de la Ensenada); settlement occupied by Spanish settlers; population = 100 (WSS) or 250 (DG) or 500 (LEP); 210 (AWR)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 84;“The Anglo-Guatemalan Dispute over British Honduras” by Donald Grunewald; London Evening Post 14 to 17 Dec 1754 4228; 28 to 31 Dec 1754 4234; Antigua Weekly Register 11 Nov 1818 p 4"	"5L per tonne logwood 1755 currency given in William Douglass 1755 “A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America” v 1 p. 89"	
1755	Anthropological	Resettlement		0			Resettlement by Baymen	Public Advertiser 6 Oct 1755 6543; Read’s Weekly Journal / British Gazetteer 2339; The Antigua Gazette 12 Apr 1955 p. 3; New-York Mercury 11 Aug 1755 p 3 issue 157		
1765	Anthropological	Riot	4	4			Revolt (?) on New River by slaves; “Mr. Cook … three English seamen” killed; “several of the mutineers hanged”	Gazetteer & New Daily Advertiser 31 Oct 1765 11431; 10 Feb 1766 11518; Boston Evening-Post 9 Sep 1765 p 2 issue 1565; Newport Mercury 23 Sep 1765  3 issue 368		
1770	Anthropological	Riot		16			"Dispute with Spanish, “several” baymen killed; “destroyed all the mahogany”; “burnt several small Houses” on Ambergris Caye"	General Evening Post 1 to 4 Sep 1770 5757; ew-York Journal / General Advertiser 29 Nov 1770 p 208 issue 1456; The Pennsylvania Gazette 6 Dec 1770  3 issue 2189		
1771	Natural	Famine	80000	80000			"Locust outbreak leading to famine; “At Ambergris … 17,000 Indians had died for want … and in other parts of the country … [in total] upwards of 80,000”"	London Evening Post 10 to 12 Dec 1771 issue 6854; General Evening Post 12 to 14 Sep 1771 issue 5916		
1772	Anthropological	Engagement	1	1			Confrontation with Spanish by Glover’s Reef	London Evening Post issue 2 May 1772 6915		
1773	Anthropological	Engagement		53			Attack on Belize River by “Indians”; “massacred numbers”	Middlesex Journal 30 Nov to 2 Dec 773 issue 730		
1773	Anthropological	Riot	4	4			"Revolt by slaves; 4 killed; “22 or 23 insurgents” at first, then “70 or 80 strong”"	"Morning Chronicle 7 Sep 1773 1339; Rivington’s New York Gazetteer 5 Aug. 1773 issue 16, 4 Nov 1773 issue 29"		
1775	Anthropological	Engagement		56			"Dispute with Spanish, “many” baymen killed"	London Evening Post issue 2 Mar 1775 8258		
1779	Anthropological	Engagement	2	2			"Attack on St. George’s Caye & “river of Tinto” by the Spanish (Roberto de Rivas Betancourt); 95 to 100 imprisoned inCollege of St. Peter, Merida; they “deliver[ed] up our negroes, our money and our plate”; at least 100 escaped imprisonment; Treaty in 1783; settlers return by 16 Sept 1782; settlers released July 1782"	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040; Royal Gazette (Jamaica) 30 Jun 1781 p. 5; Lloyd’s Evening Post 5 to 7 Mar. 1781 issue 3699; Whitehall Evening Post 20 to 23 Jul 1783 issue 5668; London Chronicle 10 to 13 Aug 1782 p. 9 issue 4010; English Chronicle 8 to 10 Aug 1782 p. 3 issue 566; Morning Herald 26 Dec 1783 p 2 issue 987; The Gazette of Saint Jago de le Vega (Jamaica) 17 Oct 1782 p. 3; Antigua Weekly Register 11 Nov 1818 p 4"		
1779	Anthropological	Engagement	4	4			Siege of Omoa by the English (Lt. Col. John Dalrymple & Capt. John Luttrell)	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 253; London Gazette 14 to 18 Dec 1779 issue 12040"		
1780	Anthropological	Engagement		0			Parlay at Black River by the Baymen on behalf of shoremen refuged in Roatan (Major Richard Hoare and 84 volunteers from the colony); may have turned hostile	"D.Phil theses “The British Superintendency of the Mosquito Shore” by William Shuman Sorsby, p. 272"	"11L per tonne logwood; 0/8/10L 1786 currency per foot mahogany, in Aug. 1786, in Bristol; in “Prices Current” / Gale GALE|Z2001063977 (date 1781 on database)"	
1784	Biological	Outbreak		21			Outbreak of “distemper”; “proved fatal to many” in New River	London Chronicle 5 to 8 Feb 1785 p. 7		
1784	Natural	Storm		0			Hurricane of August	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; London Chronicle 14 to 16 Oct 1784 issue 4362; Morning Chronicle / London Advertiser xxx 1785 xxx		
1784	Natural	Storm	7	7			"Hurricane of August; Caused “immense damage”, not less than 1500L; St. George’s Caye wrecked “In many places it has lost upwards of twenty feet; the sea rolled free over it in almost every direction”"	Times 21 Mar 1786 p. 3; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; Essex Journal 8 Mar 1786 p 3 issue 88		
1787	Anthropological	Riot		0			Riots by new settlers from Mosquito Shore	Morning Chronicle 25 Jul 1787 issue 5680	"29153L exports to, 1647L imports from GB to settlement 1785 currency; Royal Gazette (Jamaica) 26 May 1787 p. 3"	
1787	Natural	Storm	143	143			"Hurricane of early September; “not less than 500 houses … blown down”; 30,000L damage; 11 ships destroyed; some recently arrived immigrants from Mosquito Shore given “four months provision” by Superintendent; “143 lives lost: seven ships not recoverable”; 300,000 feet of mahogany “carried out to sea, and totally lost”; “one hundred and upwards” lives lost"	London Chronicle 4865; The World 325; “Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97; General Evening Post xxx 1788 issue xxx; Public Advertiser xxx 1788 issue xxx; Pennsylvania Mercury / Universal Advertiser 5 Jan 1788 issue 179; Daily Advertiser 14 Jan 1788 v IV issue 902		
1788	Biological	Outbreak	50	50			"Outbreak of “a dreadful mortality”; 50 white people dead, “and a much greater number of negroes”"	New-York Morning Post 6 Feb 1788 1215		
1789	Technological	Wreck		13			“Jane” runs ashore off Wales en route to Bristol; captain and crew die	"Times, 25 Nov 1789, p. 3"		
1792	Natural	Flooding					Flooding July to October in Belize town; 2 m ft. mahogany lost; “many ne***es perished”	Times 11 Feb 1793 p. 3		
1793	Anthropological	Engagement	5	5			“Indian” raid; one bayman shot; four raiders killed	Whitehall Evening Post 13 to 15 Mar 1794 issue 7135		
1798	Hostile	Engagement		0			Battle of St. George’s Caye	London Gazette No. 15100. p. 69		
1812	Natural	Storm		0			Hurricane of June	“Using Historical Newspaper Accounts to Reconstruct the Impacts of …” David M. Cochran Jr. 2012 p. 97		
1813	Natural	Storm		0			Hurricane of January; no. 237 on Chenoweth list (there given as August); “did much mischief”; “broke down all the south side”; deaths mentioned but not from hurricane	Morning Post 11 Apr 1814 issue 13484;Hampshire Chronicle XL 2083; Chenoweth 2016 p. 224	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1823	Biological	Outbreak	180	180			"Outbreak; “many persons have died”; cared for in “hospitals”; on saving of sickly Poyais emigrants (scheme by Gregor MacGregor); “£4,290 … spent in rescuing, nursing, feeding and clothing”"	Hampshire Chronicle 9 Jan 1815 v XLII issue 2122; Times 18 Oct 1823 issue 12006; The Land that Never Was by Sinclair David 2004		
1824		Engagement		15			"Pirates “burnt one schooner belonging to Mr. Jeykill, after murdering the crew”"	Jamaica Journal 15 May 1824		
1831	Natural	Storm	1	1			Hurricane of Jun; no. 129 in Chenoweth list; 28th of June; 1 schooner Duke of Manchester lost near Ambergris; 1 death	"Chenoweth “A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700—1855” 2016 p. 186; Jamaica Watchman 24 Aug 1831 p 1"		
1835	Technological	Wreck	13	13			Shipwreck HMS Firefly schooner	Belfast News-Letter 2 Jun 1835 10222		
1842	Technological	Wreck	1	1			Shipwreck HMS Spitfire	North Devon Journal XIX 958		
1852	Natural	Flooding	9	9			"Flooding in Belize (town?) in Oct.; “thousands of cattle have been drowned”; “immense amount of property destroyed”; “nine lives lost, and a great many missing”"	"Weekly Herald (NY, NY) 4 Dec 1852 XVI 49"		
1854	Technological	Fire		0			"Fire; 90,000 to 100,000L damage, 100 houses and stores destroyed, with $100,000 (USD or BHD) in merchandise lost"	"NYT “Fire in Honduras” 28 Sep 1854, p. 3;Morning Chronicle 18 Sep 1854 27374; Times-Picayune (New Orleans) 1 Sep 1854 ed. Eve.; Weekly Herald NY, NY 21 Oct 1854"		
1854	Biological	Outbreak	230	230			Outbreak of cholera; “about 300 natives have died”	"Sir J.A. Burdon, Archives v 3, p. 174; Morning Chronicle 22 Mar 1854 27220; Philadelphia Inquirer 13 Mar 1854; Sun (Baltimore, MD) 19 May 1854 XXXV 2"		
1856	Technological	Fire		0			"Fire; 50 houses destroyed; $500,000 loss estimated (USD BHD?); 100,000L loss"	"NYT “Large Fire at Belize, Honduras” 18 Aug 1865 p. 4; Daily News 3199; Sir J.A. Burdon, Archives v 3, p. 190; NY Herald 26 Aug 1856 7301"		
1857	Biological	Outbreak					Outbreak of smallpox; “is very bad … confined to the lowest classes … only a few coloured persons having had it”	NY Herald 13 Jun 1857 issue 7591		
1860	Biological	Outbreak					"Outbreak of yellow fever; “for the first time in twenty years … for two months now it has been very bad, and, with only a few exceptions, all who have had it have died”"	Times-Picayune 12 Sep 1860		
1863	Technological	Fire	2	2			Fire; 400 houses destroyed; 500 houses destroyed (JAB); in south side only	"The Growth and Development of Belize City by Everitt, J.C.; Daily News 5281; Sir J.A. Burdon, Archives v 3, p. 249"	"A millenium of microeconomic data, Bank of England. price = 1/2 of 1930 house price estimate; houses est. at 25"	
1863	Anthropological	Riot	2	2			Riot on 13 Aug at bayonetting of constable Mr. Burke & several others by BWIR soldiers; at least 2 dead	"NY Herald 9 Sep 1863, 17 Sep 1863"		
1864	Natural	Flooding		0			"Flooding in Belize River in mid Sep; 300 cattle, worth $40 each, destroyed, “very severe damage to plantations northward”; houses swept and carried away"	NY Herald 5 Nov 1864		
1864	Natural	Gales		0			"Strong, sustained gales; 1 brig, 3 barks, 1 drugger lost"	Times-Picayune 15 Oct 1864		
1865	Biological	Outbreak	68	68			Outbreak of yellow fever among Chinese immigrants	"Sir J.A. Burdon, Archives v 3, p. 313; Report to the Government of British Honduras … by Sir R.W. Boyce p. 2"		
1866	Anthropological	Engagement	0	0			Capture of San Pedro on New River by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	Engagement	5	5			Confrontation with Mr. Canul to retake San Pedro on New River	"Sir J.A. Burdon, Archives v 3, p. 30"		
1866	Anthropological	Raid	2	2			Raid on Qualm Hill on Rio Bravo by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 29"		
1867	Biological	Outbreak	580	580			Outbreak of cholera	"Sir J.A. Burdon, Archives v 3, p. 299"		
1867	Anthropological	Raid	0	0			Recapture of San Pedro by settlers	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	Raid	0	0			Raid on Indian Church & Mt. Hope	"Sir J.A. Burdon, Archives v 3, p. 32"		
1867	Anthropological	Raid	3	3			Burning of San Jose by settlers; capture of Naranhal and Chorro by Corozal militia	"Sir J.A. Burdon, Archives v 3, p. 32"		
1870	Anthropological	Raid	0	0			Raid on Corozal by Mr. Marcus Canul; damage = compensation requested by Corozal; no deaths mentioned	"Sir J.A. Burdon, Archives v 3, p. 38"		
1872	Anthropological	Raid	1	1			Raid on Water Bank by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 328"		
1872	Anthropological	Raid	2	2			Raid on Orange Walk by Mr. Marcus Canul	"Sir J.A. Burdon, Archives v 3, p. 41"		
1892	Technological	Wreck	9	9			Shipwreck of schooner Ringdove	"NYT 23 June 1892, p. 10"		
1892	Technological	Wreck	21	21			Shipwreck of schooner Stranger during hurricane in Oct	Essex Standard v 62 issue 3228		
1894	Anthropological	Riot	0	0			Riots by police force & forestry workmen	NYT “Police Revolt in Honduras” 12 Dec 1894 p. 5		
1905	Biological	Outbreak	8	8			Outbreak of yellow fever	Report to the Government of British Honduras … by Sir R.W. Boyce p. 5		
1915	Anthropological	Engagement	53	53			WWI	Commonwealth War Graves Commission for 39 from BHTF and 12 from BWIR (whose biographies mentioned provenance); The Lusitania Resource for 2 perished in RMS Lusitania		
1918	Technological	Fire	1	1			"Fire, $400,000 USD loss"	"Honduras Governor Killed, article in The Washington Post, 13 Sep 1918"		
1918	Biological	Outbreak	1014	1014			Outbreak of Spanish flu	Report on recent epidemic of influenza in the town of Belize by Sgd. Thomas Gann 1919; Report on the influenza epidemic in the Districts by Thomas Gann 1919		
1919	Anthropological	Riot		0			"Ex-Servicemen’s Riots; looting by c 3,339 in Belize City, esp. during power outage; 2 injured"			
1921	Biological	Outbreak	4	4			Outbreak of yellow fever	"Public Health Reports, 26 Aug 1921, p 2084"		
1923	Technological	Wreck	20	20			Shipwreck during hurricane in April	Hull Daily Mail 11709		
1931	Technological	Fire	0	0			Fire	NYT 14 Sep 1931 p. 7		
1931	Natural	Storm	2500	2500			Landfall of unnamed 1931 hurricane +242192£ ln fm GB = 246948£ repapid + 100418£ remitted Cmd. 7715  p 79			
1932	Technological	Fire	0	0			Fire; $250000 USD lost	"NYT “$250,000 Fire in Belize” 19 April 1932 p. 3"		
1939	Anthropological	Engagement	10	10			WWII	"Commonwealth War Graves Commission for 4 from RAF, 6 from NCF, whose biographies mentioned provenance"		
1950	Anthropological	Riot	0	0			Riots	NYT “Princess Cancels Visit” 20 Feb 1950 p. 10		
1953	Technological	Fire	1	1			Fire; $1 m USD damage	NYT “Artist Arsonist gets 15 Years” 20 May 1954 p. 35		
1955	Natural	Storm	16	16			Close passage of Hurricane Janet			
1961	Natural	Storm	307	307			Landfall of Hurricane Hattie			
1970	Technological	Wreck	4	4			Plane crash	NYT “Four Killed in Crash of Chartered Plane” 27 May 1970 p. 93		
1974	Natural	Storm	1	1			Close passage of Hurricane Carmen			
1978	Natural	Storm	4	4			Landfall of Hurricane Greta			
1981	Anthropological	Riot	5	5			"Riots; “dozen buildings destroyed”; “several stores looted”, 5 killed in Corozal"	NYT “A State of Emergency is Declared in Belize” 3 Apr 1981 p. 7; “Belize is Quiet After Rioting Over Independence Pact” 4 Apr 1981 p. 24		
1986	Biological	Outbreak	1753	1753			Outbreak of HIV / AIDS	Belize Ministry of Health; Belize National AIDS Commission		
1997	Technological	Wreck	22	22			Shipwreck	EM-DAT		
1998	Natural	Storm	9	9			Close passage of Hurricane Mitch			
2000	Natural	Storm	19	19			Landfall of Hurricane Keith			
2001	Natural	Storm	24	24			Landfall of Hurricane Iris			
2005	Natural	Storm	3	3			Close passage of Hurricane Gamma			
2008	Natural	Flooding	5	5			Flash flooding in Stann Creek caused by Hurricane Arthur	Channel 7 News 2 Jun 2008		
2008	Natural	Storm	5	5			Landfall of Hurricane Arthur			
2009	Biological	Outbreak	1	1			Outbreak of swine flu	"Shahera Bodden, 29, is Belize’s 1st confirmed death from swine flu, article in Amandala, 17 Jan 2014, online"		
2010	Natural	Storm	1	1			Landfall of Hurricane Richard			
2017	Anthropological	Wreck	0	0			"Detonation of grenade in San Pedro, AC"	Ambergris Today 18 Sep 2017		
2017	Technological	Wreck	1	1			"Explosion in quarry in Santa Cruz, CY; 14 houses, 10 cars significantly damaged"	BBN 13 Dec 2017; Channel 7 News 13 Dec 2017		
2019	Biological	Outbreak	277	277			Outbreak of COVID-19	Belize Ministry of Health		
2019	Technological	Wreck	2	2			Explosion of water taxi; two girls died	San Pedro Sun 9 May 2019		
