Table 1
	L Estimate	U Estimate	Source	Description	
1758	122	246.666666666666	Pennsylvania Gazette 11 Jan 1759 p 3 issue 1568	19 May to 19 Nov 1758; “in Fear of a Rout … The greatest Part have … quit the Bay”	
1759	111	123.333333333333	Pennsylvania Gazette 7 Jun 1759 p 2 issue 1589; Pennsylvania Gazette 7 Feb 1760 issue 1624	23 Apr 1759; “the Bay is almost evacuated” … 24 Oct 1749; circa or min. 111 remained	
1760	"1,025"	"1,385"			
1761	"1,133"	"1,423"			
1762	"1,242"	"1,462"			
1763	"1,350"	1500	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p157; 15 May 1766 petition from settlers to Earl of Hillsborough (Sec.) in UK NA CO 5/119 	"7 Nov 1763; first exportation of mahogany, at least 22,000 feet, via Jamaica, to England; 24 Dec 1763 at least 20 English settler (men) in New & Hondo River before peaceful expulsion = 26,795L 1763 currency in losses, ranging from 6157L to 42L in individual / company / family / consortship / estate losses"	
1764	"1,392"	"1,537"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1764; L2,885 mahogany exported, directly from Belize, to England"	
1765	"1,435"	"1,574"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p157; Calendar of Home Office papers of the reign of George III 1766-1769 ff 700	"1 Jan to 31 Dec 1765; 140,000 feet mahogany exported = 3,791L official value, via Jamaica, to England; c Jul to Nov 1765; “near 73,000L” 1765 currency exports, likely to all parts, in six months prior to beginning of Jan / Mar 1766"	
1766	"1,477"	"1,610"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1766; 20 tonnes mahogany = 126,000 ft = 1,344L official value exported, via Jamaica, to England"	
1767	"1,519"	"1,647"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1767; 60 logs mahogany = 42,500 ft exported, via Jamaica, to England"	
1768	"1,562"	"1,684"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1768; 15 logs mahogany exported, via Jamaica, to England"	
1769	"1,604"	"1,721"	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p158	"1 Jan to 31 Dec 1769; 175 logs, via Jamaica, to England"	
1770	"1,646"	"1,757"			
1771	"1,689"	"1,794"			
1772	"1,731"	"1,831"			
1773	"1,773"	"1,868"			
1774	"1,816"	"1,905"			
1775	"1,858"	"1,941"			
1776	"1,900"	"1,978"			
1777	"1,943"	"2,015"			
1778	"1,985"	"2,052"	"Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p 160, p 163; Britannic Magazine 1801 v issue 130 p 325 "	"1 Jan to 31 Dec 1769; c 4,500 tonnes = 36,000L official value = 54,000L market value mahogany exported, directly or directly + via Jamaica, to England … 1 Jan to 31 Dec 1769; c 20,000 to 30,000 tonnes mahogany + logwood, via all routes, to all destinations; … 1 Jan to 31 Dec c 1779; 5 to 6 m ft mahogany + 2,000 tonnes logwood"	
1779	0	0	1779 Raid		
1780	0	0	1779 Raid		
1781	0	0	1779 Raid		
1782	"1,900"	"1,978"	xxx	"16 Sep 1782; return of Baymen, likely also formerly imprisoned ones"	
1783	"1,974"	"2,042"			
1784	"2,048"	"2,107"			
1785	"2,123"	"2,171"			
1786	"2,197"	"2,236"	Pennsylvania Journal / Weekly Advertiser 23 Aug 1786 issue 2094	1 Jul 1786; “Settlers at the Bay … daily increase”	
1787	"3,288"	3408	Daily Advertiser 14 Jan 1788 v IV issue 902; Savanna-la-Mar Gazette 15 Jul 1788	"2 Sep 1787; “near one thousand” at “Bellize-point”; 15 sloops and schooners at Old River’s Mouth; 22 or 23 in other parts (N River, Rowley’s Bight, New River) … c. Dec 1787; 3408 population, of which 1200 = old Baymen"	
1788	"3,023"	3103	Adam Bowett The English Mahogany Trade 1700 – 1793 1996 p160	"1 Jan to 31 Dec 1769; c 14,000L mahogany exported, via Jamaica, to England"	
1789	"2,758"	2798			
1790	2493	2493	First Census		
