Table 1
Yr	Population	Note
1876	"26,081"	
1877	"26,355"	
1878	"26,629"	
1879	"26,904"	
1880	"27,178"	
1881	"27,452"	
1882	"27,854"	
1883	"28,256"	
1884	"28,658"	
1885	"29,060"	
1886	"29,462"	
1887	"29,863"	
1888	"30,265"	
1889	"30,667"	
1890	"31,069"	
1891	"31,471"	
1892	"32,072"	
1893	"32,673"	
1894	"33,273"	
1895	"33,874"	
1896	"34,475"	
1897	"35,076"	
1898	"35,677"	
1899	"36,277"	
1900	"36,878"	
1901	"37,479"	
1902	"37,777"	
1903	"38,075"	
1904	"38,373"	
1905	"38,671"	
1906	"38,969"	
1907	"39,266"	
1908	"39,564"	
1909	"39,862"	
1910	"40,160"	
1911	"40,458"	
1912	"40,944"	
1913	"41,430"	
1914	"41,916"	
1915	"42,402"	
1916	"42,888"	
1917	"43,373"	
1918	"43,859"	
1919	"44,345"	
1920	"44,831"	
1921	"45,317"	
1922	"45,920"	
1923	"46,523"	
1924	"47,126"	
1925	"47,729"	
1926	"48,332"	
1927	"48,935"	
1928	"49,538"	
1929	"50,141"	
1930	"50,744"	
1931	"51,347"	
1932	"51,872"	
1933	"52,397"	
1934	"52,922"	
1935	"53,446"	
1936	"53,971"	
1937	"54,496"	
1938	"55,021"	
1939	"55,546"	
1940	"56,071"	
1941	"56,596"	
1942	"57,121"	
1943	"57,645"	
1944	"58,170"	
1945	"58,695"	
1946	"59,220"	
1947	"61,455"	
1948	"63,689"	
1949	"65,639"	
1950	"68,537"	
1951	"70,567"	
1952	"72,899"	
1953	"75,320"	
1954	"77,596"	
1955	"80,110"	
1956	"81,950"	
1957	"84,450"	
1958	"87,096"	
1959	"88,878"	
1960	"90,507"	
1961	"93,586"	
1962	"98,453"	
1963	"100,165"	
1964	"103,069"	
1965	"106,120"	
1966	"109,348"	
1967	"112,707"	
1968	"116,065"	
1969	"119,269"	
1970	"122,184"	
1971	"124,795"	
1972	"127,152"	
1973	"129,294"	
1974	"131,305"	
1975	"133,264"	
1976	"135,143"	
1977	"136,990"	
1978	"138,975"	
1979	"141,302"	
1980	"144,142"	
1981	"147,572"	
1982	"151,486"	
1983	"155,820"	
1984	"160,341"	
1985	"164,918"	
1986	"169,569"	
1987	"174,333"	
1988	"179,023"	
1989	"183,471"	
1990	"187,554"	
1991	"191,136"	
1992	"194,324"	
1993	"197,625"	
1994	"201,679"	
1995	"206,962"	
1996	"213,660"	
1997	"221,575"	
1998	"230,248"	
1999	"238,979"	
2000	"247,310"	
2001	"255,068"	
2002	"262,387"	
2003	"269,428"	
2004	"276,516"	
2005	"283,798"	
2006	"291,338"	
2007	"299,031"	
2008	"306,822"	
2009	"314,655"	
2010	"322,465"	
2011	"330,236"	
2012	"338,001"	
2013	"345,707"	
2014	"353,366"	
2015	"360,926"	
2016	"368,399"	
2017	"375,775"	
2018	"383,071"	
2019	"390,351"	
2020	"397,621"	
