Table 1
ID	NO	STYLE	YR	AUTHORS	GROUP	TITLE	LINK				
		Graham	1989	"E. Graham, D. M. Pendergast, G. D. Jones"	York University / Royal Ontario Museum / Davidson College / American Association for the Advancement of Science	On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize	"Graham, E., Pendergast, D. M., & Jones, G. D. (1989). On the fringe of conquest: Maya-spanish contact in colonial belize. Science, 246(4935), 1254. Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311"				
		McJunkin	1991	D. M. McJunkin	"University of California, Los Angeles"	Logwood	"McJunkin, D. M. (1991). Logwood: An inquiry into the historical biogeography of haematoxylum campechianum L. and related dyewoods of the neotropics (Order No. 9113559). Available from ProQuest Dissertations & Theses Global. (303932948). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311"				
		Breuer	1993	K. H. Breuer	University of Texas at Arlington	"Colonies of happenstance: The english settlements in central america, 1525-1787 "	"Breuer, K. H. (1993). Colonies of happenstance: The english settlements in central america, 1525-1787 (Order No. 1352917). Available from ProQuest Dissertations & Theses Global. (230667983). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311"				
		Ojeda 93	1993	J. Victoria Ojeda	xxx	La piratería y su relación con los indígenas de la península de Yucatán	https://dialnet.unirioja.es/descarga/articulo/3726690.pdf				
		Ojeda 94	1994	J. Victoria Ojeda	xxx	Piratería y estrategia defensiva en Yucatán durante el siglo XVIII	https://revistas.ucm.es/index.php/RCHA/article/view/RCHA9494110129A/29211				
		Bowett	1996	A. Bowett	Brunel University	The english mahogany trade 1700-1793 	"Bowett, A. (1996). The english mahogany trade 1700-1793 (Order No. CA47977). Available from ProQuest Dissertations & Theses Global. (304303774). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/english-mahogany-trade-1700-1793/docview/304303774/se-2?accountid=11311"				
		Wu	1996	Y. Wu	Johns Hopkins University	"Jamaican trade, 1688-1769"	"Wu, Y. (1996). Jamaican trade, 1688-1769: A quantitative study (Order No. 9617624). Available from ProQuest Dissertations & Theses Global. (304300587). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311"				
		Camille	1996	"M. A. Camille, R. Espejo-Saavedra"	Northeast Louisiana University / Conference of Latin Americanist Geographers	Historical Geography of the Belizean Logwood Trade	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830				
		Elliott	1997	P. Elliott-Wright	University of Leeds	"The officers of the irish brigade and the british army, 1789-98 "	"Elliott-Wright, P. (1997). The officers of the irish brigade and the british army, 1789-98 (Order No. U093336). Available from ProQuest Dissertations & Theses Global. (301519802). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311"				
		Meide	2002	C. Meide	College of William and Mary	A Plague of Ships	https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf				
		Ojeda 03	2003	J. Victoria Ojeda	xxx	Piratas en tierra adentro. Estrategia defensiva de una ciudad novohispana. Siglos XVI al XVIII	https://www.raco.cat/index.php/Millars/article/view/130852				
		Antochiw	2004	M. Antochiw	xxx	ALEJANDRO JOSEPH DE GUELLE	http://observatoriogeograficoamericalatina.org.mx/egal9/Geografiasocioeconomica/Geografiacultural/10.pdf				
		Wombwell	2010	J. A. Wombwell	US Army Combined Arms Center	Long War Against Piracy	https://www.hsdl.org/?view&did=23760				
		Barke 12	2012	G. Vasquez Barke	xxx	BACALAR EN EL SIGLO XVII	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/761				
		Restall	2014	M. Restall	Conference on Latin American History / American Historical Association / Pennsylvania State University	Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300				
		Barke 16	2016	G. Vasquez Barke	xxx	Los poderes y los hombres	http://ciesas.repositorioinstitucional.mx/jspui/handle/1015/336				
		Reichert	2016	R. Reichert	xxx	"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"	http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2017000100009&lang=es				
		Bialuschewski	2017	A. Bialuschewski	American Society for Ethnohistory / Trent University	Slaves of the Buccaneers: Mayas in Captivity in the Second Half of the Seventeenth Century	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3688359				
		Hoggarth	2017	"J. A. Hoggarth, M. Restall, J. W. Wood, D. J. Kennett"	Baylor University / Pennsylvania State University / Wenner-Gren Foundation	Drought and Its Demographic Effects in the Maya Lowlands	https://doi.org/10.1086/690046				
		Genkins	2018	D. Genkins	xxx	Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean	https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1				
		Molina 19	2019	A. E. Cervera Molina	xxx	BELIZE AND YUCATAN THROUGH TRAVEL STORIES	http://www.revistas.unam.mx/index.php/peninsula/article/view/70001				
		Fischbeck	2020	S. L. Fischbeck	xxx	Agricultural Terrace Productivity in the Maya Lowlands of Belize	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf				
		Molina 20	2020	A. E. Cervera Molina	xxx	A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK	https://doi.org/10.15517/aeca.v46i0.45040				
