C1—30 / Online collections of archival material.
ID	NO	TYPE	ALT ID	YR	AUTHORS	JOURNAL	V	I	TITLE	LINK	
			Hoggarth	2017	"J. A. Hoggarth, M. Restall, J. W. Wood, D. J. Kennett"	Current Anthropology	58	1	Drought and Its Demographic Effects in the Maya Lowlands	https://doi.org/10.1086/690046	
			Hussey	1929	R. D. Hussey	Hispanic American Historical Review	9	3	Spanish Reaction to Foreign Aggression in the Caribbean to about 1680	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2506623	
			Joseph	1980	G. M. Joseph	Terrae Incognitae	12	1	John Coxon and the Role of Buccaneering in the Settlement of the Yucatán Colonial Frontier	file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/joseph1980%20copy.pdf	
			Kupperman 11	2011	K. O. Kupperman	Early American Studies	9	2	The Love-Hate Relationship with Experts in the Early Modern Atlantic	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23547648	
			Marsden	1902	R. G. Marsden	Transactions of the Royal Historical Society	16		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118	
		T	McJunkin	1991	D. M. McJunkin				Logwood	"McJunkin, D. M. (1991). Logwood: An inquiry into the historical biogeography of haematoxylum campechianum L. and related dyewoods of the neotropics (Order No. 9113559). Available from ProQuest Dissertations & Theses Global. (303932948). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311"	
		M	Meide	2002	C. Meide				A Plague of Ships	https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf	
			Nettels	1931	C. Nettels	Journal of Modern History	3	1	"England and the Spanish-American Trade, 1680-1715"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1872139	
			Offen 00	2000	K. H. Offen	Hispanic American Historical Review	80	1	British Logwood Extraction from the Mosquitia: the Origin of a Myth	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/12337	
			Offen 11	2011	K. H. Offen	Itinerario	35	1	Puritan Bioprospecting in Central America and the West Indies	https://doi.org/10.1017/S0165115311000040	
			Offen 15	2015	K. H. Offen	Journal of Latin American Geography	14	3	Mapping Amerindian Captivity in Colonial Mosquitia	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/595150#info_wrap	
			Ogelsby	1963	J. C. M. Ogelsby	Caribbean Studies	3	2	The British and Panama — 1742	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756	
			Pargellis	1944	"S. Pargellis, R. L. Butler"	The William and Mary Quarterly	1	3	"Daniell Ellffryth's Guide to the Caribbean, 1631"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923731	
			Reichert	2016	R. Reichert	Tzintzun	65		"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"	http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2017000100009&lang=es	
			Restall	2014	M. Restall	Hispanic American Historical Review	94	3	Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300	
			Rossano	1989	G. L. Rossano	New York History	70	3	Down to the Bay	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260	
			Scammell	2000	G. V. Scammell	Itinerario	24	3	"""A Very Profitable and Advantageous Trade"": British Smuggling in the Iberian Americas circa 1500-1750"	xxx	
		T	Sorsby	1969	W. S. Sorsby				"The British superintendency of the Mosquito Shore, 1749-1787"	"Sorsby, W. S. (1969). The british superintendency of the mosquito shore, 1749-1787 (Order No. 27822076). Available from ProQuest Dissertations & Theses Global. (2351282127). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/british-superintendency-mosquito-shore-1749-1787/docview/2351282127/se-2?accountid=11311"	
			Stoddart	1962	D. R. Stoddart	Atoll Research Bulletin	87		"Three Caribbean Atolls: Turneffe Islands, Lighthouse Reef, and Glover's Reef, British Honduras"	file:///Users/angelnavidad/Downloads/00087x.pdf	
			Thompson	1938	J. E. Thompson	American Anthropologist	40	4	Sixteenth and seventeenth century reports on the Chol Mayas	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/661615	
			Thornton	2017	J. K. Thornton	Hispanic American Historical Review	97	1	"The Zambos and the Transformation of the Miskitu Kingdom, 1636–1740"	https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-3727364	
			Victoria 03	2003	J. Victoria Ojeda	Millars: espai i història	26		Piratas en tierra adentro. Estrategia defensiva de una ciudad novohispana. Siglos XVI al XVIII	https://www.raco.cat/index.php/Millars/article/view/130852	
			Victoria 93	1993	J. Victoria Ojeda	Mesoamérica	26		La piratería y su relación con los indígenas de la península de Yucatán	https://dialnet.unirioja.es/descarga/articulo/3726690.pdf	
			Victoria 94	1994	J. Victoria Ojeda	Revista Complutense de Historia de América	20		Piratería y estrategia defensiva en Yucatán durante el siglo XVIII	https://revistas.ucm.es/index.php/RCHA/article/view/RCHA9494110129A/29211	
		T	Wu	1996	Y. Wu				"Jamaican trade, 1688-1769"	"Wu, Y. (1996). Jamaican trade, 1688-1769: A quantitative study (Order No. 9617624). Available from ProQuest Dissertations & Theses Global. (304300587). Retrieved from http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311"	
			Zahedieh 86a	1986	N. Zahedieh	Economic History Review	89	2	"Trade, Plunder, and Economic Development in Early English Jamaica, 1655-89"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2596150	
			Zahedieh 86b	1986	N. Zahedieh	William and Mary Quarterly	43	4	"The Merchants of Port Royal, Jamaica, and the Spanish Contraband Trade, 1655-1692"	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923683	
			Zahedieh 90	1990	N. Zahedieh	Journal of Imperial and Commonwealth History	18	2	"A Frugal, Prudential and Hopeful Trade’. Privateering in Jamaica, 1655–89"	file:///Users/angelnavidad/Downloads/zahedieh1990.pdf	
