Table 1
Date	Link	Headling	
18 Nov 45	Press 52	"Extract of a Letter from Charlestown in S. Carolina, Dated Oct. 17."	
11 Aug 47	Bur 2159	"London, August 13."	
19 Mar 49	Press 847	"Boston, March 1, 1749-50."	
19 Mar 49	Press 847	"Boston, March 1, 1749-50."	
6 Mar 50	Press 1564	"New-York, Feb. 19."	
19 Mar 50	Press 252	Boston. February 26.	
19 Mar 50	Press 374	"Boston, March 5."	
19 Mar 50	Press 252	Boston. February 26.	
19 Mar 50	Press 374	"Boston, March 5."	
21 May 50	Press 261	"Kingston in Jamaica, March 31."	
23 Jul 50	Press 780	"New-York, July 16."	
23 Jul 50	Press 815	"New-York, July 16."	
24 Jul 50	Press 1584	"New-York, July 16."	
18 Sep 50	Press 1592	"New-York, September 10."	
22 Oct 50	Press 793	"New-York, October 15."	
29 Oct 50	Press 828	"New-York, October 22."	
30 Oct 50	Press 1598	"New-York, October 22."	
2 Nov 50	Press 2529	"New-York, October 22."	
13 Dec 50	Press 2535	"An Extract of a Letter from Amsterdam, Dated October 1."	
17 Dec 50	Press 413	"Charles-Town, in So. Carolina, November 5."	
17 Dec 50	Press 834	"An Extract of a Letter from Amsterdam, Dated October 1."	
31 Dec 50	Press 415	"An Extract of a Letter from Amsterdam, Dated October 1."	
31 Dec 50	Press 415	"An Extract of a Letter from Amsterdam, Dated October 1."	
3 Jan 51	Press 5373	"Charlestown South-Carolina, November 5."	
7 Jan 51	Press 837	"Charkstown South-Carolina, November 5."	
28 Jan 51	Press 419	"Extract of a Letter from Capt. Wasse Rand, Dated at Kingston in Jamaica, November 25."	
11 Feb 51	Press 421	"Boston, January 21."	
11 Feb 51	Press 421	"Boston, January 21."	
8 Apr 51	Press 851	"New-York, April 1."	
9 Apr 51	Press 1621	"New-York, April 1."	
3 Jun 51	Press 858	"New-York, May 27."	
29 Jul 51	Press 866	"New-York, July 22."	
30 Jul 51	Press 1637	"New-York, July 15."	
19 Aug 51	Press 835	"New-York, August 12."	
19 Aug 51	Press 869	"New-York, August 12."	
20 Aug 51	Press 1640	"New-York, August 12."	
22 Aug 51	Press 2565	"New-York, August 12."	
10 Sep 51	Press 1643	"Boston. Extract of a Letter from a Master of a Vessel at the Old River, in the Bay of Honduras."	
21 Oct 51	Press 235	"Boston, October 14."	
21 Oct 51	Press 457	"Boston, October 14."	
21 Oct 51	Press 457	"Boston, October 14."	
21 Oct 51	Press 457	"Boston, October 14."	
21 Oct 51	Press 457	"Boston, October 14."	
21 Oct 51	Press 235	"Boston, October 14."	
31 Dec 51	Press 1659	"New-York, Dec. 16."	
18 Feb 52	Press 1666	"New-York, Jan. 20."	
9 Mar 52	Press 477	"Charles-Town, in South-Carolina, February 22."	
9 Mar 52	Press 477	"Charles-Town, in South-Carolina, February 22."	
18 Apr 52	Bur 31	Friday.	
4 May 52	Press 485	"Charles-Town, in South-Carolina, April 6, 1752."	
4 May 52	Press 485	"Charles-Town, in South-Carolina, April 6, 1752."	
11 May 52	Press 907	"Charles-Town, in South-Carolina April 6."	
10 Aug 52	Press 886	"New York, Aug. 3."	
25 Sep 52	Press 925	New-York September 18.	
26 Sep 52	Press 1696	"New-York, September 24."	
2 Oct 52	Press 892	"New-York, Sept. 25."	
2 Oct 52	Press 926	"Newport, Rhode-Island, Sept. 28."	
5 Oct 52	Press 2622	"Newport, Rhode-Island, Sept. 28."	
9 Oct 52	Press 286	"Newport, Rhode-Island, Sept. 28."	
9 Oct 52	Press 286	"Newport, Rhode-Island, Sept. 28."	
27 Nov 52	Press 16	"Copy of a Letter from Capt. M'Namara, of the Friendship, Arrived at Falmouth, from the Bay of Honduras, Dated Sept. 22."	
27 Nov 52	Press 934	"New-York, November 20."	
30 Nov 52	Press 2630	"New-York, November 20."	
25 Dec 52	Press 20	"Charles-Town, (in South-Carolina, December 4."	
22 Jan 53	Press 908	"New-York, January 8."	
6 Mar 53	Press 10	"New-York, February 19."	
22 Mar 53	Press 2646	"Newport, Rhode-Island, March 10. 1753."	
2 Apr 53	Press 952	"New-York, March 12."	
3 Apr 53	Press 14	"New-York, March 12."	
5 Apr 53	Press 2648	"New-York, March 12."	
16 Apr 53	Press 954	"New-York, April 9."	
17 Apr 53	Press 16	"New-York, April 9."	
20 Apr 53	Press 2650	"New-York, April 9."	
11 Jun 53	Press 44	[Capt. Bayne; Jamaica; Ackland; Capt. Dawel; Carthagena; Philadelphia].	
18 Jun 53	Press 929	"New-York, June 11."	
12 Jul 53	Press 2662	"Newport, Rhode-Island, June 29 1753."	
6 Aug 53	Press 970	"New-York, July 30."	
7 Aug 53	Press 32	"New-York, July 30."	
9 Aug 53	Press 2666	"New-York, July 30."	
7 Jan 54	Press 958	"Charlestown, South-Carolina, Nov. 20."	
7 Jan 54	Press 983	"Charlestown, in South-Carolina, Nov. 20."	
22 Jan 54	Press 56	"New-York, December 31."	
4 Mar 54	Press 82	[Captain Edward Menzie; Rhode-Island; Misfortune; Brig; Key-Bokell].	
21 Mar 54	Press 2698	"New-York, February 23."	
25 Mar 54	Press 992	"New-York, February 25."	
27 Jun 54	Press 2712	"New-York, June 17."	
15 Jul 54	Press 1008	"New-York, July 8."	
18 Jul 54	Press 2715	New-York July 8.	
5 Aug 54	Press 104	"Boston, July 25."	
5 Aug 54	Press 104	"Boston, July 25."	
27 Aug 54	Press 87	"A Letter from a Gentleman in Rhode-Island, to His Friend in Boston."	
12 Sep 54	Press 2723	"New-York, September 2."	
14 Oct 54	Press 998	"New-York, October 7."	
17 Oct 54	Press 2728	"New-York, October 7."	
4 Nov 54	Press 1024	"New-York, October 23."	
7 Nov 54	Press 2731	"New-York, October 23."	
11 Nov 54	Press 1002	"New-York, November 4."	
11 Nov 54	Press 1025	"New-York, Novemb. 4."	
25 Nov 54	Press 1004	"New-York, November 18."	
25 Nov 54	Press 1026	"New-York, November 18."	
9 Dec 54	Press 1028	"New-York, December 2."	
10 Dec 54	Press 102	"New-York, December 2."	
12 Dec 54	Press 2736	New-York December 2.	
14 Dec 54	Bur 4228	"Extract of a Letter from New York, Oct. 22."	
28 Dec 54	Bur 4234	"Kingston in Jamaica, Oct. 2."	
30 Jan 55	Bur 4248	"An Extract of a Letter from Black River, on the Musqueto Shore, dated Nov. 19, 1754."	
11 Feb 55	Press 111	"Charles-Town, (in South-Carolina,) December 12."	
11 Mar 55	Press 115	"New-York, March 3."	
31 Mar 55	Press 1022	"New-York, March 24."	
1 Apr 55	Press 118	"New-York, March 24."	
3 Apr 55	Press 2752	"New-York, March 24."	
18 Aug 55	Press 20	"New-York, August 11."	
21 Aug 55	Press 2772	"New-York, August 11."	
6 Oct 55	Bur 6543	"We learn from New-York, by Letters of the 11th of August, …"	
9 Oct 55	Press 2779	"New-York, September 29."	
11 Oct 55	Bur 2339	"We learn from New-York, by Letters of the 11th of August, …"	
17 Nov 55	Press 1055	"New-York, Nov. 10."	
16 Feb 56	Press 46	"New-York, February 9."	
19 Feb 56	Press 2798	"New-York, February 5th."	
4 Mar 56	Press 2800	"New-York, February 23."	
19 Jul 56	Press 206	"Boston, July 12."	
19 Jul 56	Press 206	"Boston, July 12."	
2 Sep 56	Press 2826	"Charlestown, South-Carolina, July 8."	
7 Oct 56	Press sn	"New-York, September 27."	
25 Oct 56	Press 220	"Extract of a Letter from Honduras-Bay, Dated September 6, 1756."	
15 Nov 56	Press 223	"Charles-Town, (in South-Carolina) October 7."	
22 Nov 56	Press 224	"Extract of a Letter from the Bay of Honduras, Dated October 6, 1756."	
2 Dec 56	Press 2839	"Extract of a Letter from the Bay of Honduras, Dated October 6, 1756."	
20 Dec 56	Press 90	"New-York, December 13."	
10 Jan 57	Press 730	"Boston, December 27."	
10 Jan 57	Press 730	"Boston, December 27."	
21 Feb 57	Press 99	"New-York, Feb. 14."	
28 Feb 57	Press 737	"Charles-Town, (in South Carolina,) December 30."	
7 Mar 57	Press 1123	"New-York, Feb. 28."	
7 Mar 57	Press 101	"New-York, Feb. 28."	
7 Mar 57	Press 101	"Charlestown, (South-Carolina) December 30."	
10 Mar 57	Press 2853	"Charles-Town, (in South-Carolina) Dec. 30."	
25 Apr 57	Press 246	"Charles-Town, (South-Carolina) March 17."	
25 Apr 57	Press 108	"New-York, April 18."	
5 May 57	Press 2861	"Charles-Town, (South-Carolina) March 17."	
23 May 57	Press 1134	[Bristol; Colony; Rhode-Island; Week; Capt. Wolfe; Privateer Sloop; Tons; Guns].	
30 May 57	Press 750	"Boston, May 23."	
30 May 57	Press 750	"Boston, May 23."	
30 May 57	Press 251	"Boston, May 23."	
30 May 57	Press 750	"Boston, May 23."	
30 May 57	Press 251	"Boston, May 23."	
30 May 57	Press 750	"Boston, May 23."	
6 Jun 57	Press 114	"New-York, May 30."	
9 Jun 57	Press 2866	"New-York, May 30."	
4 Jul 57	Press 256	[Captain Middleton; Days; Turk-Islands; Captains; Conyers; Robinson; Bermuda; Sloop; Jamaica].	
18 Jul 57	Press 757	"Charles-Town, (in South-Carolina) June 9."	
18 Jul 57	Press 258	"Charles-Town, (in South-Carolina) June 9."	
8 Aug 57	Press 1145	"New York, Aug. 1."	
8 Aug 57	Press 123	"New-York, August 1."	
5 Sep 57	Press 3	"New-York, August 29."	
19 Sep 57	Press 5	"New-York, September 12."	
14 Nov 57	Press 773	"Charlestown, South-Carolina, September 29."	
14 Nov 57	Press 773	"Charlestown, South-Carolina, September 29."	
14 Nov 57	Press 773	"Charlestown, South Carolina, September 29."	
14 Nov 57	Press 773	"Charlestown, South-Carolina, September 29."	
14 Nov 57	Press 773	"Charlestown, South Carolina, September 29."	
14 Nov 57	Press 773	"Charlestown, South-Carolina, September 29."	
14 Nov 57	Press 274	"Charles-Town, (South-Carolina) September 29."	
14 Aug 58	Press 313	"Extract of a Letter from Kingston, in Jamaica, Dated July 8."	
23 Oct 58	Press 62	"New-York, October 16."	
22 Jan 59	Press 1221	"Extract of a Letter from the Bay of Honduras, Nov. 19."	
16 Apr 59	Press 1233	"New-York, April 9. 1759."	
11 Jun 59	Press 1241	"Extract of a Letter from the Bay of Honduras, April 23."	
20 Aug 59	Press 1251	"New-York, August 13."	
27 Aug 59	Press 28	"Charles-Town, in South-Carolina, July 21."	
20 Sep 59	Press 2038	"Since Our Last Was Have Received from South-Carolina, the following Late Advices, Viz."	
11 Feb 60	Press 1276	"Extract of a Letter from an Inhabitant at the Bay of Honduras, to His Friend at Jamaica."	
3 Mar 60	Press 56	"Boston, February 25."	
3 Mar 60	Press 394	"Boston, February 25."	
3 Mar 60	Press 56	"Boston, February 25."	
3 Mar 60	Press 394	"Boston, February 25."	
21 May 64	Press 1498	"New-York, May 14."	
7 Jun 64	Press 3146	"From the Newport Mercury, of Monday Last, 4th of June. Newport, Rhode-Island, June 4."	
11 Jun 64	Press 288	"New-Port, (in Rhode-Island) June 4."	
11 Jun 64	Press 356	"Newport, Rhode-Island, June 4."	
23 Jul 64	Press 362	"New-York, July 16."	
26 Jul 64	Press 3153	"New-York, July 16."	
20 Aug 64	Press 669	"Charles-Town, in South-Carolina."	
27 Aug 64	Press 1512	"Charlestown, South-Carolina, July 25."	
17 Sep 64	Press 673	"Newport, September 10."	
29 Sep 64	Press 1521	"Yesterday Se'nnight the Duke of Cumberland Packet,  Capt. Goodridge, Arrived at New-York in 34 Days from Almouth."	
15 Oct 64	Press 1519	From the Amsterdam Gazette.	
22 Oct 64	Press 307	"[Sailed; Deal; September; Prince; Wales, Smith; Boston; Pitt Packet; Dixey; Hannah]."	
22 Oct 64	Press 307	"[Sailed; Deal; September; Prince; Wales, Smith; Boston; Pitt Packet; Dixey; Hannah]."	
29 Oct 64	Press 679	[Saturday Week; Capt. Bruce; Boston; London; Days; Land; Prints].	
29 Oct 64	Press 679	[Saturday Week; Capt. Bruce; Boston; London; Days; Land; Prints].	
29 Oct 64	Press 376	"New-York, Octo. 22."	
28 Jan 65	Press 1534	"Charlestown, South-Carolina, Nov. 5."	
31 Jan 65	Press 3180	"Charles-Town, South-Carolina, Nov. 5."	
4 Feb 65	Press 390	"Charles-Town, South Carolina, Nov. 5."	
25 Mar 65	Press 397	"New-York, March 18."	
15 Apr 65	Press 1545	"New-York, April 8."	
15 Apr 65	Press 400	"New-York, April 8."	
27 May 65	Press 530	"New-York, May 20."	
3 Jun 65	Press 710	"Newport, May 27."	
6 Jun 65	Press 3198	"New-York, May 23."	
10 Jun 65	Press 711	"Newport, June 3."	
10 Jun 65	Press 1553	"New-York, June 3."	
17 Jun 65	Press 712	"Newport, June 10."	
24 Jun 65	Press 1555	"New-York, June 17."	
24 Jun 65	Press 534	"New-York, June 17."	
24 Jun 65	Press 410	"New-York, June 17."	
27 Jun 65	Press 3201	"New-York, June 17."	
1 Jul 65	Press 535	"New-York, June 24. Extract of a Letter from Detroit, May 19."	
1 Jul 65	Press 411	"New-York, June 24. Extract of a Letter from Detroit, May 19, 1765."	
8 Jul 65	Press 715	"St. Jago De La Vega, in Jamaica, April 27."	
22 Jul 65	Press sn	"St. Jago De La Vega, (in Jamaica) April 27."	
22 Jul 65	Press 1559	"New-York, July 15."	
22 Jul 65	Press 538	"New-York, July 11."	
19 Aug 65	Press 721	"Newport, Rhode-Island, August 12."	
19 Aug 65	Press 721	"Newport, Rhode-Island, August 12."	
19 Aug 65	Press 418	"New-York, Aug. 12."	
19 Aug 65	Press 1562	Translation of a Letter from the Governor of Jucatan Sir William Burnaby in the Bay of Honduras.	
22 Aug 65	Press 3209	"New-York, Aug. 12."	
9 Sep 65	Press 1565	"New-York, Sept. 2."	
7 Oct 65	Press 1569	"New-York, Sept. 30."	
7 Oct 65	Press 549	"New-York, September 30."	
7 Oct 65	Press 425	"New-York, Sept. 30."	
10 Oct 65	Press 3236	"New-York, Sept. 30."	
31 Oct 65	Bur 11431	Articles of Intelligence from the other Daily Papers of yesterday.	
16 Dec 65	Press 738	"Boston, December 9."	
16 Dec 65	Press 738	"Boston, December 9."	
20 Jan 66	Press 351	"Extract of a Letter from Kakazaine, in the Bay of Honduras, Dated November 29, 1765."	
20 Jan 66	Press 743	"Extract of a Letter from Kakazaine, in the Bay of Honduras, Dated November 29, 1765."	
10 Feb 66	Press 443	"Extract of a Letter from South-Carolina, Dec. 29."	
10 Feb 66	Bur 11 518	London.	
13 Mar 66	Press sn	"New-York, Feb. 22."	
17 Mar 66	Press 448	"New-York, Feb. 22."	
26 May 66	Press 458	"New-York, May 19."	
29 May 66	Press 3269	"New-York, May 19."	
28 Jul 66	Press 467	"New-York, July 21."	
31 Jul 66	Press 3278	"New-York, July 21."	
27 Oct 66	Press 394	"Charles-Town, (South Carolina) September 26."	
17 Nov 66	Press 397	"Charles-Town, (So. Carolina) October 28."	
17 Nov 66	Press 786	"Charles-Town, in S. Carolina, Oct. 21."	
2 Feb 67	Press 408	"Charles-Town, (South Carolina)."	
5 Feb 67	Press 1257	"Charles-Town, (South-Carolina,) December 16."	
5 Feb 67	Press 1257	Charles-Town (South Carolina) Dec. 9.	
12 Feb 67	Press 3306	"Charlestown, South-Carolina, Dec. 30."	
30 Mar 67	Press 804	"Newport, March 23."	
2 Apr 67	Press 1265	"Newport, (in Rhode-Island) March 23."	
2 Apr 67	Press 1265	"Newport, (in Rhode-Island) March 23."	
7 May 67	Press 3318	The Petition of Merchant in the City of New-York.	
11 May 67	Press 422	"Charlestown, (S. Carolina) April 13."	
11 May 67	Press 422	"Charlestown, (S. Carolina) April 13."	
14 May 67	Press 1271	"Charlestown, (South-Carolina) April 13."	
14 May 67	Press 1271	"Charlestown, (South-Carolina) April 13."	
1 Jun 67	Press 813	Kingston (in Jamaica) April 18.	
1 Jun 67	Press 813	[English; Packet; April; American Affairs; Boston; Disgust; Great-Britain; House; Lords].	
1 Jun 67	Press 813	[English; Packet; April; American Affairs; Boston; Disgust; Great-Britain; House; Lords].	
4 Jun 67	Press 1274	"Kingston, (in Jamaica) April 18."	
4 Jun 67	Press 1274	"Kingston, (in Jamaica) April 18."	
15 Jun 67	Press 427	"Kingstown, (in Jamaica) April 18."	
6 Jul 67	Press 1659	"New-York, June 29."	
16 Jul 67	Press 1280	"Boston, July 9."	
16 Jul 67	Press 1280	"Boston, July 9."	
16 Jul 67	Press 1280	"Boston, July 9."	
16 Jul 67	Press 1280	"Boston, July 9."	
20 Jul 67	Press 432	"Boston, July 13."	
27 Jul 67	Press 433	"Charlestown, May 15."	
6 Aug 67	Press 1283	"Charlestown, May 15."	
17 Aug 67	Press 436	Mortuary Notice.	
21 Sep 67	Press 441	"Charlestown, (South-Carolina)."	
21 Sep 67	Press 441	"Charlestown, (South-Carolina)."	
12 Nov 67	Press 1297	"Boston, November 2."	
16 Nov 67	Press 449	Charlestown (South-Carolina) Octo. 16.	
16 Nov 67	Press 449	Charlestown (South-Carolina) Octo. 16.	
16 Nov 67	Press 535	"New-York, Nov. 9."	
19 Nov 67	Press 3346	"New-York, November 12."	
2 May 68	Press 1322	Charles-Town (South-Carolina) April 19.	
2 May 68	Press 1322	Charles-Town (South-Carolina) April 19.	
23 May 68	Press 1325	"Charles-Town, South-Carolina, May 2, 1768."	
23 May 68	Press 1325	"(Charles-Town, South-Carolina) May 2, 1768."	
1 Aug 68	Press 1714	"Philadelphia, July 18. Extract of a Letter from a Gentleman in New-York, Dated the 14th Instant."	
22 Aug 68	Press 877	"Newport, August 15."	
22 Aug 68	Press 1338	"New-Port, (Rhode Island) August 15."	
22 Aug 68	Press 1338	"New-Port, (Rhode-Island) August 15."	
13 Oct 68	Press 1345	"Extract of a Letter from Kingston in Jamaica, Dated Sept. 3, 1768."	
12 Dec 68	Press 893	"Boston, December 5."	
23 Jan 69	Press 1739	"New-York, January 16."	
26 Jan 69	Press 3408	"New-York, January 16."	
22 May 69	Press 1377	"Charles-Town, (South-Carolina) May 2."	
22 May 69	Press 1377	"Charles-Town, (South-Carolina,) May 2."	
25 May 69	Press 21	"America. Charlestown, (South Carolina) April 27."	
29 May 69	Press 1757	"Charlestown, South-Carolina, May 2."	
29 May 69	Press 615	"Charlestown, South-Carolina, April 30."	
1 Jun 69	Press 1378	"Extract of a Letter from the Bay of Honduras, Dated Dec. 12, 1768."	
26 Jun 69	Press 1382	[Custon-House; New York; Inward Entries; Brig Polly; Walsh; Honduras; J. Hamiliton].	
3 Aug 69	Press 3435	"New-York, July 24."	
7 Aug 69	Press 625	"New-York, July 24."	
4 Sep 69	Press 752	"New-York, August 28."	
16 Oct 69	Press 1398	"Charles-Town, (South-Carolina,) Sept. 12."	
26 Oct 69	Press 1399	"Charles-Town, (So. Carolina) August 31."	
30 Oct 69	Press 940	"Charles-Town, (South Carolina) August 31."	
16 Nov 69	Press 1402	"Charles-Town, (South-Carolina,) October 5."	
1 Feb 70	Press 1413	"Boston, January 25."	
1 Sep 70	Bur 5757	London.	
29 Nov 70	Press 1456	Abstract of a Letter from Jamaica.	
20 Dec 70	Press 3507	"New-York, December 10."	
7 Jan 71	Press 1002	"Charles-Town, (South-Carolina,) Oct. 9."	
14 Jan 71	Press 1003	"Newport, January 7."	
14 Jan 71	Press 60	"Newport, [Rhode-Island] January 7."	
17 Jan 71	Press 1463	"Newport, January 7."	
4 Apr 71	Press 3522	"New-York, March 28."	
8 Apr 71	Press 708	"New-York, March 28."	
11 Jul 71	Press 3535	"New-York, July 1."	
18 Jul 71	Press 20	"New-York, July 8."	
22 Aug 71	Press 3541	"Charlestown, S. Carolina, July 18."	
19 Sep 71	Press 3545	"Charlestown, (S. Carolina) August 20."	
21 Oct 71	Press 739	"New-York, Octo. 14."	
4 Nov 71	Press 1884	"New-York, Octob. 24."	
23 Dec 71	Press 1891	"Charlestown, So. Carolina, Nov. 22."	
30 Mar 72	Press 1066	"Boston, March 19."	
30 Apr 72	Bur 6915	London.	
6 Jul 72	Press 1919	"New-York, June 25."	
6 Jul 72	Press 776	"New-York, June 29."	
9 Jul 72	Press 3488	"New-York, June 25."	
9 Jul 72	Press 73	"New-York, June 25."	
28 Sep 72	Press 1931	"New-York, Sept. 21, 1772."	
28 Sep 72	Press 788	"New-York, Sept. 21."	
9 Nov 72	Press 1937	"New-York, Nov. 2, 1772."	
19 Nov 72	Press 3607	"New-York, November 9."	
3 May 73	Press 820	"New-York, May 3."	
21 Jun 73	Press 1130	"Kingston, (In Jamaica) May 1."	
24 Jun 73	Press 1590	"Kingston, (in Jamaica,) May 1."	
12 Jul 73	Press 830	"New-York, July 8. to the Public."	
15 Jul 73	Press 3641	"New-York, July 8."	
19 Jul 73	Press 1973	"New-York, July 8, 1773."	
5 Aug 73	Press 16	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4, 1773."	
9 Aug 73	Press 1137	"Extract of a Letter from St. George, Key, Bay of Honduras, June 4, 1773."	
19 Aug 73	Press 133	"Extract of a Letter from St. George's Key, Bay of Honduras, June 4, 1773."	
30 Aug 73	Press 1140	"Extract of a Letter from the Bay of Honduras, June 19."	
