Series F 0—170 / Public Finances.
ID	NO	YR	REV	EXP	LOAN EXP	DEBT	CF	NOTE	REV	EXP	LOAN EXP	DEBT	CF	NOTE	END	
F 21	21	1821	"£	12,306"	"£	12,027"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 22	22	1822	"£	14,831"	"£	14,296"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 23	23	1823	"£	19,294"	"£	21,012"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 24	24	1824	"£	14,125"	"£	14,163"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 25	25	1825	"£	17,594"	"£	17,634"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 26	26	1826	"£	13,256"	"£	13,755"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 27	27	1827	"£	17,416"	"£	17,562"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 28	28	1828	"£	12,460"	"£	10,760"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 29	29	1829	"£	11,057"	"£	11,150"	xnp	xnp	Martin 140–141	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 30	30	1830	"£	24,885"	"£	15,807"	xnp	xnp	Martin 140–141	xnp	"BZD	74,658"	"BZD	66,391"	xnp	xnp	CP 1005 p 163	xnp	###	
F 31	31	1831	"£	13,943"	"£	13,721"	xnp	xnp	Martin 140–141	xnp	"BZD	58,563"	"BZD	57,629"	xnp	xnp	CP 1005 p 163	xnp	###	
F 32	32	1832	"£	16,824"	"£	16,997"	xnp	xnp	Martin 140–141	xnp	"BZD	70,251"	"BZD	84,990"	xnp	xnp	CP 1005 p 163	xnp	###	
F 33	33	1833	"£	15,157"	"£	16,802"	xnp	xnp	Martin 140–141	xnp	"BZD	63,660"	"BZD	70,569"	xnp	xnp	CP 1005 p 163	xnp	###	
F 34	34	1834	"£	17,507"	"£	16,954"	xnp	xnp	CP 869 p 103	xnp	"BZD	73,530"	"BZD	71,208"	xnp	xnp	CP 1005 p 163	"7,500l. currency pub debt on 30 Sep 1835 /CO 884/1/18 p37"	###	
F 35	35	1835	"£	20,072"	"£	16,566"	xnp	xnp	CP 869 p 103	xnp	"BZD	84,300"	"BZD	69,578"	xnp	xnp	CP 1005 p 163	xnp	###	
F 36	36	1836	"£	21,188"	"£	15,205"	xnp	xnp	CP 869 p 103	xnp	"BZD	88,999"	"BZD	63,860"	xnp	xnp	CP 1005 p 163	xnp	###	
F 37	37	1837	"£	16,602"	"£	16,393"	xnp	xnp	CP 869 p 103	xnp	"BZD	69,728"	"BZD	68,851"	xnp	xnp	CP 1005 p 163	xnp	###	
F 38	38	1838	"£	15,740"	"£	16,593"	xnp	xnp	CP 869 p 103	xnp	"BZD	78,698"	"BZD	82,963"	xnp	xnp	CP 1005 p 163	xnp	###	
F 39	39	1839	"£	13,753"	"£	15,971"	xnp	xnp	CP 869 p 103	xnp	"BZD	68,764"	"BZD	79,854"	xnp	xnp	CP 1005 p 163	xnp	###	
F 40	40	1840	"£	12,246"	"£	12,538"	xnp	xnp	CP 869 p 103	xnp	"BZD	61,231"	"BZD	62,688"	xnp	xnp	CP 1005 p 163	xnp	###	
F 41	41	1841	"£	13,880"	"£	12,696"	xnp	xnp	CP 869 p 103	xnp	"BZD	69,400"	"BZD	63,480"	xnp	xnp	CP 1005 p 163	xnp	###	
F 42	42	1842	"£	12,516"	"£	13,460"	xnp	xnp	CP 869 p 103	xnp	"BZD	62,578"	"BZD	67,298"	xnp	xnp	CP 1005 p 163	xnp	###	
F 43	43	1843	"£	17,229"	"£	14,921"	xnp	xnp	CP 869 p 103	xnp	"BZD	86,145"	"BZD	74,605"	xnp	xnp	CP 1005 p 163	xnp	###	
F 44	44	1844	"£	17,370"	"£	14,163"	xnp	xnp	BB 1845 p 30 / CP 869 p 103	xnp	"BZD	86,850"	"BZD	70,813"	xnp	xnp	CP 1005 p 163	xnp	###	
F 45	45	1845	"£	22,373"	"£	18,302"	xnp	xnp	BB 1845 p 30 / CP 869 p 103	xnp	"BZD	111,863"	"BZD	91,510"	xnp	xnp	CP 1005 p 163	xnp	###	
F 46	46	1846	"£	21,667"	"£	19,201"	xnp	xnp	CP 869 p 103	xnp	"BZD	108,336"	"BZD	96,003"	xnp	xnp	CP 1005 p 163	xnp	###	
F 47	47	1847	"£	16,679"	"£	21,809"	xnp	xnp	CP 1126 p 269	"No revenue from loans < 1847, from haphazard sample of rev statemetns"	"BZD	83,395"	"BZD	109,045"	xnp	xnp	CP 1005 p 163	xnp	###	
F 48	48	1848	"£	12,394"	"£	17,017"	xnp	xnp	CP 1126 p 269	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 49	49	1849	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 50	50	1850	"£	13,463"	"£	13,844"	xnp	xnp	CP 2127 p 215	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 51	51	1851	"£	17,964"	"£	13,622"	xnp	"£	2,000"	CP 1693 p 38;  / CP 2127 p 215	Debt termed “liabilities incurred” < 1852	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 52	52	1852	"£	13,481"	"£	18,543"	xnp	xnp	CP 2127 p 215	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 53	53	1853	"£	17,706"	"£	17,384"	xnp	xnp	CP 2127 p 215	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 54	54	1854	"£	26,327"	"£	19,376"	xnp	xnp	CP 2127 p 215	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 55	55	1855	"£	22,585"	"£	21,511"	xnp	xnp	CP 2441 p 121	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 56	56	1856	"£	22,623"	"£	26,236"	xnp	xnp	CP 2741 p 131	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 57	57	1857	"£	25,120"	"£	26,469"	xnp	xnp	CP 2741 p 131	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 58	58	1858	"£	22,176"	"£	20,544"	xnp	"£	0"	CP 2711 p 4 / CP 2841 p 13	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 59	59	1859	"£	22,982"	"£	25,778"	xnp	xnp	CP 2841 p 13 / CP 2841 p 13	“Loan … [for] new bridge” taken up	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 60	60	1860	"£	35,716"	xnp	xnp	"£	0"	CP 147	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 61	61	1861	"£	35,757"	"£	22,724"	xnp	"£	0"	CP 3165 p 6	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 62	62	1862	"£	27,294"	"£	32,175"	xnp	"£	0"	C.2093 / CP 4090 p 18	"Exc loans raised, spent > 1862"	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 63	63	1863	"£	27,898"	"£	28,642"	xnp	"£	5,625"	C.2093	"Bullion, specie Imp Exp not specified"	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 64	64	1864	"£	31,544"	"£	28,365"	xnp	"£	21,562"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 65	65	1865	"£	26,530"	"£	35,614"	xnp	"£	28,239"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 66	66	1866	"£	27,334"	"£	31,094"	xnp	"£	32,919"	C.2093 / CP 3995 p 11	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 67	67	1867	"£	35,720"	"£	32,644"	xnp	"£	34,515"	C.2093	Debt likely exc loans from HM Gov; CP 4090 p 18	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 68	68	1868	"£	42,416"	"£	39,720"	xnp	"£	39,277"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 69	69	1869	"£	36,630"	"£	30,404"	xnp	"£	34,121"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 70	70	1870	"£	32,674"	"£	26,220"	xnp	"£	29,591"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 71	71	1871	"£	42,881"	"£	25,454"	xnp	"£	29,591"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 72	72	1872	"£	38,720"	"£	29,350"	xnp	"£	22,321"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 73	73	1873	"£	51,946"	"£	34,407"	xnp	"£	15,591"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 74	74	1874	"£	43,723"	"£	40,063"	xnp	"£	15,391"	C.2093	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 75	75	1875	"£	41,906"	"£	40,839"	xnp	"£	13,062"	C.2093	xnp	"BZD	209,531"	"BZD	204,197"	xnp	"BZD	65,312"	C.6160	"Rev, Exp exc loans raised and repaid"	###	
F 76	76	1876	"£	40,231"	"£	36,615"	xnp	"£	5,041"	C.2093	xnp	"BZD	213,193"	"BZD	194,035"	xnp	"BZD	26,711"	C.6160	xnp	###	
F 77	77	1877	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	220,387"	"BZD	211,595"	xnp	"BZD	26,711"	C.6160	xnp	###	
F 78	78	1878	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	204,836"	"BZD	259,314"	xnp	"BZD	22,893"	C.6160	xnp	###	
F 79	79	1879	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	204,650"	"BZD	257,305"	xnp	"BZD	5,636"	C.6160	xnp	###	
F 80	80	1880	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	219,423"	"BZD	312,770"	xnp	"BZD	0"	C.6160 / C.3094 p 39	xnp	###	
F 81	81	1881	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	221,492"	"BZD	206,623"	xnp	"BZD	0"	C.6160 / C.3388 p 61	xnp	###	
F 82	82	1882	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	235,411"	"BZD	225,847"	xnp		C.6160	xnp	###	
F 83	83	1883	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	259,417"	"BZD	199,598"	xnp	"BZD	0"	C.6160 / C.4193	xnp	###	
F 84	84	1884	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	257,373"	"BZD	265,899"	xnp		C.6160	xnp	###	
F 85	85	1885	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	261,227"	"BZD	316,175"	xnp		C.6160 / Cd.307	"1885–87 Loan Exp = $61,162.105263158"	###	
F 86	86	1886	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	271,810"	"BZD	312,775"	xnp	"BZD	55,749"	C.6160 / Cd.307	"1885–87 Loan Exp = $61,162.105263159"	###	
F 87	87	1887	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	280,142"	"BZD	294,295"	xnp	"BZD	55,749"	C.6160 / Cd.307	"1885–87 Loan Exp = $61,162.105263160"	###	
F 88	88	1888	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	381,118"	"BZD	364,266"	"BZD	62,234"	"BZD	146,996"	C.6160 / Cd.307	xnp	###	
F 89	89	1889	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	442,537"	"BZD	381,162"	"BZD	11,212"	"BZD	146,996"	C.6160 / Cd.307	xnp	###	
F 90	90	1890	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	332,134"	"BZD	293,507"	"BZD	50,945"	"BZD	114,130"	Cd.307	xnp	###	
F 91	91	1891	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	478,252"	"BZD	412,170"	"BZD	53,572"	"BZD	154,780"	Cd.307	xnp	###	
F 92	92	1892	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	392,197"	"BZD	386,391"	"BZD	46,403"	"BZD	143,974"	Cd.307	xnp	###	
F 93	93	1893	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	313,191"	"BZD	379,155"	"BZD	30,269"	"BZD	272,758"	Cd.307	xnp	###	
F 94	94	1894	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	174,741"	"BZD	206,043"	"BZD	10,641"	"BZD	158,845"	Cd.307	xnp	###	
F 95	95	1895	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	224,398"	"BZD	258,540"	"BZD	9,589"	"BZD	158,845"	Cd.307	xnp	###	
F 96	96	1896	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	294,218"	"BZD	253,414"	"BZD	521"	"BZD	158,845"	Cd.307	xnp	###	
F 97	97	1897	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	295,471"	"BZD	300,515"	"BZD	3,398"	"BZD	158,845"	Cd.307	xnp	###	
F 98	98	1898	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	258,710"	"BZD	283,876"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 99	99	1899	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	235,888"	"BZD	247,144"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 100	100	1900	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	272,872"	"BZD	231,878"	xnp	"BZD	158,995"	Cd.7165	"Rev, Exp, Exp Ln > 1900 given for fin yr ended following yr"	###	
F 101	101	1901	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	256,051"	"BZD	241,720"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 102	102	1902	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	244,251"	"BZD	237,330"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 103	103	1903	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	283,386"	"BZD	250,311"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 104	104	1904	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	291,474"	"BZD	265,572"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 105	105	1905	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	312,475"	"BZD	282,594"	xnp	"BZD	158,995"	Cd.7165	xnp	###	
F 106	106	1906	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	368,692"	"BZD	297,209"	"BZD	5,227"	"BZD	158,995"	Cd.7165	xnp	###	
F 107	107	1907	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	371,818"	"BZD	317,921"	"BZD	168,218"	"BZD	158,995"	Cd.7165	xnp	###	
F 108	108	1908	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	339,576"	"BZD	316,603"	"BZD	187,690"	"BZD	158,995"	Cd.7165	xnp	###	
F 109	109	1909	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	372,450"	"BZD	405,292"	"BZD	151,823"	"BZD	158,995"	Cmd. 2738	xnp	###	
F 110	110	1910	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	432,142"	"BZD	461,029"	"BZD	49,691"	"BZD	158,995"	Cmd. 2738	xnp	###	
F 111	111	1911	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	468,851"	"BZD	413,773"	"BZD	86,890"	"BZD	891,354"	Cmd. 2738	xnp	###	
F 112	112	1912	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	508,728"	"BZD	456,108"	"BZD	118,889"	"BZD	891,354"	Cmd. 2738	xnp	###	
F 113	113	1913	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	539,881"	"BZD	485,847"	"BZD	87,563"	"BZD	891,354"	Cmd. 2738	xnp	###	
F 114	114	1914	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	474,271"	"BZD	517,553"	"BZD	44,134"	"BZD	891,354"	Cmd. 2738	xnp	###	
F 115	115	1915	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	486,309"	"BZD	505,790"	"BZD	1,488"	"BZD	891,354"	Cmd. 2738	xnp	###	
F 116	116	1916	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	602,237"	"BZD	577,140"	"BZD	362"	"BZD	823,079"	Cmd. 2738	xnp	###	
F 117	117	1917	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	636,246"	"BZD	635,367"	"BZD	481"	"BZD	823,079"	Cmd. 2738	xnp	###	
F 118	118	1918	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	678,590"	"BZD	631,083"	"BZD	2,504"	"BZD	823,079"	Cmd. 2738	xnp	###	
F 119	119	1919	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,002,622"	"BZD	923,770"	"BZD	1,007"	"BZD	823,079"	Cmd. 2738	xnp	###	
F 120	120	1920	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,063,128"	"BZD	873,901"	"BZD	39,557"	"BZD	823,079"	Cmd. 2738	xnp	###	
F 121	121	1921	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,039,862"	"BZD	1,327,372"	"BZD	132,273"	"BZD	625,997"	Cmd. 2738	xnp	###	
F 122	122	1922	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,070,273"	"BZD	1,033,944"	"BZD	197,311"	"BZD	793,099"	Cmd. 3434	xnp	###	
F 123	123	1923	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,028,520"	"BZD	1,132,084"	"BZD	262,413"	"BZD	701,645"	Cmd. 3434	xnp	###	
F 124	124	1924	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	883,453"	"BZD	866,545"	"BZD	127,426"	"BZD	701,645"	Cmd. 3434	xnp	###	
F 125	125	1925	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	937,382"	"BZD	913,073"	"BZD	35,519"	"BZD	701,645"	Cmd. 3434	xnp	###	
F 126	126	1926	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,050,426"	"BZD	978,976"	"BZD	66,933"	"BZD	701,645"	Cmd. 3434	xnp	###	
F 127	127	1927	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,005,057"	"BZD	1,046,334"	"BZD	65,326"	"BZD	701,645"	Cmd. 3434	xnp	###	
F 128	128	1928	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	979,530"	"BZD	984,107"	"BZD	32,041"	"BZD	1,661,538"	Cmd. 5298	xnp	###	
F 129	129	1929	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	974,952"	"BZD	961,221"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298	xnp	###	
F 130	130	1930	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,093,961"	"BZD	1,020,725"	"BZD	4,577"	"BZD	1,757,661"	Cmd. 5298	xnp	###	
F 131	131	1931	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	823,903"	"BZD	974,952"	"BZD	9,154"	"BZD	1,757,661"	Cmd. 5298	xnp	###	
F 132	132	1932	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	842,212"	"BZD	883,408"	"BZD	567,578"	"BZD	2,444,247"	Cmd. 5298	xnp	###	
F 133	133	1933	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	993,261"	"BZD	901,716"	"BZD	425,683"	"BZD	2,540,369"	Cmd. 5298	xnp	###	
F 134	134	1934	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	590,464"	"BZD	768,976"	"BZD	32,041"	"BZD	2,810,426"	Cmd. 5298	"Rev, Exp, Exp Ln, Debt exc last Q of fin yr"	###	
F 135	135	1935	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,277,050"	"BZD	1,272,473"		"BZD	2,920,280"	Cmd. 5298	xnp	###	
F 136	136	1936	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	xnp	###	
F 137	137	1937	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,551,160"	"BZD	1,531,400"	xnp	xnp	Cmd. 7167	All figs for calendar years	###	
F 138	138	1938	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,740,840"	"BZD	1,872,870"	xnp	"BZD	3,080,198"	Cmd. 7167 / Cmd. 6607	"Rev, Exp inc Exp Ln"	###	
F 139	139	1939	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,966,860"	"BZD	1,966,860"	xnp	xnp	Cmd. 7167	xnp	###	
F 140	140	1940	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,757,080"	"BZD	1,684,540"	xnp	xnp	Cmd. 7167	xnp	###	
F 141	141	1941	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,575,730"	"BZD	1,523,340"	xnp	xnp	Cmd. 7167	xnp	###	
F 142	142	1942	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,648,270"	"BZD	1,636,180"	xnp	xnp	Cmd. 7167	xnp	###	
F 143	143	1943	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	1,877,980"	"BZD	1,837,680"	xnp	xnp	Cmd. 7167	xnp	###	
F 144	144	1944	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,510,690"	"BZD	2,462,330"	xnp	xnp	Cmd. 7167	xnp	###	
F 145	145	1945	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,506,660"	"BZD	2,530,840"	xnp	xnp	Cmd. 7167	xnp	###	
F 146	146	1946	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,498,600"	"BZD	2,635,620"	xnp	xnp	Cmd. 7167	xnp	###	
F 147	147	1947	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,505,798"	"BZD	2,909,985"	xnp	xnp	Col Rep 49	All figs for calendar years	###	
F 148	148	1948	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,579,713"	"BZD	3,394,916"	xnp	xnp	Col Rep 49	xnp	###	
F 149	149	1949	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	2,387,242"	"BZD	3,847,374"	xnp	"BZD	1,160,503"	Col Rep 49	xnp	###	
F 150	150	1950	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	5,360,473"	"BZD	5,415,752"	xnp	xnp	Col Rep 52	xnp	###	
F 151	151	1951	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	4,883,952"	"BZD	4,441,305"	xnp	xnp	Col Rep 52	xnp	###	
F 152	152	1952	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	4,921,202"	"BZD	4,907,330"	xnp	"BZD	1,489,718"	Col Rep 52	xnp	###	
F 153	153	1953	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	5,768,045"	"BZD	5,528,355"	xnp	"BZD	1,917,423"	Col Rep 54	xnp	###	
F 154	154	1954	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	5,330,232"	"BZD	5,339,679"	xnp	"BZD	2,121,512"	Col Rep 54	xnp	###	
F 155	155	1955	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	5,393,791"	"BZD	5,694,732"	xnp	xnp	Col Rep 56	xnp	###	
F 156	156	1956	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	6,726,936"	"BZD	6,702,208"	xnp	"BZD	3,071,849"	Col Rep 56	xnp	###	
F 157	157	1957	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	8,691,319"	"BZD	8,002,687"	xnp	xnp	Col Rep 58	xnp	###	
F 158	158	1958	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	8,776,448"	"BZD	9,262,267"	xnp	"BZD	4,177,868"	Col Rep 58	xnp	###	
F 159	159	1959	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	10,372,232"	"BZD	10,401,434"	xnp	xnp	Col Rep 59-61	xnp	###	
F 160	160	1960	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	8,491,468"	"BZD	9,365,721"	xnp	xnp	Col Rep 59-61	xnp	###	
F 161	161	1961	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	10,491,393"	"BZD	9,316,775"	xnp	"BZD	4,617,755"	Col Rep 59-61	xnp	###	
F 162	162	1962	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	12,247,205"	"BZD	11,958,069"	xnp	xnp	Col Rep 62-63	xnp	###	
F 163	163	1963	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	9,676,856"	"BZD	17,219,056"	xnp	"BZD	4,519,847"	Col Rep 62-63	xnp	###	
F 164	164	1964	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	14,854,882"	"BZD	12,676,880"	xnp	xnp	Col Rep 64-65	xnp	###	
F 165	165	1965	xnp	xnp	xnp	xnp	xnp	xnp	"BZD	13,507,261"	"BZD	13,507,637"	xnp	"BZD	6,585,272"	Col Rep 64-65	xnp	###	
