H1—383 / Treasury rate.
ID	YR	SP $	US $	HON $	HON £	£	d	CF									
H88	1725	1.00			0.31	0.22		Lon 1978									
H89	1726	1.00			0.31	0.22		Lon 1978									
H90	1727	1.00			0.31	0.22		Lon 1978									
H91	1728	1.00			0.31	0.22		Lon 1978									
H92	1729	1.00			0.31	0.22		Lon 1978									
H93	1730	1.00			0.31	0.22		Lon 1978									
H94	1731	1.00			0.31	0.22		Lon 1978									
H95	1732	1.00			0.31	0.22		Lon 1978									
H96	1733	1.00			0.31	0.22		Lon 1978									
H97	1734	1.00			0.31	0.22		Lon 1978									
H98	1735	1.00			0.31	0.22		Lon 1978									
H99	1736	1.00			0.31	0.22		Lon 1978									
H100	1737	1.00			0.31	0.22		Lon 1978									
H101	1738	1.00			0.31	0.22		Lon 1978									
H102	1739	1.00			0.31	0.22		Lon 1978									
H103	1740	1.00			0.31	0.22		Lon 1978									
H104	1741	1.00			0.31	0.22		Lon 1978									
H105	1742	1.00			0.31	0.22		Lon 1978									
H106	1743	1.00			0.31	0.22		Lon 1978									
H107	1744	1.00			0.31	0.22		Lon 1978									
H108	1745	1.00			0.31	0.22		Lon 1978									
H109	1746	1.00			0.31	0.22		Lon 1978									
H110	1747	1.00			0.31	0.22		Lon 1978									
H111	1748	1.00			0.31	0.22		Lon 1978									
H112	1749	1.00			0.31	0.22		Lon 1978									
H113	1750	1.00			0.31	0.22		Lon 1978									
H114	1751	1.00			0.31	0.22		Lon 1978									
H115	1752	1.00			0.31	0.22		Lon 1978									
H116	1753	1.00			0.31	0.22		Lon 1978									
H117	1754	1.00			0.31	0.22		Lon 1978									
H118	1755	1.00			0.31	0.22		Lon 1978									
H119	1756	1.00			0.31	0.22		Lon 1978									
H120	1757	1.00			0.31	0.22		Lon 1978									
H121	1758	1.00			0.32	0.23		Lon 1978									
H122	1759	1.00			0.32	0.23		Lon 1978									
H123	1760	1.00			0.32	0.23		Lon 1978									
H124	1761	1.00			0.32	0.23		Lon 1978									
H125	1762	1.00			0.32	0.23		Lon 1978									
H126	1763	1.00			0.32	0.23		Lon 1978									
H127	1764	1.00			0.32	0.23		Lon 1978									
H128	1765	1.00			0.32	0.23		Lon 1978									
H129	1766	1.00			1.28	0.23		Lon 1978									
H130	1767	1.00			1.28	0.23		Lon 1978									
H131	1768	1.00			1.28	0.23		Lon 1978									
H132	1769	1.00			1.28	0.23		Lon 1978									
H133	1770	1.00			1.28	0.23		Lon 1978									
H134	1771	1.00			1.28	0.23		Lon 1978									
H135	1772	1.00			1.28	0.23		Lon 1978									
H136	1773	1.00			1.28	0.23		Lon 1978									
H137	1774	1.00			1.28	0.23		Lon 1978									
H138	1775	1.00			1.28	0.23		Lon 1978									
H139	1776	1.00			1.28	0.23		Lon 1978									
H140	1777	1.00			1.28	0.23		Lon 1978									
H141	1778	1.00			1.28	0.23		Lon 1978									
H142	1779	1.00			1.28	0.23		Lon 1978									
H143	1780	1.00			1.28	0.23		Lon 1978									
H144	1781	1.00			1.28	0.23		Lon 1978									
H145	1782	1.00			1.28	0.23		Lon 1978									
H146	1783	1.00			1.28	0.23		Lon 1978									
H147	1784	1.00			0.32	0.23		Lon 1978									
H148	1785	1.00			0.32	0.23		Lon 1978									
H149	1786	1.00			0.32	0.23		Lon 1893									
H150	1787	1.00			0.32	0.23		Lon 1893									
H151	1788	1.00			0.33	0.20		Lon 1893									
H152	1789	1.00			0.33	0.20		Lon 1893									
H153	1790	1.00			0.33	0.20		Lon 1893									
H154	1791	1.00			0.33	0.20		Lon 1893									
H155	1792	1.00			0.33	0.20		Lon 1893									
H156	1793	1.00			0.33	0.20		Lon 1893									
H157	1794	1.00			0.33	0.20		Lon 1893									
H158	1795	1.00			0.33	0.20		Lon 1893									
H159	1796	1.00			0.33	0.20		Lon 1893									
H160	1797	1.00			0.33	0.20		Lon 1893									
H161	1798	1.00			0.33	0.20		Lon 1893									
H162	1799	1.00			0.33	0.20		Lon 1893									
H163	1800	1.00			0.33	0.20		Lon 1893									
H164	1801	1.00			0.33	0.20		Lon 1893									
H165	1802	1.00			0.33	0.20		Lon 1893									
H166	1803	1.00			0.33	0.20		Lon 1893									
H167	1804	1.00			0.33	0.20		Lon 1893									
H168	1805	1.00			0.33	0.20		Lon 1893									
H169	1806	1.00			0.33	0.20		Lon 1893									
H170	1807	1.00			0.33	0.20		Lon 1893									
H171	1808	1.00			0.33	0.20		Lon 1893									
H172	1809	1.00			0.33	0.20		Lon 1893									
H173	1810	1.00			0.33	0.20		Lon 1893									
H174	1811	1.00			0.33	0.20		Lon 1893									
H175	1812	1.00			0.33	0.20		Lon 1893									
H176	1813	1.00			0.33	0.20		Lon 1893									
H177	1814	1.00			0.33	0.20		Lon 1893									
H178	1815	1.00			0.33	0.20		Lon 1893									
H179	1816	1.00			0.33	0.20		Lon 1893									
H180	1817	1.00			0.33	0.20		Lon 1893									
H181	1818	1.00			0.33	0.20		Lon 1893									
H182	1819	1.00			0.33	0.20		Lon 1893									
H183	1820	1.00			0.33	0.20		Lon 1893									
H184	1821	1.00			0.33	0.20		Lon 1893									
H185	1822	1.00			0.33	0.20		Lon 1893									
H186	1823	1.00			0.33	0.20		Lon 1893									
H187	1824	1.00			0.33	0.20		Lon 1893									
H188	1825	1.00			0.33	0.20		Lon 1893									
H189	1826	1.00			0.33	0.20		Lon 1893									
H190	1827	1.00			0.33	0.20		Lon 1893									
H191	1828	1.00			0.33	0.20		Lon 1893									
H192	1829	1.00			0.33	0.20		Lon 1893									
H193	1830	1.00			0.33	0.20		Lon 1893									
H194	1831	1.00			0.33	0.20		Lon 1893									
H195	1832	1.00			0.33	0.20		Lon 1893									
H196	1833	1.00			0.33	0.20		Lon 1893									
H197	1834	1.00			0.33	0.20		Lon 1893									
H198	1835	1.00			0.33	0.20		Lon 1893									
H199	1836	1.00			0.33	0.20		Lon 1893									
H200	1837	1.00			0.33	0.20		Lon 1893									
H201	1838	1.00			0.33	0.21		Lon 1893									
H202	1839	1.00			0.31	0.21	50	Lon 1893									
H203	1840	1.00			0.31	0.21	50	Lon 1893									
H204	1841	1.00			0.31	0.21	50	Lon 1893									
H205	1842	1.00			0.31	0.21	50	Lon 1893									
H206	1843	1.00			0.31	0.21	50	Lon 1893									
H207	1844	1.00			0.31	0.21	50	Lon 1893									
H208	1845	1.00			0.31	0.21	50	Lon 1893									
H209	1846	1.00			0.31	0.21	50	Lon 1893									
H210	1847	1.00			0.31	0.21	50	Lon 1893									
H211	1848	1.00			0.31	0.21	50	Lon 1893									
H212	1849	1.00			0.31	0.21	50	Lon 1893									
H213	1850	1.00			0.31	0.21	50	Lon 1893									
H214	1851	1.00			0.31	0.21	50	Lon 1893									
H215	1852	1.00			0.31	0.21	50	Lon 1893									
H216	1853	1.00	0.98		0.31	0.21	50	Lon 1893									
H217	1854	1.00	0.98		0.31	0.21	50	Lon 1893									
H218	1855	1.00	0.98	1.00		0.20	48	Lon 1893									
H219	1856	1.00	0.98	1.00		0.20	48	Lon 1893									
H220	1857	1.00	0.98	1.00		0.20	48	Lon 1893									
H221	1858	1.00	0.98	1.00		0.20	48	Lon 1893									
H222	1859	1.00	0.98	1.00		0.20	48	Lon 1893									
H223	1860	1.00	0.98	1.00		0.20	48	Lon 1893									
H224	1861	1.00	0.98	1.00		0.20	48	Lon 1893									
H225	1862	1.00	0.98	1.00		0.20	48	Lon 1893									
H226	1863	1.00	0.98	1.00		0.20	48	Lon 1893									
H227	1864	1.00	0.98	1.00		0.20	48	Lon 1893									
H228	1865	1.00	0.98	1.00		0.20	48	"Blue book p 142
Lon 1893"									
H229	1866	1.00	0.98	1.00		0.20	48	Lon 1893									
H230	1867	1.00	0.98	1.00		0.20	48	"Blue book p 172
Lon 1893"									
H231	1868	1.00	0.98	1.00		0.20	48	"Blue book p 151
Lon 1893"									
H232	1869	1.00	0.98	1.00		0.20	48	"Blue book p 135
Lon 1893"									
H233	1870	1.00	0.98	1.00		0.20	48	"Blue book p 118
Lon 1893"									
H234	1871	1.00	0.98	1.00		0.20	48	Lon 1893									
H235	1872	1.00	0.98	1.00		0.20	48	Lon 1893									
H236	1873	1.00	0.98	1.00		0.20	48	Lon 1893									
H237	1874	1.00	0.98	1.00		0.20	48	Lon 1893									
H238	1875	1.00	0.98	1.00		0.20	48	Lon 1893									
H239	1876	1.00	0.98	1.00		0.20	48	Lon 1893									
H240	1877	1.00	0.98	1.00		0.20	48	Lon 1893									
H241	1878	1.00	0.98	1.00		0.20	48	Lon 1893									
H242	1879	1.00	0.98	1.00		0.20	48	Lon 1893									
H243	1880	1.00	0.98	1.00		0.20	48	Lon 1893									
H244	1881	1.00	0.98	1.00		0.20	48	Lon 1893									
H245	1882	1.00	0.98	1.00		0.20	48	Lon 1893									
H246	1883	1.00	0.98	1.00		0.20	48	Lon 1893									
H247	1884	1.00	0.98	1.00		0.20	48	Lon 1893									
H248	1885	1.00	0.98	1.00		0.20	48	Lon 1893									
H249	1886	1.00	0.98	1.00		0.20	48	"C.5071 p 182
Lon 1893"									
H250	1887	1.00		1.00		0.15	37	"BB 87 p V1
Lon 1893"									
H251	1888	1.00		1.00		0.15	37	"C.5897-1
Lon 1893"									
H252	1889	1.00		1.00		0.14	34	"C.6269
Lon 1893"									
H253	1890	1.00		1.00		0.14	34	"C.6563-3
Lon 1893"									
H254	1891	6.49		6.49		1.00	240	"BB 91 p X1
Lon 1893"									
H255	1892	1.00		1.00		0.15	36	"C.6857-44
Lon 1893"									
H256	1893	1.00		1.00		0.14	33	"C.7319-14
Lon 1893"									
H257	1894		4.86	4.86		1.00	240										
H258	1895		4.86	4.86		1.00	240										
H259	1896		4.86	4.86		1.00	240										
H260	1897		4.86	4.86		1.00	240										
H261	1898		4.86	4.86		1.00	240										
H262	1899		4.86	4.86		1.00	240										
H263	1900		4.86	4.86		1.00	240										
H264	1901		4.86	4.86		1.00	240										
H265	1902		4.86	4.86		1.00	240										
H266	1903		4.86	4.86		1.00	240										
H267	1904		4.86	4.86		1.00	240										
H268	1905		4.86	4.86		1.00	240										
H269	1906		4.86	4.86		1.00	240										
H270	1907		4.86	4.86		1.00	240										
H271	1908		4.86	4.86		1.00	240										
H272	1909		4.86	4.86		1.00	240										
H273	1910		4.86	4.86		1.00	240										
H274	1911		4.86	4.86		1.00	240										
H275	1912		4.86	4.86		1.00	240										
H276	1913		4.86	4.86		1.00	240										
H277	1914		4.86	4.86		1.00	240										
H278	1915		4.86	4.86		1.00	240										
H279	1916		4.86	4.86		1.00	240										
H280	1917		4.86	4.86		1.00	240										
H281	1918		4.86	4.86		1.00	240										
H282	1919		4.86	4.86		1.00	240										
H283	1920		4.86	4.86		1.00	240										
H284	1921		4.86	4.86		1.00	240										
H285	1922		4.86	4.86		1.00	240										
H286	1923		4.86	4.86		1.00	240										
H287	1924		4.86	4.86		1.00	240										
H288	1925		4.86	4.86		1.00	240										
H289	1926		4.86	4.86		1.00	240										
H290	1927		4.86	4.86		1.00	240										
H291	1928		4.86	4.86		1.00	240										
H292	1929		4.86	4.86		1.00	240										
H293	1930		4.86	4.86		1.00	240										
H294	1931		4.86	4.86													
H295	1932		4.86	4.86													
H296	1933		4.86	4.86													
H297	1934		4.86	4.86													
H298	1935		4.86	4.86													
H299	1936		4.86	4.86													
H300	1937		4.86	4.86													
H301	1938		4.86	4.86													
H302	1939		4.86	4.86													
H303	1940		4.86	4.86													
H304	1941		4.86	4.86													
H305	1942		4.86	4.86													
H306	1943		4.86	4.86													
H307	1944		4.86	4.86													
H308	1945		4.86	4.86													
H309	1946		4.86	4.86													
H310	1947		4.86	4.86													
H311	1948		4.86	4.86													
H312	1949		4.86	4.86				Col Rep 49									
H313	1950			4.00		1.00	240										
H314	1951			4.00		1.00	240										
H315	1952			4.00		1.00	240	Col Rep 52									
H316	1953			4.00		1.00	240										
H317	1954			4.00		1.00	240										
H318	1955			4.00		1.00	240										
H319	1956			4.00		1.00	240										
H320	1957			4.00		1.00	240										
H321	1958			4.00		1.00	240										
H322	1959			4.00		1.00	240										
H323	1960			4.00		1.00	240										
H324	1961			4.00		1.00	240										
H325	1962			4.00		1.00	240										
H326	1963			4.00		1.00	240										
H327	1964			4.00		1.00	240										
H328	1965			4.00		1.00	240										
H329	1966			4.00		1.00	240										
H330	1967			4.00		1.00	240										
H331	1968			4.00		1.00	240										
H332	1969			4.00		1.00	240										
H333	1970			4.00		1.00	240										
H334	1971			4.00		1.00											
H335	1972			4.00		1.00											
H336	1973			4.00		1.00											
H337	1974			4.00		1.00											
H338	1975			4.00		1.00											
H339	1976			4.00		1.00											
H340	1977			4.00		1.00											
H341	1978		0.50	1.00													
H342	1979		0.50	1.00													
H343	1980		0.50	1.00													
H344	1981		0.50	1.00													
H345	1982		0.50	1.00													
H346	1983		0.50	1.00													
H347	1984		0.50	1.00													
H348	1985		0.50	1.00													
H349	1986		0.50	1.00													
H350	1987		0.50	1.00													
H351	1988		0.50	1.00													
H352	1989		0.50	1.00													
H353	1990		0.50	1.00													
H354	1991		0.50	1.00													
H355	1992		0.50	1.00													
H356	1993		0.50	1.00													
H357	1994		0.50	1.00													
H358	1995		0.50	1.00													
H359	1996		0.50	1.00													
H360	1997		0.50	1.00													
H361	1998		0.50	1.00													
H362	1999		0.50	1.00													
H363	2000		0.50	1.00													
H364	2001		0.50	1.00													
H365	2002		0.50	1.00													
H366	2003		0.50	1.00													
H367	2004		0.50	1.00													
H368	2005		0.50	1.00													
H369	2006		0.50	1.00													
H370	2007		0.50	1.00													
H371	2008		0.50	1.00													
H372	2009		0.50	1.00													
H373	2010		0.50	1.00													
H374	2011		0.50	1.00													
H375	2012		0.50	1.00													
H376	2013		0.50	1.00													
H377	2014		0.50	1.00													
H378	2015		0.50	1.00													
H379	2016		0.50	1.00													
H380	2017		0.50	1.00													
H381	2018		0.50	1.00													
H382	2019		0.50	1.00													
H383	2020		0.50	1.00													
H384																	
H385																	
H386																	
H387																	
H388																	
H389																	
H390																	
