Even E / Disastrous events.
ID	NO	PART OF	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE
E 6	6	Hos 13	1 January 1638	31 December 1640	Capture of Zacatan	Buccaneers or privateers raid at least one Maya hamlet	Bennett’s or Northern R Lagoon					xxx Ma taken			Zacatan town raided			"MEXICO,250,N.1 "	Jones 89 p289 n59	"Zacatan location /via Jones 89 xv—xvii, p289
Upper End inferred as previous to Lower Start of next raids of Maya hamlets. "
E 8	8	Hos 13	12 March 1638	30 June 1638		Diego el Mulato assaults Sp craft off Sp Hon coast from Trujillo to Amatique	"Trujillo, Amatique"	Alcalde ordinario of Tru Hernando Sarco / Capt. Miguel de Aratigui / vecinos of Olancho	Diego el Mulato					2 Sp craft		300 pesos extraordinary defence spending		"GUATEMALA,16,R.2,N.13 f 51v"	"Cardona Amaya p112-4, p45-6"	
E 10	10	Hos 13	1 May 1638	30 May 1638		"Buccaneers or privateers roam off Trujillo, after which a Sp prisoner of theirs escapes"	"Trujillo, Utila"	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde ordinario of Tru Hernando Sarco / Velador de Punta de Castilla	2 Ships 5 Frigs			1 Sp prisoner / escaped May 38						"GUATEMALA,16,R.2,N.13 f 46r-47v"	"Cardona Amaya p112, p47-8"	
E 12	12	Hos 13	10 February 1639	10 February 1639	Sacking of Guanaja	Diego el Mulato raids and burns native hamlet on Guanaja	Guanaja	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Capt. Francisco Mejía del Tobar / Cacique of Guanaja Alonso Gaitán	Diego el Mulato 2 Ships						Sacked and burnt Guanaja			"GUATEMALA,16,R.2,N.13 f 55r"	"Cardona Amaya p115, p49-50"	
E 14	14	Hos 13	1 May 1639	30 September 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Trujillo"	Trujillo	Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Francisco Mejía del Tobar / Alférez Mayor of Tru Hernando Sarco / Alférez of Tru Roque de Vargas / 6 cavalry / 13 vecinos of Tru	Gov of Prov Nathaniel Butler / William Jackson / 2 Ships 200 men w Miskito and Tolupan allies			1 buccaneer held	vecinos of Tru evac < 15 Jun 38 t ?	3 Sp craft seized				"GUATEMALA,16,R.2,N.13 f 87v-88r
Sloane MS 758 entries 28 Mar, 31 May, 6, 20, 21, 30 Jun 1639
Harlow 23-25"	"Cardona Amaya p115, p59
Kupperman p278-9 n30-1
Goslinga p554 no 76 = Burns p210
Harlow vi
Offen 11 p28-29"	"Native allies from Roatan or Guanaja, possibly under duress /via Cardona Amaya p69 /GUATEMALA,16,R.2,N.13 f 214-5, though see Offen 11 p28-29 on non-coerced alliance with Pech of Guanaja -- On October 15, 1639, Butler received a letter ""from ye Inhabitant Indians of the Iland of Guanaho [Guanaja]; desiringe to be brought off from thence from the cruelties of the Spaniarde ...”/via Offen 11 p29 /Butler, Diary -- 9 Jun, 15 Oct, 4 Nov 1639
Native allies from Cape Gracias a Dios not under duress /via Kupperman 278-9
Almost certainly did not camp in Hon /via Kupperman p278-9
Seizure on 6 Jun 1639 /via Oxford DNB -- Butler [Boteler], Nathaniel
Exclude?
Escaped from buccaneers = Andrés García, of Seville, impressed by William Jackson on Dec 1638 near Cartagena
Imprisoned buccaneer = Richard Buyssi, Eng buccaneer since 1628
Cristobal Rodriguez, Diego de Rivera, and two other vecinos of Truxillo desert Sp in favour of Gov. Butler 
27 Aug 1639 -- Capt. Jackson sells money, plate, indigo, sugar in Boston, under commission of Prov Co /Winthrop 1 309-310
4 Jan 1641 -- Capt. Jackson attends the [Prov] Co with indigo /CSPC I p316 /via Jackson vi
9 Mar 1641 -- indigo rec'd fm Capt. Jackson /CSPC I p318
29 Mar 1641 -- last year [1640] Capt. Jackon brought home retribution /CSPC I p319"
E 16	16	Hos 13	1 September 1639	15 September 1639	Sacking of Roatan	"Buccaneers or privateers, with native allies, raid native hamlet on Roatan, and after a failed attempt to capture the residents, burn the hamlet"	"Roatan, Utila"	"Gov of Sp Hon Francisco de Ávila Lugo / Alcalde of Tru Francisco Mejía del Tobar / Aférez Mayor of Tru Hernando Sarco / Alférez of Tru Roque de Vargas / Capt. Luis Ochoa de la Torre / Capt. Cosme González / Sarg. Diego Romero / Cristóbal Rodríguez, Ruiz de Ayala / Alcalde of Ruatan Pedro Murillo"	2 Ships / Cacique of Guanaja Alonso Gaitan / natives of Guanaja			1 Sp Cristóbal Rodríguez held / later liberated		2 Sp ship seized / then 1 returned without cargo	100 cargas of cassava / Ruatan burnt / plantales y fructos burnt			"GUATEMALA,16,R.2,N.13 f 110r-v"	"Cardona Amaya p115, p72"	xxx
E 18	18	Hos 13	15 December 1639	3 January 1640		Buccaneers or privateers roam off Sp Hon	"Guanaja, Amatique"	Gov of Sp Hon Francisco de Ávila Lugo	4 Ships									"GUATEMALA,16,R.2,N.13 img 258-259"	Cardona 80	
E 20	20	Hos 13	1 March 1640	30 March 1640	Sacking of Omoa	"Buccaneers or privateers raid unknown number of towns or hamlets near Omoa, Golfo Dulce, and after camping Utila, raided Omoa again, and finally engaged with natives at Utila"	"Omoa, Golfo Dulce, Utila"		8 Craft									"GUATEMALA,16,R.2,N.13 f 140r-v"	"Cardona Amaya p117, p83-5"	xxx
E 22	22	Hos 13	1 January 1641	31 December 1641	Sacking of Trujillo	"Diego el Mulato sacks and burns Trujillo, after which they venture inwards and kidnap women"	"Trujillo, Olancho"	Gov of Sp Hon Melchor Alonso Tamayo / Alcalde Francisco Mejía del Tobar / 11 men	Diego el Mulato “Diego Diaz Lucifer”									"GUATEMALA,44A,N.39"	"Cardona Amaya p117, p85-7"	xxx
E 24	24	Hos 13	1 January 1641	31 December 1641		Buccaneers or privateers raid at least three Maya hamlets and capture two Sp during missionary entrada	"Old, Sittee"	"Lucas de San Miguel, Fray Martín Tejero"				2 Sp held for many days			"Soite, Manan towns [hamlets?] raided"		Cogolludo 653—6		Jones 89 p224 n23	"Soite, Cehake location /via Jones 89 xv—xvii, p224"
E 26	26	Hos 13	1 October 1641	30 December 1641	Sacking of Trujillo	Dutch or GWC military sack Trujillo	Trujillo		4 Du companies									"Wright/van Dam, pp *81-100, Manuel de Velasco to Ruy Fernández de Fuenmayor, 18 oct 1641; Diego Ruiz Maldonado to Fuenmayor, 22 oct 1641; Francisco Cornelio Briceño to Fuenmayor, 29 oct 1641; Juan Pacheco Maldonado to Fuenmayor, 31 oct 1641, Fuenmayor to Crown, 18 Dec 1641"	Goslinga p279	"Abb = ARA = ARA = Algemeen Rijksarchief, The Hague; WIC = West India Co.; OC = Oude Compagnie /via Goslinga p519
Abb = Col Navarrete = Colección Navarrete, 30 vols, IHM, Madrid /via Goslinga p593"
E 28	28	Hos 13	1 March 1642	30 April 1642		"Diego el Mulato attempts to raid town or hamlet by Rio Ulua, but retreats, and sacks Puerto Caballos"	"Ulua, Puerto Caballos"	Gov of Sp Hon Melchor Alonso Tamayo	Diego el Mulato “Diaz Lucifer”									"GUATEMALA,39,R.20,N.131
GUATEMALA,39,R.20,N.132"	"Cardona Amaya p117, p87-8"	Diego el Mulato gone by Jun 42
E 30	30	Hos 13	22 November 1642	22 November 1642	Diego Raids	Diego el Mulato raids at least one Maya hamlet and Bacalar	"Monkey, Bacalar"		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed Ma men / later kidnapped 3 Sp 2 Ma from Bacalar / released 13 Feb 1643	Bacalar residents forced into hiding by Lake Bacalar min to early 1643	Pir took 3 or 4 Sp boats	"Campin raided / stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"		Cogolludo 656—9	"MEXICO,360,R.5,N.33
MEXICO,369 ff 529r—531v"	"Molina Solis II p138
Jones 89 p226—7 n28—32
Barke 2012 p112 n382"	Campin location /via Jones 89 p225.
E 32	32	Hos 13	20 July 1643	15 September 1643	Jackson Expedition	"William Jackson raids and holds Trujillo, after which his crew fall ill and retreat, sacking Sto Tomás de Castilla, after which Jackson retook Trujillo"	"London, Barbados, St. Kitts, Isla de Margarita, Caracas, Puerto Cabello, Maracaibo, Hispaniola, Spanish Town, Grand Cayman Island, Trujillo, Sto. Tomás de Castilla, Mosquito Islands, Cartagena, Cuba, Bay of Campeche, Florida Straits, Bermuda"	Gov of Sp Hon Melchor Alonso de Tamayo 41 Sp men 9 pardos y negros / Alguacil mayor y regidor of Olancho Francisco Díaz	"Capt. William Jackson 3 Ships 3 Pinnaces / Capt. William Rous / Capt. Samuel Axe / Capt. Cromwell / 1,200 men = 640 Bajans 500 St Kitts men"									"GUATEMALA,44A,N.40 ff 4r-53v
CSPC 1 Feb 1640 -- Feb. 25.
Harlow
Lon 43 xxx -- Certaine Inducements"	"Cardona Amaya p118, p90
Harlow xii-xix
Offen 11 p23"	"Capt. Jackson’s crew included men from Diego Diaz Lucifer’s crew
Capt. Jackson ships = Charles, Valetine, Dolphin, arrive at Barbados 27 Sep 1642
Expedition leg to Sp Hon pushed for “by ye specious persuasions of one Capt. Cromwell,” a NE pirate /via Jackson xvii"
E 34	34	Hos 13	1 June 1648	30 June 1648	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino 11 Sp 15 Ma men	Abraham Blauvelt / 1 barque 50 men [possibly]			women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid				Cogolludo 714—7		"Molina Solis II p176, p211—12"	"Possibly disposes of prizes at Rhode Island /via Newton 274 /Mass Hist Soc Coll, 4th series, VI, 272 -- Williams to Winthrop Jr 25 Oct 1649, 9 Nov 1649
Based in New Ams fm 1644 /via Newport 274 /O'Callaghan, Hist New Neth, I, 296 / New York Docs, I, 397-399"
E 36	36	Hos 13	29 May 1652	29 May 1652	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino	Abraham Blauvelt / 1 barque 50 men [possibly]		Capt. Bartolomé Palomino killed / 1 Ma killed						Cogolludo 749—52		Barke 2012 p114 n390	
E 38	38	Hos 13	1 November 1652	30 November 1652		Buccaneers or privateers raid at least two Maya hamlets	New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"			"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40	"Uatibal, Chanlacan location /via Jones 89 xv—xvii, p283—5"
E 40	40	Hos 13	23 October 1654	23 October 1654		Buccaneers or privateers engage Sp during entrada	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma										"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40	
E 42	42	Hos 13	1 January 1659	30 December 1659		Buccaneers or privateers capture unknown number of Ma for sale in Jamaica	Pacha	Gov of Yuc Francisco Bazán				xxx Ma						"MEXICO,1006 -- a 9 feb 1660"	Jones 89 p334 no 10	
E 44	44	Hos 13	1 January 1660	31 December 1669	Sacking of Pacha	Baymen sack Bacalar-in-Pachá	Pachá											"AGS, Estado, 7607"	Gerhard 70	
E 			1 January 1668	30 June 1668		"L’Olonnais drifts towards Sp Hon, whereupon he sacks Puerto Caballos, attempts to sack San Pedro Sula, and attempts to sack a Sp galleon in Amatique Bay"	"Puerto Caballos, San Pedro Sula, Amatique"		l’Olonnais / Mozes van Klijn / 1 Ship 5 Craft 700 men									xxx	Marley p263	Exclude?
E 46	46	Hos 13	1 August 1677	30 August 1677		"Bartholomew Sharpe captures Sp during missionary entrada, and possibly raids unknown number of Maya hamlets"	Old	Friar Joseph Delgado xxx Ma guides	Bartholomew Sharpe			Friar and xxx Ma / Friar released / xxx Ma from hamlets possibly taken			prev Ma hamlets possibly raided / Personal property robbed			"GUATEMALA,152 ff 140—45 — a 26 sep 1677 "	Bialuschewski p52—3 n53 	"Sharpe crew reconnoitred Hon coast from camp near Old, and on intercepting missionary entrada, robbed and released Sp friar but not his Ma guides /via Bialuschewski p52—3 n53, though AGI item cited could not be consulted"
E 		Hos 1	1 January 1694	28 February 1695	Milicias Campaign	One Yucatan militia campaign against Settlement	St. George’s	Milicias Provinciales de Yucatan / Gov. Roque Soberanis y Centeno					Eng loggers completely dislodged					AGN Reales cédulas vol 26 exp 27 ff 52—55v —Madrid a 16 nov 1694	"Molina Solis II p356
Barke 2012 p107 n367"	"Upper End inferred /via Barke 2012 p107 n367, though post-dates AGN item cited therein"
E 		Hos 1	1 January 1700	8 June 1702	Vecinos Campaigns	Three Yucatan para-military campaigns over land against Settlement	"Old, New, Hondo"	Gov. Don Martín de Ursúa y Arizmendi / Capt. José de Aguilar y Galeano / Sp vecinos / Ma allies			bloody battles		dislodged Eng fm Hon		houses or huts burnt		Flying Post 944 p1	"MEXICO,889 — a 8 junio 1702
MEXICO,1078,L.41 porción 1 ff 231v—234v
ESCRIBANIA,339B pieza 28 -- a 10 jul 1703"	"Seville 1944 p69 n1
Molina Solis III p9—10
Jones 89 p334 no 8"	Upper End inferred from date of one of AGI items cited
E 		Hos 1	1 January 1707	12 September 1707	Sacking of Tipuj	Loggers sack or assault Tipuj	Negroman					some Ma fm Tipuj captured as slaves						"ESCRIBANIA,339B — a 12 sep 1707 w Real Cédula a 24 enero 1698 [No 27 ff 23r—29v]"	"Jones 98 p408 n74
Offen 49"	"Tipuj location /via Jones 98 xv—xvii, p285—6
[T]he Mosquito ... captures Mayan Indians from around the Yucatán Peninsula [1702-1721], some of which were seen later in Virginia and Jamaica /Offen 49, citing 41 CSPC 481, and transcriptions in Feldman 2000 Lost Shore, Forgotten Peoples p218-220"
E 		Hos 1	1 January 1709	31 December 1710	Guatemala Campaigns	Two Guatemala military campaigns at least one Log work in Hon	Mopan	Capt. José de Aguilar y Galeano Sp soldiers				"19 English men, 1 Eng woman, 10 slaves, 6 Natives / 18 Eng later released / later 14 Eng captured"		Flats burnt	Ranchos burnt			"GUATEMALA,186 — a 5 jul 1716
MEXICO,1079,L.43 porción 1 ff 102r—105r"	"Jones 98 p411 n91
Barke 2012 p119 n407—8"	"Peten under Audiencia de Guatemala /via Jones 98 p411 n90
Log work location suggested /via Jones 98 p411"
E 		Hos 1	1 January 1709	31 December 1710		Loggers trade arms for slaves with Maya	"Peten, Mopan"					Ma captives traded						"GUATEMALA,186 — a 5 jul 1716
GUATEMALA,299 -- Real cédula a 30 abril 1714, Consulta a 5 jun 1713
MEXICO,3017 -- a 1 ago 1729
MEXICO,1017"	"Jones 98 p411 n91 
Jones 89 p355 no 13"	"Lower Start, Upper End inferred to match Guatemala Campaigns
AGI items 299, 3017, 1017 regard Miskito activities near Hon /via Jones 89 p355 no 13"
E 		Hos 2	10 January 1718	10 January 1718		Lowther assaults ship Greyhound	xxx		Lowther			Greyhound men barbarously used / 5 mates tradesmen impressed		"burnt 8 w cargo in Greyhound, 1 sloop burnt, 1 taken, 1 plundered, 1 of 80 to 100 t taken, 2 brigs taken"				xxx		
E 		Hos 2	2 April 1718	2 April 1718		Blackbeard captures sloop Adventure	xxx		Blackbeard			impressed Harriot and his men		took sloop Adventure				xxx		
E 		Hos 2	9 April 1718	9 April 1718		Blackbeard assaults Fleet	xxx		Blackbeard					"took Caesar 400 t ship, 4 sloops, plundered all, returned 2 sloops"			St. James’s Evening Post 496 p1			
E 		Hos 14	1 August 1722	11 February 1723	Barca Expeditions	"Sp privateer surprises English merchant craft with logwood, after which one Yucatan naval campaign against Fleet"	"Cozumel, Old"	Capt. Esteban de la Barca / later with 2 PA 50 men	1 frigate of 24 cannons		1 woman in frigate of 24 cannon	co of 1 frigate of 24 cannons imprisoned = 36 Eng 8 Neg		1 frigate 1 sloop w Log / 1 frigate of 24 cannons w Log cargo seized				"MEXICO,1081,L.50 ff 306r—308r
MEXICO 1081,L.50 ff 290r—v"	Barke 2012 p121 n414—15	
E 		Hos 2	1 August 1722	30 August 1722		Anstis assaults Fleet	xxx		Anstis			1 sloop co of Dursey / Dursey and 5 or 6 escaped		1 sloop taken / 2 or 3 other vessel destroyed			Compleat Set of St James’s Journals 4 p5			Revise date and loss / “Tis advised from Boston … A pirate ship and sloop … burnt 8 vessels fm Boston and all wood laid there [in Hon]” on 24 May 1722
E 		Hos 2	1 March 1723	30 March 1723	Low’s Massacre	"Spanish flotilla or privateers surprise Fleet, after which Low and Lowther massacre them"			Low Lowther		"45 to 53 or 58 Sp, 1 mate killed / 1 Sp killed later"	6 sailors imprisoned / released later by Pir		"3 to 5 sloops w cargo taken [1 pink too, possibly] / retaken by Lowe Lowther"			"Evening Post (1709) 2017 p1
Weekly Journal or British Gazetteer xxx p11
Boston News-Letter 1007 p4
Daily Post 1169 p1
British Journal 50 p3
Weekly Journal or Saturday’s Post 263 p14
Daily Courant 7065 p1"			
E 		Hos 14	1 February 1724	20 May 1724	Barca Expeditions	One Yucatan military campaign against Settlement	"Old, St. George’s"	Capt. Esteban de la Barca 1 Gal 1 PA 40 Sp soldiers sum 300 men 2 Paquebotes 1 Sloop						2 brig 1 sloop ea w wood taken	"all Log works or huts burnt, esp in El Carnero [Barcaderos?]"			"MEXICO,1081,L.50 ff 178r—179v
MEXICO,1081,L.50 ff 306r—308r
MEXICO 1081,L.50 ff 290r—v"	"Barke 2012 p107 n366
Barke 2012 p121 n414—15"	
E 		Hos 2	1 May 1724	30 May 1724		Sp or buccaneers or privateers surprise Fleet								7 or 8 sloops seized			Daily Post 1496 p1			Revise category / Sp seizures
E 		Hos 2	1 September 1724	30 September 1724		Spriggs surprises Fleet			Spriggs					14 ships seized			Daily Post 1520 p1			Revise category / “some Sp Men of War … taken all Eng Vessels in Hon … = 14 vessels”
E 		Hos 2	1 September 1724	30 September 1724		"Shipton and Spriggs assault Fleet, after which HMS Diamond engages"			Shipton Spriggs 85 men	HMS Diamond	"6 Pir killed, 5 or 6 more mortally wounded"	min 1 sloop co impressed		10 or 12 vessels taken / then liberated by Eng			"Boston News-Letter 1089 p2
American Weekly Mercury 265 p3"			
E 		Hos 2	23 December 1724	23 December 1724		Shipton and Spriggs assault Fleet or ship John and Mary			Shipton Spriggs		"1 Pir killed, 1 [likely] mortally wounded"	some Bay prisoners at Carthagena < 3 Jun 20		1 ship John and Mary taken / retaken by impressed mates / 5 had been prev taken			Daily Courant 7351 p1			
E 		Hos 2	1 February 1725	28 February 1725		Spriggs surprises Fleet			Spriggs			1 captain impressed		"taken 16 sail, burnt 1 [rest returned?]"			Mist’s Weekly Journal 2 p2			
E 		Hos 14	5 April 1725	5 April 1725		HMS Diamond seizes Sp privateer	Old	Sp Priv Frig under Juan Antonio Díaz de la Rabia	HMS Diamond					Sp privateering frigate seized			American Weekly Mercury 305 p3			
E 		Hos 14	11 November 1725	30 April 1726	Rodriguez Expedition	One Yucatan military campaign against Settlement	"Cayo de Cocos, Old"	Commander Nicolás Rodriguez Capt. José Marqués w > 40 men [Guardacostas likely] inc. impressed Pir	Capt. Peyton or Payton			6 imprisoned at Old	Baymen and Neg fled to woods	some avg sized crafts / 1 brig w Prov	all Log works or huts burnt for 14 [Sp] leguas			"MEXICO,1081,L.50 ff 345r—346r"	Barke 2012 p121 n416	
E 		Hos 14	22 March 1726	22 March 1726	Failed Torres Expedition	One attempted Yucatan military campaign against Settlement	Cozumel	"Don Rogrigo de Torres 300 men fm Campeche, Armada de Barlovento [fm Veracruz?]"	Capt. George Randel Boston					1 schooner w Prov seized				xxx		
