Table 1
						Event	Event	Near	Sp	Ally	Ally	Lives	Held	Moved	Craft	Property	Other
Hos 14	Sep 1722	Apr 1725	Sp	 	Second Offensives	5 Apr 1725	Diamond Affair	Old	Sp Priv Frig under Juan Antonio Díaz de la Rabia	HMS Diamond					Sp privateering frigate seized		
War 3	Mar 1726	Feb 1728	Sp	 	 	22 Mar 1726	Failed Torres Expedition	Cozumel	"Don Rogrigo de Torres 300 men fm Campeche, Armada de Barlovento [fm Veracruz?]"	Capt. George Randel Boston					1 schooner w Prov seized		
War 3	Mar 1726	Feb 1728	Sp	 	 	1 Jan 1727	Raid of Ascensión	"Chunhuhub, Telá"	Don Antonio de Figueroa y Silva	"many sm craft fm Old R, Mos allies"						"Baymen Ma sacked towns or villages Chunhuhu, Tela fm coast up to Tihosuco"	
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Nov 1728			[possibly] Capt. Don Alonso de Figueroa y Silva						"taken 6 ships, sloops"		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Feb 1729			[possibly] Capt. Don Alonso de Figueroa y Silva						"6 ships taken inc William and Elizabeth, Kidder"		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	10 Apr 1729	Figueroa y Silva Expedition	"Hondo, New, Old"	Capt. Don Alonso de Figueroa y Silva						45 Craft burnt / 17 seized for Bacalar	"32 Ranchos burnt, 171 Pilas Log burnt, 74 Pilas thrown to sea "	
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Jun 1729			2 Sloops Havannah 2 Sloops Campeachy 16 PA					by 31 Jan 31 / evac fm < Jun 29 to 20 Oct 35			
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Jul 1729	Summer Routing						c 30 white = great many whites and Neg		taken all flats New Hondo Old = c 140 / taken all vessels too	"burnt 12 to 16,000 t at New, Hondo = c 300,000 quintals at New Hondo Old / seized all tools / burnt all houses"	
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Feb 1730				Capt. Burrows					taken sev vessels / 1 brig afterwards taken		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Jan 1731			GC 80 men	Capt. John Young NY					"Frances, and sev other ships and sloops taken = min 5"		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	24 Mar 1731			GC Pedro Polis 60 men	Capt. Ed. Burt 30 men		2 killed	9 men imprisoned		John and Jane taken		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	28 Jun 1731			Sloop 25 men	Roger Groves NY 30 to 40 men					1 fine ship taken / great many vessels taken since Jan 31 … but two ships of force have escaped		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Aug 1731			PA [Petty Augers]						4 vessels taken		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 May 1732				Capt. Wickham etc.					8 taken		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	1 Aug 1732				Capt. Knox					min 1 brig David taken		
Hos 3	Nov 1728	Feb 1733	Sp	 	Bacalar Offensives	21 Feb 1733	Figueroa y Silva Campaign	Old	Capt. Don Alonso de Figueroa y Silva	Baymen Neg Mos allies		many Baymen [piratas] died	others sent prisoners to San Juan de Ulúa and Havannah		all remaining craft burnt	numerosas Ranchos burnt	
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Sep 1734									1 sloop taken min		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	28 Sep 1734			3 PA / Priv 120 men 2 PA 2 Sloops	Capt. Dursey RI					"1 taken, then liberated / 1 prev taken, then liberated / 1 Flat prey taken, then liberated"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Nov 1734									1 lg loaded fly boat burnt		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Oct 1735			2 PA	Col. Cranston RI					4 taken / 3 then liberated		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Mar 1736						1 pilot beheaded	all crew imprisoned		1 sm sloop of Jam taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	26 Apr 1737			[possibly] Gov. Don Manuel Salcedo						"taken a sloop or two [min] = 6 or 7 smaller vessels taken / 1 sloop deserted in fight, taken"	burnt abundance of wood landed at cayes	
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	18 Jan 1738			2 or 3 PA	Capt. Watlins					1 sloop taken / then released		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Apr 1738			3 lg PA	1 Sloop							
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Jul 1738		bw New & Old		Capt. Ed. Buckley Boston			25 imprisoned / later liberated		"all flats, 2 sloops loading a ship taken / later liberated"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	12 Aug 1738			Sloop 18 men	Capt. Stephen Bastwick etc.		3 killed [source?]	Reeves and two of his Neg imprisoned		"2 sloops, 2 craft w 26 wood [ea or together?] taken"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Feb 1739				Capt. Gwynn Boston					1 vessel taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Mar 1739		Turneffe		Capt. Collis RI etc.		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Apr 1739			Sloop 10 guns	Capt. Mark Anderson							
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Sep 1739				Mr. White etc.			1 owner used barbarously [so taken?]		3 vessels taken		
Hos 4	Sep 1734	Oct 1739	Sp	 	Jenkins’ Offensives	1 Oct 1739			2 Priv / Vessel 20 men	Capt. Pustle Capt. Gowan							
Ill 1	Jun 1737	0	 	 	Diphtheria ?	15 Jun 1737						"abundance of Baymen have died, as well as those of Fleet"					
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Feb 1740	Holiday Cruising Hon for Sp since Oct 39			Capt. Holiday Jamaica 75 men	Capt. Woodbury Boston						
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Apr 1740			2 Craft	Capt. Vincent Boston & Capt. Thatcher / sm Sloop of Baymen					2 sloops taken / later liberated		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	24 Aug 1740	Mos Sack Shasoon (near Bacalar)			100 Mos							
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Feb 1741			2 PA 110 men	Capt. Burchell							
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jun 1741				Capt. Wise		2 Sp killed [mistakenly or not in defence]			1 vessel taken / later liberated		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Mar 1744			Priv	Capt. Fiske		"1 captain killed, 1 pass dangerously wounded"	some of Captain Fiske co.		Fiske’s craft taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jan 1746		Turneffe				"captain, owners of sloop killed"			1 sloop Kouli Can taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jan 1748	Complete Routing	Old	"Don Alonso Fernández de Heredia [Gov. Sp Honduras], Capt. Don Felipe López de la Flor"				prisoners taken / punishments were very severe				
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear	1 Jul 1748		Old	Capt. Don Felipe López de la Flor	Baymen					"some craft taken, some destroyed"		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear					Capt. Collis		"Captain Collis, 2 mates killed"	companies of 2 sloops carried away / captain used in barbarous manner		"1 vessel, 2 sloop taken [min]"		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear							loss of sev men in ship after chase					
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										5 vessels taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										1 vessel taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear							"1 vessel crew drowned [accidental, on being taken by Sp]"			3 vessels taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										taken sev ships / taken sev sm trading vessels [Flats]		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear										1 brig taken		
War 4	Oct 1739	Oct 1748	Sp	 	Jenkins’ Ear		Charge of Panama			Gov. Hudson							
Ill 2	Mar 1750	0	 	 	Malaria ?	7 Mar 1750											makes it impossible to cut Logwood / 30 to 40 vessels waiting
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	6 May 1750		New	Galley 123 men Havannah	Capt. Heysham / Capt. Kattur / Priv of Baymen		1 killed	"1 captain, 8 men, 3 women passenger / lib later"		"1 tender taken / 1 ship taken later, then lib"		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	17 Sep 1750			2 Half Gallies	Capt. Riven							
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Jan 1751	Palma Expedition	"Hondo, Old"	Don José Antonio de Palma				"numerous Eng men seized, inc. Comandante de Valis [Chief Magistrate?] / later liberated"		43 Craft seized / 57 vessels [not Bay Flats] seized [possibly ?]		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	30 Jun 1751	Palma Expedition [?]	New	15 Craft 180 to 200 men Campeachy Guatemala				129 Eng [Bay inc?] imprisoned / min 19 released later / release or ransom of all previously agreed to		7 sloops taken / 18 to near 30 flats taken		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Nov 1751	Bacalar Assault	Bacalar		Baymen Mos Shoremen?							
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	25 Dec 1751	Christmas Routing	Old / Water Caye	2 Gallies 1 Brig	Henry Stevenson / Capt. Troup etc.			1 brig co imprisoned / later released	evac on 9 Jan 52	1 brig taken		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 May 1752							19 Neg carried off				
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Jun 1752							carried off all Neg				
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Jun 1752			1 MW 1 Chebeque 1 Sloop 2 PA	Capt. Mosely etc.					6 or 7 vessels taken [previously]		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Jun 1752		Rat / Bay	Galley or 2 GC	Capt. McNamara 50 Baymen 70 Shoremen / Capt. Mosely Gov. Pitt					2 craft taken w sum 230 t wood taken	forced to have boat manned and continually under arms = great expense	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Aug 1752			sev Craft	Capt. Man			1 vessel co imprisoned / later escaped except McDonald		1 vessel taken		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Aug 1752		Haulover / New	5 sm Barks 70 men / 10 PA 170 men	John Lance etc.					"1 snow w Prov taken / 1 vessel taken, then lib"		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	2 Aug 1752						1 mate killed	"2 captains, 1 mate imprisoned"		1 sloop plundered / 5 craft w wood taken		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	2 Aug 1752			6 PA 1 Flat of 14 swivel guns	Capt. Crowel Capt. Hall			min 1 impressed for 6 months		"3 vessels taken, then liberated"		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	4 Dec 1752									2 craft taken / 1 plundered of Prov		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	24 Feb 1753			GC	Capt. Clark							
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	28 Feb 1753		Caye Bokell	Brig of 30 swivel guns	Capt. Ed. Menzies			many Eng imprisoned for 6 months at Mahoo [previously taken] / Capt. imprisoned for 		1 brig taken		
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 May 1753		New						evac on 9 Jun 53 fm New	not one craft [flat] escaped destruction in New	entirely routed fm New [so houses burnt?]	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Jun 1753	Capture of Sp Brig	Old		Capt. Sergeant RI / Baymen							
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	12 Apr 1754	Sp Expedition to Bay	Key Mager	"Don Juan Nanos w 24 gun Ship 1 lg Xebek Gov. of Campeche Don Noverette w 20 Sail = sum 2,000 men"					some Neg evac or sent to Mos			
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	24 May 1754	May Battle		[possibly] José Vásquez de Prego [Pres Guat] w near 300 men	100 Baymen						sacked Wells house to considerable value	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	18 Jun 1754	June Battle		[possibly] José Vásquez de Prego [Pres Guat]					evac on 18 Jun 54 to 12 Apr 55	number of vessels taken	carried off Prov	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	8 Sep 1754	Joint September Assault	Old	"Don Melchor de Navarrete of Yuc, Joseph de Palma de Mar of Guat, Juan de las Llanas of Havannah c 18 Craft"				"93 Baymen, 23 Neg captured"		"1 Frig, 9 craft taken"	huts or works and Log burnt	
Hos 5	May 1750	Sep 1754	Sp	 	Amphibious Siege	1 Feb 1755	Sp Concession										
Ill 3	Nov 1751	0	 	 	Measles ?	1 Nov 1751						left sev Vessels without Hands … two [women] left in the whole Bay					
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	24 May 1756	Gov. Knowles Demolishes Bay Fort								min 2 vessels taken min	"fort demolished, 18 cannon sunk [Knowles ordered?]"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	1 Jul 1757	Siege of New R						sev Baymen in New imprisoned		min 1 craft forced to unload half cargo to escape		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	1 Sep 1757	September Destruction						carried off about 60 Neg and some whites		destroyed everything they came across [so flats too?]	"destroyed the wood, houses and everything they came across"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	10 Nov 1758			30 PA at Bacalar fm Campeachy Port Maho					evac c 10 Nov 58 to < 20 Jul 1759			
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	1 Sep 1759	Barbarities at Carpenter’s	Carpenter’s R					carried away many settlers ?				
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	21 Oct 1759	Capt. Owens’s Feat		near 200 men	Capt. Owens w 50 Britons			"31 Brit subjects, 30 Neg imprisoned / later lib by Owens"		3 loaded flats seized / later liberated by Owens		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	26 Dec 1759	Christmas Assault	Haulover	4 Capt. sent by Gov. of Merida w great numb PA w over 150 men	few Baymen left behind						"pillage, plunder, destroy houses of few settlers left [on Old R]"	
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	1 Jan 1760	Capt. Coppinger’s Intel						a number of white and Neg imprisoned		sev loaded flats taken		
Hos 6	May 1756	Apr 1761	Sp	Fr	Seven Years’ Offensives	6 Apr 1761	Flota Sails for Bay	Cadiz	"8 Ships 2 Frigates 8 Chebecs = 4,000 men"								
War 5	Jan 1762	Feb 1763	Sp	Fr	Seven Years’												
Crs 5	Dec 1763	Mar 1765	Sp	 	Hondo R Prohibition	23 Dec 1763				Adm. Burnaby				evac Hondo on 4 Feb 64 / evac all except Old on 13 Feb 64 / restored 5 Mar 65			
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion	22 Jun 1765								sev settlers returning w slaves to Mos / to Pensacola			Log so scarce that vessels lie frequently 9 or 10 months for loading
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion	22 Jun 1765											Freshes have been so great / Hondo runs c 5 knots p hr / no business done 25 Oct to 29 Nov 65 / expect little Wood Dec 65 to Jan 66
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion	16 Apr 1766											wood scarce / c 70 vessels waiting
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion	21 Jun 1766											Prov esp bread so very scarce / many vessels ready to sail could not for want thereof
Fin 1	Jun 1765	0	 	 	Logwood Exhaustion	21 Jun 1766											Prov scarce [likely] to min 1 Nov 66
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Aug 1765		New		sev Neg	sev Crafs w armed men	"Cook, 3 seamen killed"				min 1 fam robbed [likely]	held New R
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	22 Aug 1765	Siege of New R	New		c 70 revolters		killed sev seamen [New]		many bay men deserted works [in New?]			
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765	Jamaica Reinforcements Sail for Bay				3 Sloops of War						
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765						1 Sp killed					
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	1 Sep 1765	Falling Out Breaks Revolt					sev slaves hanged [of 70?] / the ringleaders hanged	some Neg taken prisoners				
Crs 2	Jan 1766	0	Sp	 	Sp Asylum	12 Jun 1771								"near 10,000L sterling loss fm deserting slaves fm start [1768?] to 12 Jun 71 / 47 Neg delivered by Gov Yucatan to Capt. Lockyer c Dec 66"			
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging	1 Feb 1767								Fr Dutch Log cutters extremely numerous in bay			
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging	15 Jun 1768											Eng wool has hardly any sale in Bay / Fr bring manufactures 30 pc cheaper
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging	15 Dec 1770										very dangerous dispute broke out w Fr Log cutters	
Hos 8	Mar 1767	Apr 1767	Sp	 	 	1 Mar 1767	Hondo R Disturbances	Hondo					Neg of oldest settlers carried off fm Hondo			"houses, cattle burnt at Hondo"	
Hos 8	Mar 1767	Apr 1767	Sp	 	 	1 Apr 1767						murdered some Bay Men	seized sev Neg			seized Properties of inhabitants	
Hos 12	Jul 1767	Jul 1767	 	Ma	Naismith Raid	25 Jul 1767				party of Indians	Capt. Naismith	1 Neg killed				house sacked [likely?]	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jul 1770	Sharp Dispute					sev bay men killed in dispute					
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jul 1770									min 2 ships driven off wo loading	destroyed all mahogany lying in some bays	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Nov 1770	Sacking of Ambergris Caye	Ambergris	PA 4 swivel guns c 18 men				carried of a Neg fm Ambergris			burnt sev houses at Ambergris	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Dec 1770									min 2 ships driven off wo loading		
Hos 9	Jul 1770	Mar 1772	Sp	 	 	1 Jan 1771	Gov. of Jam Reassures Baymen of Safety on Mainland							for some time past baymen had moved their families to St. George’s Caye … apprehensive of rupture bw GB and Sp to [likely] Jun 1771		"productive of great loss to baymen, little or no Log having been cut"	
Hos 9	Jul 1770	Mar 1772	Sp	 	 	6 Mar 1772		Glover’s		Capt. [or master] Theremin			Jacob’s Well crew taken		Jacob’s Well craft taken		
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine	1 Jun 1771	Maya Refugees							Maya … continue daily to desert from Yucatan to the Eng settlers / receive hospitality			
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine	1 Oct 1771						"17,000 have died in Ambergris, upwards of 80,000 total [Yuc, or Hon only?] / or c 40,000 total [Yuc, or Hon?]"					
Nat 1	Jan 1765	Nov 1773	 	 	Great Famine	1 Nov 1771											Prov so scarce / the like not remembered by oldest settlers
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids	1 Sep 1773						massacred numbers of Eng				always taken what iron [arms] they could find / set fire to some houses	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	28 May 1773		Old				2 white men killed / Hill killed later / one family feared shot dead later / 1 steersman killed later				min 4 families robbed	will be very little wood of any kind shipped in 1773
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	4 Jun 1773	Escape Killings	Hondo	Guards	"3 Neg of John Fullon, Hugh Wilson / [prev] other slaves"	"Capt. McDugall / [prev] Capt. Wooldrige, Capt. McCarthy"	min 3 Captains killed by slaves < Jun 73		min 3 slaves escape to Yuc with help of Guards < Jun 73		min 1 craft ransacked by Guards	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	7 Jun 1773	Marshmen’s Engagement			"c 50 slaves w 16 muskets, cutlasses etc."	"Capt. Thomas Davey, Baymen / 3 parties of 30 or 40 men ea. [later]"	6 white men prev killed / lead revolter likely fatally wounded	14 slaves had [possibly] been impressed prev / returned 8 Jun 73	revolters retire to woods		taken five settlements [houses likely] prev	
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	1 Aug 1773				c 70 revolters ?	parties led by Magistrates	taken or destroyed about 40 revolters	taken or destroyed about 40 revolters				
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	29 Aug 1773								c 70 revolters in woods / w Sp			
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	12 Sep 1777	Washington Affair		Commander Hezekiah Anthony				1 pilot fm St. George’s to Sherboon		"2 ships, 1 brig taken"	"supply of rum, sugar demanded for"	
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	2 Jun 1779	Capture of St. George’s Caye	"Hondo, New, St. George’s"	Gov. D. Roberto Rivas Betancourt	2 Frigates 1 Brig fm Jam [after capture of St. George’s]		2 killed [13 Sep 79]	F George garrison imprisoned	entirely driven fm all Hon [later or same time?]	craft seized / later liberated	Fort George taken [so houses destroyed?] / deprived Eng of wood [so laid wood destroyed?]	
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	16 Oct 1779	Siege of Omoa		365 men	"150 Eng soldiers, Baymen"		"6 killed, ? died of disease"					
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution		Siege of San Pedro Sula					"1 scout killed, loss of 2 men in sacking / burning St. Pedro"					
