Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID			SIZE		ITEM				CITY	COUNTRY	FIRST PUB	LAST PUB	AUTHORS	EDITORS	JOURNAL	V	I			LINK	
S 35	35	0	T	Bolland 75					"The formation of a colonial society : Belize, from conquest to Crown Colony"						1975		O. N. Bolland							file:///Users/angelnavidad/Downloads/content-hull_7151a.pdf	
S 36	36	0	T	Bowett					The english mahogany trade 1700-1793 						1996		A. Bowett							file:///Users/angelnavidad/Downloads/288218482-3.pdf	
S 37	37	0	P	Bracamonte			1		"La conquista inconclusa de Yucatán : los mayas de la montaña, 1560-1680"				Mexico	Mexico	2001		P. Bracamonte y Sosa							"file:///Users/angelnavidad/Downloads/(Peninsular_%20Estudios)%20Pedro%20Bracamonte%20y%20Sosa%20-%20La%20conquista%20inconclusa%20de%20Yucatán_%20los%20mayas%20de%20la%20montaña,%201560-1680-CIESAS%20(2001).pdf"	
S 38	38	0	T	Breuer					"Colonies of happenstance: The english settlements in central america, 1525-1787 "						1993		K. H. Breuer							http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/colonies-happenstance-english-settlements-central/docview/230667983/se-2?accountid=11311	
S 40	40	0	A	Brown					The Mosquito Shore and the Bay of Honduras during the era of the American Revolution						1990		W. Brown		Belizean Studies	18	2			xxx	
S 		0	A	Brown 28					Contraband Trade: A Factor in the Decline of Spain's Empire in America						1928		V. L. Brown		Hispanic American Historical Review	8				xxx	
S 42	42	0	A	Bulmer					The Origins of the Belize Settlement						2016		"B. Bulmer-Thomas, V. Bulmer-Thomas"		Tempus	4				file:///Users/angelnavidad/Downloads/326161-Texto%20del%20art%3Fculo-119179-1-10-20161119.pdf	
S 		0	P	"Burdon, Sketch"			1		"Brief Sketch of British Honduras. Past, Present and Future"				xxx		1927		J. Burdon							xxx	
S 		0	T	Cal					Rural society and economic development: British mercantile capital in nineteenth-century Belize.						1991		A. E. Cal							file:///Users/angelnavidad/Downloads/azu_td_9210316_sip1_m.pdf	
S 46	46	0	P	Calderon			1		Belice 1663 (?)-1821 				Seville	Spain	1944		J. A. Calderón Quijano							http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/	
S 47	47	0	A	Camille					Historical Geography of the Belizean Logwood Trade						1996		M. A. Camille & R. Espejo-Saavedra		Yearbook (Conference of Latin Americanist Geographers)	22				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25765830	
S 49	49	0	P	Cardona			1		Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 				Tegucigalpa	Honduras	2020		J. M. Cardona Amaya							https://halshs.archives-ouvertes.fr/halshs-02540842/document	
S 		0	P	Cardoso			1		Centro-América y la economía occidental (1520–1930)				San José	Costa Rica	1977		"C. F. S. Cardoso, H. Pérez Brignoli"							xxx	
S 53	53	0	A	Cave					Printing in Nineteenth-Century Belize						1976		R. Cave		Library Quarterly	46	1			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/4306599	
S 54	54	0	A	Cave 75					Printing comes to Jamaica						1975		R. Cave		Jamaica Journal	9	2			http://ufdc.ufl.edu/UF00090030/00027	
S 57	57	0	A	Cervera 19					BELIZE AND YUCATAN THROUGH TRAVEL STORIES						2019		A. E. Cervera Molina		Península	14	2			http://www.revistas.unam.mx/index.php/peninsula/article/view/70001	
S 58	58	0	A	Cervera 20					A BACK AND FORTH JOURNEY. DIALOGUES BETWEEN ALEJANDRO JOSEPH DE GUELLE AND JAMES COOK						2020		A. E. Cervera Molina		Anuario de Estudios Centroamericanos	46				https://doi.org/10.15517/aeca.v46i0.45040	
S 59	59	0	P	Chalmers			1		A History of Currency in the British Colonies				London	UK	1893		R. Chalmers							"Gale/Making Modern World: https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1 
HathiTrust: https://hdl.handle.net/2027/uc2.ark:/13960/t12n56b7g"	
S 60	60	0	P	Chamberlain			1		"The conquest and colonization of Yucatan, 1517-1550"				Washington	USA	1948		R. S. Chamberlain							https://hdl.handle.net/2027/txu.059173008409431	
S 		0	A	Chenoweth					"A Reassessment of Historical Atlantic Basin Tropical Cyclone Activity, 1700–1855"						2006		M. Chenoweth		Climatic Change	76				file:///Users/angelnavidad/Downloads/Chenoweth2006_Article_AReassessmentOfHistoricalAtlan.pdf	
S 		0	P	Collet			1		British Honduras and its Resources				xxx		1926		W. Collet							xxx	
S 70	70	0	A	Contreras					"El palo de tinte, motivo de un conflicto entre dos naciones"						1987		A. C. Contreras Sanchez		Historia Mexicana	37	1			https://historiamexicana.colmex.mx/index.php/RHM/article/view/2034	
S 72	72	0	A	Correa					Central American membership: Belize among neighbouring countries						2020		"C. Correa Angulo, A. Ramírez Romero"		Anuario de Estudios Centroamericanos	46				https://doi.org/10.15517/aeca.v46i0.45027	
S 75	75	0	P	Craton			1		Testing the chains: resistance to slavery in the British West Indies				Ithaca	USA	1982		M. Craton							https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568	
S 		0	A	Craig					Logwood as a Factor in the Settlement of British Honduras						1969		A. K. Craig		Caribbean Studies	9	1			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25612108	
S 81	81	0	A	Dapson					"Brazilwood, sappanwood, brazilin and the red dye brazilein"						2015		"R. Dapson, C. Bain"		Biotechnic and histochemistry	90	6			http://ezp-prod1.hul.harvard.edu/login?url=http://search.ebscohost.com/login.aspx?direct=true&db=aph&AN=108394375&site=ehost-live&scope=site	
S 82	82	0	A	Davis					"English Foreign Trade, 1660-1700"						1954		R. Davis		Economic History Review	7	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2591619	
S 83	83	0	A	Dawson					"William Pitt’s Settlement at Black River on the Mosquito Shore: A Challenge to Spain in Central America, 1732-87"						1983		F. G. Dawson		Hispanic American Historical Review	63	4			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-63.4.677	
S 85	85	0	P	Dobson			1		A History of Belize				London	UK	1973		N. Dobson							xxx	
S 86	86	0	A	Downey					"Q'eqchi' Maya Swidden Agriculture, Settlement History, and Colonial Enterprise in Modern Belize"						2015		S. S. Downey		Ethnohistory	62	4			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3135338	
S 89	89	0	P	Dutt			1		"Empire on Edge : The British Struggle for Order in Belize during Yucatan's Caste War, 1847—1901"				Cambridge	UK	2020		R. Dutt							Intro: file:///Users/angelnavidad/Downloads/introduction.pdf	
S 90	90	0	A	Dutt 17					Business As Usual: Maya and Merchants on Yucatán-Belize border at the Onset of the Caste War						2017		R. Dutt		Americas	74	2			https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/services/aop-cambridge-core/content/view/CF045E93489A07D590188BD66D1EAB63/S0003161517000086a.pdf/div-class-title-business-as-usual-span-class-italic-maya-and-merchants-on-yucatan-belize-border-at-the-onset-of-the-caste-war-span-div.pdf	
S 91	91	0	A	Dutt 19					"Loyal Subjects at Empire's Edge: Hispanics in the Vision of a Belizean Colonial Nation, 1882–1898"						2019		R. Dutt		Hispanic American Historical Review	99	1			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-7287962	
S 95	95	0	T	Elliott					"The officers of the irish brigade and the british army, 1789-98 "						1997		P. Elliott-Wright							http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/officers-irish-brigade-british-army-1789-98/docview/301519802/se-2?accountid=11311	
S 99	99	0	MS	Evans					A Brief History of the Bay Islands						1999		D. K. Evans							http://aboututila.com/UtilaInfo/Historical/David-Evans-Brief-History.htm	
S 101	101	0	P	Fancourt			1		"The history of Yucatan, from its discovery to the close of the seventeenth century"				London	UK	1854		C. S. J. Fancourt							"Gale/Sabin Americana: https://link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1
Google: https://www.google.com/books/edition/The_History_of_Yucatan/LOTgaZN4LPYC?hl=en&gbpv=1&printsec=frontcover"	
S 103	103	0	MS	Ferguson					A History of Slavery & Emancipation in Belize						2019		"M. Ferguson, P. Pelayo, N. Encalada"							https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf	
S 104	104	0	P	Fernandez			6		Disquisiciones nauticas				Madrid	Spain	1876	xxx	C. Fernández Duro							http://id.lib.harvard.edu/alma/990048821940203941/catalog	
S 105	105	0	A	Ferreira					The natural constituents of historical textile dyes						2004		"E. S. B. Ferreira, A. N. Hulme, H. McNab, A. Quye"		Chemical Society Reviews	33	6			https://doi-org.ezp-prod1.hul.harvard.edu/10.1039/B305697J	
S 106	106	0	T	Finamore					"Sailors and slaves on the wood-cutting frontier: Archaeology of the British Bay Settlement, Belize"						1994		D. R. Finamore							file:///Users/angelnavidad/Downloads/Sailors_and_slaves_on_the_wood.pdf	
S 107	107	0	MS	Fischbeck					Agricultural Terrace Productivity in the Maya Lowlands of Belize						2020		S. L. Fischbeck							http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.580.5403&rep=rep1&type=pdf	
S 		0	P	Floyd			1		Anglo-Spanish struggle for Mosquitia				Albuquerque	USA	1967		T. S. Floyd							xxx	
S 109	109	0	P	Forbes			1		The Baymen of Belize and how they wrested British Honduras from the Spaniards				London	UK	1914		S. Forbes	E. W. Williams						https://ufdc.ufl.edu/UF00095345/00001	
S 111	111	0	A	Gabbert					“God Save the King of the Mosquito Nation!” Indigenous Leaders on the Fringe of the Spanish Empire						2016		W. Gabbert		Ethnohistory	63	1			https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3325406	
S 		0	T	Galvin					"The pirates' wake: A geography of piracy and pirates as geographers in colonial Spanish America, 1536-1718. (Volumes I and II)"						1991		P. R. Galvin							http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/pirates-wake-geography-piracy-as-geographers/docview/303961341/se-2?accountid=11311	
S 114	114	0	T	Genkins					Entangled Empires: Anglo-Spanish Competition in the Seventeenth-Century Caribbean						2018		D. Genkins							https://ir.vanderbilt.edu/bitstream/handle/1803/13282/Genkins_dissertation_final.pdf?sequence=1	
S 115	115	0	P	Gerhard			1		The Southeast Frontier of New Spain				London	UK	1979		P. Gerhard							file:///Users/angelnavidad/Downloads/Peter%20Gerhard%20-%20The%20Southeast%20Frontier%20of%20New%20Spain-University%20of%20Oklahoma%20Press%20(1993).pdf	
S 116	116	0	P	Gibbs			1		"British Honduras: an historical and descriptive account of the colony from its settlement, 1670"				London	UK	1883		A. R. Gibbs							"Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02AD710C6198&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340
Google: file:///Users/angelnavidad/Downloads/British_Honduras.pdf"	
S 117	117	0	A	Gonzalez					NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION						1983		N. L. Gonzalez		Nieuwe West-Indische Gids / New West Indian Guide	5	3/4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126	
S 118	118	0	P	Goslinga			1		The Dutch in the Caribbean				Assen	Netherlands	1971		C. C. Goslinga							"1971 edition: file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf
2017 edition: file:///Users/angelnavidad/Downloads/9781947372726_Goslinga.pdf"	
S 119	119	0	P	Graham			1		Maya Christians and Their Churches in Sixteenth-Century Belize				Gainesville	USA	2011		E. Graham							https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957	
S 120	120	0	A	Graham					On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize						1989		"E. Graham, D. M. Pendergast, G. D. Jones"		Science	246	4935			http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311	
S 121	121	0	P	Gregg			1		British Honduras				London	UK	1968		A. R. Gregg							Cap 10: file:///Users/angelnavidad/Downloads/1ARGreggBritishHonduras10.pdf	
S 		0	P	Griffith			1		Empires in the Wilderness				Chapel Hill	USA	1965		W. J. Griffith							xxx	
S 122	122	0	A	Grunewald					The Anglo-Guatemalan Dispute over British Honduras						1965		D. Grunewald		Caribbean Studies	5	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880	
S 123	123	0	P	Guatemala DNB			1		Diccionario histórico biográfico de Guatemala				Guatemala	Guatemala	2004									http://www.fundacionhcg.org/libros/dhbg/	
S 126	126	0	P	Hanna			1		"Pirate Nests and the Rise of the British Empire, 1570-1740"				Chapel Hill	USA	2015		M. G. Hanna							https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/	
S 128	128	0	P	Haring			1		Buccaneers in the West Indies in the Seventeenth Century				London	UK	1910		C. H. Haring							http://www.gutenberg.org/ebooks/19139	
S 130	130	0	P	Harris			1		A summer on the borders of the Caribbean Sea				New York	USA	1860		J. D. Harris							"Gutenberg: http://www.gutenberg.org/files/53418/53418-h/53418-h.htm
HathiTrust: https://hdl.handle.net/2027/loc.ark:/13960/t6155db19"	
S 134	134	0	A	Hoggarth					Drought and Its Demographic Effects in the Maya Lowlands						2017		"J. A. Hoggarth, M. Restall, J. W. Wood, D. J. Kennett"		Current Anthropology	58	1			https://doi.org/10.1086/690046	
S 137	137	0	A	Hussey					Spanish Reaction to Foreign Aggression in the Caribbean to about 1680						1929		R. D. Hussey		Hispanic American Historical Review	9	3			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2506623	
S 143	143	0	P	Jarvis			1		"In the Eye of All Trade Bermuda, Bermudians, and the Maritime Atlantic World, 1680-1783"				Williamsburg	USA	2010		M. J. Jarvis							https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/41104	
S 146	146	0	P	Jones 1			1		Maya Resistance to Spanish Rule				Albuquerque	USA	1989		G. D. Jones							file:///Users/angelnavidad/Downloads/Grant%20D.%20Jones%20-%20Maya%20resistance%20to%20Spanish%20rule_%20Time%20and%20history%20on%20a%20colonial%20frontier-University%20of%20New%20Mexico%20Press%20(1989).pdf	
S 147	147	0	P	Jones 2			1		Conquest of the Last Maya Kingdom				Stanford	USA	1998		G. D. Jones							https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515	
S 149	149	0	A	Joseph					John Coxon and the Role of Buccaneering in the Settlement of the Yucatán Colonial Frontier						1980		G. M. Joseph		Terrae Incognitae	12	1			file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/joseph1980%20copy.pdf	
		0	A	Joseph 74					British Loggers and Spanish Governors: The Logwood Trade and Its Settlements in the Yucatan Peninsula: Part I						1974		G. M. Joseph		Caribbean Studies	14	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25612609	
		0	A	Joseph 76					British Loggers and Spanish Governors: The Logwood Trade and Its Settlements in the Yucatan Peninsula: Part II						1976		G. M. Joseph		Caribbean Studies	15	4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25612722	
S 150	150	0	P	Juarros			1		Compendio de la historia de la ciudad de Guatemala				Guatemala	Guatemala	1808		D. Juarros							https://www.google.com/books/edition/Compendio_de_la_historia_de_la_ciudad_de/Uk4CAAAAYAAJ?hl=en&gbpv=0	
S 155	155	0	P	Kupperman			1		"Providence Island, 1630-1641: the other Puritan colony"				Cambridge	UK	1993		K. O. Kupperman							https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270	
S 156	156	0	A	Kupperman 11					The Love-Hate Relationship with Experts in the Early Modern Atlantic						2011		K. O. Kupperman		Early American Studies	9	2			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23547648	
S 160	160	0	P	Lane			1		Pillaging the Empire				New York	USA	1998		K. E. Lane							file:///Users/angelnavidad/Downloads/9781315722269.pdf	
S 161	161	0	A	Lang					"The Armada de Barlovento, fleet despatch and transport of Mercury to Mexico, 1637-1738"						1994		M. F. Lang		Revista de Indias	54	202			http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/armada-de-barlovento-fleet-despatch-transport/docview/1300744584/se-2?accountid=11311	
S 163	163	0	P	Latimer			1		Buccaneers of the Caribbean				Cambridge	USA	2009		J. Latimer							https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172	
S 		0	MS	Lauterpacht					Legal Opinion on Guatemala’s Territorial Claim to Belize						2001		"E. Lauterpacht, S. Schwebel, S. Rosenne, F. Orrego Vicuña"							http://belizereferendum.gov.bz/files/Legal%20Opinion%202002%20English.pdf	
S 167	167	0	A	Leeson					An‐arrgh‐chy: The Law and Economics of Pirate Organization						2007		P. T. Leeson		Journal of Political Economy	115	6			xxx	
S 		0	A	Lentz					"Black Belizeans and Fugitive Mayas: Interracial Encounters on the Edge of Empire, 1750–1803"						2014		M. W. Lentz		Americas	70	4			https://hollis.harvard.edu/primo-explore/fulldisplay?docid=TN_cdi_projectmuse_journals_547191_S153362471440001X&context=PC&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	
S 179	179	0	P	MacLeod			1		"Spanish Central America: A Socioeconomic History, 1520–1720"				Berkeley	USA	1973		M. J. MacLeod							https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/45035	
S 181	181	0	T	Marcus					"English influence on Belize and the Petén region of northern Guatemala, 1630 to 1763"						1990		L. C. Marcus							file:///Users/angelnavidad/Downloads/English_influence_on_Belize_an.pdf	
S 182	182	0	P	Marley			1		Wars of the Americas				Santa Barbara	USA	1998		D. F. Marley							"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"	
S 183	183	0	A	Marsden					"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						1902		R. G. Marsden		Transactions of the Royal Historical Society	16				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118	
S 184	184	0	P	Martin			1		"Statistics of the colonies of the British Empire in the West Indies, South America, North America, Asia, Austral-Asia, Africa, and Europe : comprising the area, agriculture, commerce, ... &c. of each colony : with the charters and the engraved seals"				London	UK	1839		R. M. Martin							http://id.lib.harvard.edu/alma/990073239960203941/catalog	
S 185	185	0	P	Martin 1			2		History of the West Indies				London	UK	1836	xxx	R. M. Martin							http://id.lib.harvard.edu/alma/990059826320203941/catalog	
S 186	186	0	P	Martin 2			1		Colonial policy of the British Empire				London	UK	1837		R. M. Martin							https://link.gale.com/apps/doc/U0105544982/MOME?u=camb55135&sid=MOME&xid=f7c75b1e	
S 188	188	0	P	McCusker			1		"Money and exchange in Europe and America, 1600-1775: a handbook"				London	UK	1978		J. J. McCusker							"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
S 189	189	0	A	McCusker 71					"The Current Value of English Exports, 1697 to 1800"						1971		J. J. McCusker		William and Mary Quarterly	28	4			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1922190	
S 190	190	0	A	McCusker 96					How much is that in real money? : a historical price index for use as a deflator of money values in the economy of the United States						1996		J. J. McCusker		Proceedings of the American Antiquarian Society	106	2			https://www.americanantiquarian.org/aasproceedings1996	
S 191	191	0	T	McJunkin					Logwood						1991		D. M. McJunkin							http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311	
S 192	192	0	P	McKillop			1		Salt: White Gold of the Ancient Maya				Gainesville	USA	2002		H. McKillop							https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17816	
S 193	193	0	MS	Meide					A Plague of Ships						2002		C. Meide							https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf	
S 197	197	0	P	Molina			3		Historia de Yucatán durante la dominación española				Merida	Mexico	1904	xxx	J. F. Molina Solís							"Simurg v1: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/ 
Simurg v2: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/
Simurg v3: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/ "	
S 		0	P	Naylor			1		"Penny Ante Imperialism: The Mosquito Shore and the Bay of Honduras, 1600–1914: A Case Study in British Informal Empire"				London	UK	1989		R. A. Naylor							xxx	
S 		0	T	Naylor 58					"British commercial relations with Central America, 1821–1851"						1958		R. A. Naylor							xxx	
S 		0	A	Naylor 60					The British Role in Central America Prior to the Clayton-Bulwer Treaty of 1850						1960		R. A. Naylor		Hispanic American Historical Review	40	3			xxx	
S 205	205	0	P	Netherlands DNB			xxx		Biografisch Woordenboek van Nederland				xxx		xxx										
S 206	206	0	A	Nettels					"England and the Spanish-American Trade, 1680-1715"						1931		C. Nettels		Journal of Modern History	3	1			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1872139	
S 207	207	0	P	Newton			1		The colonising activities of the English Puritans : the last phase of the Elizabethan struggle with Spain				London	UK	1914		A. P. Newton							http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
S 208	208	0	A	Newton EAS					"""Good and Kind Benefactors"": British Longwood Merchants and Boston's Christ Church"						2013		R. A. Newton		Early American Studies	11	1			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23546700	
S 		0	A	Botella-Ordinas					"DEBATING EMPIRES, INVENTING EMPIRES: British Territorial Claims Against the Spaniards in America, 1670—1714"						2010		E. Botella-Ordinas		Journal for Early Modern Cultural Studies	10	1			http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23267356	
S 209	209	0	P	OED			xxx		Oxford English Dictionary				xxx		xxx										
S 210	210	0	A	Offen 00					British Logwood Extraction from the Mosquitia: the Origin of a Myth						2000		K. H. Offen		Hispanic American Historical Review	80	1			https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/12337	
S 211	211	0	A	Offen 11					Puritan Bioprospecting in Central America and the West Indies						2011		K. H. Offen		Itinerario	35	1			https://doi.org/10.1017/S0165115311000040	
S 212	212	0	A	Offen 15					Mapping Amerindian Captivity in Colonial Mosquitia						2015		K. H. Offen		Journal of Latin American Geography	14	3			https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/595150#info_wrap	
