G1—383 / Population.
ID	YR	POPULATION	NOTE	CENSUS	SOURCE	UN	INTERCENSAL	UPPER ESTIMATE	LOWER ESTIMATE	UPPER EXTRAPOLATED	LOWER EXTRAPOLATED	FORMULA					
G76	1713	333	Median							294	373	Inter					
G77	1714	330	Median					300	360								
G78	1715	360	Median					320	400								
G79	1716	391	Median							349	433	Inter					
G80	1717	422	Median							378	466	Inter					
G81	1718	453	Median							407	499	Inter					
G82	1719	407	Median							366	449	Decay 0.9					
G83	1720	204	Median							183	224	Decay 0.5					
G84	1721	390	Median							353	427	Median					
G85	1722	576	Median					523	630								
G86	1723	864	Median							784	945	Growth 1.5					
G87	1724	"1,037"	Median							941	"1,134"	Growth 1.2					
G88	1725	985	Median							893	"1,077"	Decay 0.95					
G89	1726	"1,035"	Median							938	"1,131"	Growth 1.05					
G90	1727	931	Median							844	"1,018"	Decay 0.9					
G91	1728	838	Median							760	916	Decay 0.9					
G92	1729	419	Median							380	458	Decay 0.5					
G93	1730	503	Median							456	550	Growth 1.2					
G94	1731	30	Median					29	32								
G95	1732	9	Median					8	9								
G96	1733	11	Median					8	14								
G97	1734	106	Median							99	112	Median					
G98	1735	200	Median					190	210								
G99	1736	264	Median							254	274	Inter 1746-50					
G100	1737	347	Median							338	356	Inter 1746-50					
G101	1738	458	Median							451	464	Inter 1746-50					
G102	1739	603	Median							602	604	Inter 1746-50					
G103	1740	796	Median							804	787	Inter 1746-50					
G104	1741	670	Median							675	666	Inter					
G105	1742	545	Median							547	544	Inter					
G106	1743	420	Median							418	422	Inter					
G107	1744	295	Median							290	300	Inter					
G108	1745	170	Median					162	179								
G109	1746	224	Median							216	233	Inter					
G110	1747	278	Median							270	287	Inter					
G111	1748	332	Median							324	341	Inter					
G112	1749	386	Median							378	395	Inter					
G113	1750	440	Median							432	449	Inter					
G114	1751	608	Median					486	729								
G115	1752	28	Median					20	35								
G116	1753	500	Median					450	550								
G117	1754	11	Median					10	11								
G118	1755	319	Median							225	413	Fraction 1753					
G119	1756	478	Median							338	619	Growth 1.5					
G120	1757	574	Median							405	743	Growth 1.2					
G121	1758	191	Median							135	248	Decay 1/3					
G122	1759	76	Median					73	79								
G123	1760	215	Median							212	218	Inter					
G124	1761	353	Median							350	356	Inter					
G125	1762	492	Median							489	495	Inter					
G126	1763	630	Median							627	633	Inter					
G127	1764	769	Median							766	772	Inter					
G128	1765	907	Median							904	911	Inter					
G129	1766	"1,092"	Median							"1,043"	"1,142"	1785					
G130	1767	"1,038"	Median							991	"1,085"	Decay 0.95					
G131	1768	"1,090"	Median							"1,040"	"1,139"	Growth 1.05					
G132	1769	"1,144"	Median							"1,092"	"1,196"	Growth 1.05					
G133	1770	"1,201"	Median							"1,147"	"1,256"	Growth 1.05					
G134	1771	601	Median							573	628	Decay 0.5					
G135	1772	901	Median							860	942	Growth 1.5					
G136	1773	891	Median							850	932	Inter					
G137	1774	881	Median							840	921	Inter					
G138	1775	870	Median							829	911	Inter					
G139	1776	860	Median							819	901	Inter					
G140	1777	850	Median							809	891	Inter					
G141	1778	824	Median							799	850	1782					
G142	1779	15	Median					8	21								
G143	1780	15	Median					8	21								
G144	1781	15	Median					8	21								
G145	1782	824	Median							799	850	Inter 1788-9					
G146	1783	905	Median							873	938	Inter 1788-9					
G147	1784	995	Median							954	"1,035"	Inter 1788-9					
G148	1785	"1,092"	Median							"1,043"	"1,142"	Inter 1788-9					
G149	1786	"1,200"	Median					"1,140"	"1,260"								
G150	1787	"3,408"	Median					"3,348"	"3,468"								
G151	1788	"3,103"	Median							"3,063"	"3,143"	Inter					
G152	1789	"2,798"	Median							"2,778"	"2,818"	Inter					
G153	1790	"2,493"		"2,493"	SIB		"2,493"										
G154	1791	"2,606"					"2,606"										
G155	1792	"2,719"					"2,719"										
G156	1793	"2,831"					"2,831"										
G157	1794	"2,944"					"2,944"										
G158	1795	"3,057"					"3,057"										
G159	1796	"3,170"					"3,170"										
G160	1797	"3,282"					"3,282"										
G161	1798	"3,395"					"3,395"										
G162	1799	"3,508"					"3,508"										
G163	1800	"3,621"					"3,621"										
G164	1801	"3,733"					"3,733"										
G165	1802	"3,846"					"3,846"										
G166	1803	"3,959"					"3,959"										
G167	1804	"3,914"					"3,914"										
G168	1805	"3,869"					"3,869"										
G169	1806	"3,824"		"3,824"	SIB		"3,824"										
G170	1807	"3,841"					"3,841"										
G171	1808	"3,857"					"3,857"										
G172	1809	"3,874"					"3,874"										
G173	1810	"3,891"					"3,891"										
G174	1811	"3,907"					"3,907"										
G175	1812	"3,924"					"3,924"										
G176	1813	"3,941"					"3,941"										
G177	1814	"3,957"					"3,957"										
G178	1815	"3,974"					"3,974"										
G179	1816	"3,990"					"3,990"										
G180	1817	"4,007"					"4,007"										
G181	1818	"4,024"					"4,024"										
G182	1819	"4,040"					"4,040"										
G183	1820	"4,057"					"4,057"										
G184	1821	"4,074"					"4,074"										
G185	1822	"4,090"					"4,090"										
G186	1823	"4,107"		"4,107"	SIB		"4,107"										
G187	1824	"4,622"					"4,622"										
G188	1825	"5,138"					"5,138"										
G189	1826	"5,653"		"5,653"	SIB		"5,653"										
G190	1827	"5,180"					"5,180"										
G191	1828	"4,708"					"4,708"										
G192	1829	"4,235"		"4,235"	SIB		"4,235"										
G193	1830	"4,336"					"4,336"										
G194	1831	"4,436"					"4,436"										
G195	1832	"4,537"		"4,537"	SIB		"4,537"										
G196	1833	"3,872"					"3,872"										
G197	1834	"3,208"					"3,208"										
G198	1835	"2,543"		"2,543"	SIB		"2,543"										
G199	1836	"3,492"					"3,492"										
G200	1837	"4,440"					"4,440"										
G201	1838	"5,389"					"5,389"										
G202	1839	"6,338"					"6,338"										
G203	1840	"7,286"					"7,286"										
G204	1841	"8,235"		"8,235"	SIB		"8,235"										
G205	1842	"8,718"					"8,718"										
G206	1843	"9,201"					"9,201"										
G207	1844	"9,685"					"9,685"										
G208	1845	"10,168"					"10,168"										
G209	1846	"10,651"					"10,651"										
G210	1847	"11,134"					"11,134"										
G211	1848	"11,618"					"11,618"										
G212	1849	"12,101"					"12,101"										
G213	1850	"12,584"					"12,584"										
G214	1851	"13,067"					"13,067"										
G215	1852	"13,550"					"13,550"										
G216	1853	"14,034"					"14,034"										
G217	1854	"14,517"					"14,517"										
G218	1855	"15,000"					"15,000"										
G219	1856	"16,773"					"16,773"										
G220	1857	"18,545"					"18,545"										
G221	1858	"20,318"					"20,318"										
G222	1859	"22,090"					"22,090"										
G223	1860	"23,863"					"23,863"										
G224	1861	"25,635"		"25,635"	SIB		"25,635"										
G225	1862	"25,543"					"25,543"										
G226	1863	"25,450"					"25,450"										
G227	1864	"25,358"					"25,358"										
G228	1865	"25,265"					"25,265"										
G229	1866	"25,173"					"25,173"										
G230	1867	"25,080"					"25,080"										
G231	1868	"24,988"					"24,988"										
G232	1869	"24,895"					"24,895"										
G233	1870	"24,803"					"24,803"										
G234	1871	"24,710"		"24,710"	SIB		"24,710"										
G235	1872	"24,984"					"24,984"										
G236	1873	"25,258"					"25,258"										
G237	1874	"25,533"					"25,533"										
G238	1875	"25,807"					"25,807"										
G239	1876	"26,081"					"26,081"										
G240	1877	"26,355"					"26,355"										
G241	1878	"26,629"					"26,629"										
G242	1879	"26,904"					"26,904"										
G243	1880	"27,178"					"27,178"										
G244	1881	"27,452"		"27,452"	SIB		"27,452"										
G245	1882	"27,854"					"27,854"										
G246	1883	"28,256"					"28,256"										
G247	1884	"28,658"					"28,658"										
G248	1885	"29,060"					"29,060"										
G249	1886	"29,462"					"29,462"										
G250	1887	"29,863"					"29,863"										
G251	1888	"30,265"					"30,265"										
G252	1889	"30,667"					"30,667"										
G253	1890	"31,069"					"31,069"										
G254	1891	"31,471"		"31,471"	SIB		"31,471"										
G255	1892	"32,072"					"32,072"										
G256	1893	"32,673"					"32,673"										
G257	1894	"33,273"					"33,273"										
G258	1895	"33,874"					"33,874"										
G259	1896	"34,475"					"34,475"										
G260	1897	"35,076"					"35,076"										
G261	1898	"35,677"					"35,677"										
G262	1899	"36,277"					"36,277"										
G263	1900	"36,878"					"36,878"										
G264	1901	"37,479"		"37,479"	SIB		"37,479"										
G265	1902	"37,777"					"37,777"										
G266	1903	"38,075"					"38,075"										
G267	1904	"38,373"					"38,373"										
G268	1905	"38,671"					"38,671"										
G269	1906	"38,969"					"38,969"										
G270	1907	"39,266"					"39,266"										
G271	1908	"39,564"					"39,564"										
G272	1909	"39,862"					"39,862"										
G273	1910	"40,160"					"40,160"										
G274	1911	"40,458"		"40,458"	SIB		"40,458"										
G275	1912	"40,944"					"40,944"										
G276	1913	"41,430"					"41,430"										
G277	1914	"41,916"					"41,916"										
G278	1915	"42,402"					"42,402"										
G279	1916	"42,888"					"42,888"										
G280	1917	"43,373"					"43,373"										
G281	1918	"43,859"					"43,859"										
G282	1919	"44,345"					"44,345"										
G283	1920	"44,831"					"44,831"										
G284	1921	"45,317"		"45,317"	SIB		"45,317"										
G285	1922	"45,920"					"45,920"										
G286	1923	"46,523"					"46,523"										
G287	1924	"47,126"					"47,126"										
G288	1925	"47,729"					"47,729"										
G289	1926	"48,332"					"48,332"										
G290	1927	"48,935"					"48,935"										
G291	1928	"49,538"					"49,538"										
G292	1929	"50,141"					"50,141"										
G293	1930	"50,744"					"50,744"										
G294	1931	"51,347"		"51,347"	SIB		"51,347"										
G295	1932	"51,872"					"51,872"										
G296	1933	"52,397"					"52,397"										
G297	1934	"52,922"					"52,922"										
G298	1935	"53,446"					"53,446"										
G299	1936	"53,971"					"53,971"										
G300	1937	"54,496"					"54,496"										
G301	1938	"55,021"					"55,021"										
G302	1939	"55,546"					"55,546"										
G303	1940	"56,071"					"56,071"										
G304	1941	"56,596"					"56,596"										
G305	1942	"57,121"					"57,121"										
G306	1943	"57,645"					"57,645"										
G307	1944	"58,170"					"58,170"										
G308	1945	"58,695"					"58,695"										
G309	1946	"59,220"		"59,220"	SIB		"59,220"										
G310	1947	"61,455"					"61,455"										
G311	1948	"63,689"					"63,689"										
G312	1949	"65,639"				"65,354"	"65,924"										
G313	1950	"68,537"				"68,915"	"68,159"										
G314	1951	"70,567"				"70,741"	"70,393"										
G315	1952	"72,899"				"73,171"	"72,628"										
G316	1953	"75,320"				"75,778"	"74,863"										
G317	1954	"77,596"				"78,094"	"77,097"										
G318	1955	"80,110"				"80,888"	"79,332"										
G319	1956	"81,950"				"82,333"	"81,566"										
G320	1957	"84,450"				"85,098"	"83,801"										
G321	1958	"87,096"				"88,156"	"86,036"										
G322	1959	"88,878"				"89,486"	"88,270"										
G323	1960	"90,507"		"90,505"	SIB	"90,508"	"90,505"										
G324	1961	"93,586"				"93,586"											
G325	1962	"98,453"				"98,453"											
G326	1963	"100,165"				"100,165"											
G327	1964	"103,069"				"103,069"											
G328	1965	"106,120"				"106,120"											
G329	1966	"109,348"				"109,348"											
G330	1967	"112,707"				"112,707"											
G331	1968	"116,065"				"116,065"											
G332	1969	"119,269"				"119,269"											
G333	1970	"122,184"				"122,184"											
G334	1971	"124,795"				"124,795"											
G335	1972	"127,152"				"127,152"											
G336	1973	"129,294"				"129,294"											
G337	1974	"131,305"				"131,305"											
G338	1975	"133,264"				"133,264"											
G339	1976	"135,143"				"135,143"											
G340	1977	"136,990"				"136,990"											
G341	1978	"138,975"				"138,975"											
G342	1979	"141,302"				"141,302"											
G343	1980	"144,142"				"144,142"											
G344	1981	"147,572"				"147,572"											
G345	1982	"151,486"				"151,486"											
G346	1983	"155,820"				"155,820"											
G347	1984	"160,341"				"160,341"											
G348	1985	"164,918"				"164,918"											
G349	1986	"169,569"				"169,569"											
G350	1987	"174,333"				"174,333"											
G351	1988	"179,023"				"179,023"											
G352	1989	"183,471"				"183,471"											
G353	1990	"187,554"				"187,554"											
G354	1991	"191,136"				"191,136"											
G355	1992	"194,324"				"194,324"											
G356	1993	"197,625"				"197,625"											
G357	1994	"201,679"				"201,679"											
G358	1995	"206,962"				"206,962"											
G359	1996	"213,660"				"213,660"											
G360	1997	"221,575"				"221,575"											
G361	1998	"230,248"				"230,248"											
G362	1999	"238,979"				"238,979"											
G363	2000	"247,310"				"247,310"											
G364	2001	"255,068"				"255,068"											
G365	2002	"262,387"				"262,387"											
G366	2003	"269,428"				"269,428"											
G367	2004	"276,516"				"276,516"											
G368	2005	"283,798"				"283,798"											
G369	2006	"291,338"				"291,338"											
G370	2007	"299,031"				"299,031"											
G371	2008	"306,822"				"306,822"											
G372	2009	"314,655"				"314,655"											
G373	2010	"322,465"				"322,465"											
G374	2011	"330,236"				"330,236"											
G375	2012	"338,001"				"338,001"											
G376	2013	"345,707"				"345,707"											
G377	2014	"353,366"				"353,366"											
G378	2015	"360,926"				"360,926"											
G379	2016	"368,399"				"368,399"											
G380	2017	"375,775"				"375,775"											
G381	2018	"383,071"				"383,071"											
G382	2019	"390,351"				"390,351"											
G383	2020	"397,621"				"397,621"											
G384																	
G385																	
G386																	
G387																	
G388																	
G389																	
