Table 1
	f All	t All	t All Re	f GB	t GB	Cf	N	f All	t All	t All Re	f GB	t GB	Cf	N
1895								"BZD	1,367,778"	"BZD	1,208,155"		"BZD	402,533"	"BZD	552,177"	Cd.307	
1896								"BZD	1,376,243"	"BZD	1,297,172"		"BZD	492,304"	"BZD	715,600"	Cd.307	
1897								"BZD	1,338,100"	"BZD	1,321,436"		"BZD	457,728"	"BZD	724,394"	Cd.307	
1898								"BZD	1,176,246"	"BZD	1,207,971"		"BZD	395,684"	"BZD	803,535"	Cd.7165	
1899								"BZD	971,460"	"BZD	1,204,226"		"BZD	396,215"	"BZD	810,323"	Cd.7165	
1900								"BZD	1,129,027"	"BZD	1,224,897"		"BZD	354,288"	"BZD	577,868"	Cd.7165	
1901								"BZD	1,155,804"	"BZD	1,306,866"		"BZD	351,775"	"BZD	598,886"	Cd.7165	
1902								"BZD	1,155,213"	"BZD	1,281,673"		"BZD	317,358"	"BZD	392,595"	Cd.7165	
1903								"BZD	1,668,153"	"BZD	1,743,613"		"BZD	436,486"	"BZD	319,231"	Cd.7165	
1904								"BZD	1,653,423"	"BZD	1,753,674"		"BZD	439,813"	"BZD	393,721"	Cd.7165	
1905								"BZD	1,765,611"	"BZD	1,726,746"		"BZD	466,554"	"BZD	442,917"	Cd.7165	
1906								"BZD	2,070,437"	"BZD	1,899,637"		"BZD	552,725"	"BZD	542,174"	Cd.7165	
1907								"BZD	2,272,898"	"BZD	2,080,315"		"BZD	625,691"	"BZD	427,253"	Cd.7165	
1908								"BZD	2,518,604"	"BZD	2,071,623"		"BZD	649,634"	"BZD	449,874"	Cd.7165	
1909								"BZD	2,544,365"	"BZD	2,078,420"		"BZD	519,215"	"BZD	334,802"	Cd.7165; Cmd. 2738	
1910								"BZD	2,652,539"	"BZD	2,205,772"		"BZD	565,362"	"BZD	310,007"	Cd.7165; Cmd. 2738	
1911								"BZD	2,716,007"	"BZD	2,527,054"		"BZD	584,248"	"BZD	315,633"	Cd.7165; Cmd. 2738	
1912								"BZD	3,290,162"	"BZD	2,687,280"		"BZD	627,343"	"BZD	291,048"	Cd.7165; Cmd. 2738	
1913								"BZD	2,997,040"	"BZD	2,941,395"				Cmd. 2738	
1914								"BZD	2,804,196"	"BZD	2,746,207"				Cmd. 2738	
1915								"BZD	2,021,905"	"BZD	2,103,705"				Cmd. 2738	
1916								"BZD	2,430,854"	"BZD	2,413,964"				Cmd. 2738	
1917								"BZD	2,628,600"	"BZD	2,637,246"				Cmd. 2738	
1918								"BZD	3,354,619"	"BZD	3,451,757"				Cmd. 2738	
1919								"BZD	4,417,623"	"BZD	4,185,782"				Cmd. 2738	
1920								"BZD	5,529,266"	"BZD	4,747,359"				Cmd. 2738	
1921								"BZD	3,145,475"	"BZD	2,865,403"				Cmd. 2738	
1922								"BZD	3,095,863"	"BZD	1,374,564"	"BZD	1,267,040"			Cmd. 3434	"Exp = FOB, exc export duty, for > 1921"
1923								"BZD	3,798,030"	"BZD	1,244,831"	"BZD	1,757,015"			Cmd. 3434	"Imports = net value, exc outside packages, insurance, freight, duty, for > 1921"
1924								"BZD	3,664,040"	"BZD	1,537,623"	"BZD	1,591,520"			Cmd. 3434	
1925								"BZD	4,248,174"	"BZD	1,517,717"	"BZD	1,846,656"			Cmd. 3434	
1926								"BZD	4,764,908"	"BZD	1,798,856"	"BZD	1,894,978"			Cmd. 5298	
1927								"BZD	4,229,371"	"BZD	2,457,978"	"BZD	1,817,165"			Cmd. 5298	
1928								"BZD	4,192,753"	"BZD	1,753,083"	"BZD	2,050,604"			Cmd. 5298	
1929								"BZD	4,755,753"	"BZD	1,812,587"	"BZD	2,760,076"			Cmd. 5298	
1930								"BZD	4,632,168"	"BZD	1,318,245"	"BZD	2,943,166"			Cmd. 5298	
1931								"BZD	4,412,460"	"BZD	599,619"	"BZD	2,293,198"			Cmd. 5298	
1932								"BZD	2,961,475"	"BZD	384,488"	"BZD	1,405,213"			Cmd. 5298	
1933								"BZD	1,798,856"	"BZD	462,301"	"BZD	627,082"			Cmd. 5298	
1934								"BZD	1,716,465"	"BZD	787,285"	"BZD	563,001"			Cmd. 6140	
1935								"BZD	2,499,174"	"BZD	869,676"	"BZD	709,472"			Cmd. 6140	
1936	"£	658,000"	"£	270,000"	"£	208,000"			Cmd. 7224		"BZD	3,011,825"	"BZD	1,235,855"	"BZD	952,066"			Cmd. 6140	
1937	"£	801,000"	"£	286,000"	"£	232,000"			Cmd. 7224		"BZD	3,680,102"	"BZD	1,313,668"	"BZD	1,066,497"			Cmd. 6140	
1938	"£	821,000"	"£	372,000"	"£	293,000"			Cmd. 7224		"BZD	3,702,988"	"BZD	1,679,847"	"BZD	1,322,823"			Cmd. 6140	
1939	"£	795,000"	"£	311,000"	"£	245,000"			Cmd. 7224		"BZD	3,532,320"	"BZD	2,519,900"				Cmd. 7167	
1940	"£	823,000"	"£	402,000"	"£	349,000"			Cmd. 7224		"BZD	3,316,690"	"BZD	3,038,620"				Cmd. 7167	
1941	"£	931,000"	"£	439,000"	"£	394,000"			Cmd. 7224		"BZD	3,751,930"	"BZD	3,356,990"				Cmd. 7167	
1942	"£	983,000"	"£	311,000"	"£	323,000"			Cmd. 7224		"BZD	3,965,520"	"BZD	2,555,020"				Cmd. 7167	
1943	"£	1,410,000"	"£	441,000"	"£	488,000"			Cmd. 7224		"BZD	5,686,330"	"BZD	3,743,870"				Cmd. 7167	
1944	"£	1,827,000"	"£	462,000"	"£	1,049,000"			Cmd. 7224		"BZD	7,362,810"	"BZD	6,085,300"				Cmd. 7167	
1945	"£	1,944,000"	"£	490,000"	"£	731,000"			Cmd. 7224		"BZD	7,838,350"	"BZD	4,920,630"				Cmd. 7167	
1946	"£	1,683,000"	"£	872,000"	"£	424,000"			Cmd. 8051		"BZD	6,782,490"	"BZD	5,222,880"				Cmd. 7167	
1947	"£	2,148,000"	"£	1,053,000"	"£	471,000"			Cmd. 8051								
1948								"BZD	7,669,906"	"BZD	6,142,601"				Col Rep 49	
1949								"BZD	5,620,605"	"BZD	4,564,847"				Col Rep 49	
1950								"BZD	8,782,607"	"BZD	4,594,936"	"BZD	161,711"			Col Rep 52	Import = CIF
1951								"BZD	12,407,332"	"BZD	5,985,700"	"BZD	248,431"			Col Rep 52	
1952								"BZD	12,671,851"	"BZD	5,615,483"	"BZD	574,504"			Col Rep 52	
1953								"BZD	11,764,015"	"BZD	6,810,486"	"BZD	684,421"			Col Rep 54	
1954								"BZD	11,409,568"	"BZD	6,226,568"	"BZD	1,061,258"			Col Rep 54	
1955								"BZD	14,339,799"	"BZD	7,014,226"	"BZD	1,172,649"			Col Rep 56	
1956								"BZD	15,850,630"	"BZD	7,486,507"	"BZD	2,486,533"			Col Rep 56	
1957								"BZD	15,108,063"	"BZD	7,352,262"	"BZD	1,591,139"			Col Rep 58	
1958								"BZD	18,516,241"	"BZD	7,768,062"	"BZD	1,319,813"			Col Rep 58	
1959														
1960								"BZD	18,783,607"	"BZD	10,164,943"	"BZD	1,062,512"			Col Rep 59-61	
1961								"BZD	22,708,464"	"BZD	11,186,533"	"BZD	1,215,769"			Col Rep 59-61	
1962								"BZD	31,202,647"	"BZD	8,251,986"	"BZD	4,128,534"			Col Rep 62-63	
1963								"BZD	27,553,446"	"BZD	15,430,016"	"BZD	3,141,978"			Col Rep 62-63	
1964								"BZD	33,900,819"	"BZD	17,134,327"	"BZD	2,058,366"			Col Rep 64-65	
1965								"BZD	34,987,986"	"BZD	15,216,520"	"BZD	2,246,542"			Col Rep 64-65	
1966														
1967														
1968														
1969														
1970														
1971														
1972														
1973														
1974														
1975														
1976														
1977														
1978														
1979														
1980														
1981														
1982														
1983														
1984														
1985														
1986														
1987														
1988														
1989														
1990														
1991														
1992														
1993														
1994														
1995														
1996														
1997														
1998														
1999														
2000														
2001														
2002														
2003														
2004														
2005														
2006														
2007														
2008														
2009														
2010														
2011														
2012														
2013														
2014														
2015														
2016														
2017														
2018														
2019														
2020														
