E1—48 / Disasters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	CF GENERALLY	NOTE	Lives	Lives +	Assume	£ List	£	Assume	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost		
E 		Nat 2		1 Dec 1784	30 Nov 1785	 	 	Severe wet season / Epidemic among Baymen			sev at New					"2/3 Log / 1/3 Mah
900 pop"								? houses / works flooded esp in New	halt logging for min 11 m		 		
E 		Nat 3		1 Nov 1792	30 Nov 1792	 	 	Severe wet season / Severe flooding of Belize Town			sev									Old for c 0.25 m				"c 2,000,000 ft Mah loss / ? tons Log loss / all houses at Old flooded"					
E 		Rev 1	Cook’s	1 Aug 1765	30 Sep 1765	 	 	"Mr. Cook’s slaves lead revolt / Revolters lay siege to New River / British Army, Fleet and Baymen engage"			5 + sev twice	6 t 10	sev = 3 t 5 persons	"1,350 Log
270 Log"	"J£ 8,100"	"2 m expulsion
15 gangs of 15 moved
2 m siege"				New for ? m				min 1 house robbed	New sieged for ? m				
E 		Rev 2	Davidson’s	28 May 1773	30 Sep 1773	 	 	"Mr. Davidson’s slaves, with Spanish allies, lead revolt / Royal Navy, Fleet and Baymen engage"			13 t 14 + 1 family + ? of 40			"42 Log
J£ 2.15
£ 300
1,215 Log
5,400 Log
720,000 ft Mah"	"£ 300
J£ 44,087.15"	"only Neg impressed
3 m logging halt
900 pop"	min 14 impressed for 0.25 m / ? of 40 taken	17.146 p per day	BOE	c 70 Neg refugees exit	min 1			min 9 houses robbed	halt logging for ? m				
E 		Rev 3	Old River	1 Jun 1786	30 Jul 1786	 	 	Slaves lead revolt / xxx			sev																		
E 		Rev 4	New River	1 Jan 1813		 	 	Slaves lead revolt / xxx																					
E 		Rev 5	Will & Sharper’s	1 Apr 1820		 	 	Messrs. Will and Shaper lead revolt / xxx																sev houses robbed					
E 		War 1	Spanish Succession	1 Jul 1701	11 Sep 1714	Sp	Fr	England declares war on Spain																					
E 		War 10	Cromwell’s	15 Dec 1654	23 May 1667	Sp	Bu Fr	England declares war on Spain			?																		
E 		War 11	Spanish-American Revolution	25 Sep 1808	29 Sep 1833	Sp	 	Civil unrest / xxx																	silver scarcity for ? m				
E 		War 2	Quadruple Alliance	2 Aug 1718	17 Feb 1720	Sp	 	Great Britain declares war on Spain																					
E 		War 3		1 Mar 1726	9 Nov 1729	Sp	 	Great Britain declares war on Spain						"£ 300
693.33 reales"	"£ 300
Sp $ 86.67"						1			? fm 2 Ma hamlets					
E 		War 4	Jenkins' Ear	22 Oct 1739	18 Oct 1748	Sp	 	Great Britain declares war on Spain			9 t 10 + sev + 1 crew	20 t 30	"sev = .01 t .03 of population
500 population
crew = 15 men"	"£ 365.59
£ 69,000
J£ 750"	"£ 69,365.59
J£ 750"	"only crews held
some = 5 men
some = 3 craft
sev = 5 craft or flats"	2 crews + some men twice for ? m	15.233 p per day	BOE		15 + some + sev / sev flats								
E 		War 5	Seven Years’	5 May 1762	10 Feb 1763	Sp	Fr	Great Britain declares war on Spain																					
E 		War 6	American Revolution	19 Apr 1775	3 Sep 1783	Sp	Am Fr	"America, Spain declare war on Great Britain / American Royalists seek refuge in Settlement / Americans sack Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, British Army, Baymen, Shoremen and Amerindian allies engage"			11 + sev					lost earnings not inc by Baymen	1 for 0.25 m / ? fm St. George’s for 35 m	c 175 ft Mah per man per m ? / 3.75 t Log per man per m	"Sev 1944
CO 5/119 I"	Hon for ? m / sev families Am refugees enter thrice or 4 times	"3 / ? flats = part of £ 78,457.20"			"Prov demanded / ? houses St. George’s + ? wood destroyed = part of £ 78,457.20"		Prov v scarce for ? m	£ 300 for 9.5 years for Agent / ? for London printing thrice		
E 		War 7	French Revolution	20 Apr 1792	27 Mar 1802	Sp	Fr	"Great Britain declares war on Spain / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet and Baymen engage"		Great Britain = UK on 1801.	?									mainland for 12 m				?	halt logging for 8 m		HMS Merlin for c 8 m / redoubts or barriers raised at Old / 300 troops fm Jam for c 8 m / 2 defence craft for c 8 m / 900 civilian men for min 1.5 m		
E 		War 8	Napoleonic	18 May 1803	20 Nov 1815	Sp	Fr	"UK declares war on France, Spain"																		Prov v scarce for ? m			
E 		War 9		18 Jun 1812	17 Feb 1815	 	Am	UK declares war on US																					
E 																													
E 																													
E 																													
E 																													
E 																													
E 																													
E 																													
