Series S 0—435 / Primary and secondary sources.
ID	NO	PRIMARY	TYPE	ALT ID	AUTHORS	EDITORS	PERIOD	PERIOD	VOLS	UNITS	JOURNAL	V	I	ITEM	REPOSITORY	CITY	COUNTRY	CITY	COUNTRY	FIRST PUB	LAST PUB	VIA	NOTE	LINK	
S 187	187	1	P	Maya R			1621	1624	1					"Maya Research, vol 3, Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624"				New York	USA	1936	1937	Jones 1	"Also available as Documents relating to the Mirones Expedition to the interior of Yucatan, 1621-1624 [Culver City, Calif. : Labyrinthos, 1991]"		
S 188	188	0	P	McCusker	J. J. McCusker				1					"Money and exchange in Europe and America, 1600-1775: a handbook"				London	UK	1978				"file:///Users/angelnavidad/Downloads/John%20J.%20McCusker%20(auth.)%20-%20Money%20and%20Exchange%20in%20Europe%20and%20America,%201600–1775_%20A%20Handbook-Palgrave%20Macmillan%20UK%20(1978).pdf"	
S 189	189	0	A	McCusker 71	J. J. McCusker						William and Mary Quarterly	28	4	"The Current Value of English Exports, 1697 to 1800"						1971				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1922190	
S 190	190	0	A	McCusker 96	J. J. McCusker						Proceedings of the American Antiquarian Society	106	2	How much is that in real money? : a historical price index for use as a deflator of money values in the economy of the United States						1996				https://www.americanantiquarian.org/aasproceedings1996	
S 191	191	0	T	McJunkin	D. M. McJunkin									Logwood						1991				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/logwood-inquiry-into-historical-biogeography/docview/303932948/se-2?accountid=11311	
S 192	192	0	P	McKillop	H. McKillop				1					Salt: White Gold of the Ancient Maya				Gainesville	USA	2002				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17816	
S 193	193	0	MS	Meide	C. Meide									A Plague of Ships						2002				https://www.ltrr.arizona.edu/webhome/cbaisan/Florida/A_Plague_of_Ships_Spanish_Ships_and_Ship.pdf	
S 194	194	1	MS	"MEXICO,a"			1519	1856	3196	legajos				Audiencia de México	Archivo General de Indias	Seville	Spain					PARES			
S 195	195	1	MS	ML a			1791	1812	4	vols				Magistrates’ Letters	Archives and Records Service	Belmopan	Belize					Burdon 1			
S 196	196	1	MS	MM a			1793	1844	13	vols				Magistrates’ Meetings	Archives and Records Service	Belmopan	Belize					Burdon 2			
S 197	197	0	P	Molina	J. F. Molina Solís				3					Historia de Yucatán durante la dominación española				Merida	Mexico	1904				"Simurg v1: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/ 
Simurg v2: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/
Simurg v3: http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/ "	
S 198	198	1	MS	"MP-GUATEMALA,d"			1571	1892	418	items				"Mapas, planos, dibujos, etc.: Guatemala"	Archivo General de Indias	Seville	Spain					PARES			
S 199	199	1	MS	"MP-MEXICO,d"			1519	1823	947	items				"Mapas, planos, dibujos, etc.: México"	Archivo General de Indias	Seville	Spain					PARES			
S 200	200	1	MS	"MPD, d"			1503	1962	7816	items				"Mapas, planos y dibujos"	Archivo General de Simancas	Valladolid	Spain					AGS Guía del Investigador			
S 201	201	1	MS	MSR			1771	1787	xxx	vols				Mosquito Shore Records	Archives and Records Service	Belmopan	Belize					Burdon 1			
S 202	202	1	MS	"Mus Nav, Col Nav, d"			1492	1773	32	vols				Colección Navarrete	Museo Naval	Madrid	Spain					D. Higueras Rodriguez Link: https://armada.defensa.gob.es/archivo/mardigitalrevistas/cuadernosihcn/24cuaderno/04cap.pdf 	"Some volumes or items possibly deposited in Archivo General de la Marina ""Álvaro de Bazán,” Ciudad Real, Spain /Higueras Rodriguez p35"		
S 203	203	1	P	Naber/Wright			xxx		1					Piet Heyn en de Zilvervloot				Utrecht	Netherlands	1928	1928	Goslinga	Edited by S. P. l'Honoré Naber and Irene A. Wright		
S 204	204	1	P	NDAR			1774	1778	13					Naval Documents of the American Revolution				Washington	USA	1964	2019			https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html	
S 205	205	0	P	Netherlands DNB					xxx					Biografisch Woordenboek van Nederland											
S 206	206	0	A	Nettels	C. Nettels						Journal of Modern History	3	1	"England and the Spanish-American Trade, 1680-1715"						1931				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1872139	
S 207	207	0	P	Newton	A. P. Newton				1					The colonising activities of the English Puritans : the last phase of the Elizabethan struggle with Spain				London	UK	1914				http://www.llmcdigital.org.ezp-prod1.hul.harvard.edu/default.aspx?redir=31970	
S 208	208	0	A	Newton EAS	R. A. Newton						Early American Studies	11	1	"""Good and Kind Benefactors"": British Longwood Merchants and Boston's Christ Church"						2013				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23546700	
S 209	209	0	P	OED					xxx					Oxford English Dictionary											
S 210	210	0	A	Offen 00	K. H. Offen						Hispanic American Historical Review	80	1	British Logwood Extraction from the Mosquitia: the Origin of a Myth						2000				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/12337	
S 211	211	0	A	Offen 11	K. H. Offen						Itinerario	35	1	Puritan Bioprospecting in Central America and the West Indies						2011				https://doi.org/10.1017/S0165115311000040	
S 212	212	0	A	Offen 15	K. H. Offen						Journal of Latin American Geography	14	3	Mapping Amerindian Captivity in Colonial Mosquitia						2015				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/595150#info_wrap	
S 213	213	0	A	Ogelsby	J. C. M. Ogelsby						Caribbean Studies	3	2	The British and Panama — 1742						1963				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756	
S 214	214	1	P	Ogilby			xxx		1					"America, being the latest and most accurate description of the Nevv VVorld"				London	UK	1671	1671		See 1657 Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~295183~90066270:Audience-de-Mexico?qvq=w4s:/when%2F1657;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=1	"Book: http://www.gutenberg.org/files/59745/59745-h/59745-h.htm
Map of Hon: https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~292937~90066940:Yucatan-et-Guatimala-?qvq=w4s:/when%2F1671;q:%3D%22Honduras%22;lc:RUMSEY~8~1&mi=0&trs=2"	
S 215	215	1	MS	"Old WIC, 1.05.01.01, d"			1621	1711	99	items				"Inventaris van het archief van de Oude West-Indische Compagnie (Oude WIC), 1621-1674 (1711)"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories	"“Inventarisnummers” rendered as “items”
NA Hague Inventories Link: https://www.nationaalarchief.nl/onderzoeken/zoeken?activeTab=archives "		
S 216	216	1	P	Oviedo			xxx		4					"Historia general y natural de las Indias, islas y tierra-firme del mar océano"				Madrid	Spain	1851	1855		"First vol published 1535 in Seville / intended as 3 vols
First full publication 1851–1855 in Madrid by RAH / in 4 vols"	"v 1: http://www.cervantesvirtual.com/nd/ark:/59851/bmc668b5
v 2: http://www.cervantesvirtual.com/nd/ark:/59851/bmc2f7m2
v 3: http://www.cervantesvirtual.com/nd/ark:/59851/bmcsb4c5
v 4: http://www.cervantesvirtual.com/nd/ark:/59851/bmcc53h5"	
S 217	217	0	P	Oxford DNB					xxx					Dictionary of National Biography											
S 218	218	1	P	Pargellis			xxx		1					"William and Mary Quarterly, 3 series, vol 1, Daniel Ellffryth's Guide to the Caribbean, 1631"				Williamsburg	USA	1944	1944		Edited by Stanley Pargellis and Ruth Lapham Butler	http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923731	
S 219	219	1	MS	"PATRONATO,a"			1480	1801	307	legajos				Patronato Real	Archivo General de Indias	Seville	Spain					PARES			
S 220	220	1	MS	PCR			1789	1798	1	vols				Police Court Records and Magistrates' Meetings	Archives and Records Service	Belmopan	Belize					Burdon 1	"Numbered 13 on fly leaf / includes Police Court Records 1789, Magistrates' Meetings 1793, Bonds 1797–1798 /Burdon 1 p292"		
S 221	221	0	A	Pendergast	"D. M. Pendergast, G. D. Jones, E. Graham"						Latin American Antiquity	4	1	Locating Maya Lowlands Spanish Colonial Towns: A Case Study from Belize						1993				xxx	
S 222	222	0	A	Peniche	M. Peniche						Boletín de la Sociedad de Geografía y Estadística	13		"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"						1869				https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en&gbpv=0&kptab=editions	
S 223	223	1	P	"Perez, Documentos"			xxx		1					Documentos sobre Belice o Balice				Mexico	Mexico	1958	1958		Edited by Gustavo A. Pérez Trejo		
S 224	224	1	P	"Perez, Pagina"			xxx		1					"Boletín Bibliográfico de la Secretaría de Hacienda y Crédito Público, nos. 394—5, Una página histórica sobre Belice "				Mexico	Mexico	1968	1968	Gerhard 75	By Gustavo A. Pérez Trejo		
S 225	225	1	P	Philalethes			xxx		1					"The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author"				London	UK	1742	1742		"Printed for T. Cooper, ..."	https://link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5	
S 226	226	1	MS	PR a			1774	1849	22	vols				Private Records	Archives and Records Service	Belmopan	Belize					Burdon 1	"Where PR 1 = typed copies of eight Record Books 1774–1818, bulk 1784–1793 /Burdon 1 p291, and so counted as 8 vols"		
S 227	227	0	P	Quezada	S. Quezada				1					La colonización de los mayas peninsulares				Merida	Mexico	2011				file:///Users/angelnavidad/Downloads/18-La%20colonización%20de%20los%20mayas%20peninsulares.pdf	
S 228	228	1	MS	R d			1805	1853	32	vols				Letters and Despatches	Archives and Records Service	Belmopan	Belize					Burdon 2	"Inc Mr. Miller’s Mission, Records 11 /Burdon 2 / Inc Proceedings of Public Meeting, Records 20 /Burdon 2"		
S 229	229	0	P	RAE					xxx					Diccionario de la lengua española											
S 230	230	0	P	RAH DNB					xxx					Diccionario Biográfico Español											
S 231	231	1	MS	Rawl MSS A. d			xxx		xxx	mss				"Rawlinson Manuscripts, Series A: English History, 12th-18th century"	Bodleian Library	Oxford	UK					Bod Lib Catalogue	Link: https://archives.bodleian.ox.ac.uk/repositories/2/archival_objects/90884 		
S 232	232	1	P	RDPY			1520	1844	1					Relación documental para la historia de la provincia de Yucatán				Merida	Mexico	1992	1992		By Sergio Quezada		
S 233	233	1	MS	"Real Acad Hist, Col Muñoz, a"			xxx		76	vols				"Manuscritos, Juan Bautista Muñoz"	Real Academia de la Historia	Madrid	Spain					RAH Catalogue	"Signatura 9/4779-4856
RAH Catalogue Link: https://www.rah.es/colecciones-de-manuscritos/ "		
S 234	234	0	P	Reed	N. Reed				1					The Caste War in Yucatan				Stanford	USA	1964				xxx	
S 235	235	0	A	Reichert	R. Reichert						Tzintzun	65		"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"						2016				http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2017000100009&lang=es	
S 236	236	0	A	Restall	M. Restall						Hispanic American Historical Review	94	3	Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan						2014				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300	
S 237	237	0	P	Ribot	M. T. Ribot				1					Belice: una historia olvidada				Mexico	Mexico	1993				https://books.openedition.org/cemca/319	
S 238	238	0	P	Roberts	W. A. Roberts				1					"Sir Henry Morgan, buccaneer and governor"				New York	USA	1933				https://hdl.handle.net/2027/mdp.39015021845162	
S 239	239	0	A	Rossano	G. L. Rossano						New York History	70	3	Down to the Bay						1989				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260	
S 240	240	1	P	Roteta			1655	1694	1					Forma de asegurar los puertos y poblaciones de todas las costas de las Indias				Madrid	Spain	1694	1694			https://www.wdl.org/en/item/4393/	
S 241	241	0	P	Roys 1	R. L. Roys				1					The Titles of Ebtun				Washington	USA	1939				https://hdl.handle.net/2027/txu.059173022901217	
S 242	242	0	P	Roys 2	R. L. Roys				1					The Political Geography of the Yucatan Maya				Washington	USA	1957				https://hdl.handle.net/2027/uva.x000422247	
S 243	243	0	P	Rugeley	T. Rugeley				1					"Rebellion Now and Forever : Mayas, Hispanics, and Caste War Violence in Yucatan : 1800—1880"				Stanford	USA	2009				"file:///Users/angelnavidad/Downloads/Terry%20Rugeley%20-%20Rebellion%20Now%20and%20Forever_%20Mayas,%20Hispanics,%20and%20Caste%20War%20Violence%20in%20Yucatan,%201800-1880%20(2009).pdf"	
S 244	244	0	T	Rushton	E. A. C. Rushton									Under the Shade I Flourish						2014				http://eprints.nottingham.ac.uk/27615/1/Hardbound%20Thesis_October2014_Rushton.pdf	
S 245	245	1	P	"Sanchez, Rel"			1641	1642	1					"Relacion del suceso que tuvo Francisco Diaz Pimienta, general de la real armada de las Indias, en la isla de Santa Catalina"				Madrid	Spain	1642	1642				
S 246	246	1	MS	"SANTA_FE,a"			1527	1831	1263	legajos				Audiencia de Santa Fe	Archivo General de Indias	Seville	Spain					PARES			
S 247	247	1	MS	SC d			1817	1850	4	vols				Summary Courts	Archives and Records Service	Belmopan	Belize					Burdon 2			
S 248	248	0	A	Scammell	G. V. Scammell						Itinerario	24	3	"""A Very Profitable and Advantageous Trade"": British Smuggling in the Iberian Americas circa 1500-1750"						2000				xxx	
S 249	249	1	P	Sloane			xxx		2					"A voyage to the islands Madera, Barbados, Nieves, S. Christophers and Jamaica, : with the natural history of the Herbs and Trees, Four-Footed Beasts, Fishes, Birds, Insects, Reptiles, &c. of the last of those islands; to which is prefix'd an introduction, wherein is an account of the inhabitants, air, waters, diseases, trade, &c. of that Place, with some Relations concerning the Neighbouring Continent, and Islands of America. Illustrated with the figures of the things describ'd, which have not been heretofore engraved; In large Copper-Plates as big as the Life."				London	UK	1707				"v 1: https://link.gale.com/apps/doc/CW0101368735/ECCO?u=camb55135&sid=ECCO&xid=46a5e1e9&pg=1
v 2: https://link.gale.com/apps/doc/CW0101369488/ECCO?u=camb55135&sid=ECCO&xid=35d52638&pg=1"	
S 250	250	1	MS	Sloane MS			1	1964	3885	mss				Sloane Manuscripts	British Library	London	UK					BL Catalogue			
S 251	251	1	MS	Somerset DD/WHh/d			1201	2000	59	boxes				HELYAR DOCUMENTS AND MUNIMENTS FROM COKER COURT. 13th century - 20th century	Somerset Heritage Centre	Taunton	UK					Somerset Archive Catalogue	Link: https://somerset-cat.swheritage.org.uk/records/DD/WHh 		
S 252	252	0	T	Sorsby	W. S. Sorsby									"The British superintendency of the Mosquito Shore, 1749-1787"						1969				file:///Users/angelnavidad/Downloads/1882969.pdf	
S 253	253	0	P	Southey	T. Southey				3					Chronological history of the West Indies				London	UK	1827				http://id.lib.harvard.edu/alma/990026569840203941/catalog	
S 254	254	1	MS	SP d/d			1231	1888	127	series				"Records assembled by the State Paper Office, including papers of the Secretaries of State up to 1782"	National Archives	Kew	UK					TNA Kew Catalogue	Cited as SPF Archives / SPF Spain in Burdon 1–3		
S 255	255	1	P	Spain CU			xxx		22					Cartografía y relaciones históricas de Ultramar				Madrid	Spain	1949	1999	Finamore 81	"By Sevicio Geográfico e Historico del Ejercito
Titles = Cartografía de Ultramar
See maps 1753, 1764, 1780 Link: http://www.stgeorgescayebelize.org/evolution-of-name.html "	xxx	
S 256	256	1	P	Speer			xxx		1					West-India Pilot				London	UK	1771	1771	Finamore 211	"By Joseph Smith Speer, printer S. Hooper"	xxx	
S 257	257	0	P	Squier	E. G. Squier				1					The states of Central America 				New York	USA	1858				"Gale/World Scholar: https://tinyurl.gale.com/tinyurl/DPB2g3 
Google: https://www.google.com/books/edition/The_States_of_Central_America/IHsaqv17bh8C?hl=en&gbpv=1&printsec=frontcover"	
S 258	258	1	P	"Squier, Waikna"			xxx		1					"Waikna, or, Adventures on the Mosquito shore"				London	UK	1855	1855	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517	
S 259	259	1	MS	"States-General, 1.01.02, d"			1431	1796	17734	items				"Inventaris van het archief van de Staten-Generaal, (1431) 1576-1796"	Nationaal Archief	Hague	Netherlands					NA Hague Inventories			
S 260	260	1	P	Statutes R			1101	1714	11					Statutes of the Realm						1810	1828	Gale / Making of the Modern World	No place of publication given / edited by John Raithby	Gale/Making Modern World v1: https://link.gale.com/apps/doc/U0107812236/MOME?u=camb55135&sid=MOME&xid=98d14cfb	
S 261	261	1	P	Stephens			xxx		2					"Incidents of travel in Central America, Chiapas, and Yucatan"				London	UK	1841	1841			"Google v1: https://www.google.com/books/edition/Incidents_of_Travel_in_Central_America_C/4y8TAAAAYAAJ?hl=en
Google v2: https://www.google.com/books/edition/_/Pu0MAAAAIAAJ?hl=en&sa=X&ved=2ahUKEwiUoq-n-rvwAhVlUN8KHbXYASEQ8fIDegQIARAD"	
S 262	262	0	A	Stoddart	D. R. Stoddart						Atoll Research Bulletin	87		"Three Caribbean Atolls: Turneffe Islands, Lighthouse Reef, and Glover's Reef, British Honduras"						1962				file:///Users/angelnavidad/Downloads/00087x.pdf	
S 263	263	1	MS	Sup Ct a			1820	1848	4	vols				Supreme Court	Archives and Records Service	Belmopan	Belize					Burdon 2	Inc Summary Courts in some vols /Burdon 2		
S 264	264	1	P	Terte			xxx		2					Histoire generale des Antilles habitées par les François				Paris	France	1667	1667			"Gallica v1: https://gallica.bnf.fr/ark:/12148/bpt6k9801339z
Gallica v2: https://gallica.bnf.fr/ark:/12148/bpt6k98223993"	
S 265	265	0	A	Thompson	J. E. Thompson						American Anthropologist	40	4	Sixteenth and seventeenth century reports on the Chol Mayas						1938				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/661615	
S 266	266	1	P	"Thompson, Maya"			xxx		1					The Maya of Belize				Belize	Belize	1972	1972	Jones 1	By John Eric Sydney Thompson / 1972 edition printed by Benex Press / later editions available	file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/the_maya_of_belize_hq.pdf	
S 267	267	0	A	Thornton	J. K. Thornton						Hispanic American Historical Review	97	1	"The Zambos and the Transformation of the Miskitu Kingdom, 1636–1740"						2017				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-3727364	
S 268	268	0	P	Toussaint		M. Toussaint			1					"Belice : textos de su historia, 1670-1981"				Mexico	Mexico	2004				xxx	
S 269	269	1	P	Tovilla			xxx		1					"Relaciones histórico-descriptivas de la Verapaz, el Manché y Lacandón en Guatemala"				Guatemala	Guatemala	1960	1960	Jones 2 p49	Edited by France V. Scholes y Eleanor B. Adams	file:///Users/angelnavidad/Downloads/tovilla.pdf	
S 270	270	1	MS	"U Tex Lib, G19-d"			1500	1920	xxx					Nettie Lee Benson Latin American Collection	University of Texas	Austin	USA					"C. E. Castañeda, J. A. Dabbs, Guide, Cambridge 1939, Link: https://hdl.handle.net/2027/mdp.39015034712904 "	https://www.lib.utexas.edu/about/locations/benson		
S 271	271	0	P	UK BE		"R. Thomas, N. Dimsdale"			1					A millennium of UK data				London	UK	2016				https://www.bankofengland.co.uk/statistics/research-datasets	
S 272	272	1	P	Uring			xxx		1					"A history of the voyages and travels of Capt. Nathaniel Uring. With new draughts of the Bay of Honduras and the Caribbee Islands; and particularly of St. Lucia, and the harbour of Petite Carenage; into which ships may run in bad weather, and be safe from all winds and storms. Very useful for masters of ships that use the Leeward Island trade, or Jamaica."				London	UK	1726	1726			"Gale/ECCO: https://link.gale.com/apps/doc/CW0100827679/ECCO?u=camb55135&sid=ECCO&xid=93c13f09
Readex/Afro-Americana: https://docs-newsbank-com.ezp-prod1.hul.harvard.edu/openurl?ctx_ver=z39.88-2004&rft_id=info:sid/iw.newsbank.com:EAIX&rft_val_format=info:ofi/fmt:kev:mtx:ctx&rft_dat=147E02BAC83A1C10&svc_dat=Evans:eaidoc&req_dat=B425E5B32E784515BC5AAA87BC16A340"	
S 273	273	0	P	US BC					1					"Bicentennial Edition: Historical Statistics of the United States, Colonial Times to 1970"				Washington	USA	1949				https://www.census.gov/library/publications/1975/compendia/hist_stats_colonial-1970.html	
S 274	274	0	P	US DNB					xxx					American National Biography											
S 275	275	1	P	US State 1856			xxx		1					Documents relative to Central American affairs and the enlistment question				Washington	USA	1856	1856	Gale / Sabin Americana		https://link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa	
S 276	276	1	P	Veitia Linage			xxx		2					Norte de la contratacion de las Indias Occidentales				Seville	Spain	1672	1672	Lang	By Joseph de Veitia Linage	https://link.gale.com/apps/doc/U0100219950/MOME?u=camb55135&sid=MOME&xid=40f105e8	
S 277	277	1	P	Verus			xxx		1					Letters lately published in The diary on the subject of the present dispute with Spain				London	UK	1790	1790		Printed for G. Kearsley ...	https://link.gale.com/apps/doc/CW0104376499/ECCO?u=camb55135&sid=ECCO&xid=1dd17635	
S 278	278	0	A	Victoria 03	J. Victoria Ojeda						Millars: espai i història	26		Piratas en tierra adentro. Estrategia defensiva de una ciudad novohispana. Siglos XVI al XVIII						2003				https://www.raco.cat/index.php/Millars/article/view/130852	
S 279	279	0	A	Victoria 93	J. Victoria Ojeda						Mesoamérica	26		La piratería y su relación con los indígenas de la península de Yucatán						1993				https://dialnet.unirioja.es/descarga/articulo/3726690.pdf	
S 280	280	0	A	Victoria 94	J. Victoria Ojeda						Revista Complutense de Historia de América	20		Piratería y estrategia defensiva en Yucatán durante el siglo XVIII						1994				https://revistas.ucm.es/index.php/RCHA/article/view/RCHA9494110129A/29211	
S 281	281	1	P	Villagutierre Sotomayor			xxx		1					"Historia de la conquista de la provincia de El Itza, reduccion, y progressos de la de El Lacandon, y otras naciones de indios Barbaros, de la mediacion de el reyno de Guatimala, a las provincias de Yucatan, en la America septentrional"				Madrid	Spain	1701	1701				
S 282	282	0	A	Wainwright	J. Wainwright						Anuario de Estudios Centroamericanos	46	1	 Colonial Origins of the State in Southern Belize						2020				https://revistas.ucr.ac.cr/index.php/anuario/article/view/45072	
S 283	283	1	P	Wassenaer			xxx		21					"Historisch verhael alder ghedenck-weerdichste geschiedenisse, die hier en daer in Europa, als in Duijtsch-lant, Vranckrijck, Enghelant, Spaengien, Hungarijen, Polen, Sevenberghen, Wallachien, Moldavien, Turckijen en Neder-lant, van den beginne des jaers 1621 ..."				Amsterdam	Netherlands	1622	1635	Goslinga			
S 284	284	0	A	Watson	"R. Watson, H. McKillop"						Journal of Field Archaeology	44	1	"A Filtered Past: Interpreting Salt Production and Trade Models from Two Remnant Brine-Enrichment Mounds at the Ancient Maya Paynes Creek Salt Works, Belize"						2019				https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/00934690.2018.1557993	
S 285	285	1	MS	Westminster d			1066	1900	xxx					Muniments of Westminster Abbey	Westminster Abbey	London	UK					Westminster Abbey Muniment Catalogue	"Some volumes or items possibly deposited in TNA, Kew, UK /Westminster Abbey Muniment Catalogue Link: https://www.westminster-abbey.org/about-the-abbey/library-research/muniment-collection "		
S 286	286	1	P	White 1 Hon			xxx		1					"The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain"				London	UK	1789	1789			https://link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710	
S 287	287	1	P	White 1 Mos			xxx		1					"The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789"				London	UK	1789	1789			https://link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09	
S 288	288	1	P	White 2			xxx		1					"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects"				London	UK	1793	1793			https://link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3	
S 289	289	1	P	Winthrop d			1630	1649	2					History of New England from 1630 to 1649				Boston	USA	1825	1826			"Google v1: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/GMMSAAAAYAAJ?hl=en&gbpv=0
Google v2: https://www.google.com/books/edition/The_History_of_New_England_from_1630_to/ycISAAAAYAAJ?hl=en&gbpv=1&printsec=frontcover"	
S 290	290	0	P	Winzerling	E. O. Winzerling				1					"The Beginning of British Honduras, 1506-1765"				New York	USA	1946				https://ufdc.ufl.edu/UF00099216/00001	
S 291	291	0	P	Wombwell	J. A. Wombwell				1					Long War Against Piracy				Fort Leavenworth	USA	2010				https://www.hsdl.org/?view&did=23760	
S 292	292	1	P	Wright/van Dam			1621	1649	2					Nederlandsche zeevaarders op de eilanden in de Caraïbische zee en aan de kust van Columbia en Venezuela gedurende de jaren 1621-1648(9) Documenten hoofdzakelijk uit het Archivo general de Indias te Sevilla				Utrecht	Netherlands	1934	1935	Goslinga	Edited by Irene A. Wright / Translations by Cornelis F. A. van Dam	"Delpher v1: https://resolver.kb.nl/resolve?urn=MMKB05:000038083 = file:///Users/angelnavidad/Downloads/MMKB05_000038083_pdf.pdf
Delpher v2: https://resolver.kb.nl/resolve?urn=MMKB05:000038084 = file:///Users/angelnavidad/Downloads/MMKB05_000038084_pdf.pdf"	
S 293	293	0	T	Wu	Y. Wu									"Jamaican trade, 1688-1769"						1996				http://search.proquest.com.ezp-prod1.hul.harvard.edu/dissertations-theses/jamaican-trade-1688-1769-quantitative-study/docview/304300587/se-2?accountid=11311	
S 294	294	1	P	Ximenes			xxx		3					Historia de la Provincia de San Vicente de Chiapa y Guatemala de la Orden de Predicadores				Guatemala	Guatemala	1929	1931			"v 1: https://archive.org/details/historiadelaprov01ximguat/page/n5/mode/2up
v 2: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIHistoriaProvinciaSanVicenteDeChiapaGuatemala
v 3: https://archive.org/details/BibliotecaGoathemalaAGHGVolIIIHistoriaProvinciaSanVicenteDeChiapaGuatemala3"	
S 295	295	0	P	Yucatan DNB										Yucatán en el tiempo : enciclopedia alfabética										xxx	
S 296	296	0	A	Zahedieh 86a	N. Zahedieh						Economic History Review	89	2	"Trade, Plunder, and Economic Development in Early English Jamaica, 1655-89"						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2596150	
S 297	297	0	A	Zahedieh 86b	N. Zahedieh						William and Mary Quarterly	43	4	"The Merchants of Port Royal, Jamaica, and the Spanish Contraband Trade, 1655-1692"						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923683	
S 298	298	0	A	Zahedieh 90	N. Zahedieh						Journal of Imperial and Commonwealth History	18	2	"A Frugal, Prudential and Hopeful Trade’. Privateering in Jamaica, 1655–89"						1990				file:///Users/angelnavidad/Downloads/zahedieh1990.pdf	
S 299	299	0	P		R. E. Zupko				1					A Dictionary of Weights and Measures for the British Isles: The Middle Ages to the Twentieth Century				Philadelphia	USA	1983				file:///Users/angelnavidad/Downloads/bub_gb_0l_k-XMIiQIC.pdf	
S 300	300	1	P				1789	1838	38					American State Papers				Washington	USA	1831	1861			https://hollis.harvard.edu/primo-explore/fulldisplay?docid=01HVD_ALMA512222786880003941&context=L&vid=HVD2&search_scope=everything&tab=everything&lang=en_US	
