Table 1
	All f FWI	Log f FWI	Mah f FWI	Cf	All f BWI	Log f BWI	Mah f BWI	Cf	All f Hon	Log f Hon	Mah f Hon	Cf				
1838									"£	474,219.43"	"£	23,260.89"	"£	167,204.97"	Cust 4/33				
1839									"£	589,182.61"	"£	31,510.97"	"£	154,219.32"	Cust 4/34				
1840									"£	650,920.85"	"£	48,761.29"	"£	143,728.28"	Cust 4/35				
1841									"£	910,242.05"	"£	46,579.78"	"£	134,832.98"	Cust 4/36				
1842									"£	864,502.40"	"£	37,749.65"	"£	92,546.08"	Cust 4/37				
1843									"£	730,757.09"	"£	34,849.78"	"£	132,439.33"	Cust 4/38				
1844									"£	883,141.59"	"£	47,823.44"	"£	138,743.67"	Cust 4/39				
1845									"£	774,242.28"	"£	45,973.25"	"£	189,453.66"	Cust 4/40				
1846									"£	857,453.69"	"£	48,282.49"	"£	203,071.70"	Cust 4/41				
1847									"£	1,208,494.07"	"£	44,309.67"	"£	242,160.13"	Cust 4/42				
1848									"£	1,093,055.07"	"£	50,206.94"	"£	218,349.58"	Cust 4/43				
1849									"£	1,126,970.43"	"£	43,121.92"	"£	171,238.15"	Cust 4/44				
1850									"£	1,243,225.75"	"£	55,274.65"	"£	172,216.72"	Cust 4/45				
1851									"£	1,518,056.08"	"£	52,044.82"	"£	157,446.20"	Cust 4/46				
1852									"£	886,657.54"	"£	70,750.66"	"£	188,325.58"	Cust 4/47				
1853									"£	357,340.45"	"£	51,659.14"	"£	115,488.53"	Cust 4/48				
1854																
1855									"£	1,143,942.00"	"£	48,357.00"	"£	219,736.00"	Cust 4/50				
1856																
1857																
1858																
1859																
1860																
