C1—30 / Online collections of archival material.
ID	NO		TYPE	ALT ID	AUTHORS						JOURNAL	V	I	TITLE						YR				LINK	
			A	Dawson	F. G. Dawson						Hispanic American Historical Review	63	4	"William Pitt’s Settlement at Black River on the Mosquito Shore: A Challenge to Spain in Central America, 1732-87"						1983				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-63.4.677	
			A	Downey	S. S. Downey						Ethnohistory	62	4	"Q'eqchi' Maya Swidden Agriculture, Settlement History, and Colonial Enterprise in Modern Belize"						2015				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3135338	
			A	Dutt 17	R. Dutt						Americas	74	2	Business As Usual: Maya and Merchants on Yucatán-Belize border at the Onset of the Caste War						2017				https://www-cambridge-org.ezp-prod1.hul.harvard.edu/core/services/aop-cambridge-core/content/view/CF045E93489A07D590188BD66D1EAB63/S0003161517000086a.pdf/div-class-title-business-as-usual-span-class-italic-maya-and-merchants-on-yucatan-belize-border-at-the-onset-of-the-caste-war-span-div.pdf	
			A	Dutt 19	R. Dutt						Hispanic American Historical Review	99	1	"Loyal Subjects at Empire's Edge: Hispanics in the Vision of a Belizean Colonial Nation, 1882–1898"						2019				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-7287962	
			A	Ferreira	"E. S. B. Ferreira, A. N. Hulme, H. McNab, A. Quye"						Chemical Society Reviews	33	6	The natural constituents of historical textile dyes						2004				https://doi-org.ezp-prod1.hul.harvard.edu/10.1039/B305697J	
			A	Gabbert	W. Gabbert						Ethnohistory	63	1	“God Save the King of the Mosquito Nation!” Indigenous Leaders on the Fringe of the Spanish Empire						2016				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00141801-3325406	
			A	Gonzalez	N. L. Gonzalez						Nieuwe West-Indische Gids / New West Indian Guide	5	3/4	NEW EVIDENCE ON THE ORIGIN OF THE BLACK CARIB: WITH THOUGHTS ON THE MEANING OF TRADITION						1983				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/41849126	
			A	Graham	"E. Graham, D. M. Pendergast, G. D. Jones"						Science	246	4935	On the Fringes of Conquest: Maya-Spanish Contact in Colonial Belize						1989				http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/on-fringe-conquest-maya-spanish-contact-colonial/docview/213534015/se-2?accountid=11311	
			A	Grunewald	D. Grunewald						Caribbean Studies	5	2	The Anglo-Guatemalan Dispute over British Honduras						1965				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611880	
			A	Hoggarth	"J. A. Hoggarth, M. Restall, J. W. Wood, D. J. Kennett"						Current Anthropology	58	1	Drought and Its Demographic Effects in the Maya Lowlands						2017				https://doi.org/10.1086/690046	
			A	Hussey	R. D. Hussey						Hispanic American Historical Review	9	3	Spanish Reaction to Foreign Aggression in the Caribbean to about 1680						1929				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2506623	
			A	Joseph	G. M. Joseph						Terrae Incognitae	12	1	John Coxon and the Role of Buccaneering in the Settlement of the Yucatán Colonial Frontier						1980				file:///Users/angelnavidad/Library/Mobile%20Documents/com~apple~Preview/Documents/joseph1980%20copy.pdf	
			A	Kupperman 11	K. O. Kupperman						Early American Studies	9	2	The Love-Hate Relationship with Experts in the Early Modern Atlantic						2011				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23547648	
			A	Lang	M. F. Lang						Revista de Indias	54	202	"The Armada de Barlovento, fleet despatch and transport of Mercury to Mexico, 1637-1738"						1994				http://search.proquest.com.ezp-prod1.hul.harvard.edu/scholarly-journals/armada-de-barlovento-fleet-despatch-transport/docview/1300744584/se-2?accountid=11311	
			A	Leeson	P. T. Leeson						Journal of Political Economy	115	6	An‐arrgh‐chy: The Law and Economics of Pirate Organization						2007				xxx	
			A	Marsden	R. G. Marsden						Transactions of the Royal Historical Society	16		"The High Court of Admiralty in Relation to National History, Commerce and the Colonisation of America. A.D. 1550-1650"						1902				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/3678118	
			A	Nettels	C. Nettels						Journal of Modern History	3	1	"England and the Spanish-American Trade, 1680-1715"						1931				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1872139	
			A	Newton EAS	R. A. Newton						Early American Studies	11	1	"""Good and Kind Benefactors"": British Longwood Merchants and Boston's Christ Church"						2013				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/23546700	
			A	Offen 00	K. H. Offen						Hispanic American Historical Review	80	1	British Logwood Extraction from the Mosquitia: the Origin of a Myth						2000				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/12337	
			A	Offen 11	K. H. Offen						Itinerario	35	1	Puritan Bioprospecting in Central America and the West Indies						2011				https://doi.org/10.1017/S0165115311000040	
			A	Offen 15	K. H. Offen						Journal of Latin American Geography	14	3	Mapping Amerindian Captivity in Colonial Mosquitia						2015				https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/article/595150#info_wrap	
			A	Ogelsby	J. C. M. Ogelsby						Caribbean Studies	3	2	The British and Panama — 1742						1963				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/25611756	
			A	Pendergast	"D. M. Pendergast, G. D. Jones, E. Graham"						Latin American Antiquity	4	1	Locating Maya Lowlands Spanish Colonial Towns: A Case Study from Belize						1993				xxx	
			A	Peniche	M. Peniche						Boletín de la Sociedad de Geografía y Estadística	13		"Historia de las relaciones de España y México con Inglaterra, sobre el establecimiento de Belice"						1869				https://www.google.com/books/edition/Bolet%C3%ADn_de_la_Sociedad_de_Geograf%C3%ADa_y/lARGAQAAMAAJ?hl=en&gbpv=0&kptab=editions	
			A	Reichert	R. Reichert						Tzintzun	65		"El golfo de Honduras: estrategias geopolíticas y militares de una frontera imperial, siglos XVI-XVIII"						2016				http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S1870-719X2017000100009&lang=es	
			A	Restall	M. Restall						Hispanic American Historical Review	94	3	Crossing to Safety? Frontier Flight in Eighteenth-Century Belize and Yucatan						2014				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-2694300	
			A	Rossano	G. L. Rossano						New York History	70	3	Down to the Bay						1989				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/43460260	
			A	Scammell	G. V. Scammell						Itinerario	24	3	"""A Very Profitable and Advantageous Trade"": British Smuggling in the Iberian Americas circa 1500-1750"						2000				xxx	
			A	Stoddart	D. R. Stoddart						Atoll Research Bulletin	87		"Three Caribbean Atolls: Turneffe Islands, Lighthouse Reef, and Glover's Reef, British Honduras"						1962				file:///Users/angelnavidad/Downloads/00087x.pdf	
			A	Thompson	J. E. Thompson						American Anthropologist	40	4	Sixteenth and seventeenth century reports on the Chol Mayas						1938				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/661615	
			A	Thornton	J. K. Thornton						Hispanic American Historical Review	97	1	"The Zambos and the Transformation of the Miskitu Kingdom, 1636–1740"						2017				https://doi-org.ezp-prod1.hul.harvard.edu/10.1215/00182168-3727364	
			A	Victoria 03	J. Victoria Ojeda						Millars: espai i història	26		Piratas en tierra adentro. Estrategia defensiva de una ciudad novohispana. Siglos XVI al XVIII						2003				https://www.raco.cat/index.php/Millars/article/view/130852	
			A	Victoria 93	J. Victoria Ojeda						Mesoamérica	26		La piratería y su relación con los indígenas de la península de Yucatán						1993				https://dialnet.unirioja.es/descarga/articulo/3726690.pdf	
			A	Victoria 94	J. Victoria Ojeda						Revista Complutense de Historia de América	20		Piratería y estrategia defensiva en Yucatán durante el siglo XVIII						1994				https://revistas.ucm.es/index.php/RCHA/article/view/RCHA9494110129A/29211	
			A	Wainwright	J. Wainwright						Anuario de Estudios Centroamericanos	46	1	 Colonial Origins of the State in Southern Belize						2020				https://revistas.ucr.ac.cr/index.php/anuario/article/view/45072	
			A	Watson	"R. Watson, H. McKillop"						Journal of Field Archaeology	44	1	"A Filtered Past: Interpreting Salt Production and Trade Models from Two Remnant Brine-Enrichment Mounds at the Ancient Maya Paynes Creek Salt Works, Belize"						2019				https://doi-org.ezp-prod1.hul.harvard.edu/10.1080/00934690.2018.1557993	
			A	Zahedieh 86a	N. Zahedieh						Economic History Review	89	2	"Trade, Plunder, and Economic Development in Early English Jamaica, 1655-89"						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/2596150	
			A	Zahedieh 86b	N. Zahedieh						William and Mary Quarterly	43	4	"The Merchants of Port Royal, Jamaica, and the Spanish Contraband Trade, 1655-1692"						1986				http://ezp-prod1.hul.harvard.edu/login?url=https://www.jstor.org/stable/1923683	
			A	Zahedieh 90	N. Zahedieh						Journal of Imperial and Commonwealth History	18	2	"A Frugal, Prudential and Hopeful Trade’. Privateering in Jamaica, 1655–89"						1990				file:///Users/angelnavidad/Downloads/zahedieh1990.pdf	
