E 1—320 / Events.
ID	NO	OUT	MIL	PART OF	LOWER START	UPPER END	SUMMARY	DESCRIPTION	NEAR	SP	NON—SP	NON—SP	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE	
		1			6 Jul 1802		Bassett restricts Magistracy	"Superintendent asserts Magistrates have no power to arrest a sailor who isn't ashore, and prohibits Magistrates' use of HM name without Superintendents perimission, after which xxx"	Old		Brig Gen Sir Richard Bassett									ML B [6 Jul 1802]	Burdon 2 p55		
				xxx	1 Sep 1802	23 Sep 1802		"Amerindians commit depredations on mahogany works upstream of Old R, after which xxx"	Old											ML B [23 Sep 1802]	Burdon 2 p58		
		1			1 Oct 1802		Bassett obstructs Courts	"Magistrates set to examine Sup Neg slave charged with assault without waiting on Sup, after which Sup refuses to give up his slave"	Old											MM A2 [20 Oct 1802]	Burdon 2 p58		
		1			1 Oct 1802	30 Oct 1802	Basset dismissed as Sup	"Home Government dismiss Brig Gen Sir Richard Bassett, and appoint Col Barrow, and caution that ""it is HM pleasure that the same [Burnaby's Code] should be continued in force, and no alteration should be made therein unles HR Approbation shall have been first obtained.”"	London		Brig Gen Sir Richard Bassett / Capt B. H. Luson / Col Barrow									CO 123/15 [Oct 1802]	Burdon 2 p58	Capt B. H. Luson appointed Acting Supt. /via Burdon 2	
		1			19 Nov 1802	19 Nov 1802	Garifuna Settlement	Circa 150 Garifuna settle in Hon												"ML B [17 Dec 1802]
MM A2 [9 Aug 1802]"	Burdon 2 p61	"Stann Creek Town settled = Dangriga, ie hamlet on North Stand Creek = N Stann Creek R, in addition to Mullins River [village] /Allen 170

Dated as per Garifuna Settlement Day

11 May 1797 Eng resettle 1,600 t 2,000 Garifuna from St. Vincent to Roatan /v Barke 16 228 /Archivo General de Simancas, SGU, Legajo 7245, 12, exp 12 [Sobre la toma ... Guatemala a 3 may 1797]"	
		1			13 Dec 1802		Luson obstructs Courts	"Act Sup obstructs capital cases underway ""as it has been and is yet a matter undecided whether there is a right of trial for capital crimes here,” which position Magistrates reject or ignore, and which Col Barrow later rejects"	Old		Capt B. H. Luson									"MM A2 [13 Dec 1802]
GC T [14 Dec 1802]
ML B [6 Sep 1803]"	"Burdon 2 60, 67"	"6 Sep 1803 Col Barrow asks Magistrates convene special Court to try murder case, says considers it absolutely necessary for the welfare of the Settlement that such cases should be tried immediately, but in 2–4 vote Magistrates decide against this /via Burdon /ML B

Magistrates let Sup Lt Col Hamilton ""that HM subjects settled in Honduras hold Criminal Courts and try Subjects for Capital Offences by the Law of England, according to ancient custom and the rights enherent in them as British Subjects."" /v Burdon 109 /ML C [17 Nov 1807]

7 Oct 1808 Mag Mtg. ""The constitution of Honduras strictly and unqualified says, that there shall be the number of seven Mag to preside as a Bench of Judges over all and every department of distributive Justice in Law and Equity as King's Bench, Common Pleas, Chancery and Exchquer as well as a Court Ordinary, constituting at the same time a deliberative Council."" /v Burdon 2 122 /MM B [7 Oct 1808]"	
		1			24 Feb 1803	24 Feb 1803	US Sup Ct Marbury v Madison																
		1			1 Jun 1803	1 Jun 1803	Ensign detains Magistrates	"On hearing of a difference between an Inhabitant and the Guard [WIR?], Magistrates bind and beat the guardsman to examine him on the affair, after which an Ensign of the Guard denies their authority to detain the guardsman and orders Magistrates be confined in a Guard room, though Ensign is finally persuaded to release Magistrates"	Old		Ensign of Guard									ML B [2 Jun 1803]	Burdon 2 64	"Guard likely = 5th WIR, eg cf ML C [9 Oct 1807] /v Burdon 2 107"	
				War 8	4 Jul 1803			Hon nearly exhaust resources [Public Funds] in defensive measures voted on by Public Meeting	Old									"Expense inc 1 Boat 2 t 4 Gun Boats inc £1,000 pa upkeep, Fort George repairs = £8,000, Ordnance, Ammunition, xxx Blockhouses"		"MM A2 [6 Jun, 4 Jul, 31 Oct 1803]
ML B [24 Jul, 20, 26 Sep 1803, 6 Feb 1808]
ML C [6 May 1804, 4 Sep 1806, 14 Jul 1807]"	"Burdon 2 65, 105"	"Gunboat upkeep £1,000 decided on 14 Jul 1807 /v Burdon 2 /ML C / Later upkeep of 3 Gunboats noted as £150 pa /v Burdon 2 115 /MM B [6 Feb 1808]"	
		1			30 Jun 1804	30 Jun 1804	Quarterly Court censures Magistrates	"Quarterly Court implies that Magistrates’ failure to adopt and execute their recommendations, especially those sanctioned by Magistrates themselves, renders Quarterly Court recommendations of no effect, contrary to general good of the community at large"	Old											GC Q [30 Jun 1804]	Burdon 2 70	"Presentment by Grand Jury at Quarterly Court. ""We the Grand Inquest now appointed for Honduras having deliberately considered on such matters as appears to us as nuisances and contrary to the general good of the community at large, Beg leave to being by observing That the salutary and constitutional  practice of Quarterly presentments can have no effect without a strict attention and propser exertion on the Part of the Magistracy in seeing the measures recommended to be adopted when by them sanctioned, carried into execution. ..."" /via Burdon 2 /GC Q"	
				War 8	1 Jul 1804	10 Jul 1804		Sp surprise Fleet	Utila	Dr. Gray	Jonathan Card					1 fishing vessel “attacked”				ML C [10 Jul 1804]	Burdon 2 71		
				xxx	1 Oct 1804			Scarcity of provisions	Old									Prov esp bread very scarce for c ? m		"MM A2 [11 Oct, 5 Nov 1804]
ML C [25 Jun 1805]"	"Burdon 2 75, 79"	"Possibly due to Am embargo rather than Napoleonic Wars

5 Nov 1804 Pub Mtg. Resolutions as to memorialising HM Ministers on the imperative necessity for permission of unrestricted trade with America owing to the impossibility of obtaining provisions otherwise, ... ""at the present moment there is not a single Barrel of Flour to be purchased and that some flour has recently sold for £12 per barrel of 196 lbs"" ... /via Burdon 2 /MM A2"	
				xxx	1 Jun 1805			"Strong gales destroy plantations, leading to scarcity of provisions"	Old									"Prov esp bread, meat very scarce for c ? m"		"ML C [25 Jun, 1 Jul 1805]"	Burdon 2 79	25 Jun 1805 Committee to Agent in London. Informing him of their distress and the destruction of their plantations by a gale: stating that there is not enough bread or meat in the Country to supply a quarter of the population: showing the painful necessity for speady relief: ... /Burdon 2 /ML C	
		1			1 Jul 1805	8 Aug 1805	Home Gov snubs Agent for Hon	"Under Sec of State informs Agent for Hon ""that the Settlers must look up to and depend on the Gov of Jam for their Protection"" and for Civil regulations, thereby implying office of Agent for Hon in London is superfluous"	London		Under Sec of State / Agent for Hon in London George Dyer									ML C [8 Aug 1805]	Burdon 2 80		
				xxx	1 Aug 1805	30 Aug 1805		One Gun boat lost	xxx							1 Gun boat lost = £803		Cost £50 for despatch of search boat		"MM A3 [30 Aug, 19 Nov 1805]
ML C [4 Sep 1806]"	"Burdon 2 81, 86, 99"	"Aug 1805 Loss of Gun boat Growler, not thereafter found or recovered /v Burdon 2 /MM A3"	
				xxx	1 Aug 1805	7 Sep 1805		"Tender of HMS Swift, Mary Ann, captures Sp GC"	xxx	1 GC	Lt. Smith / Midshipman Bowler / HMS Swift									ML C [7 Sep 1805]	Burdon 2 82	"7 Sep 1805 Magistrates, in recognition of very essential and meritorious service rendered by him in capturing the Sp GC fited out at Truxillo to harass the trade of our Settlement, offer thanks and 50 guineas for puchase of a sword to Lt. Smith of HMS Swift, Commander of tender Mary Ann / Magistrates to Mr. Bowler ... present 10 guineas for purchase of silver cup ""in remembrance of an action which does your youth great credit.” /v Burdon 2 /ML C"	
E 				Hur 3	28 Aug 1805	28 Aug 1805		One hurricane strikes Hon	xxx										Mercantile Advertiser NY 4148 p3			"Extract of a letter from Honduras, dated September 10th 1805. ""... On the 28th of last month, a hurricane, effectually compleated an almost total loss of all and every species of Bread kind; ... not one barrel of flour was to be purchased at Belize. ..."" /MA 4148"	
				xxx	28 Aug 1805	28 Aug 1805		One hurricane strikes Hon	Old								"all plantation walks, yam vines destroyed"	Prov very scarce for c ? m		"ML C [11, 23 Sep, 2 Oct 1805]"	Burdon 2 82	"11 Sep 1805 Magistrates to Lt Col Gordon. ""Times of general scarcity have too frequently fallen tot he Lott of this settlement since the commencement of Hostilities with Spain, but at no period was there ever such an accumulated pressure, or a more untoward Combination of distressing Circumstances likely to overwhelm a Community than at present. ... The Stores are so completely exhausted that not one barrel of Flour is to be purchased at Belize."" /v Burdon 2 /ML C"	
		1			29 Oct 1805	29 Oct 1805	Public Meeting restricts membership and slaves	"Public Meeting resolves That the Magistrates and Committe [unknown which] shall determine persons eligible to be members of Public Meetings, thereby marking further shift towards representative rather than direct democracy, and prohibits self-employment of slaves for Trade, possibly marking first such restriction on slaves"	Old											MM A3 [29 Oct 1805]	"Burdon 2 84
Bolland 75 122"	"The practice of slaves engaging in marketing their produce obviously continued, however, as a committee investigating the hiring of slaves to themselves in 1810 reported 'a continuation of such Evil Practices ... pursued, by various Slaves in open violation of said Law,' and recommended 'that Slaves of either Sex shall not be permitted to hire themselves to themselves for any purpose whatever.’ The reason given for deeming such activities 'Evil Practices' was that 'such Slave being under no control of his Master, becomes subject to no authority, but what results from his own Will, which naturally tends to creat Insubordination thereby diminishing respect to his proprietors.’ A penalty of £500 was therefore imposed to deter such independent activity on the part of slaves. /v Bolland 75 122 /MM B [30 Jun 1810]"	
		1			5 Nov 1805	5 Nov 1805	St. George’s as Crown Land	"Gov of Jam disallows building on St. George's Caye, stating it must now be regarded Crown Land"	"Spanish Town, Old"											"R 1 [5 Nov 1805]
ML C [27 May, 12 Jul 1807]"	"Burdon 2 85, 103, 105"		
				xxx	1 Jan 1806	30 Aug 1807		Sp Priv cruise Hon	"Ranguana Caye, Placencia, Mullins R, Omoa"	Privateer “Felucca” / xxx	HM Sloop Wolf / Schooner Aurora / Gun boat / HM Brig Gaelon / William Burn 			1 fisherman for c ? m / 6 crew for ? m		1 fishing vessel 1 Schooner 1 Brig	1 Gun boat severely damaged	"Expense £4 daily for Aurora patrol for c ? m, supplying HMB Gaelon, £24 pa to Provost Marshal / £40 to liberate 6 crew held by Sp / c 50 stand of arms"		"MM A3 [28 Jan, 20 Feb, 11 Jun 1806, 24 Feb 1807]
ML C [7 Jan, 1, 13, 14, 15, 28 Feb, 1 May 1806, 22 Aug 1807]
GC U [28 Feb 1807]"	Burdon 2 90	"Schooner Aurora agreed to be hired 20 Feb 1806 /v Burdon 2 /MM A3

HMB Gaelon supplied with 12 pounder carronage and timber 1 May 1806/v Burdon 2 /ML C"	
		1			24 Feb 1806	3 May 1808	Hunt Digest	"Magistrates authorise William Hunt to prepare proper digest of all Laws and Regulations made since ""the establishment of this Country in 1753,"" commencing with Burnaby Code, for such remuneration as determined on completion"	Old		Clerk of Court William Hunt									"MM A3 [24 Feb 1806]
MM B [28 Jun 1808]
Laws 1765–1810 [24 Jun 1806, 3 May, 28 Jun 1808]"	"Burdon 2 92, 117"	"3 May 1808 A Committe appointed by Pub Mtg certifies an amended copy of Laws submitted by Hunt as ""a true and perfect Copy of such Laws as we consider to be at present in force in Honduras and such as ought solely to be referred to in all Courts of Law held in this Settlement as far as said Laws extend, ..."" and recommend J £200 to Hunt to assiduous labour. /v Burdon 2 117 /Laws 1765–1810 [3 May 1808] / Recs later approved by Public Mtg of 28 Jun 1808"	
		1			1 Apr 1806	24 Apr 1806	Constable aids gaolbreak	"A seaman, sentenced to banishment, escapes from prison by connivance of Constable, to Spanish Caye, on which Magistrates offer Commander of HMS Wolf to impress responsible Constable"	"Old, Spanish Caye"		HMS Wolf									MM A3 [28 Apr 1806]	Burdon 2 94		
				Tcl 9	18 Jul 1806	18 Jul 1806		"Fire destroys unknown portion of North side of Belize Town, after which Public Meeting passes further fire safety measures"	Old											"MM A3 [19 Jul, 16 Aug 1806, 30 Jun 1807]"	"Burdon 2 96, 104"	"Later, £40 allowed a woman to rebuild home destroyed by fire /v Burdon 2 /MM A3"	
				xxx	1 Oct 1806	30 Oct 1806		"Epidemic among residents of “severe sickness,” attributed to filthy state of foreshore"	Belize Town											"ML C [28 Oct 1806, 14 Feb 1807]"	Burdon 2 99		
				xxx	1 Feb 1807	19 Feb 1807		Amerindians assault logging gangs working upstream of Old R at Hogstye Bank	Old											ML C [19 Feb 1807]	Burdon 2 101	"Hogstye Bank = above Orange Walk [BZ district], probably near Roaring Creek /v Bolland 75 p48"	
				xxx	25 Mar 1807	25 Mar 1807	Slave Trade Act 1807															"Not assiduously enforced in Hon, esp or mainly relating to slaves from Jam, at least to 6 Feb 1817, eg R 1 [6 Feb 1817], MM C [25 Feb 1817] /v Burdon 189, 193

2 Nov 1819 Pub Mtg 53 present. Resolved, in response to request by Sec of State for information as to observation of Slave Trade Act, that a census of the Slave population be taken every three years. /v Burdon 2 222 /MM D"	
				xxx	1 Apr 1807	7 May 1807		"Epidemic among residents of smallpox, attributed to ill or negligent conduct of Dr. Cumming"	Old									"Cost = inoculation of troops, xxx"		ML C [2 May 1807]	Burdon 2 102		
		1			19 May 1807	19 May 1807	Magistrates create gaol for whites	"Magistrates authorise expenditure for conversion of an old yard house into Gaol for white persons, possibly marking first de jure racial segregation"	Old											MM A3 [19 May 1807]	Burdon 2 102	"11 Jun 1808 Mag Mtg convened by Provost Marshal General to ascertain whether his action in having committed a white man in old Guard House for debt was approved, had never heard of white man being committed for debt. Mags decide, in accordance with practice of Courts and Custom of Country man should be released from Guard House and placed in Custody of Prov Mar Gen. /v Burdon 2 118 /MM B"	
		1			30 Jun 1807	30 Jun 1807	Public School	"Public Meeting direct Magistrates to rent a house for ""Establishing a School therein for the Education of Youth and that they be authorised to give Education to Ten Poor Children and the Expence be made good ... out of the Public Treasury"""	Old											"MM A3 [30 Jun, 31 Oct 1807]
MM B [1 Feb 1808]
GC U [10 Mar 1809]"	"Burdon 2 104, 114, 128"	"Also award £60 annuity to Capt Issiah Greenhill as reward for services rendered to trade of Honduras in discovering channel through Triangles commonly called ""Greenhill's Channel” /v Burdon 2 /MM A3

Pub Mtg authorises Magistrates to secure Schoolmaster at public expense on 31 Oct 1807 /v Burdon 2 /MM A3 

10 Mar 1809 Grand Court. Mags order purchase of lot and house for school /v Burdon 2 /GC U"	
		1			15 Sep 1807	31 Oct 1807	5th WIR assume policing	"Soldiers of 5th WIR forcibly detain 2 slaves, charged by Sup with noise or disturbance at night, after which Magistrates protest military have to civil authority"	Old		Lt Col A. Kerr Hamilton / 5th WIR									"ML C [21, 23, 27 Sep, 9, 16 Oct 1807]
MM A3 [31 Oct 1807]"	Burdon 2 106		
		1			19 Nov 1807	30 Nov 1807	Fr–Sp Invasion of Portugal																
		1			25 Oct 1808	29 Oct 1808	Public Meeting clarifies suffrage and membership	"Pub Mtg clarify, stipulate or restrict suffrage for Mag elections and membership in Public Meeting"	Old											"MM B [25, 29 Oct 1808] 
Laws 1765–1808 [29 Oct 1808]"	Burdon 2 123	"29 Oct 1808 Pub Mtg. Qualification requisite to vote at Election of Magistrates and at Public Meetings: For White British Subjects, one year's residence in Honduras, the carrying on of some TRade or occupation for subsistence and possession of Visible Property of not less than £100 Jamaica Currency. For Coloured British Subjects, five years residence in the settlement and possession of Visible Property not less than £200 Jamaica Currency. /v Burdon 2 /Laws 1765–1810 /MM B

31 Oct 1809 Pub Mtg resolves Pub Mtg shal be open to none but Inhabitants. /v Burdon 2 131 /MM B"	
E 		1			24 Dec 1808	30 Jan 1809	Hamilton militarises Chrimastide	"Sup plants Great Gns in different Avenues of Belize Town, continues a military force unusual on Christmas, and prevents slaves from making merriment after 9 pm as was custom, all which Magistrates protest"	Old		Lt Col A. Kerr Hamilton									"MM B [4 Jan 1809] 
ML D [5, 25 Jan 1809]"	Burdon 2 124	"26 Nov 1807 Hamilton to Coote. [T]he powers of HM Sup are not defined and the Magistrates would wish to insist that he has no Civil power over them whatsoever. This is a point I will not give up. I consider myself as Chief Magistrate. /CO 123/17 /v Bolland 75 85

5 Jan 1809 Sup to Mags. In reply to their query as to reason for warlike investment of town durning Christmas Holidays, informs them he will never consider himself amenable to them for his conduct either as HM Sup or the Commander of HM Forces. /v Burdon 2 /ML D"	
E 		1			14 Jan 1809	14 Jan 1809	Treaty of London	Est GB—Sp alliance during Napoleonic Wars															
E 		1			23 Jan 1809	30 Jun 1809	Alien Logging Affair and Hamilton Manumission	"Magistrates request prohibition of logging by aliens, eg in 5th WIR and Americans, after which Sup declines to do so or cites naturalisation by residence as reason to permit alien logging, and manumits all Neg slaves purchased for King and serving in HM Forces, and states these are to have status as free born British subjects"	Old		Lt Col A. Kerr Hamilton									"ML D [23, 25, 30 Jan, 1, 26, 28 Feb, 18 Apr, 7, 30 Jun 1809]
MM B [28 Feb 1809]
Laws 1765–1810 [28 Feb 1809]"	"Burdon 2 125, 129"	"26 Feb 1809 Sup asserts that Settlement is not governed by laws of WI Islands but by those of GB, which make no distinction as to Colour; and that soldiers of WIR cannot be deprived of their constitutional privileges /v Burdon 2 /ML D / Possibly in reference to foreign Neg slaves serving in 5th WIR eg cf ML D [23, 30 Jan, 1 Feb 1809], MM B [28 Feb 1809]

28 Feb 1809 Pub Mtg refers question of alien logging, esp by those in HM Service, to AG in Jam /v Burdon 2 127 /MM B /Laws 1765–1810

c May 1809 Home Gov orders removal of 5th WIR /v Burdon 2 129 /ML D [7 Jun 1809]"	
E 		1			1 Feb 1809	30 Sep 1809	5th WIR Murder Affair	"Member of 5th WIR convicted of murder by Grand Court, but Sup refuses to sign death warrant, citing doubt as to competence of Magistrates to hold criminal courts, marking grievous break in ancient custom per Pub Mtg and Magistrates, finally resolved by holding Court Martial at Jamaica"	Old		Lt Col A. Kerr Hamilton / Lt Col John Nugent Smyth									"ML D [28 Feb 1809] 
MM B [6 Mar, 20 Sep 1809]"	Burdon 2 127	"6 Mar 1809 Pub Mtg, 33 present. ... Discussion inc observation — ""That since the existence of the settlement, Executions for murder can be traced in its rudest State; Cayo Casino or St. George's Key was formerly the Metropolis the Courts held there and to this day, the general and usual place of Execution holds its name of Gallows point. And this right of punishing Criminals, either by death or transportation for life never has been even called in question by the Mother Country, but on the contrary, has received positive proof of its rights by the Patent of Morgans pardons [likely a previous or recent case of forgery, with sentence commuted to transportation for life on account of prisoner's youth] ... "", inc statement that the present case was the only instance of refusal by Sup to concur in an execution, and Resolution passed lamenting Sup action and urging representation of whole matter to HM Ministers. /v Burdon 2 /MM B

c May 1809 Home Gov orders removal of 5th WIR /v Burdon 2 129 /ML D [7 Jun 1809]"	
E 		1			28 Feb 1809	28 Feb 1809	Public Meeting restricts Magistracy membership	"Public Meeting resolves that only resident white British born Subjects, possessed of visible property amount to [at least] J £500 be eligible to sit as Magistrates"	Old											"MM B [28 Feb 1809]
Laws 1765–1810 [28 Feb 1809]"	Burdon 2 127		
E 		1			31 Oct 1809	31 Oct 1809	Post Office established	"Pub Mtg resolves to establish Post Office, thereby transferring responsibility for mails from private persons or Magistrates to public officer"	Old											MM B [31 Oct 1809]	Burdon 2 131	Arrangements for mail prev by Magistrates cf xxx	
E 		1			31 Oct 1809	31 Oct 1809	Paslow Address	Thomas Paslow addresses Pub Mtg regarding recent constitutional challenges posed or crises caused by former Sup Lt Col Hamilton	Old		Thomas Paslow									MM B [31 Oct 1809]	Burdon 2 131	"31 Oct 1809 Pub Mtg 38 present. In discussion of a letter ""lately handed about the Settlement and delivered to Lt. Col. Hamilton,"" Mr. Thomas Paslow delivered an address of which the following is a portion: ""By the Constitution of this Settlement, the Body of the Freeholders, legally convened in a Public Meeting, constitute the Legislature combined with such other powers as are competent to conduct, regulate and enforce its internal Policy, and any matter that tends to lessen injure or derogate from its respectability should meet from every member of the Community the most firm and vigorous and determined opposition. It is not long since (as appears by the Records of this Settlement) that this Body in a becoming, manly and spirited manner withstood an attack upon the dearest rights of British Subjects, made by a Military Force in direct opposition to Civil Authority, the people roused to a proper sense of their duty, unanimously came forward in Support of those Magistrates (who in the proper exercise of their Functions protected their Constituents) and pledged themselves individually and collectively to the utmost of their power, to support the Magistrates in their just endeavours to prevent the evils resulting form a tame submission to Military encroachment; in this very Court House did they cheerfully and unanimously place their Signatures to these laudable Resolves. It is not then astonishing, that, although the same undeviating contempt has continued to the last day to be exercised towards the Civil Authority by Lieutenant Colonel Hamilton (as appears by sufficient documents) a set of men could be found to address him on this departure, expressing the cause of that address to be on Account ""ofo the readiness he evinced in Support of the Civil Authority of this Settlemetn""—never did the Annals of any Country (boasting reservedly of the freedom of our glorious constitution) furnish such an example of weakness and inconsistency as to contradict in Specific terms, the clearest facts, sanctioned by the Strongest Documents, and a general vote of the Community. After what has been transmitted to our Agent for the inspection of [Home] Government, what must His Majesty's Ministers think of the Bay of Honduras or will they ever respect or representations, Complaints or Memorials; and if some counterpoise is not immediately administered, is not he truth, Honor, respectability and Interest of this Settlement indelibly Stained and injured, by such an Egregious act of tergiversation."" Eighteen names recorded as in agreement with the above. /v Burdon 132 /MM B

6 Jun 1797 Pub Mtg Thomas Paslow proposes That all inhabitants wishing to evacuate the Country and not inclined to defend it be at liberty to leave after notice to Sup ... that if they fail to accomplish their evacuation within time granted they be considered and treated as forfeiting their allegiance : ""that the man who will not defend his Country is not entitled to reap the benefit thereof;"" /v Burdon 1 232 /MM A2 /PR 1"	
E 		1			1 Nov 1809	1 Nov 1809	Petition for appeals to Privy Council 	"Inhabitants petition King in Council to allow appeals to HM in Council against judgements exceeding £700, pointing out that law officers hold that there is no appeal to GB, as Hon is Sp territory"	"Old, London"											"ML D [1 Nov 1809, 4 Jul 1810]"	"Burdon 2 133, 138"	Granted < 4 Jul 1810 /v Burdon 2 138 /ML D	
E 		1			8 Nov 1809	8 Nov 1809	Public Hospital	"Pub Mtg appoints Committee to ""carry forward with all convenient Speed and building of a Hospital"""	Old											MM B [8 Nov 1809]	Burdon 2 134	"25 Jul 1820 Pub Mtg. Resolves £1,000 be granted for erection of a Hospital. /v Burdon 2 233 /MM D"	
