Table 1
	From	To	Ft	Ft	Name	Lives	Held	Assume	Cf	Moved	Craft / Cargo	Assume	Cf	Property	Trade	Prov	Cost
Rev 1	Aug 1765	Sep 1765	 	 	Cook’s	5 + sev twice				New for ? m				min 1 house robbed	New sieged for ? m		
Crs 2	Jan 1766	0	Sp	 	Sp Asylum	min 1				"c 53 + £ 10,000 Neg refugees exit / Sp return 47"				min 1 house robbed			
Crs 1	Feb 1767	Dec 1770	 	Fr Du	Alien Logging									? logged by Fr Du loggers			
Hos 8	Mar 1767	Apr 1767	Sp	 	 	some	some Neg fm Hondo + sev Neg for ? m							? Log works at Hondo / ? cattle at Hondo / ? property			
Hos 12	Jul 1767	Jul 1767	 	Ma	Naismith Raid	1								1 house robbed			
Hos 9	Jul 1770	Mar 1772	Sp	 	 	sev	1 + 1 crew for ? m	17.279 p per day	BOE	mainland for min 5 m	1			sev houses in Ambergris burnt / all Mah burnt	halt logging for min 5 m		
Hos 10	Jan 1773	Sep 1773	 	Ma	Arms Raids	sev								some houses burnt / some to sev houses robbed			
Rev 2	May 1773	Aug 1773	 	 	Davidson’s	13 t 14 + 1 family + ? of 40	min 14 impressed for 0.25 m / ? of 40 taken	17.146 p per day	BOE	c 70 Neg refugees exit	min 1			min 9 houses robbed	halt logging for ? m		
War 6	Apr 1775	Sep 1783	Sp	Am Fr	Am Revolution	11 + sev	1 for 0.25 m / ? fm St. George’s for 35 m	c 175 ft Mah per man per m ? / 3.75 t Log per man per m	"Sev 1944
CO 5/119 I"	Hon for ? m / sev families Am refugees enter thrice or 4 times	"3 / ? flats = part of £ 78,457.20"			"Prov demanded / ? houses St. George’s + ? wood destroyed = part of £ 78,457.20"		Prov v scarce for ? m	£ 300 for 9.5 years for Agent / ? for London printing thrice
Nat 2	Dec 1784	Nov 1785	 	 	 	sev at New								? houses / works flooded esp in New	halt logging for min 11 m		 
Crs 3	Feb 1785	0	Sp	 	Sp Panic					"New, Hondo for 1 t 4 m / ? Neg refugees exit"				"New, Hondo houses, stock lost"		Prov scarce for > 5 m	
Rev 3	Jun 1786	Jun 1786	 	 	Old R	sev											
Crs 4	Jun 1787	Apr 1791	 	 	Despard Affair		sev turtlers for ? m							all plantain walks destroyed twice / all fished turtles seized once / much unrest for ? m twice	shipping v scarce for min 24 m / [price crash likely]	Prov v scarce for ? m twice	
Hos 17	Jun 1787	0	0	Mos	Mos Slavery		? for c ? m										
Ill 4	Feb 1788	0	 	 	Measles ?	50 + >> 50											
Nat 3	Nov 1792	Oct 1792	 	 	 	sev				Old for c 0.25 m				"c 2,000,000 ft Mah loss / ? tons Log loss / all houses at Old flooded"			
Hos 11	Nov 1793	Nov 1793	 	Ma	 	4											
War 7	Aug 1796	Mar 1802	Sp	Fr	Fr Revolution	?				mainland for 12 m				?	halt logging for 8 m		HMS Merlin for c 8 m / redoubts or barriers raised at Old / 300 troops fm Jam for c 8 m / 2 defence craft for c 8 m / 900 civilian men for min 1.5 m
Ill 5	Sep 1797	0	 	 	Yellow Fever	23											
War 8	May 1804	Jul 1808	Sp	Fr	Napoleonic											Prov v scarce for ? m	
War 9	Jun 1812	Feb 1815	 	Am	 												
Rev 4	Jan 1813	0	 	 	New R												
Rev 5	Apr 1820	0	 	 	Will & Sharper									sev houses robbed			
War 11	Sep 1808	Sep 1833	Sp	 	Sp Am Revolution										silver scarcity for ? m		
