Table 1
ID	No	PART OF	LOWER START	UPPER END	NAME	DESCRIPTION	NEAR	SP	ALLY	ALLY	LIVES	HELD	MOVED	CRAFT	PROPERTY	OTHER	PRESS	CF	VIA	NOTE				
E 			1 May 1639	30 September 1639	Providence Design	"Governor of Providence Island, with buccaneer or privateer allies, and native allies, seizes but fails to sack Trujillo"	Trujillo		Gov of Prov Nathaniel Butler 2 Ships 200 men w Mos allies									"GUATEMALA,16,R.2,N.13 f 176-7
Sloane MS 758 entries 28 Mar, 31 May, 6, 20, 21, 30 Jun 1639
"	"Cardona Amaya p115, p59
Kupperman p278-9 n30-1
Goslinga p554 no 76 = Burns p210"	"Native allies from Roatan or Guanaja, possibly under duress /via Cardona Amaya p69 /GUATEMALA,16,R.2,N.13 f 214-5
Native allies from Cape Gracias a Dios not under duress /via Kupperman 278-9
Almost certainly did not camp in Hon /via Kupperman p278-9
Seizure on 6 Jun 1639 /via Oxford DNB -- Butler [Boteler], Nathaniel
Exclude?"				
E 			1 September 1639	15 September 1639	Sacking of Roatan	"Buccaneers or privateers, with native allies, raid native hamlet on Roatan, and after a failed attempt to capture the residents, burn the hamlet"	Roatan		2 Ships									"GUATEMALA,16,R.2,N.13 f 221-2"	"Cardona Amaya p115, p72"	xxx				
E 			1 March 1640	30 March 1640	Sacking of Omoa	"Buccaneers or privateers raid unknown number of towns or hamlets near Omoa, Golfo Dulce, and after camping Utila, raided Omoa again, and finally engaged with natives at Utila"	"Omoa, Golfo Dulce, Utila"		8 Craft									"GUATEMALA,16,R.2,N.13 f 281-2"	"Cardona Amaya p117, p83-5"	xxx				
E 			1 January 1641	31 December 1641	Sacking of Trujillo	"Diego el Mulato sacks and burns Trujillo, after which they venture inwards and kidnap women"	Trujillo	Gov of Sp Hon Melchor Alonso de Tamayo	Diego Lucifer el Mulato									"GUATEMALA,44A,N.39 ff 1-2"	"Cardona Amaya p117, p85-7"	xxx				
E 4	4	Hos 13	1 January 1641	31 December 1641		Buccaneers or privateers raid at least three Maya hamlets and capture two Sp during missionary entrada	"Old, Sittee"	"Lucas de San Miguel, Fray Martín Tejero"				2 Sp held for many days			"Soite, Manan towns [hamlets?] raided"		Cogolludo 653—6		Jones 89 p224 n23	"Soite, Cehake location /via Jones 89 xv—xvii, p224"				
E 			1 October 1641	30 December 1641	Sacking of Trujillo	Dutch or GWC military sack Trujillo	Trujillo		4 Du companies									"Wright/van Dam, pp *81-100, Manuel de Velasco to Ruy Fernández de Fuenmayor, 18 oct 1641; Diego Ruiz Maldonado to Fuenmayor, 22 oct 1641; Francisco Cornelio Briceño to Fuenmayor, 29 oct 1641; Juan Pacheco Maldonado to Fuenmayor, 31 oct 1641, Fuenmayor to Crown, 18 Dec 1641"	Goslinga p279	"Abb = ARA = ARA = Algemeen Rijksarchief, The Hague; WIC = West India Co.; OC = Oude Compagnie /via Goslinga p519
Abb = Col Navarrete = Colección Navarrete, 30 vols, IHM, Madrid /via Goslinga p593"				
E 			1 March 1642	30 April 1642		"Diego el Mulato attempts to raid town or hamlet by Rio Ulua, but retreats, and sacks Puerto Caballos"	"Ulua, Puerto Caballos"		Diego Lucifer el Mulato									"GUATEMALA,39,R.20,N.131 f 2
GUATEMALA,39,R.20,N.132 f 1"	"Cardona Amaya p117, p87-8"	xxx				
E 6	6	Hos 13	22 November 1642	22 November 1642	Diego Raids	Diego el Mulato raids at least one Maya hamlet and Bacalar	"Monkey, Bacalar"		Diego Lucifer de los Reyes el Mulato 70 Pir			kidnapped numb of [Maya] women / impressed Ma men / later kidnapped 3 Sp 2 Ma from Bacalar / released 13 Feb 1643	Bacalar residents forced into hiding by Lake Bacalar min to early 1643	Pir took 3 or 4 Sp boats	"Campin raided / stole all gold and silver fm Sp church = sum 12,000 to 16,000 pesos"		Cogolludo 656—9	"MEXICO,360,R.5,N.33
MEXICO,369 ff 529r—531v"	"Molina Solis II p138
Jones 89 p226—7 n28—32
Barke 2012 p112 n382"	Campin location /via Jones 89 p225.				
E 			20 July 1643	15 September 1643	Siege of Trujillo	"William Jackson raids and holds Trujillo, after which his crew fall ill and retreat, sacking Sto Tomás de Castilla, after which Jackson retook Trujillo"	"Trujillo, Sto. Tomás de Castilla"	Gov of Sp Hon Melchor Alonso de Tamayo 41 Sp men	"William Jackson 1,200 men"									"GUATEMALA,44A,N.40 ff 7-76"	"Cardona Amaya p118, p90"	xxx				
E 8	8	Hos 13	1 June 1648	30 June 1648	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino 11 Sp 15 Ma men	Abraham			women carried off to Islote de los Cayos / liberated after 2 months	Bacalar residents move further inland to Pacha near Villadolid				Cogolludo 714—7		"Molina Solis II p176, p211—12"					
E 10	10	Hos 13	29 May 1652	29 May 1652	Sacking of Bacalar	Buccaneers or privateers under Abraham sack Bacalar	Bacalar	Capt. Bartolomé Palomino	Abraham		Capt. Bartolomé Palomino killed / 1 Ma killed						Cogolludo 749—52		Barke 2012 p114 n390					
E 12	12	Hos 13	1 November 1652	30 November 1652		Buccaneers or privateers raid at least two Maya hamlets	New					some Maya fm Uatibal and Chanlacan kidnapped [likely sold as slaves]	Ma moved inland w Sp help		"Uatibal, Chanlacan sacked [likely, esp food]"			"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40	"Uatibal, Chanlacan location /via Jones 89 xv—xvii, p283—5"				
E 14	14	Hos 13	23 October 1654	23 October 1654		Buccaneers or privateers engage Sp during entrada	Old	Capt. Francisco Perez of Bacalar-Pacha 6 Sp 15 Ma										"MEXICO,158—Probanza o méritos y servicios Capitán Francisco Pérez a 11 nov 1661"	Jones 89 p231 n38—40					
E 			1 January 1659	30 December 1659		Buccaneers or privateers capture unknown number of Ma for sale in Jamaica	Pacha	Gov of Yuc Francisco Bazán				xxx Ma						"MEXICO,1006 -- a 9 feb 1660"	Jones 89 p334 no 10					
E 			1 January 1668	30 June 1668		"L’Olonnais drifts towards Sp Hon, whereupon he sacks Puerto Caballos, attempts to sack San Pedro Sula, and attempts to sack a Sp galleon in Amatique Bay"	"Puerto Caballos, San Pedro Sula, Amatique"		l’Olonnais / Mozes van Klijn / 1 Ship 5 Craft 700 men										Marley p263					
E 16	16		1 August 1677	30 August 1677		"Bartholomew Sharpe captures Sp during missionary entrada, and possibly raids unknown number of Maya hamlets"	Old	Friar Joseph Delgado xxx Ma guides	Bartholomew Sharpe			Friar and xxx Ma / Friar released / xxx Ma from hamlets possibly taken			prev Ma hamlets possibly raided / Personal property robbed			"GUATEMALA,152 ff 140—45 — a 26 sep 1677 "	Bialuschewski p52—3 n53 	"Sharpe crew reconnoitred Hon coast from camp near Old, and on intercepting missionary entrada, robbed and released Sp friar but not his Ma guides /via Bialuschewski p52—3 n53, though AGI item cited could not be consulted"				
