Table 1
ID	NO	STYLE	YR	AUTHORS	PUBLICATION	TITLE	LINK				
			1729	xxx	London	Observations on the conduct of Great-Britain	"Observations on the conduct of Great-Britain : with regard to the negociations and other transactions abroad. Printed and sold by J. Roberts, 1729. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101707279/SABN?u=camb55135&sid=SABN&xid=19effaa4&pg=24. Accessed 17 Feb. 2021."				
			1732	xxx	London	"The history and lives of all the most notorious pirates, and their crews"	"The history and lives of all the most notorious pirates, and their crews : from Capt. Avery, who first settled at Madagascar, to Capt. John Gow, and James Williams, his lieutenant, &c. who were hanged at Execution Dock, June 11, 1725, for piracy and murther ... to which is prefixed, An abstract of the laws against piracy. 4th ed., Printed for Edw. Midwinter ..., 1732. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105489709/SABN?u=camb55135&sid=SABN&xid=93626f95&pg=131. Accessed 18 Feb. 2021."				
			1740	J. Cockburn	London	"The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners"	"Cockburn, John. The unfortunate Englishmen, or, A faithful narrative of the distresses and adventures of John Cockburn, and five other English mariners ... who were taken by a Spanish guarda costa in the John and Ann, Edward Burt, master, and set on shore at a place call'd Porto-Cavallo ... : containing a journey over land from the Gulph of Honduras to the great South Sea ... as also an account of the manners, customs, and behaviour of the several Indians inhabiting a tract of land of 2400 miles ... Printed and sold by the booksellers of London and Westminster, 1740. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101299426/SABN?u=camb55135&sid=SABN&xid=cb833230&pg=1. Accessed 17 Feb. 2021."				
			1741	Honestus	London	The profit and loss of Great Britain in the present war with Spain	"Honestus. The profit and loss of Great Britain in the present war with Spain : from July 1739, to July 1741 : in a letter to a friend. Printed for J. Roberts, ..., 1741. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392227/SABN?u=camb55135&sid=SABN&xid=5588032e&pg=1. Accessed 17 Feb. 2021."				
			1742	Philalethes	London	The profit and loss of Great-Britain and Spain	"Philalethes. The profit and loss of Great-Britain and Spain : from the commencement of the present war, to this time, impartially stated : by laying before the publick, as perfect and regular a list, as can be hand, of all the ships taken from either nation, since the beginning of the war, to this time : with proper remarks upon the list of British ships, in a pamphlet, intitled, Hireling artifice detected : in a letter to the author. Printed for T. Cooper, ..., 1742. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102392266/SABN?u=camb55135&sid=SABN&xid=1cb00ab5&pg=1. Accessed 17 Feb. 2021."				
			1753	J. MacSparran	Dublin	America dissected	"MacSparran, James. America dissected : being a full and true account of all the American colonies : shewing, the intemperance of the climates : excessive heat and cold ... badness of money : danger from enemies : but, above all, the danger to the souls of the poor people that remove thither, from the multifarious wicked and pestilent heresies that prevail in those parts : in several letters, from a rev. divine of the Church of England, missionary to America ... Printed and sold by S. Powell, 1753. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100561686/SABN?u=camb55135&sid=SABN&xid=3bc0a340&pg=1. Accessed 19 Feb. 2021."				
			1762	xxx	London	The American gazetteer	"The American gazetteer : containing a distinct account of all the parts of the New world : their situation, climate, soil, produce, former and present condition : commodities, manufactures, and commerce : together with an accurate account of the cities, towns, ports, bays, rivers, lakes, mountains, passes, and fortifications ... Vol. 2, Printed for A. Millar [etc.], 1762. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103933762/SABN?u=camb55135&sid=SABN&xid=919c328b&pg=109. Accessed 17 Feb. 2021."				
			1775	T. Jefferys	London	"The West-India atlas, or, A compendious description of the West-Indies"	"Jefferys, Thomas. The West-India atlas, or, A compendious description of the West-Indies : illustrated with forty correct charts and maps, taken from actual surveys : together with an historical account of the several countries and islands which compose that part of the world, their discovery, situation, extent, boundaries, product, trade, inhabitants, strength, government, religion, &c. Printed for Robert Sayer and John Bennett, 1775. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0110763069/SABN?u=camb55135&sid=SABN&xid=f28b570d&pg=16. Accessed 17 Feb. 2021."				
			1779	xxx	London	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore"	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100038323/SABN?u=camb55135&sid=SABN&xid=46610deb&pg=1. Accessed 17 Feb. 2021."				
			1779	xxx	London	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore "	"A Full answer to the King of Spain's last manifesto, respecting the bay of Honduras, and the Mosquito shore : in which all the accusations brought against the subjects of Great Britain settled in the bay of Honduras : and against the ancient British settlement in the free and independent dominions of the Mosquito shore : are candidly stated and refuted : and the importance of the Mosquito shore to Great Britain, delineated and ascertained ... Printed for T. Cadell, 1779. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2D6. Accessed 16 Feb. 2021."				
		White 1	1789	R. White	London	The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America 	"White, Robert. The case of His Majesty's subjects having property in and lately established upon the Mosquito Shore in America : most humbly submitted to the King's Most Excellent Majesty in Council, the Lords and Commons in Parliament, and the nation of Great-Britain at large, 1789. Printed for T. Cadell in the Strand, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102270362/SABN?u=camb55135&sid=SABN&xid=b8095f09&pg=1. Accessed 17 Feb. 2021."				
		White 2	1789	R. White	London	The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain 	"White, Robert, et al. The case of His Majesty's subjects settled on the coast of Yucatan in the bay of Honduras under the special and sole protection of the crown of Spain : who were, in the month of September 1779, robbed and despoiled of their property, and captivated in their persons by the King of Spain's forces and subjects, in violation of the seventeenth article of the treaty of Paris, concluded in February 1763, and in breach of other prior articles and treaties, then in force between His Majesty and the said King of Spain. Printed for T. Cadell, 1789. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102760133/SABN?u=camb55135&sid=SABN&xid=50d0d710&pg=1. Accessed 17 Feb. 2021."				
			1790	"Verus, J. B. Burges"	London	Letters lately published in The diary on the subject of the present dispute with Spain	"Verus., and James Bland Burges. Letters lately published in The diary on the subject of the present dispute with Spain. Printed for G. Kearsley ..., 1790. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102153815/SABN?u=camb55135&sid=SABN&xid=252b8bd7&pg=69. Accessed 17 Feb. 2021."				
			1790	xxx	London	A narrative of the negotiations occasioned by the dispute between England and Spain	"A narrative of the negotiations occasioned by the dispute between England and Spain, in the year 1790. [s.n.], [1791?]. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102254917/SABN?u=camb55135&sid=SABN&xid=5592a75c&pg=1. Accessed 17 Feb. 2021."				
		White 3	1793	R. White	London	"The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore "	"White, Robert. The case of the agents to the settlers on the coast of Yucatan, and the late settlers on the Mosquito-Shore : stating the whole of his conduct, in soliciting compensation for the losses, sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0101574822/SABN?u=camb55135&sid=SABN&xid=a6dcd8a3&pg=1. Accessed 17 Feb. 2021."				
		White 4	1793	R. White	London	The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore 	"White, Robert. The case of the agent to the settlers on the coast of Yucatan and the late settlers on the Mosquito-Shore : stating the whole of his conduct in soliciting compensation for the losses sustained by each of those classes of His Majesty's injured and distressed subjects. Printed for T. Cadell, 1793. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0105619504/SABN?u=camb55135&sid=SABN&xid=8970463d&pg=1. Accessed 17 Feb. 2021."				
			1809	G. Henderson	London	An account of the British settlement of Honduras 	"Henderson, George. An account of the British settlement of Honduras : being a view of its commercial and agricultural resources, soil, climate, natural history, &c. : to which are added, sketches of the manners and customs of the Mosquito Indians, preceded by the journal of a voyage to the Mosquito shore ... C. and R. Baldwin, 1809. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2a9. Accessed 17 Feb. 2021."				
			1818	B. Edwards	London	"The history, civil and commercial, of the British West Indies"	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 4, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103354739/SABN?u=camb55135&sid=SABN&xid=f999489c&pg=261. Accessed 17 Feb. 2021."				
			1818	B. Edwards	London	"The history, civil and commercial, of the British West Indies"	"Edwards, Bryan. The history, civil and commercial, of the British West Indies. 5th ed., vol. 5, G. and W.B. Whittaker; [etc., etc.], 1818-19. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106428381/SABN?u=camb55135&sid=SABN&xid=e80cf12a&pg=1. Accessed 17 Feb. 2021."				
			1823	xxx	London	"The defence, &c. &c."	https://link.gale.com/apps/doc/DS0103730001/SAS?u=camb55135&sid=SAS&xid=1ede003f&pg=40				
			1824	"J. Armstrong, G. Arthur"	London	"A candid examination of ""The defense of the settlers of Honduras"" "	https://link.gale.com/apps/doc/U0107412823/MOME?u=camb55135&sid=MOME&xid=ace432cc&pg=1				
			1827	T. Southey	London	Chronological history of the West Indies	"Southey, Thomas. Chronological history of the West Indies. Vol. 2, Longman, Rees, Orme, Brown, and Green, 1827. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104192403/SABN?u=camb55135&sid=SABN&xid=9a3daa27&pg=257. Accessed 17 Feb. 2021."				
		Martin 1	1836	R. M. Martin	London	History of the West Indies	"Martin, Robert Montgomery. History of the West Indies: Comprising Jamaica, Honduras, Trinidad, Tobago, Grenada, The Bahamas, and The Virgin Isles. Vol. 1, Whittaker & Co., 1836. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0112507654/SABN?u=camb55135&sid=SABN&xid=06da52f8&pg=72. Accessed 17 Feb. 2021."				
		Martin 2	1837	R. M. Martin	London	Colonial policy of the British Empire	"Martin, Robert Montgomery. Colonial policy of the British Empire. Pt. 1, Government. W.H. Allen & Co., 1837. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106089023/SABN?u=camb55135&sid=SABN&xid=1305c6c0&pg=90. Accessed 17 Feb. 2021."				
			1839	Eastern Coast of Central America Commercial and Agricultural Company	London	"Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala"	"Eastern Coast of Central America Commercial and Agricultural Company. Board of Directors. Brief statement, supported by original documents, of the important grants conceded to the Eastern Coast of Central America Commercial and Agricultural Company by the state of Guatemala. Whittaker & Co., 1839. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0106797626/SABN?u=camb55135&sid=SABN&xid=fc50e901&pg=7. Accessed 17 Feb. 2021."				
			1853	J. M. Clayton	Washington	"Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853"	"Clayton, John Middleton. Speech of John M. Clayton, of Delaware, delivered in the Senate of the United States on the 8th of March, 1853 : in vindication of the Central American treaty concluded with Great Britain on the 19th of April, 1850. Printed by Kirkwood & McGill, 1853. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0104293458/SABN?u=camb55135&sid=SABN&xid=1d289d88&pg=14. Accessed 17 Feb. 2021."				
		Fancourt	1854	C. S. J. Fancourt	London	"The history of Yucatan, from its discovery to the close of the seventeenth century"	"Fancourt, Charles Saint John. The history of Yucatan, from its discovery to the close of the seventeenth century. J. Murray, 1854. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100004060/SABN?u=camb55135&sid=SABN&xid=783b6f0e&pg=1. Accessed 20 Feb. 2021."				
			1855	E. G. Squier	London	"Waikna, or, Adventures on the Mosquito shore"	"Squier, Ephraim George, and Samuel A. Bard. Waikna, or, Adventures on the Mosquito shore. Sampson Low, son, & co., 1855. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0103178029/SABN?u=camb55135&sid=SABN&xid=f8bae517&pg=93. Accessed 17 Feb. 2021."				
			1856	xxx	Washington	Documents relative to Central American affairs and the enlistment question	"United States. Dept. of State., et al. Documents relative to Central American affairs and the enlistment question. C. Wendell, Printer, 1856. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0102905680/SABN?u=camb55135&sid=SABN&xid=e04c57fa&pg=1. Accessed 17 Feb. 2021."				
			1858	E. G. Squier	NYC	The states of Central America 	"Squier, Ephraim George. The states of Central America : their geography, topography, climate, population, resources, productions, commerce, political organization, aborigines, etc. etc. : comprising chapters on Honduras, San Salvador, Nicaragua, Costa Rica, Guatemala, Belize, the Bay Islands, the Mosquito Shore, and the Honduras Inter-oceanic Railway. Harper & Bros, 1858. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2g3. Accessed 17 Feb. 2021."				
			1860	J. D. Harris	NYC	A summer on the borders of the Caribbean Sea	"Harris, J. Dennis. A summer on the borders of the Caribbean Sea. A.B. Burdick, 1860. Sabin Americana: History of the Americas, 1500-1926, link.gale.com/apps/doc/CY0100216178/SABN?u=camb55135&sid=SABN&xid=de785820&pg=137. Accessed 17 Feb. 2021."				
			1893	R. Chalmers	London	A History of Currency in the British Colonies	https://link.gale.com/apps/doc/U0112205310/MOME?u=camb55135&sid=MOME&xid=212bf46b&pg=1				
		Molina 1	1904	J. F. Molina Solís	Merida	Historia de Yucatán durante la dominación española vol 1	http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V01/1/				
		Molina 2	1904	J. F. Molina Solís	Merida	Historia de Yucatán durante la dominación española vol 2	http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V02/1/				
		Molina 3	1904	J. F. Molina Solís	Merida	Historia de Yucatán durante la dominación española vol 3	http://simurg.bibliotecas.csic.es/viewer/image/990002353440204201_V03/1/				
			1905	J. L. Bristow	Washington	Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905	"Report Of Joseph L. Bristow Special Panama Railroad Commissioner To The Secretary Of War. 1905. World Scholar: Latin America & the Caribbean, worldscholar.gale.com/region/latin-america/MonographsDetailsPage/MonographsDetailsWindow?disableHighlighting=false&displayGroupName=DVI-Monographs&docIndex=1&prodId=LAC&mode=view&limiter=&display-query=TX+Report+Of+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+To+The+Secretary+Of+War.+1905&contentModules=&action=e&sortBy=&windowstate=normal&currPage=1&dviSelectedPage=&scanId=&query=TX+Report+Joseph+L.+Bristow+Special+Panama+Railroad+Commissioner+Secretary+War.+1905&search_within_results=&p=LACD&catId=&displayGroups=&documentId=GALE%7CSA5299194852&activityType=BasicSearch&failOverType=&commentary=&source=Bookmark&u=camb55135&jsid=ae0cdd8d308047d5a8955c6b8b44f227. Accessed 17 Feb. 2021."				
			1910	C. H. Haring	London	Buccaneers in the West Indies in the Seventeenth Century	http://www.gutenberg.org/ebooks/19139				
		Burdon 1	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 1"	"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%201,%20From%20the%20earliest%20date%20to%20A.%20D1800.pdf"				
		Burdon 2	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 2"	"file:///Users/angelnavidad/Downloads/Archives%20of%20British%20Honduras%20Vol.%202,%201801-1840.pdf"				
		Burdon 3	1931	J. A. Burdon	London	"Archives of British Honduras, Vol 3"	file:///Users/angelnavidad/Downloads/Archives_of_British_Honduras_From_1841_1.pdf				
		Calderon	1944	J. A. Calderón Quijano	Seville	Belice 1663 (?)-1821 	http://simurg.bibliotecas.csic.es/viewer/image/CSIC000048031/1/				
			1946	E. O. Winzerling	New York	"The Beginning of British Honduras, 1506-1765"	https://ufdc.ufl.edu/UF00099216/00001				
			1964	M. J. Crawford	Washington	Naval Documents of the American Revolution 10	https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html				
		Goslinga	1971	C. C. Goslinga	Gainesville	The Dutch in the Caribbean	file:///Users/angelnavidad/Downloads/Cornelius%20Ch.%20Goslinga%20-%20The%20Dutch%20in%20the%20Caribbean%20and%20on%20the%20Wild%20Coast%201580-1680-Koninklijke%20Van%20Gorcum%20&%20Comp.%20N.V.%20(1971).pdf				
			1978	J. J. McCusker	London	"Money and exchange in Europe and America, 1600-1775: a handbook"	"/Users/angelnavidad/Downloads/John J. McCusker (auth.) - Money and Exchange in Europe and America, 1600–1775_ A Handbook-Palgrave Macmillan UK (1978).pdf"				
			1986	W. J. Morgan	Washington	Naval Documents of the American Revolution 7	https://wayback.archive-it.org/org-593/20200907065528/https://www.history.navy.mil/research/publications/publications-by-subject/naval-documents-of-the-american-revolution.html				
		Jones 1	1989	G. D. Jones	"Albuquerque, NM"	Maya Resistance to Spanish Rule	file:///Users/angelnavidad/Downloads/Grant D. Jones - Maya resistance to Spanish rule_ Time and history on a colonial frontier-University of New Mexico Press (1989).djvu				
		Kupperman	1993	K. O. Kupperman	Cambridge	"Providence Island, 1630-1641: the other Puritan colony"	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.00270				
		Jones 2	1998	G. D. Jones	"Stanford, CA"	Conquest of the Last Maya Kingdom	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.03515				
			1998	K. E. Lane	"Armonk, NY"	Pillaging the Empire	file:///Users/angelnavidad/Downloads/9781315722269.pdf				
			2008	D. F. Marley	"Santa Barbara, CA"	Wars of the Americas	"file:///Users/angelnavidad/Downloads/Wars%20of%20the%20Americas%20A%20Chronology%20of%20Armed%20Conflict%20in%20the%20Western%20Hemisphere,%201492%20to%20the%20Present%20by%20David%20Marley%20(z-lib.org).pdf"				
			2009	J. Latimer	"Cambridge, MA"	Buccaneers of the Caribbean	https://doi-org.ezp-prod1.hul.harvard.edu/10.4159/9780674054172				
			2009	M. Craton	Ithaca	Testing the chains: resistance to slavery in the British West Indies	https://hdl-handle-net.ezp-prod1.hul.harvard.edu/2027/heb.04568				
			2011	E. Graham	"Gainesville, FL"	Maya Christians and Their Churches in Sixteenth-Century Belize	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/17957				
			2012	"A. Alves Carrara, E. Sánchez Santiró"	Juiz de Fora	Guerra y fiscalidad en la Iberoamérica colonial	file:///Users/angelnavidad/Downloads/Entre_la_paz_y_la_guerra_el_gasto_milita.pdf				
			2015	M. G. Hanna	Chapel Hill	"Pirate Nests and the Rise of the British Empire, 1570-1740"	https://muse-jhu-edu.ezp-prod1.hul.harvard.edu/book/44065/				
			2019	"M. Ferguson, P. Pelayo, N. Encalada"	Belmopan	A History of Slavery & Emancipation in Belize	https://ambergriscaye.com/photogallery/art/Slavery-and-Emancipation-in-Bz-by-ISCR-NICH.pdf				
		Cardona	2020	J. M. Cardona Amaya	Tegucigalpa	Invasiones de corsarios a la Honduras de Felipe IV (1633-1643) 	https://halshs.archives-ouvertes.fr/halshs-02540842/document				
