Table 1
Yr	Log	£	Date	Event	Desc	Source	A L	A U	Cf	E L Ev	E U Ev	Cf	L Splice	U Splice	L Extra	U Extra	Formula	L Fin	U Fin
1715	"5,860"		19 Sep	// Famine at Campeachy	"c 200 loggers gone from Campeachy, few remain starving, several Negroes dyed"	Boston News-Letter 596 Boston 1715 p 2				320	400		320	400				320	400
1716	"2,056"		"? Feb


10 Dec"	"


// Attack & expulsion at Campeachy"	"c 150 “Men Whites and Blacks” held by Spanish in Campeachy

c 50 loggers escape imprisonment by Spanish at Triste; Spanish hold & settle Triste & Terminos"	"Boston News-Letter 629 Boston 1716 p 2


484 X CSPC 29"									349	433	Inter	349	433
1717	"1,148"		"8 Apr



? ?"		"c 200 to 300 loggers in Campeachy before Nov 1716 Spanish expulsion hadn’t surrendered, were “are Raving about in Perry-augers”

c 400 loggers in Campeachy before Nov 1716 Spanish expulsion (= 2000 men employed in logwood trade ÷ 100 sail employed likewise, of which “upwards of 20 Sail” seized by Spanish in two attacks)"	"Boston News-Letter 677 Boston 1717 p 2



A. B. The state of the island of Jamaica London 1726 p 15-6"									378	466	Inter	378	466
1718	"1,175"		? ?	Campeachy loggers logging in Honduras	"Campeachy loggers, driven from Campeachy, “followed the same business in the bay of Honduras”"	"W. Douglas A summary, historical and political, of the first planting, progressive improvements, and present state of the British settlements in North-America 2 London 1755 p 88"									407	499	Inter	407	499
1719	740														366	449	Decay 0.9	366	449
1720	343														183	224	Decay 0.5	183	224
1721	"1,798"														353	427	Median	353	427
1722	"1,130"		? Aug		c 500 Merchants & Slaves at Barcadares on Belize R.	"J. Atkins A voyage to Guinea, Brasil and the West-Indies in His Majesty's ships, the Swallow and Weymouth London 1737 p 227"				523	630		523	630				523	630
1723	"2,274"														784	945	Growth 1.5	784	945
1724	"3,347"		15 Jul	// Attack & imprisonment of 7 or 8 sloops in Honduras	"c 7 or 8 sloops in Honduras, “gone thither to cut Logwood”, seized by Spanish man-of-war; men taken as slaves"	Parker’s London News or the Impartial Intelligencer 883 London 1724 p 5									941	"1,134"	Growth 1.2	941	"1,134"
1725	"3,221"														893	"1,077"	Decay 0.95	893	"1,077"
1726	"3,588"														938	"1,131"	Growth 1.05	938	"1,131"
1727	"3,109"														844	"1,018"	Decay 0.9	844	"1,018"
1728															760	916	Decay 0.9	760	916
1729	989														380	458	Decay 0.5	380	458
1730	"1,505"		18 Aug	// Attack & imprisonment of 30 loggers at New R.	c 30 English loggers at New River imprisoned in Spanish raid	London Journal 532 London 1729 p 5									456	550	Growth 1.2	456	550
1731	781		24 Nov	// Evacuation of Honduras	"c 30 Persons remain at Hondo, New & Belize R., “under such Hardships, that they wish for nothing more, than an Opportunity to be gone.”"	Read’s Weekly Journal or British Gazetteer 375 London 1732 p 3	29	32					29	32				29	32
1732	"1,189"		22 Jul		"c 8 or 9 Baymen left in Honduras, “hide in the Woods till they can get an Opportunity of transporting themselves to some other Place more secure.”"	Universal Spectator and Weekly Journal 198 London 1732 p 3	8	9					8	9				8	9
1733	"1,461"		3 Oct		"c 2 “Families” left in Honduras, “most"" Baymen gone to Merida & Campeche with Servants etc. on promise of employment by Spanish"	Weekly Rehearsal 106 Boston 1733 p 2				8	14		8	14				8	14
1734	"1,262"														99	112	Median	99	112
1735	"1,595"		"6 Aug


12 Oct"	// Presence of loggers in Honduras noted	"c 0 English loggers in Campeachy, c 200 in Honduras


“the Fleet was there [Belize River] … [and] had met no Disturbance from the Spaniards”"	"Aug 1735 v 44 Journals of the Board of Trade and Plantations v 7 London 1930

Boston Gazette 824 Boston 1735 p 3"	190	210	JBTP 7 1930				190	210				190	210
1736	"2,232"														254	274	Inter 1746-50	254	274
1737	"2,177"														338	356	Inter 1746-50	338	356
1738	"2,520"														451	464	Inter 1746-50	451	464
1739	"1,945"		22 Oct	// Start of War of Jenkins’ Ear	Start of War of Jenkins’ Ear										602	604	Inter 1746-50	602	604
1740	"1,997"														804	787	Inter 1746-50	804	787
1741	"1,289"														675	666	Inter	675	666
1742	"1,031"														547	544	Inter	547	544
1743	"1,299"														418	422	Inter	418	422
1744	495														290	300	Inter	290	300
1745	574		8 June		"c 170 inhabitants, 50 English + 120 slaves, in ? [Honduras]"	CO 137/48 ff ?	162	179					162	179				162	179
1746	137														216	233	Inter	216	233
1747	596														270	287	Inter	270	287
1748	"1,747"														324	341	Inter	324	341
1749	"1,234"		18 Oct	// End of War of Jenkins’ Ear	End of War of Jenkins’ Ear										378	395	Inter	378	395
1750	"4,660"														432	449	Inter	432	449
1751	"7,386"		14 Jul		"129 English Baymen = 7 small Sloops, taken from New R. by Spanish; 57 Sail at Belize R. (implied to be > 180 men)"	Boston Gazette 1643 Boston 1751 p 2				486	729		486	729				486	729
1752	"5,368"		1 May	// Evacuation of Honduras	"c 5 “Families” left in Honduras, “most of the Bay-men” from Honduras now at Mosquito Shore (at least 40), driven away by “being daily routed by the Spaniards”"	New-York Mercury 16 NYC 1752 p 2				20	35		20	35				20	35
1753	"3,912"									450	550	LEP 4234	450	550				450	550
1754	"3,214"		"? Apr


2 Oct




22 Oct"	"// Battle at Belize Town with Spanish force

// Evacuation of Honduras & settlement of Honduras by Spanish"	"210 Baymen, “principally slaves”, drive off incoming Spanish force from Belize town

""the Baymen [have] deserted the Bay of Honduras, and, to the Number of 500, [are] actually arrived on the Musqueto Shore; … there remain in the Bay only ten or eleven very old Negroes”

“The Bay of Honduras is settled by Spaniards.”"	"Antigua Weekly Register XV 759 St. John’s (Antigua & Barbuda) 1818 p 4

London Evening Post 4234 London 1754 p 3



London Evening Post 4228 London 1754 p 3"	10	11	LEP 4234				10	11				10	11
1755	"2,545"		11 Feb	// Evacuation of Spanish from Honduras	"“Spaniards have orders from Old Spain to evacuate the Bay of Honduras, and let the English remain in quiet Possession thereof.”"	Antigua Gazette 130 St. John’s (Antigua & Barbuda) 1755 p 3									225	413	Fraction 1753	225	413
1756	"4,803"														338	619	Growth 1.5	338	619
1757	"4,158"		? ?	// Presence of loggers in Honduras noted	"c 1,500 men in Honduras"	E. Burke & W Burke An account of the European settlements in America 2 London 1757 p 71									405	743	Growth 1.2	405	743
1758	"3,937"		19 Nov	// Evacuation of Honduras	“in Fear of a Rout … The greatest Part have … quit the Bay” of Honduras	Pennsylvania Gazette 1568 Philadelphia 1759 p 3									135	248	Decay 1/3	135	248
1759	"4,851"		"23 Apr


24 Oct"	"// Evacuation of Honduras


// Presence of min. 61 loggers & slaves noted at Belize R."	"“the Bay [of Honduras] is almost evacuated”


31 English Baymen + 30 Negroes “belonging to several Baymen” taken from Belize R. by Spanish “a few days ago”; saved from imprisonment by Capt. Owens"	"Pennsylvania Gazette 1589 Philadelphia 1759 p 3

Pennsylvania Gazette 1624 Philadelphia 1760 p 3"				73	79		73	79				73	79
1760	"1,853"														212	218	Inter	212	218
1761	878														350	356	Inter	350	356
1762	"1,984"		4 Jan		GB declares war on Spain										489	495	Inter	489	495
1763	"3,567"		"10 Feb

29 Dec"	"

// Presence of 20 property owners noted at New & Hondo R."	"GB enters Treaty of Paris with Spain & others

c / min 20 Baymen in New & Hondo River before evacuation order by G of Yucatan"	"

CO 5/119 Part 1 ff 96-7"									627	633	Inter	627	633
1764	"4,503"														766	772	Inter	766	772
1765	"6,058"														904	911	Inter	904	911
1766	"10,539"	"11,601"													"1,043"	"1,142"	1785	"1,043"	"1,142"
1767	"9,099"	"15,611"													991	"1,085"	Decay 0.95	991	"1,085"
1768	"9,598"	"34,633"													"1,040"	"1,139"	Growth 1.05	"1,040"	"1,139"
1769	"10,368"	"7,456"													"1,092"	"1,196"	Growth 1.05	"1,092"	"1,196"
1770	"10,590"	"85,659"	3 Oct	// Presence of “several” property owners noted at Ambergris Caye	"“about six weeks ago, a Spanish Pettiauger, … , from Baccalar, went to an Island in the Bay, called Ambergris, burnt several small Houses, and carried off a Negroe, under Pretence that the English had no Right to cut Wood there.”"	Pennsylvania Gazette 2189 Philadelphia 1770 p 3									"1,147"	"1,256"	Growth 1.05	"1,147"	"1,256"
1771	"3,466"	"34,087"													573	628	Decay 0.5	573	628
1772	"6,663"	"51,080"													860	942	Growth 1.5	860	942
1773	"2,181"	"21,378"													850	932	Inter	850	932
1774	"1,978"	"25,254"													840	921	Inter	840	921
1775	"2,754"	"43,180"													829	911	Inter	829	911
1776	"1,548"	"30,007"													819	901	Inter	819	901
1777	"1,893"	"27,744"													809	891	Inter	809	891
1778	"2,264"	"44,004"													799	850	1782	799	850
1779	"4,403"	"10,690"	"? Jun

28 Aug


15 Sep"	"// Spain enters US Independence War



// Attack & imprisonment of 95 to 100 at St. George’s Caye; & evacuation of Honduras"	"Spain enters US war against GB

c 200 Baymen + 500 slaves fit for combat in ? [Honduras]

Attack on St. George’s Caye; c 95 to 100 English Baymen imprisoned; c / min 100 escaped"	"

CO 137/75 ff ?"				8	21	WR 106; LEP 4234	8	21				8	21
1780	"4,296"	14								8	21	WR 106; LEP 4234	8	21				8	21
1781	"3,057"									8	21	WR 106; LEP 4234	8	21				8	21
1782	"1,441"		"? Jul


16 Sep"	"// Release of imprisoned Baymen

// Resettlement of Honduras"	"Imprisoned Baymen released


Baymen resettle Honduras"										799	850	Inter 1788-9	799	850
1783	"1,140"		? Sep	// End of US Independence War	GB enters Treaty of Versailles with Spain										873	938	Inter 1788-9	873	938
1784	"2,323"														954	"1,035"	Inter 1788-9	954	"1,035"
1785	"11,683"														"1,043"	"1,142"	Inter 1788-9	"1,043"	"1,142"
1786	"15,472"		1 Jul	Daily increase of population noted	“Settlers at the Bay [of Honduras] … daily increase”	"Pennsylvania Journal, or, Weekly Advertiser 2094 Philadelphia 1786 p 2"	"1,140"	"1,260"	SLMG I 29				"1,140"	"1,260"				"1,140"	"1,260"
1787	"8,795"		21 Jun	// Evacuation of Mosquito Shore completed	"Evacuation of Mosquito Shore completed

c 15 sloops and schooners at Belize R. & St. Georges; 22 or 23 at Hondo & New R.; c 1,000 people resident at “Bellize-point”; 

3408 inhabitants, of which 1200 = old Baymen, rest being relocated people from Mosquito Shore"	"

Daily Advertiser IV 902 NYC 1788 p 2



Savannah-la-Mar Gazette I 29 Savannah-la-Mar (Jamaica) 1788 p 3"	"3,348"	"3,468"	SLMG I 29				"3,348"	"3,468"				"3,348"	"3,468"
1788	"6,334"														"3,063"	"3,143"	Inter	"3,063"	"3,143"
1789															"2,778"	"2,818"	Inter	"2,778"	"2,818"
1790			22 Oct	First census	2493 inhabitants	CO 123/9 ff ?	"2,493"	"2,493"					"2,493"	"2,493"				"2,493"	"2,493"
