Table 1
Ath Yr	Yr	fm All	to All	to All Re	fm GB	to GB	Rev			Exp			Exp Ln	Debt	Notes	FX
	1874	178397	240628				43722			40063						?
	1884	237588	317449				51866			53585						?
	1894	162390	262302				38213			45056						B$ 4.86 = 1.0.0L
																
C.8279-8	1895	1453640	1283998		427802	586841	275112.13			284961.35				143898.82	"In colonial currency, changed to gold US dollar at B$ 4.86 = 1.0.0L"	B$
																
C.9046-10	1896	1462637	1571530		523208	760522	282910.19			259121.29					Rev and exp 1896 exc extraordinary amts; 1897 inc them	B$
	1897	1422097	1404387		486463	769867	296117.67			322990.41						
																
Cd.3-1	1894						257287			230283					"In colonial currency, changed to gold US dollar at B$ 4.86 = 1.0.0L"	B$
	1895	1435640	1283998		427802	586841	275112			284961						
	1896	1462637	1378601		523208	760522	312686			269877						
	1897	1422097	1404387		486463	769867	314017.67			322990.41						
	1898	1248910	1282593		420127	853173	274690.40			301413.75				168815		
																
Cmd. 1103-13	1913	3185368													"Figs in local currency, for years ended 31 Mar of yr following the given year"	B$
	1917						676227			675235					Trade figs given for calendar years	
	1918	3565416	3668657				721233			670737						
	1919	4695216	4448809		405017	667880	1065622			981816				874800		
																
Cd. 8973-6	1915														"In local currency, finances for yr ended 31 Mar of yr following the given year"	B$
	1916	2690396	2543353		430345	123699	640462			613788					Trade figs given for calendar years	
																
Cmd. 1-17	1917	2793773	2802967		390369	179827	676227			675235					"Local curr, finances in financial yr, trade in cal yrs"	B$
																
 Cd. 8434-2	1914	2980406	2918775		502833	307066									"Local curr, finances in financial yr, trade in cal yrs"	B$
	1915	2148956	2235895		363739	302770	518447			555593						
																
Cd. 1388-14	1896	1462637	1378601		523208	760522									"Local curr, trade in cal yrs, finances > 1900a in financial year (for yr ended 31 Mar of yr following the given yr)"	B$
	1897	1422097	1404387		486463	769867									Figs exc local board finances	
	1898	1248910	1282593		420127	853173	274690			301413					Rate B$ 4.86 = 1.0.0	
	1899	1031473	1278617		323493	860378	250458			262413						
	1900a	1198772	1300565		376172	613565	289727			246201						
	1900b						292689.28			249186						
	1901	1227202	1287598		373506	635913	272142.68			256910				168815		
	1902	1227803	1362210		337300	417262										
																
Cd. 6007-33	1906						391861			321439					"In local currency, finances for yr ended 31 Mar of yr following the given year"	B$
	1907	2415723	2211036		665009	454102	395183			516701					Rate B$ 4.86 = 1.0.0	
	1908	2676723	2201799		690454	478145	360915			535979						
	1909	2704248	2209023		551840	355840	395854.96			592120.26						
	1910	2819217	2344380		600889	329490	459295.10			542810.36						
	1911	2886677	2685849		620961	335465								946415		
																
Cd. 3729-36	1902						259600			252242					"In local currency, finances for yr ended 31 Mar of yr following the given year"	B$
	1903	1772976	1853181		463915	339293	301194			266039					Rate B$ 4.86 = 1.0.0	
	1904	1757319	1863871		467449	418459	309790			282258						
	1905	1876560	1835250		495873	470750	332110			300351						
	1906	2200541	2019006		587456	576241	391861			321439						
	1907	2415723	2211036		665009	454102								168815		
																
Cd. 431-2	1895	1453640	1283998		427802	586841	275112			284961					"In local currency, finances for yr ended 31 Mar of yr following the given year"	B$
	1896	1462637	1378601		523208	760522	312686			269877					Rate B$ 4.86 = 1.0.0	
	1897	1422097	1404387		486463	769967	314017			322990						
	1898	1248910	1282593		420127	853173	274690			301413						
	1899	1031473	1278617		323493	860378	250458			262413				168815		
