Table 1
Place	Party	Position	Surname	Forenames	Date	
Belmopan	U	R	SALDIVAR	John	7 Feb 2008	
Dangriga	U	R	ROCHES	Arthur William	7 Feb 2008	
SCW	U	R	HULSE	Melvin	7 Feb 2008	
TE	U	R	MARTINEZ	Peter Eden	7 Feb 2008	
TW	U	R	COY	Juan	7 Feb 2008	
Caribbean Shores	U	R	CASTILLO	Santino	7 Mar 2012	
Freetown	P	R	FONSECA	Francis W.	7 Mar 2012	
Pickstock	U	R	ELRINGTON	Wilfred	7 Mar 2012	
Fort George	P	R	MUSA	Said	7 Mar 2012	
Lake Independence	U	R	KING	Mark Anthony	7 Mar 2012	
Albert	U	R	LONGSWORTH	Herman R.	7 Mar 2012	
Collet	U	R	FABER	Patrick Jason	7 Mar 2012	
Mesopotamia	U	R	FINNEGAN	Michael	7 Mar 2012	
Queen’s Square	U	R	BARROW	Dean Oliver	7 Mar 2012	
Port Loyola	U	R	MARTINEZ	Anthony	7 Mar 2012	
BRN	U	R	CASTRO	Edmond	7 Mar 2012	
BRS	U	R	HEREDIA	Jose Manuel	7 Mar 2012	
BRC	P	R	BALDERAMOS	Dolores	7 Mar 2012	
OWN	U	R	VEGA	Gaspar	7 Mar 2012	
OWC	P	R	BRICENO	Juan Antonio	7 Mar 2012	
OWE	P	R	MENDEZ	Marcio Tulio	7 Mar 2012	
OWS	P	R	MAI	Jose Abelardo	7 Mar 2012	
CN	P	R	MAHMUD	Joseph	7 Mar 2012	
CS	P	R	ESPAT	Julius	7 Mar 2012	
CW	U	R	CONTRERAS	Erwin Rafael	7 Mar 2012	
CC	U	R	MONTERO	Rene	7 Mar 2012	
CNE	U	R	PENNER	Elvin	7 Mar 2012	
Belmopan	U	R	SALDIVAR	John B.	7 Mar 2012	
ZN	U	R	PATT	Hugo Amilcar	7 Mar 2012	
ZSW	P	R	RAMIREZ	Ramiro	7 Mar 2012	
Corozal Bay	U	R	MARIN	Pablo	7 Mar 2012	
ZSE	P	R	MARIN	Florencio Julian	7 Mar 2012	
Dangriga	P	R	RAMOS	Ivan Micahel	7 Mar 2012	
SCW	P	R	FERGUSON	Rodwell	7 Mar 2012	
TW	P	R	REQUENA	Oscar	7 Mar 2012	
TE	P	R	ESPAT	Michael Joseph	7 Mar 2012	
Freetown	P	R	FONSECA	Francis	4 Nov 2015	
Caribbean Shores	P	R	MUSA	Kereem	4 Nov 2015	
Pickstock	U	R	ELRINGTON	Wilfred Peter	4 Nov 2015	
Fort George	P	R	MUSA	Said	4 Nov 2015	
Albert	U	R	PANTON	Tracy Ann	4 Nov 2015	
Queen’s Square	U	R	BARROW	Dean Oliver	4 Nov 2015	
Mesopotamia	U	R	FINNEGAN	Michael	4 Nov 2015	
Lake Independence	P	R	HYDE	Cordel	4 Nov 2015	
Collet	U	R	FABER	Patrick Jason	4 Nov 2015	
Port Loyola	U	R	MARTINEZ	Anthony	4 Nov 2015	
BRN	U	R	CASTRO	Edmon	4 Nov 2015	
BRC	U	R	CASTILLO	Beverly Diane	4 Nov 2015	
BRS	U	R	HEREDIA	Manuel	4 Nov 2015	
Corozal Bay	U	R	MARIN	Pablo Saul	4 Nov 2015	
ZN	U	R	PATT	Hugo	4 Nov 2015	
ZSE	P	R	MARIN JR.	Florencio Julian	4 Nov 2015	
ZSW	U	R	CAMPOS	Angel	4 Nov 2015	
OWC	P	R	BRICENO	Johnny	4 Nov 2015	
OWN	U	R	VEGA	Gaspar	4 Nov 2015	
OWE	U	R	ARAGON	Elodio Jr.	4 Nov 2015	
OWS	P	R	MAI	Jose Abelardo	4 Nov 2015	
CN	U	R	FIGUEROA	Omar	4 Nov 2015	
CC	U	R	MONTERO	Rene	4 Nov 2015	
CW	U	R	CONTRERAS	Erwin Rafael	4 Nov 2015	
CS	P	R	ESPAT	Julius	4 Nov 2015	
CNE	P	R	HABET	Orlando	4 Nov 2015	
Belmopan	U	R	SALDIVAR	John Birchman	4 Nov 2015	
Dangriga	U	R	MENA	Frank	4 Nov 2015	
SCW	P	R	FERGUSON SR.	Rodwell Stephen	4 Nov 2015	
TE	P	R	ESPAT	Michael Joseph	4 Nov 2015	
TW	P	R	REQUENA	Ruben Oscar	4 Nov 2015	
		S	ZABANEH	Elizabeth	3 Aug 2001	
		S	ARGUELLES	Emil	14 Mar 2008	
		S	PEYREFITTE	Michael	21 Mar 2012	
		S	TUCKER-LONGSWORTH	Laura	13 Jan 2017	
		P	ZUNIGA	Philip	4 Apr 2003	
		P	GILL	Andrea	14 Mar 2008	
		P	PECH	Marco	21 Mar 2012	
		P	CHANG	Lee Mark	9 Nov 2015	
		P	BRADLEY	Darrell	26 Jun 2019	
