Table 1
	Link	State	p	Title	Desc	Desc	
1766	CO 5/119 I	CO 5/119 I		Admiralty Office; Sundry papers relative to the Bay of Honduras delivered to John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras	Losses fm 64 expulsion	"Losses fm Neg runaways in 66, 67"	"Admiralty Office; Sundry papers relative to the Bay of Honduras delivered to John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras. 1766/05/15-1771/07/08. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_012>."
1768	CO 5/114	CO 5/114		Memorial and correspondence made to the Earl of Hillsborough regarding regulations surrounding settler laws and regulations in the Bay of Honduras	 		"Memorial and correspondence made to the Earl of Hillsborough regarding regulations surrounding settler laws and regulations in the Bay of Honduras. 1768. Submission; Correspondence; Legislation. The National Archives, Kew, CO 5/114. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_114_064>."
1771	CO 5/119 I	CO 5/119 I		Admiralty Office; Letters from John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras	Yucatan famine		"Admiralty Office; Letters from John Botham enclosed in the Lords of the Admiralty to The Earl of Hillsborough concerning the Logwood Cutters at the bay of Honduras. 1771/05/19-1771/07/08. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_011>."
1771	CO 5/119 I	CO 5/119 I	94	Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras	 		"Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras. 1771/06/20-1771/12/20. Correspondence; Military Document. The National Archives, Kew, [[CO]] [[5/119]] Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_010>."
1771	CO 5/119 I	CO 5/119 I		Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras	 		"Admiralty Office; Lords of the Admiralty to The Earl of Hillsborough inclosing letters from Vice Admiral George Rodney relative to Logwood Cutters at the bay of Honduras. 1771/06/20-1771/12/20. Correspondence; Military Document. The National Archives, Kew, CO 5/119 Part 1. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_119_Part_1_010>."
1773	CO 5/120	CO 5/120		"Copy of the magistrates' letter to Don Joseph Rosado, commandant of Bacalar, on the ongoing grievance regarding reparations towards the Spanish, and a murder"	Davidson’s revolt	Maya assault	"Copy of the magistrates' letter to Don Joseph Rosado, commandant of Bacalar, on the ongoing grievance regarding reparations towards the Spanish, and a murder. 1773/08. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_013>."
1773	CO 5/120	CO 5/120		"Letter from the chairman of the Committee of Inhabitants of St George's Quay, on the shipwrecked 'Thetis' and the slave rebellion"	 		"Letter from the chairman of the Committee of Inhabitants of St George's Quay, on the shipwrecked 'Thetis' and the slave rebellion. 1773/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_053>."
1773	CO 5/120	CO 5/120		Mr Farrell's petition to the magistrates with their remarks	 		"Mr Farrell's petition to the magistrates with their remarks. 1773/03/20-1773/07/23. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_061>."
1773	CO 5/120	CO 5/120		Copy of a letter from the commandant of Bacalar to James Farrell and an inventory of effects saved from the 'Thetis' and sent to him	 		"Copy of a letter from the commandant of Bacalar to James Farrell and an inventory of effects saved from the 'Thetis' and sent to him. 1773/04/13-1773/07/23. Correspondence; List. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_063>."
1773	CO 5/120	CO 5/120		George Bridges Rodney on his dealing with a complaint regarding illicit trade on the Mississippi River	 		"George Bridges Rodney on his dealing with a complaint regarding illicit trade on the Mississippi River. 1773/04/14-1774/02/07. Correspondence; Minutes. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_010>."
1773	CO 5/120	CO 5/120		Petition to the magistrates of the Bay of Honduras and answer in relation to the shipwreck 'Thetis' and its salvage	 		"Petition to the magistrates of the Bay of Honduras and answer in relation to the shipwreck 'Thetis' and its salvage. 1773/04/22. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_060>."
1773	CO 5/120	CO 5/120		Correspondence from George Bridges Rodney on grievances with the Spanish over a shipwreck and the behaviour of settlers	 		"Correspondence from George Bridges Rodney on grievances with the Spanish over a shipwreck and the behaviour of settlers. 1773/05/01-1773/11/30. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_035>."
1773	CO 5/120	CO 5/120		Copy of an order to Captain Davey of the 'Diligence' for his conduct in the Bay of Honduras	 		"Copy of an order to Captain Davey of the 'Diligence' for his conduct in the Bay of Honduras. 1773/05/04. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_037>."
1773	CO 5/120	CO 5/120		"Copy of a letter to Antonio Oliver, captain general of Yucatan"	 		"Copy of a letter to Antonio Oliver, captain general of Yucatan. 1773/05/06. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_039>."
1773	CO 5/120	CO 5/120		Copy of a letter to Walter Davidson of the magistrates to be and was communicated to the inhabitants	 		"Copy of a letter to Walter Davidson of the magistrates to be and was communicated to the inhabitants. 1773/05/06. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_038>."
1773	CO 5/120	CO 5/120		Copy of three letters from Captain Davey to the inhabitants of St George's Quay	 		"Copy of three letters from Captain Davey to the inhabitants of St George's Quay. 1773/05/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_040>."
1773	CO 5/120	CO 5/120		Letters concerning the recovery of effects from the 'Thetis' and a slave insurrection	Thetis affair	Slave revolt	"Letters concerning the recovery of effects from the 'Thetis' and a slave insurrection. 1773/05/26-1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_042>."
1773	CO 5/120	CO 5/120		Resolutions of the inhabitants of St George's Quay in relation to the ship 'Thetis'	 		"Resolutions of the inhabitants of St George's Quay in relation to the ship 'Thetis'. 1773/05/26. Minutes. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_041>."
1773	CO 5/120	CO 5/120		Letter from Captain Davey of the 'Diligence' to the commandant of Bacalar on recovering the effects of the 'Thetis'	 		"Letter from Captain Davey of the 'Diligence' to the commandant of Bacalar on recovering the effects of the 'Thetis'. 1773/05/27. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_043>."
1773	CO 5/120	CO 5/120		Letter from Captain Davey to George Bridges Rodney	 		"Letter from Captain Davey to George Bridges Rodney. 1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_044>."
1773	CO 5/120	CO 5/120		"Letter from the chairman of the Committee of Inhabitants at St George's Quay, complaining of misrepresentation in regards to the settlers' behaviour"	 		"Letter from the chairman of the Committee of Inhabitants at St George's Quay, complaining of misrepresentation in regards to the settlers' behaviour. 1773/05/29. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_045>."
1773	CO 5/120	CO 5/120		Affidavit by Thomas Ross of the 'Charlotte' schooner regarding indigo which may have been illegally acquired	 		"Affidavit by Thomas Ross of the 'Charlotte' schooner regarding indigo which may have been illegally acquired. 1773/05/31. Legal Document. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_046>."
1773	CO 5/120	CO 5/120		Copy of the magistrates' letter to the commandant of Bacalar giving an account of a slave rebellion	Slave revolt		"Copy of the magistrates' letter to the commandant of Bacalar giving an account of a slave rebellion. 1773/06/4-1774/02/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_011>."
1773	CO 5/120	CO 5/120		Letter from Antonio Oliver to George Bridges Rodney regarding the effects taken from the shipwrecked 'Thetis'	 		"Letter from Antonio Oliver to George Bridges Rodney regarding the effects taken from the shipwrecked 'Thetis'. 1773/06/13. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_047>."
1773	CO 5/120	CO 5/120		Letter from the chairman of the Committee of Inhabitants at St George's Quay on the matter of the 'Thetis' and the settlers' behaviour	 		"Letter from the chairman of the Committee of Inhabitants at St George's Quay on the matter of the 'Thetis' and the settlers' behaviour. 1773/06/18. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_048>."
1773	CO 5/120	CO 5/120		Letter from Captain Davey with discussion of the slave rebellion	Slave revolt		"Letter from Captain Davey with discussion of the slave rebellion. 1773/06/21. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_049>."
1773	CO 5/120	CO 5/120		Letter by John Nasmith regarding conduct in relation to the shipwrecked 'Thetis'	 		"Letter by John Nasmith regarding conduct in relation to the shipwrecked 'Thetis'. 1773/06/22. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_050>."
1773	CO 5/120	CO 5/120		"Letters from messieurs Smith and Wright, inhabitants of St George's Quay on grievances with the Spanish"	 		"Letters from messieurs Smith and Wright, inhabitants of St George's Quay on grievances with the Spanish. 1773/06/24. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_051>."
1773	CO 5/120	CO 5/120		Questions from the Committee for Public Business and answers	 		"Questions from the Committee for Public Business and answers. 1773/07/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_057>."
1773	CO 5/120	CO 5/120		Affidavits taken in relation to the shipwrecked 'Thetis'	 		"Affidavits taken in relation to the shipwrecked 'Thetis'. 1773/07/23. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_059>."
1773	CO 5/120	CO 5/120		Memorandum by John Deane relating to the shipwrecked 'Thetis'	 		"Memorandum by John Deane relating to the shipwrecked 'Thetis'. 1773/07/23. Legal Document. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_058>."
1773	CO 5/120	CO 5/120		Certificate of John Alexander concerning the price of indigo	 		"Certificate of John Alexander concerning the price of indigo. 1773/07/24. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_062>."
1773	CO 5/120	CO 5/120		Copies of the governor and captain general's letter to the commandant of Bacalar and a translation of his response to the magistrates	 		"Copies of the governor and captain general's letter to the commandant of Bacalar and a translation of his response to the magistrates. 1773/07/26. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_012>."
1773	CO 5/120	CO 5/120		Copy of an order to Captain Judd of the 'Garland' to investigate complaints relating to the log wood treaty and slave rebellion	 		"Copy of an order to Captain Judd of the 'Garland' to investigate complaints relating to the log wood treaty and slave rebellion. 1773/08/08. Order. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_054>."
1773	CO 5/120	CO 5/120		"Copy of a letter to Richard Hoare by George Bridges Rodney, expressing dissatisfaction of his handling of affairs with the Spanish"	 		"Copy of a letter to Richard Hoare by George Bridges Rodney, expressing dissatisfaction of his handling of affairs with the Spanish. 1773/08/10. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_055>."
1773	CO 5/120	CO 5/120		"Copy of the proceedings relating to Don Francisco Casado's demand on one of the magistrates of the Bay of Honduras, regarding the shipwrecked 'Thetis'"	 		"Copy of the proceedings relating to Don Francisco Casado's demand on one of the magistrates of the Bay of Honduras, regarding the shipwrecked 'Thetis'. 1773/09/14-1773/09/15. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_017>."
1773	CO 5/120	CO 5/120		Copy of a letter from the chairman of the Committee of His Majesty's subjects in the Bay of Honduras	 		"Copy of a letter from the chairman of the Committee of His Majesty's subjects in the Bay of Honduras. 1773/09/25-1773/10/11. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_018>."
1773	CO 5/120	CO 5/120		"Copy of the petition of the magistrates and inhabitants of the Bay of Honduras to Sir George Bridges Rodney, protesting the Spanish"	 		"Copy of the petition of the magistrates and inhabitants of the Bay of Honduras to Sir George Bridges Rodney, protesting the Spanish. 1773/10/09. Petition. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_019>."
1773	CO 5/120	CO 5/120		Copy of a letter from James McAulay to Christopher Winn on the trial of a British subject	 		"Copy of a letter from James McAulay to Christopher Winn on the trial of a British subject. 1773/10/12. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_021>."
1773	CO 5/120	CO 5/120		"Copy of a letter from Walter Davidson, one of the magistrates in the Bay of Honduras, to Sir George Bridges Rodney"	 		"Copy of a letter from Walter Davidson, one of the magistrates in the Bay of Honduras, to Sir George Bridges Rodney. 1773/10/12. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_020>."
1773	CO 5/120	CO 5/120		"A copy of a letter from Captain Judd to Admiral Rodney, discussing whether the settlers are permitted to chop wood according to the treaty with the Spanish"	 		"A copy of a letter from Captain Judd to Admiral Rodney, discussing whether the settlers are permitted to chop wood according to the treaty with the Spanish. 1773/11/03. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_022>."
1773	CO 5/120	CO 5/120		Report from George Bridges Rodney on a suppressed slave rebellion and attempts to make reparations to the Spanish	Slave revolt		"Report from George Bridges Rodney on a suppressed slave rebellion and attempts to make reparations to the Spanish. 1773/11/06-1774/02/07. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_009>."
1774	CO 5/120	CO 5/120		Determination of the Committee concerning the salvage of the 'Thetis'	 		"Determination of the Committee concerning the salvage of the 'Thetis'. 1774/09/14. Correspondence. The National Archives, Kew, CO 5/120. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_120_016>."
1779	CO 5/117	CO 5/117		Memorial of Captain John Grant relating to acquiring granted funds for a journey to New York	 		"Memorial of Captain John Grant relating to acquiring granted funds for a journey to New York. 1779. Submission. The National Archives, Kew, CO 5/117. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_117_015>."
1779	CO 5/131	CO 5/131		"Letter sent to Lord Germain by Lords of the Admiralty, transmitting twelve enclosures relating to reports received from Vice Admiral Parker in Jamaica referring principally to French forces under the Comte D'Estaing"	 		"Letter sent to Lord Germain by Lords of the Admiralty, transmitting twelve enclosures relating to reports received from Vice Admiral Parker in Jamaica referring principally to French forces under the Comte D'Estaing. 1779/09/09-1780/01/14. Correspondence. The National Archives, Kew, CO 5/131. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_131_001>."
1779	G 12040	G 12040		London Gazette 12040	Siege of Omoa		https://www.thegazette.co.uk/London/issue/12040/page/1/data.htm
1799	G 15100	G 15100	69	London Gazette 15100	Battle of St. George’s Caye		https://www.thegazette.co.uk/London/issue/15100/page/69/data.htm
1800	CO 5/37 II	CO 5/37 II		"Correspondence of Office of Committee od Privy Council for Trade February, 1800 concerning trade at the Bay of Honduras"	Acts of Nav extended to Hon	Am embargo	"Correspondence of Office of Committee od Privy Council for Trade February, 1800 concerning trade at the Bay of Honduras. 1800/02/17. Order; Correspondence. The National Archives, Kew, CO 5/37, Part II. Colonial America. Web. February 15, 2021. <http://www.colonialamerica.amdigital.co.uk.ezp-prod1.hul.harvard.edu/Documents/Details/CO_5_37_Part_3_004>."
1823	HCP 457	HCP 457		"Correspondence relative to Condition and Treatment of Slaves at Honduras, 1820-23 "	Af Slavery		https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1823-008705/usgLogRstClick!!?accountid=11311
1823	CP 457	CP 457		"Correspondence relative to Condition and Treatment of Slaves at Honduras, 1820-23"	1820 Revolt		https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1823-008705?accountid=11311
1828	HCP 522	HCP 522		Report of Coms. of Legal Inquiry on Case of Indians at Honduras 	Mos Slavery		https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1828-011315/usgLogRstClick!!?accountid=11311
1830	HCP 583	HCP 583		Returns relating to Claims to Freedom by Descendants of Native Indians at Honduras	Mos Slavery		https://parlipapers-proquest-com.ezp-prod1.hul.harvard.edu/parlipapers/docview/t70.d75.1830-012069/usgLogRstClick!!?accountid=11311
1917	US 710.11	US 710.11		710.11. 15 Jan. 1917	 		"710.11. 15 Jan. 1917. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2t7. Accessed 17 Feb. 2021."
1931	US 710.11	US 710.11		710.11. 18 Dec. 1931	 		"710.11. 18 Dec. 1931. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB2y3. Accessed 17 Feb. 2021."
1932	US 710.11	US 710.11		710.11. 18 Mar. 1932	 		"710.11. 18 Mar. 1932. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB362. Accessed 17 Feb. 2021."
1932	US 812.111	US 812.111		"812.111. N.p., 26 Apr. 1932"	 		"812.111. N.p., 26 Apr. 1932. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB3C7. Accessed 17 Feb. 2021."
1934	US 812.79644A	US 812.79644A		812.79644A. 11 Aug. 1934	 		"812.79644A. 11 Aug. 1934. World Scholar: Latin America & the Caribbean, tinyurl.gale.com/tinyurl/DPB3J6. Accessed 17 Feb. 2021."
