T 1—15 / Pre-statistical estimates of trade, wealth, and the like.
ID	NO	TYPE	LOWER START	PERIOD	PUB	TALLY	FOR	TALLY	FOR			CF	VIA	NOTE	
T 9	9	E	1 Oct 1787	Oct 1787—1788	8 Sep 1790	"5,271,275"	pies superficiales de caoba	"1,766"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“una cuenta exactamente observada,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 10	10	E	1 Jan 1788	Jan—Dec 1788	8 Oct 1789	"5,500,000"	pies de caoba	"2,000"	toneladas de palo de tinta			"MEXICO,3108 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	Calderon 361	"El año pasado de [17]88 ... salieron para Jamaica y Europa como 50 embarcaciones mayores de 150 toneladas, y como 40 menores, cargadas todas con cinco millones y medio de pies de caoba (cada pie de caoba es un pedazo de madera de un pie de largo, otro de ancho y una pulgada de profundidad) y cerca de 2.000 toneladas de palo de tinte. /via Calderon 361 /MEXICO,3108 [L. Gálvez a A. Valdés, Mérida a 8 oct 1789]"	
T 11	11	E	1 Oct 1788	Oct 1788—1789	8 Sep 1790	"6,054,215"	pies superficiales de caoba	"2,462"	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“una cuenta exactamente observada,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 12	12	E	1 Jan 1789	Jan—Dec 1789	1 May 1790	"6,200,000"	pies de caoba					"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"EXTRACTO DEL DIARIO DE LLOBET EN BACALAR A 1-5-790. ... La caoba en el año pasado de [17]89 me aseguran ascendió su extracción dirigida a Jamaica y Europa a 6.200.000 pies ... y que en este año de [17]90 llevan ya remitidos a los mismos destinos 2.647.000. No comercian con otra nación que con la suya, pero no con sus colonos americanos, pues no quieren trato ni comunicación con ellos. /via Calderon 367"	
T 13	13	E	1 Oct 1789	Oct 1789—10 Apr 1790	8 Sep 1790	"1,897,000"	pies superficiales de caoba	940	toneladas de palo de tinta			"MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 8 sep 1790]"	Calderon 367	"“una cuenta exactamente observada,” in ESTADO DE LAS EXPORTACIONES BRITANICAS EN BELICE, EN MERIDA A 8-9-790, annexed to MEXICO,3023 item"	
T 14	14	E	1 Jan 1791	Jan—Dec 1791	25 Jul 1792	"3,908,000"	pies de caoba	"1,392"	toneladas de palo de Campeche y de mora			"MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]"	Calderon 393	"INFORME DE GUAL EN BACALAR A 25-7-792. [H]e deducido, que en el año próximo pasado [1791] salieron de los establecimientos para Inglaterra, y un pequeño número para Jamaica, 49 embarcaciones con 3.908.000 pies de caoba ... y 1.392 toneladas de palo de Campeche y de mora; desde 1 de enero hasta 15 de abril de este año [1792] 33 embarcaciones con 2.594.000 pies de caoba, y 810 toneladas de palo de Campeche y mora; ... /Calderon 393 /MEXICO,3025"	
T 15	15	Shops	1 Jul 1792	Jul 1792	25 Jul 1792	< 12.000	"interés de tiendas en la boca del Valis, en pesos fuertes"					"MEXICO,3025 [S. Bargas a C. Alange, Mérida a 7 dic 1792]"	Calderon 394	"INFORME DE GUAL EN BACALAR A 25-7-792. En la población de la boca del Valis que es la principal, sólo había 5 que pudieran llamarse tiendas, y dudo que el total interés de ellas ascienda a 12.000 pesos fuertes. Los efectos según buenos informes se reducían a alguna loza (pero no vajillas completas), caldos, lienzos, hierros de campo, y otras frioleras, para el uso y trabajo de los habitantes, ... /via Calderon 394 /MEXICO,3025"	
		E	1 Jan 1802	Jan—Dec 1802	3 Dec 1803	"> 12,000"	tons of shipping employed in Hon—GB trade	"18,000 t 20,000"	£ income to Hon fm Mahorany			ML B [3 Feb 1803]	Burdon 2 63	"Magistrates to Col Barrow. ... Pointing out that the value of the cargoes [of two ships, some of whose crews recently impressed by Capt Cotterell of HMS Stork] amouns to £20,000 and that the duty payable on the Mahogany on board is over £1,500: that at a moderate estimate the annual revenue from that single article is between £18,000 and £20,000, and that the quantities of British articles consumed and the shipping employed upward of 12,000 tons,—and the 2500 seamen to whom the trade gives employment ... /via Burdon 2 /ML B"	
		Expences	21 Mar 1808	Mar 1808–09	9 May 1808	"2,800"	J £ in expences					MM B [9 May 1808]	Burdon 2 118	"9 May 1808 Mag Mtg. Supposed Expenses for 1808. Public Office Accts Annually £600, Gun Boats repairs and ware and tare £1,200, Repairs of Public Bldgs £750, Ballast to be hove on the Public Ground and Bridge £100, Incidental for humane and charitable purposes £150, [Total] £2800 Jamaica Currency. /v Burdon 2 /MM B"	
		Sov Debt	6 Jan 1815	Jan 1815	6 Jan 1815	"10,000"	Pounds debt					MM B [9 Jan 1815]	Burdon 2 174	"6 Jan 1815 Sup to Pub Mtg. “... a Debt has been contracted to the Amount of nearly 10,000 Pounds, which in honour the Public is bound to liquidate ...” /v Burdon 2 /MM B"	
