C 1—47 / Event clusters.
ID	No	ALT ID	NAME	BEG	END	FT	FT	DESCRIPTION	PRESS	CF	VIA	NOTE	
C 14	14	Hos 3	Salcedo Siege	10 Mar 1734	30 Jun 1741	Sp	 	"Yucatan lay siege on Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet, and Baymen, at times with Amerindian allies, engage"	Read’s Weekly Journal or British Gazetteer 375 p3			"Extract of a Letter from Campeche, dated 24 Nov 1731. As to the State of the Bay of Honduras, I shall give it you as briefly as possible. The ancient City of Bacalar, situate in that Part of the Province of Yucatan, which lies on the Bay of Honduras, was twice sack'd, and at last totally ruined by the English many Years ago; on which the Logwood-Cutters of that nation, who had settled on the River of Valis, possessed themselves of the new River and that of Hondo; which last is distant form the Ruins of Bacalar about five Leagues. Here they built a great many Houses and Hutts, and employ'd Multitudes of Negroes in cutting Logwood, which was transported to Jamaica and Europe by Numbers of Vessels trading form thence to the Bay. But our present [Sp] Governor, who is a Field-Marshal, and an old Officer, having resolv'd to rebuild and fortify Bacalar, after it had lain in Ruins for a long time, thereby to hinder the English from cutting Wood in those Parts, went thither in Person, and accomplished his Design; And thereafer with the Forces he carried with him from Campeche, and other he drew together from the Lake of Bacalar, he attacked the New Settlements of the English on these two last mentioned Rivers, burnt their Habitations, seiz'd all their Instruments for cutting Wood, and other Craft for carrying on their Trade, and the Year following served their Settlement on the River of Valis n the same Manner: So that in the Space of two Years, it is computed, he has taken about 140 Vessels of one sort or other, burnt upwards of 300,000 Quintals of Logwood, ready cut and piled upon the Shore, and made a great many of the English and their Negroes Prisoners. Upon this such as had escaped into the Woods came to this Resolution: They wrote to the Governor in June last, acquainting his Excellency, that they were wiling to abandon these Places and begg'd of him that he would allow them Time to transport themselves tot he Colonies of Great Britain; which he agreed to, and gave them to the last Day of January next for that Purpose: And this Agreement they have so far fulfilled, that at present by th east Accounts there scarce now remains in all those Parts 30 Persons, and these under such Hardships, that they wish for nothing more, than an Opportunity to be gone. This is the present Condition of the Bay of Honduras, which in all probability must continue, our Governor being resolved to protect the Trade, and defend the Possessions, which his Catholick Majesty has been pleased to commit to his Care and Government. /RWJBG 375"	
C 15	15	Ill 1	Diphtheria	1 Jun 1737	30 Dec 1737	 	 	Epidemic among Baymen and Fleet					
C 16	16	War 4	Jenkins' Ear	22 Oct 1739	18 Oct 1748	Sp	 	Great Britain declares war on Spain			Sorsby 15	"Directive to ""commit all Sorts of Hostilities against the Spaniards"" in WI issued 19 Jul 1739 /via Sorsby 15 /SP 94/248 f 88
King Philip V [of Sp] orders operations ""to dislodge and exterminate these Indians [the Mosquitos] and the English and other foreigners who sustain them"" on 30 Aug 1739 /via Sorsby 15 /GUATEMALA,391 [Corona a Ribera a 30 ago 1739]"	
C 17	17	Hos 4	Bazán y Molina Siege	1 Mar 1744	30 Jun 1761	Sp	 	"Yucatan lay siege to Settlement / Cuba, Guatemala and Yucatan launch xxx military campaigns against Settlement / Fleet and Baymen, possibly with Amerindian allies, engage"					
C 18	18	Ill 2	Malaria	7 Mar 1750	30 Sep 1750	 	 	Epidemic among Baymen					
C 19	19	Ill 3	Measles	1 Nov 1751	30 May 1752	 	 	Epidemic among Baymen and Fleet					
C 20	20	War 5	Seven Years’	5 May 1762	10 Feb 1763	Sp	Fr	Great Britain declares war on Spain					
C 21	21	Crs 5	Estenoz Prohibition	23 Dec 1763	5 Mar 1765	Sp	 	Yucatan prohibits logging along northern rivers				"[G]overnor of Yucatan and the commandant of Baccalar, interrupted their [Baymen's] trade in general, by requiring them to produce a regular licence, either from their own sovereign, or rom the king of Spain. This interruption was followed by the expulsion of the settlers from those points of the coast which were considered as beyond the limits assigned in the recent treaty [of Paris 1763]. They were commanded to retire from Rio Hondo within the space of two months; they were confined to the south bank of Rio Nuevo; and both at Rio Nuevo and Rio Wallis, they were restricted from ascending to the distance of more than twenty leagues from the sea. By these aggressions, more than five hundred settlers were driven from their habitations, with the loss of their property, amounting to above £27,000 sterling. /v Coxe v 4 316 /Lord Auckland's Collections [MS. Remarks on the article of the treaty of 1763, relating to the settlements in the bay of Mexico, by a british settler] = BL Add MS xxx"	
C 22	22	Crs 1	Alien Logging	1 Jan 1765	30 Dec 1770	 	Du Fr	Alien loggers saturate Settlement					
C 23	23	Crs 6	Logwood Exhaustion	1 Jun 1765	30 Nov 1766	 	 	Logwood becomes significantly scarce				Possibly started in 1763 /v Finamore 35 /v Burdon 1 183 /BL Add MS 34903 [Dyer to Lordship 12 Feb 1790]	
C 24	24	Rev 1	Cook’s	1 Aug 1765	30 Sep 1765	 	 	"Mr. Cook’s slaves lead revolt / Revolters lay siege to New River / British Army, Fleet and Baymen engage"					
C 25	25	Crs 2	Zayas Asylum	1 Jan 1766	30 Dec 1771	Sp	 	Yucatan offers asylum to Settlement slaves			Bolland 75 158	"See Guat asylum 1800, ESTADO,49,N.74 / ESTADO,49,N.92 / ESTADO,49,N.107
See Yuc asylum 1802 ESTADO,35,N.46"	
C 		Crs 23	Logwood Crash	1 Jan 1767	30 Dec 1771			Logwood prices crash			Bowett 156		
C 26	26	Hos 8	Zayas Siege	1 Mar 1767	23 Aug 1773	Sp	 	Yucatan lay siege to Settlement / Yucatan launch at least 2 military or paramilitary campaigns against Settlement / Fleet and Baymen engage				Yucatan is assumed.	
C 27	27	Hos 12	Naismith Raid	25 Jul 1767	25 Jul 1767	 	Ai	Amerindian assault or raid Settlement					
C 		Crs 22		1 Jan 1768	30 Dec 1771			Civil unrest / xxx					
C 28	28	Nat 1	Great Famine	1 Jun 1771	30 Apr 1772	 	 	Amerindians seek refuge in Settlement / Provisions become significantly scarce					
C 29	29	Rev 2	Davidson’s	28 May 1773	30 Sep 1773	Sp	 	"Mr. Davidson’s slaves, with Spanish allies, lead revolt / Royal Navy, Fleet and Baymen engage"			Bolland 75 153		
C 30	30	Hos 10	Arms Raids	1 Sep 1773	30 Nov 1773	 	Ai	Amerindian assault or raid Settlement					
C 31	31	War 6	American Revolution	19 Apr 1775	3 Sep 1783	Sp	Am Fr	"America, Spain declare war on Great Britain / American Royalists seek refuge in Settlement / Americans sack Settlement / Yucatan launch 1 military campaign against Settlement / Royal Navy, British Army, Baymen, Shoremen and Amerindian allies engage"					
C 32	32	Nat 2		1 Dec 1784	30 Nov 1785	 	 	Severe wet season / Epidemic among Baymen					
C 33	33	Hur 1		20 Aug 1785	20 Aug 1785			Unnamed hurricane strikes Hon					
C 34	34	Rev 3	Old River	1 Jun 1786	30 Jul 1786	 	 	Slaves lead revolt / xxx					
C 35	35	Crs 4	Despard Affair	1 Jun 1787	30 May 1791	Sp		Shoremen evacuated to Settlement / Civil unrest / Constitutional crisis / Market destabilised	"Independent Journal NYC NY 295 p2
Independent Journal NYC NY 311 p2
New-York Journal 2091 p2"	"MEXICO,3109 [L. Gálvez a Valdés, Mérida a 8 jun 1790]
MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	"Calderon 368 no 18 img 984
Calderon 384 img 1020
Bolland 75 p69"	"DIARIO DE D. RAFAEL LLOBET, BACALAR A 3-12-790. Día 23.--Fuí a comer en casa de Mr. Francisco O'Brien, llegué antes que los convidados y entre otras cosas dijo: que la conducta de D. Juan Bautista Gual era lo que tenía al Coronel Despard en muy mal estado; le respondí, me alegrara tener yo una conducta irreprensible como la de Gual, y arguyó que D. Juan Bautista Gual nunca debió haberles cortado los plátanos ni menos el dicho coronel haber convenido en ello, pues todo lo que no determinaba prohibido la Convención era concedido; ... /via Calderon 384 img 1020 /MEXICO,3023 [L. Gálvez a C. Alange, Mérida a 16 dic 1790]"	
C 36	36	Hur 2		2 Sep 1787	2 Sep 1787			Unnamed hurricane strikes Hon					
C 37	37	Ill 4	Measles	1 Feb 1788	30 Aug 1788	 	 	Epidemic among Baymen					
C 38	38	War 7	French Revolution	20 Apr 1792	27 Mar 1802	Sp	Fr	"Great Britain declares war on Spain / Yucatan launch 1 military campaign against Settlement / Royal Navy, Fleet and Baymen engage"				"See runaways to Yuc, and logging prohibition at Hondo, New ESTADO,35,N.46 / Piracy fm Hon ESTADO,35,N.47"	
C 39	39	Nat 3		1 Nov 1792	30 Nov 1792	 	 	Severe wet season / Severe flooding of Belize Town					
C 40	40	Hos 11		1 Nov 1793	30 Nov 1793	 	Ai	Amerindian assault or raid Settlement / Baymen engage					
C 41	41	Ill 5	Yellow fever	29 Sep 1797	30 Dec 1797	 	 	Epidemic among Irish Brigade					
C 		Tcl 8		1 Apr 1802	8 May 1802			Fire in Belize Town					
C 42	42	War 8	Napoleonic	18 May 1803	20 Nov 1815	Sp	Fr	"UK declares war on France, Spain"				"See Yuc offensive plans ESTADO,35,N.89 / ESTADO,35,N.90"	
C 43	43	Hur 3		28 Aug 1805	28 Aug 1805			Unnamed hurricane strikes Hon					
C 		Tcl 9		18 Jul 1806	18 Jul 1806			Fire in Belize Town					
C 44	44	War 11	Spanish-American Revolution	25 Sep 1808	29 Sep 1833	Sp	 	Civil unrest / xxx				"See, possibly, stoppage in provisions fm Bacalar ESTADO,40,N.61 / and piracy, navigation treaty with Guat ESTADO,96,Exp.6"	
C 45	45	War 9		18 Jun 1812	17 Feb 1815	 	Am	UK declares war on US					
C 46	46	Rev 4	New River	1 Jan 1813		 	 	Slaves lead revolt / xxx					
C 47	47	Rev 5	Will & Sharper’s	1 Apr 1820		 	 	Messrs. Will and Shaper lead revolt / xxx					
C 		Ill 6	Poyais	1 May 1823	30 May 1823			Epidemic among victims of Poyais Scheme					
C 		Hos 21	Jeykill Massacre	31 Mar 1824	31 Mar 1824		Bu	Pirates massacre crew of Mr. Jeykill’s schooner					
C 		Crs 7	Mahogany Depression	1 Jan 1827	30 Dec 1834			Depression in mahogany prices					
C 		Ill 7	Yellow fever	1 Aug 1830	30 Aug 1830			Epidemic among HMS Blossom					
C 		Ill 8	Cholera	1 Aug 1836	30 Sep 1836			Epidemic among former slaves from Havana					
C 		War 15	Caste	30 Jul 1847		Sp	Ma	Maya wage war on Yucatan			Bolland 75 252	"See Hon involvement in Ma slave trade ULTRAMAR,4642,Exp.2 / Sp aid with Ma attacks in Hon ULTRAMAR,4708,Exp.12"	
C 		Crs 8	xxx	2 Feb 1851				Refugees from xxx					
C 		Nat 4		31 Oct 1852	31 Oct 1852			Severe wet season / Severe flooding of Belize Town					
C 		Ill 9	Cholera	1 Jan 1854	30 Jan 1854			Epidemic among residents					
C 		Tcl 1	Diseldorff Fire	13 Aug 1854	13 Aug 1854			Fire in Belize Town					
C 		Tcl 2	Ambrister Fire	17 Jul 1856	17 Jul 1856			Fire in Belize Town					
C 		Ill 10	Smallpox	1 May 1857	20 May 1857			Epidemic among residents					
C 		Crs 9	Mahogany Collapse	1 Jun 1859	30 Jun 1859			Collapse of leading mahogany firms in Hon					
C 		Ill 11	Yellow fever	1 Feb 1860	28 Feb 1860			Epidemic among residents					
C 		Tcl 3	Mango Fire	10 Mar 1863	10 Mar 1863			Fire in Belize Town					
C 		Crs 10	WIR Riots	13 Aug 1863	13 Aug 1863			WIR soldiers riot 					
C 		Nat 5		15 Sep 1864	15 Sep 1864			Severe wet season / Severe flooding of Belize Town					
C 		Ill 12	Yellow fever	1 Jun 1865	30 Jun 1865			Epidemic among Chinese immigrants					
C 		Ill 13	Cholera	1 Dec 1867	30 Dec 1867			Epidemic among residents					
C 		Ill 14	Yellow fever	1 Aug 1869	30 Aug 1869			Epidemic among residents					
C 		Hos 22	Omoa Imprisonment	28 Jul 1873	28 Jul 1873	Sp		Sp Hon imprisons 2 residents of Sapodilla Cayes					
C 		Crs 11	Long Depression	1 Sep 1873	30 Jul 1880			Depression in export trade					
C 		Ill 15	Malaria	1 Dec 1874	30 Dec 1874			Epidemic among Caste refugees					
C 		Crs 12	Totoposte Refugees	1 Jun 1890				Refugees from Totopose Wars in Sp CA					
C 		Crs 13	Silver Crisis	1 Jul 1891	30 Dec 1894			Depression and instability in silver market					
C 		Crs 14	Constabulary Riots	1 Nov 1894	30 Nov 1894			Constables and loggers riot					
C 		Crs 15	Short Depression	1 Dec 1901	30 Dec 1902			Depression in export trade					
C 		Ill 16	Yellow fever	1 Jan 1905	30 Jan 1905			Epidemic among residents					
C 		Nat 6		1 Mar 1907	30 Mar 1908			Sever dry season / Severe drought in Belize Town					
C 		Ill 17	TB	1 May 1910	30 May 1910			Epidemic among residents					
C 		War 16	WWI	28 Jul 1914	11 Nov 1918								
C 		Tcl 4	Great Fire	17 Aug 1918	17 Aug 1918			Fire in Belize Town					
C 		Ill 18	Spanish flu	1 Oct 1918				Epidemic among residents					
C 		Crs 16	Ex-Servicemen’s Riots	22 Jul 1919	22 Jul 1919			Former servicemen of WWI riot					
C 		Ill 19	Yellow fever	24 Aug 1921				Epidemic among SJC					
C 		Crs 17	Great Depression	4 Sep 1924				Depression in export trade					
C 		Tcl 5		13 Sep 1931	13 Sep 1931			Fire in Belize Town					
C 		Tcl 6		17 Apr 1932	17 Apr 1932			Fire in Belize Town					
C 		War 17	WWII	1 Sep 1939	2 Sep 1945								
C 		Crs 18	Sterling Crisis	18 Sep 1949				Devaluation of Sterling Pound					
C 		Tcl 7	Artist’s Fire	5 Oct 1953	5 Oct 1953			Fire in Belize Town					
C 		Ill 20	Gastroenteritis	1 Jan 1958	30 Dec 1958			Epidemic among residents					
C 		Hos 23	Guatemalan Hostilities	21 Jan 1958		Sp		Guatemala xxx					
C 		Hos 24	Chewing Gum / Watermelon War	6 Nov 1975	8 Jul 1977	Sp		Guatemala xxx					
C 		Crs 19	Salvadoran Wave	15 Oct 1979				Refugees from Salvadoran Civil War					
C 		Crs 20	Heads of Agreement Crisis	3 Apr 1981	3 Apr 1981			Riots					
C 		Crs 21	Crime Wave	1 Jan 1983				Organised crime					
C 		Ill 21	HIV / AIDS	1 Dec 1986				Epidemic among residents					
C 													
C 													
