Table 1
	CODE	SERIAL	LOC	ARTICLE	YEAR	LOC DATE	URL	URL	PARA EXTRACT	NOTE	
	See “Amsterdam den 12 April” in no 15 for 13 April 1669 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 15 for 13 April 1669 p 2 	Amsterdam den 12 April	1669	12 Apr 1669	https://resolver.kb.nl/resolve?urn=MMNHA02:164941044:mpeg21:a00006	^^^	"Amsterdam den 12 April. Van den Inval der Fransse in de Honduras heest men niet naeder. Van Livorno heest men, dat aldaer een Schip van Tripoli was aengekomen, met bericht, dat die van Tripoli vast besig waren huyten een Fort op te warpen tegens de Moren, en dat daer toe alke de Christen Slaven uyt de Stadt mede genomen hadden: Van den toestant van Candia was daer geen naeder Tydinge; dan het Schip de St. Nicolaes was van Alessandria daer aengekomen; entot Napels het Engels OOrlogh schip, dat den Engelssen Amassadeur had overgebracht nae Constantinopolen."	news or further news not received in Amsterdam of Fr raid in Hon	
	"See “Parijs den 5 September” in no 37 for 13 Sep 1670 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003, https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003] /"	Oprechte Haerlemsche Courant	no 37 for 13 Sep 1670 pp 1-2 	Parijs den 5 September	1670	5 Sep 1670	https://resolver.kb.nl/resolve?urn=MMNHA02:164941264:mpeg21:a00003	https://resolver.kb.nl/resolve?urn=ddd:010926947:mpeg21:a0003	"Prijs den 5 September. Den Heer den Dauphijn te naesten by gebetert zijnde van sijne derdendeagse Koorts, soude de Reyse van sijn Majest. nae Chambor op den 25 deser zijn vast gestelt, met intentie, soo 't Weer bequaem blijst, omtrent een Maent uyt te blijven. Den Heere de Groot quam Saterdagh laetst hier binnem, soo van de Fatigues van de Reyse, als een Desluctie op 't Been, wat geincommodeert, waer van sedert vry gebetert is. Den Hartogh van Lottharingen hout men nu seeckerlijck, dat nae Homburgh, en verder Duytslandt in is geretireert: hy heest herwaerts een geheel Packet met Brieven gesonden; maer die zijn afgewesen, alsoo van een Persoon wierden ghebrecht, die geen ander qualiteyt als een Courier hadde, en daerom men hier difficulteerde die Brieven eenig credijt te geven: Ondertusschen hout men, dar des Conings Tronpen in 't Hartogdom van Lottharingen in de Winter-quartieren sullen werden geleyt; ghelijck men dan Tydinge heest, dat de 15 a 16000 Mannen, die in 't Fort St. Sebastiaen geweest hebben, behalven eenige, die nae de Nederlandtse Frontieren zijn, Gisteren van Reyms souden opgebroocken zijn nae Menchon, en soo na Lottharingen, omme sig te conjungeeren met de Troupen onder Monsr. de Fourille, die nu meester van Lottharingen zijn: men geest hier gestadigh voor, dit alleen te geschieden voor den wettigen Ersgenaem of immer, sonder dat men sigh het Hartoghdom wil toe eygenen. Aenstaende Weeck sal den Heer Hartogh van Buckingham eerst sijn afscheyt van den Coningh nemen. Daer is hier een considerable Tydinge over Spangie, namentlijk, dat de Gouvernours van St. Cruz [start p 2] en Suza het gantse Leget van den Tassiler souden hebben geslagen, zijnde wel 140000 Man sterck geweest, en dat wel sijn vorder Volck hadde op ontboden, maer weynigh gekomen waren; dan dese Tydinge is soo onseecker, als die over deselve wegh komen, dat de Fransse sigh in de Honduras souden hebben gaen neerslaen."	translation uncertain as of 28 JUL 2022 possibly news or further news of Fr in Hon	
	See “Londen den 28 Iuly” in no 31 for 4 Aug 1671 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004] /	Oprechte Haerlemsche Courant	no 31 for 4 Aug 1671 p 1 	Londen den 28 Iuly	1671	28 Jul 1671	https://resolver.kb.nl/resolve?urn=MMNHA02:164942093:mpeg21:a00004	^^^	"Londen den 28 Iuly. Voor 't vert[ill]eck van sijn Majest: van Windsor waren de Depeches vervaerdight voor Sr. Henry Coventry, gaende in extraordinaris Amassade nae Sweden. Sr. John Finch, sijn Majesteyts laetste Resident tot Florencen, is behouden hier gearriveert. Op den 23 deser, 's Middags, is sijn Majest: tot Portsmuyden ghekomen, alwaer dien Nacht verbleef: des Anderen-daeghs, op Vrydagh, begaf sigh met sijn Coninglijcke Hoogheydt aen Boort van 't nieuwe Jacht, dat aldaer gebouwt is, en vertrocken daer mede nae 't Eylandt Wicht, alwaer Vrydagh Nacht verbleven; en op Saterdagh, 's Morgens ten 6 uren, keerden te rugge by de Vloot, die aen St. Heleens Poinct lagh, als wanneer de Windt goet zijnde, is sijn Majest: met deselve tzeyl gegaen nae Pleymuyden, blyvende de Gagagie tot Portsmuyden, afwachtende sijn Majesteyts te ruggekomst, 't welck op Donderdagh of Vrydagh aenstaende sal wesen. Daer is Advijs van Alicanten, dat de Mary, hebbende geweest voor Algiers, Advijs bracht, dat de Roovers daer drie Kettingen hadden gehangen en verscheyde Stucken geplant; doch dat alleen 3 Schepen binnen waren; maer dat noch 5 andere van 40 tot 50 Stucken besigh waren te bouwen, soo drae sy 't Hout van Buggia, daer 't selve was, souden konnen krijgen. De Spaensse waren noch seer gealarmeert, over 't innemen van Panama: en hadden Advijs, dat 2000 Fransse Familien nae de Honduras quamen, omme haer daer neer te slaen. Men heeft hier dagelijckx Tydinge van de groote Wervinge, die Vranckrijck op nieu aenstelt: en verwacht men van daer iets bysonders te vernemen, soo drae de 2 Expressen, d'een van Weenen en d'andere van Madrid, sullen te rugge gekomen zijn. Den Coningh werdt hier in de aen staende Weeck te rugge verwacht, werdende vermoot of wel directe van Pleymuyen mocht herwaerts komen."	translation uncertain as of 28 JUL 2022 possibly news or further news of Fr in Hon	
	See “Amsterdam den 17 April” in no 16 for 18 April 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008] /	Oprechte Haerlemsche Courant	no 16 for 18 April 1673 p 2 	Amsterdam den 17 April	1673	17 Apr 1673	https://resolver.kb.nl/resolve?urn=ddd:010680289:mpeg21:a0008	^^^	"Amsterdam den 17 April. 't Parlament in Engelandt is gescheyden tot in October, als wanneer over de Acte van 't Geldt noch nader Besoignes konden vallen: anders was't daer stil; dan d'Equipagie wierdt stercker voortgeset als voorheen. De Avonturier Adriaen Adriaensz. heest inde Coronjes op-ghebracht 't Engels Schip den Spediteur van Iamaica, met Campechi-hout, Suycker Consenielje en Indigo. Van Bilboa is tydingh van een kleyn Fregatje, dat daer vyf Prysen op-gebracht had. D'Equipagie wert hier wel gevordert. De Schepen van Hamborgh en Bremen zijn binnen. Zijn Hoogheyt is op Vrydagh avont in Zeelandt gearr veert."	Adriaen Adriaensz[oon] from ^^^ to Amsterdam with Eng prize Spediteur of Jamaica loaded with logwood	
	See “Londen den 2 Mey” in no 19 for 9 May 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002] /	Oprechte Haerlemsche Courant	no 19 for 9 May 1673 p 1 	Londen den 2 Mey	1673	2 May 1673	https://resolver.kb.nl/resolve?urn=ddd:010927878:mpeg21:a0002	^^^	"Londen den 2 Mey. De principaelste en meeste Officiersvan sijn Majesteyts Huys-houdinge hebben, ingevolge vandelaetsteActe van 't Parlament, den aenbevoolen Eedt gedaen in 't Hof van de Cancelery en des Coninghs Banck, en de rest komt dagelijckx aen. Den Grooten Cancelier, met die aen hem hooren, hebben deselve in des Coninghs Banck op den 28 passato efgeleyt. Op den 30 heeft den Prince Robbert met verscheyde van sijne Hooft-Officiershet Nachtmael gehouden tot St. Martins. De Brievenuyt het Noorden spreecken van verscheyde Kapers; maer men heeft niet vernomen, dat eenige bysondere schade hebben gedaen. Op den 26 is een Schip, tot Londen thuys hoorende, en gelaeden met Fruyten van Faro, aengerant van een Fransse Chaloupvan Calais, die't selveheeft geplondert van Geldt en Klederen; welcke sy aenbiedende te verkoopen tot Hosting, is door dat middel ontdeckt, het Schip gesaiseert, en 't Volck verseeckert, omme te recht gestelt te werden. Op den 27 dito heeft Capit. Shelley, commandeerende den Diamant, in Duyns gebracht een Engelsse Kits, met Orangie-Appelenen Limoenen, 't welck hernomen had van een Duytse Caper, die een wylehadnae-gejaegt, maer niet konnen achterhalen. Dese Morgen is den Coningh, sijn Coninglijcke Hoogheydt en den Prince Robbert nae beneden de Revier getrocken, omme te sien, hoe vaerdigh de Vloot is, en werdt sijn Majesteyt op Donderdagh wederte ruggeverwcht. Onse Plenipotentiarissen hebben aen haer Edelen, die haer sullen versellen, laeten weten, dat op Donderdagnaest meynente vertrecken. De Brieven van Iamaica berichten, dat door een Orcaen 4 a 5 Schepen in de Baey van Campechi waeren gebleven; en dat die soo vihement aen de Kust van Cuba was geweest, dat een gedeelte van de Stadt van de Havana was geruineert, verscheyde van de Inwoonders verdroncken, en de Contreye in een miserable staet. Op heden heeft den Grave van Angleses ontfangen het secrete Zegel. De Stilstant van Wapenen met de Hollanders, laetst hier aengeboden, is afgeslagen. [new para] Londen den 2 Mey. Hier zijn Brieven van Lissabon van een seer goede handt, die melden, hoe dat seker Frans Oorlogh-schip, ophebbende 120 Man, komende van Goa, op de Kust van Portugael was gebleven, waervan 90 Personen waren geberght en de rest verdroncken: dese gesalveerde Fransse brengen Tydinge, hoe dat sy van Goakomende aen het Eylandt St. Helena ware aengeweest, om te ververschen; maer soo haest hadden sy hun Ancker niet laten vallen, of hadden vernomen 5 kloecke Schepen, op hebbende Fransse Vlaggen, waer van de 4 op hem af quamen; de Fransse vermoedende dat het Hollanders waren, hadden hun Ancker gekapt en waren deurgegaen, als wanmeer de 4 gemelde Schepen, haer eenige Mylenvervolght hebbende, hem eyndelingh verlieten. Soo aenstonts komt op dese Revier noch een ander Schip van Lissabon in 20 dagen geseylt, mede brengende 2 Fransse Matrosen, die geaboucheert hebben metdegesalveerde Franse bovengemelt, ende confirmeren dese Tydinge van 't gepasseerde aen't Eylandt St. Heleen, dat ons doet geloven, dat de Duytsemeester van dat Eylant zijn moeten; waer uyt dan groote vreese ontstaet nopende onse verwachte Oost Indische Retour-schepen dat deselve wel in hun handen vallen mochten, of by gebreck van Verversinge komen te vergaen."	Letters from Jamaica to London report hurricane leaves 4 or 5 [Eng?] ships [stranded?] in Campeachy	
	"See “De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam” in no 38 for 19 Sep 1673 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007, https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008] /"	Oprechte Haerlemsche Courant	no 38 for 19 Sep 1673 p 2 	De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam	1673	19 Sep 1673	https://resolver.kb.nl/resolve?urn=MMNHA02:164943112:mpeg21:a00008	https://resolver.kb.nl/resolve?urn=ddd:010927091:mpeg21:a0007	"De Ed: Mog: Heeren Raden ter Admiraliteyt tot Amsterdam sullen op Donderdagh den 21 deser, Na-middaghs ten 4 uren, aen de meest-biedende verkoopen in 't oude Heeren Logement een party Caribisse Suyckeren, 52 Vaten Virgini Tabackx-Bladen en 50000 pont Campechi-hout, leggende op de oude Heeren Gracht, omtrent de Blaeuwe Burgwal."	Advertisement of upcoming sale of logwood in publication city	
	"See ""Rochel den 11 November” in 47 for 25 Nov 1673 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002] /"	Oprechte Haerlemsche Courant	47 for 25 Nov 1673 p 1 	Rochel den 11 November	1673	11 Nov 1673	https://resolver.kb.nl/resolve?urn=ddd:010680165:mpeg21:a0002	^^^	"Rochel den 11 November. Over 8 dagen is hier gearriveert van Curacao een Galjoot met Ree-Zeylen, genaemt de Liefde, daer Schipper op was Adriaen Goosz., den 9 Mey van Amsterdam vertrocken nae Curacao met 9 a 11 Man, aldaer gelaeden hebbende Campechi-hout, Catoen, Suycker en Syde Waren, &c.. zijn van daer vertrocken, om wederom na Hollandt te gaen, hadden 4 Persoonen mede genomen door ordre van den Gouverneur, die door den Heer Evertsz. genomen waren, met een Schip de Sout-Ketel van Bordeaux; dese 4 Persoonen waeren 2 Fransse, een Piloot en een Chirurgijn, een Engelsman en een Italiaen: in Zee zijnde, hebben den Schipper met noch 3 a 4 Man om hals gebracht, en d'andere Matroosen, onder zijnde en overmant waeren, vraegden om Quartier, en sijn in de Sloep geset, met wat Provisie en een Compas, om ergens aen Landt te mogen komen, en soo is het Galjoot hier gekomen, met die 4 Man en een Jongen, die op 't Galjoot was: dit is een deerlijcke faeck, en noyt gehoorde Wreetheyt: de Ladinge van 't Galjoot wert wel op 20000 Kroonen ge-estimeert."	"Dutch ship Love loaded with logwood reaches Rochel from Curacao, had been destined to Amsterdam but Eng-Fr passengers or prisoners mutinied and changed course"	
	See “Madrid den 6 Juny” in no 26 for 26 June 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002] /	Oprechte Haerlemsche Courant	no 26 for 26 June 1674 p 1 	Cadix den 27 Mey	1674	27 May 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943232:mpeg21:a00002	^^^	"Cadix den 27 Mey. Den 23 deser is hier wel gearriveert 't Advys uyt Nova Spangie, in 18 dagen tot de Havane, en van daer in dese Baey in 44 dagen: de Vloot arriveerden tot Vera Cruz den 27 September, en soo haest geanckert was, maeckte 4 dagen langh soo hart Tempeest als oyt gesien: kort nae 't arrivement is gestorven den Bisschp de la Puebla, den principalen Persoon naer den Viceroy, dese wiert met alle Solemniteyten ingehaelt, zijnde den Duc de Veraguas; hy bleef 15 dagen in 't Casteel St. Jan en 8 in Vera Cruz; daer nae vertrock nae Mexico, alwaer als Viceroy ontsangen wiert den 8 December. 5 Dagen daer nae, zijnde den 13 dito, is den Viceroy Duc de Veraguas van een seer subijt Accident overleden, in sijn plaets gouverneert den Aerts-Bisschop van Mexico, door de Doodt mede van den Bisschop de la Puebla, die de tweede Persoon was wegens de Staet van 't Lant. Van Vera Cruz schrijft men, dat men daer so groten Tempeest heeft gehad, als in lange Jaren niet geweest was: een Fluyt Schip van Campechi met Hout van daer is gebleven, mede 't Schip van Don Matthias Trogesso, van daer uytgelopen nae de Havane, wiert van de Noorden Windt gedreven tot de Laguna de Terminos, by Campeche, alwaer verlooren is gegaen met eenig Volck. Van de Spaensse zijn hier 10 Schepen gereet, om Volck en Amonitie na Barcelona te brengen."	"fleet from Vera Cruz to Cadiz with news of great tempest there forcing a Sp ship with logwood to remain in port, and stranding ship of Matthias Trogesso in Terminos [fleet reached Vera Cruz on 27 Sept 1673 and Cadiz on 23 Dec 1673]"	
	See “Vlissingen den 4 July” in no 28 for 10 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 28 for 10 July 1674 p 2 	Vlissingen den 4 July	1674	4 Jul 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943238:mpeg21:a00006	^^^	"Vlissingen den 4 July. Den 2 deser is alhier gearriveart Capiteyn Cornelis Clement, voerende een Fregatje, genaemt den Eenhoorn, ter Kaep, mede brengende een Pynas-Scheepje, willende nae Terra-Neuf, met Sout en ledige Fustagie. Insgelijckx is Gisteren gearriveert Capiteyn Cornelis Evertsz. met sijn by hebbende Schepen, te weten, een Brander, 3 Pynas Schepen en een Fluyt, met Virginie Taback, item een Pynas-Schip, met Suycker en Campechi-hout geladen, alle by hem, in Compagnie met de Schepen van Amsterdam, in Zee verovert. Van 's Landts Vloot hebben wy in eenige da gen niets vernomen."	Cornelis Evertsz[oon] from ^^^ to Flushing brings [Sp?] prize ships with logwood seized at sea	
	See “Vlissingen den 18 July” in no 30 for 24 July 1674 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006] /	Oprechte Haerlemsche Courant	no 30 for 24 July 1674 p 2 	Vlissingen den 18 July	1674	18 Jul 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943244:mpeg21:a00006	^^^	"Vlissingen den 18 July. Den 14 is gearriveert Capiteyn Pieter de Vos, voerende een kleyn Snauwtje, genaemt Carolus Secondus, nu laetst over 6 a 8 Weecken van Oostende uyt gelopen, alwaer heeft opgebracht en gelaten[ill]t wee [gelaten 't wee] Prysjes, het eene met veelderley Coopmanschappen, en het ander met Fransse Wijn geladen, en noch twee andere Prijsjes, die hy in Compagnie van een Oostendes Capertje in Zee heeft verovert. Insgelijckx is gearriveert een kleyn Buysje, gevoert by Schipper Cornelis Lot, komende van Viale, met Galieegse Wijnen en Campechi-hout geladen. Van 's Lands Vloot hoort men tot verwonderings [verwonderinge?] geene sekere Kondschappen; maer wel verdichte Tydingen, die niet waerdig zijn om t' adviseren."	Cornelis Lot from ^^^ to Flushing brings logwood	
	"See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005] /"	Oprechte Haerlemsche Courant	no 32 for 9 Aug 1674 p 1 	Londen den 3 Augusti	1674	3 Aug 1674	https://resolver.kb.nl/resolve?urn=MMNHA02:164943251:mpeg21:a00005	^^^	"Londen den 3 augusti. Brieven met het Schip, laetst van gedacht, [start p 2] van Iamaica gekomen, berichten den geeden toestant, daer 't salve Eylandt in is, hebbende d' Inwoonders van dese mael meer Goedt gesonden, als oyt te vooren, en daer is noch meer Goedt daer gebleven, als herwaerts gebracht is: De Poortland, die nae de Havane gesonden was, beeft [heeft?] aen 't Eylandt Haguania, zijnde een kleyn Eylandt in de Baey van Honduras, een Hollandtse Kaper van 16 Stucken en 200 Ton, genomen: Den Franssen Gouverneur van Tortugas was aen Porto Rico geweest, met 8 of 10 Schepen en 500 Man; maer sonder succes, alsoo de Schepen en Sloepen, die bet [het?] Volck voerde, wesende gevictuailjeert nae de Indiaensse manier, onderwegen gebreck kregen [kragen?], en mosten landen in de cerste Baey van Porto Rico, alwaer 3 of 400 Spangiaerden op haer waeren aengevallen, neermaeckende omtrent 50, soo dat den Gouverneur hem self nauwelijckx konde salveren, keerende weder na Tortugas, 't geen sy nae gie [zie?] tijdt hadden verwoest, uyt vrese voor de Spangiaerden en Capers, zijnde nu onder de Macht van Hispagnola: Sant Domingo was gedestrueest door een Aertbevinge, soo dat anders de Kust van de Franssen nu hadden behooren te suyveren, die in seet [seer?] soberen staet daer zijn, gaende den Gouverneur Oyeron nae Vranckrijck. De Victuailje-Schepen voor de Duytse Vloot, onder 't Convoy van twee Oorlog-schepen, waeren den 30 passato noch niet verder als tot Wey[ill]uyen [Weymuyen?]. [new para] [Londen den 3 augusti para re East India Co] [new para] Londen den 3 Augusti. In Duyns zijn gearriveert twee Schepen komende van Jamaica, twee van Nieuw-Engelandt, 6 a 7 komende van de Barbados, ende 7 Schepen uyt Indien van Suratte en Bombaey, welcke aldaer met de Duytse in actie geweest zijn; sy rapporteren, dat elf Duytse Schepen, uyt Indien komende, op wegzijn."	news received in London of Poortland's seizure of a Dutch privateer of 16 pieces and 200 tn in Haguania island in Hond Bay	
	"See ""Londen den 3 Augusti” in no 32 for 9 Aug 1674 p 1 [https://resolver.kb.nl/resolve?urn=ddd:010899155:mpeg21:a0003] / "	Amsterdamse Courant	no 32 for 9 Aug 1674 p 1 	Londen den 3 Augusti	1674	3 Aug 1674	https://resolver.kb.nl/resolve?urn=ddd:010899155:mpeg21:a0003	^^^	"Londen den 3 Augusti. De Brieven van Iamaica weten niet genoeg te spreken van den voorspoet en goeden toestant van dat Eylant, hebbé [hebben] dese reyse meer goederé [goederen] van haer eygen gewas gesonden, als oyt voor desen, en heeft het Schip van daer gekomen, noch meer Goederen daer gelaten, als herwaerts gebracht heeft. Het Schip de Poortlant, dat na de Havana gesonden was, opwaerts geseylt sijnde tot Aguama, een kleyn Eylantje in de Baey van Honduras, heeft daer een Duyts Schip met 16 Stucken, 200 ton groot, geladen met 100 tonnen Campechi hout gesien. Den Francen Gouverneur van Tortugas was met 8 a 10 Schepen en 500 Man op PortoRico geweest , doch met slecht succes, voornamentlijck voor het Vaertuygh en Sloepen, die het Volck in hadden, welcke op de Indiaensche wijse, dat is, sober gevictualieert, en soo verre door de wint van de andere Schepen af gedreven sijnde, dat de selve niet konden by houden, landen in de eersten Baey te Lywaert, op Porto Rico, al waer heen en weer moeskopten, om levensmiddelen te soecken; maer wierden door 400 Spanjaerden overvallen, die 50 Francen af sneden en capot maeckten, terwijl de rest haer in sodanige confusie op de vlugt begaven, dat den Gouverneur het ter naeuwer noot ontquam, waer na sy weder na Tortugas keerden, dat sy uyt vreese voor de Spanjaerden en de Kapers sedert verlaten, en haer na Hispa- [start p 2] niola geretireert hebben. De Victualy-Schepen na de Duytse Vloot gedestineert, nevens twee van hare Oorlog Schepen, waren den 3 op aflato niet verder, als Weymouth geavanceert."	news received in London that the Poortlant saw Dutch ship of 16 pieces 200 tn with 100 tn logwood in Aguama island in Hond Bay	
	See “Vlissingen den 12 January” in no 3 for 15 Jan 1675 p 2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005] /	Oprechte Haerlemsche Courant	no 3 for 15 Jan 1675 p 2 	Vlissingen den 12 January	1675	12 Jan 1675	https://resolver.kb.nl/resolve?urn=MMNHA02:164944007:mpeg21:a00005	^^^	"Vlissingen den 12 January. Sedert laetst is alhier gearriveert het Schip, genaemt 't Landt van Beloften, Schipper Dirck Tobiasz., komende van Snrinam, geladen mei Suycker; op sijn vertreck lagh aldaer noch in Ladinge 't Schip Bussenburgh, Schipper Jan Marcusz. die in weynigh dagen van meyninge was te volgen: Item is gearriveert het Schip 't Lam, Schipper Pieter Marcusz., komende nu laetst van Portrice, is geladen met Suycker, Taback, Campechi-hout en eenige Huyden."	Lam skipper Pieter Marcusz. from ^^^ to Flushing arrived with logwood	
	"See ""d'Amsterdam le 5. Septembre” in no 36 for 5 Sep 1675 p 4 [https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007]"	Gazette d’Amsterdam	no 36 for 5 Sep 1675 p 4 	d'Amsterdam le 5. Septembre	1675	5 Sep 1675	https://resolver.kb.nl/resolve?urn=ddd:011014794:mpeg21:a0007	^^^	"d'Amsterdam le 5 Septembre [new para] La plupart des Vaisseaux que l'on croyoit perdue sur nos costes, en venant de la mer Baltique son arrivez à bon port, & il n'en manque que six. On mande de Hambourg que Mr. le Comte d'Oxensterne estoit parti de Wismar pour Lubeck avec pasteport de sa Maj. Danoise & de son A. E. de Brandebourg. Nostre flote estoit encore le 29 du passé sur les costes de Flandres. Il est arrivé à Terveer un Vaiss. venant de Surinam. Il est parti de Boisleduc 2 Regimens pour alles à Grave. [new para] Les lettres d'Alemagne disent que Monsr. de Montecuculli a battu aussi Monsr. le Prince de Condé qui a esté contraint de se retirer à Schelstad & que Monsieur le Duc d'Enguien a esté tué ou fait prisonier dans le combat, & que la perte que les François y ont faitte este tres-considerable; nous en aurons les particularitez l'ordinaire prochain. [new para] Le Capitaine Ellertt, qui commande un Vaisseau Anglois du port de 300 tonneaux ou aux environs, freté à la Jamaique, a chargé à la coste de S. Domingo, & à l'Isle de la Tortuë, cuirs, bois de Campéche & Indigo, & est partie de la même Isle vers la fin de Fevrier dernier pour venir à Londres ou à Diepe; & parce que depuis ce temps-là l'on n'a en aucunnes nouvelles dudit Capitain Ellert qui est Anglois de même que son Vaisseau, l'on supplie ceux qui en peuvent avoir quelque avis en Angleterre d'en vouloir faire part à Monsieur Claude Haix Marchand à Londres, & en Hollande à Messieurs Henry, Marchands à Amsterdam."	Capt Ellertt or Ellert on Eng ship of 300 tn loaded logwood at Jamaica or St Domingo or Tortuga and left last February [1675?] for London or Diepe but has not arrived ie seems lost	
	"See “St. Malo den 29 November” in no 50 for 10 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009, https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008] /"	Oprechte Haerlemsche Courant	no 50 for 10 Dec 1676 p 2 	St. Malo den 29 November	1676	29 Nov 1676	https://resolver.kb.nl/resolve?urn=MMNHA02:164944311:mpeg21:a00008	https://resolver.kb.nl/resolve?urn=ddd:010927168:mpeg21:a0009	"St. Malo den 29 November. Alhier zijn dese Weeck opgebragt wel 8 Schepen, daer onder 6 Engelsse, welcke, also behoorlijcke Paspoorten hebben, apparent weder sullen werden vry gegeven; het sevende is een Scheepje komende uyt de Havana, geladen met Campechi-hout, Huyden en Taback; en het achtste is een Schip van Cabo Verde, gemonteert met 16 Stucken, en bemant met 50 Koppen, in hebbende seer veel Huyden."	[Sp?] ship from Havana brought [forcibly?] to St. Malo with logwood	
	See “Duynkercken den 29 November” in no 49 for 3 Dec 1676 p 2 [https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005] /	Oprechte Haerlemsche Courant	no 49 for 3 Dec 1676 p 2 	Duynkercken den 29 November	1676	29 Nov 1676	https://resolver.kb.nl/resolve?urn=ddd:010927153:mpeg21:a0005	^^^	"Duynkercken den 29 November. Door de Capers is alhier opgebracht een Nederlands Schip, genaemt de Pellicaen, Schipper Schepmoes, komende uyt de Spaensse West-Indies, geladen met Indigo, Consenielje, Campechi-hout en andere Goederen, men segt oock voor 10 a 12000 Gulden aen Contanteu, die daer in zijn: dan hebben dito Capers noch opgebracht 2 Hollandse Schepen uyt Moscovien komende, waer van het cene sigh seer wel gedefendeert heest. "	Dutch ship Pellicaen skipper Schepmoes from SWI loaded with logwood brought in [seized?] to Dunkirk by capers [?]	
	See “Parijs den 8 September” in no 37 for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004] /	Oprechte Haerlemsche Courant	no 37 for 14 Sep 1679 pp 1-2 	Parijs den 8 September	1679	8 Sep 1679	https://resolver.kb.nl/resolve?urn=MMNHA02:164946108:mpeg21:a00004	^^^	"[Parijs den 8 September para re Fr or Sp royal court news] [start p 2] [prev para continues] [new para] Parijs den 8 September. Men heest tydinge dat Monsr. d'Estrees op den 23 Juny tot Martinique aengekomen is, van waer hy, na eenig verblijf [verblijs?], na seker Eylant in de Honduras was gezeylt, 't welck wel onbewoont was, doch een considetable [considerable?] Post soude zijn tot de Desseynen, die men aldaer voor heeft; en heeft hy verseeckrrt, dat hy voor half October weder tot Martinique soude zijn. Daer werden tegenwoordig 9 Oorlog-schepen tot Brest toegerust, waer van twee 80 en twee andere 60 stucken Canon sullen voeren: Oock wert eenige Equipagie tot Rochefort aengestelt, sonder dat men weet tot wat eynde. Monsr. de Saignelay is na Normandyen, om sijn gementioneerde Huwelijck met Madamoiselle de Matignon te volvoeren; en is den Hertog van Beauvillier alleen met hem gegaen, also Monsr. Colbert, sijn Vader, de Reyse niet heeft konnen doen, en Madame de Colbert is gevaerlijck sieck geworden. [new para]"	"news received in Paris of M. d'Estrees arriving in Martinique on 23 June 1679, sojourning, and sailing to Honduras for an uninhabited island, is expected back at Martinique before mid-October 1679"	
	See “De Paris le 8 Septembre” in no ^^^ for 14 Sep 1679 pp 1-2 [https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001]	Gazette d’Amsterdam	no ^^^ for 14 Sep 1679 pp 1-2 	De Paris le 8 Septembre	1679	8 Sep 1679	https://resolver.kb.nl/resolve?urn=ddd:010965519:mpeg21:p001	^^^	"[De Paris le 8 Septembre para re Sp royal court news] [start p 2] son Maitre, à un des Ministres d'Estat qui n'a pas peu contribué au mariage, de son Pourtrait enrichi de Diamans de la valeur de 12000 écus. L'on a receu avis de la Martinique que Mr. d'Estrez y estoit arrivé le 23 Juin, & en estoit parti quelque temps aprés pour aller, disoit-on, prendre possession d'un Isle inhabitée qu'il y a au Golfe de Honduras, pretendant d'en estre de retour à la Martinique avant le mois d'Octobre. [para continues]"	"news received in Paris of Mr. d'Estrez arriving in Martinique on 23 June 1679, sojourning, and sailing to Honduras to take possession of an uninhabited island, is expected back at Martinique before mid-October 1679"	
